,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,13.91,14.04,12.97,13.25,1826587,,,,,,,1.0699999999999985
1,13.35,13.87,13.22,13.86,822857,,,,,,,1.0399999999999985
2,13.92,14.38,13.55,13.71,862839,,,,,12.926656770986341,14.382313884985582,1.0249999999999986
3,13.94,14.44,13.81,14.31,750565,,,,,13.20140625817321,14.574530114794047,1.00392857142857
4,14.08,14.57,14.0,14.56,1584903,,,,,13.538170523168759,14.570171216751778,0.9729336734693864
5,14.21,14.41,13.9,14.35,1341350,,,,,13.798785098851193,14.566887239362604,0.9505812682215732
6,13.85,14.07,12.44,12.46,1184318,,,,,12.486111965812345,14.630877197365683,1.019111177634318
7,13.13,13.57,12.535,13.55,1920702,,,,,12.059754965391319,14.48145192173973,1.0256032363747238
8,13.2,13.31,12.365,12.54,1776610,13.62,,,,12.352951228593016,14.074890574148212,1.0369887194908152
9,11.78,12.38,10.8201,11.5,2633678,13.43,,,,10.867360257326796,13.774877632383811,1.0857680966700427
10,12.0,12.38,11.235,12.37,2364894,13.26,,,,10.593852861184716,13.28062932538098,1.089998946907897
11,11.0,11.035,9.75,10.16,2156054,12.87,,,,9.758867273001332,12.785856389932713,1.1992847364144756
12,10.14,11.17,9.08,11.16,3074152,12.52,,,,8.808491665550445,12.343045296749438,1.262907255242013
13,10.28,10.7,8.9,9.6,1943020,11.97,,,,8.750620096923605,11.234520454233875,1.3341281655818693
14,9.47,10.255,8.97,9.29,2686046,11.4,,,,8.88352184434859,11.21164594328198,1.3306190108974503
15,9.31,9.7642,8.62,8.76,2949640,10.99,,,,8.626277149047977,10.754628767507416,1.3173033672619183
16,8.58,8.87,7.44,7.62,2074958,10.33,,,,7.4615247751227916,10.402178689415768,1.32535312674321
17,8.12,8.3616,7.7,8.19,2501648,9.85,,,,7.237999999999985,9.779696948912225,1.2836564748329806
18,8.25,8.85,7.915,8.37,3106340,9.5,,,,7.423359502370097,9.010584257800026,1.258752440916339
19,8.4,9.205,8.38,9.08,2364766,9.14,11.43,,,7.6160009081672815,9.271333464863282,1.2284844094223148
20,8.75,9.15,8.475,8.95,1675892,9.0,11.22,,,7.927018242837046,9.278512027147237,1.1889498087492925
21,8.99,9.12,8.47,8.84,1616436,8.74,10.97,,,8.3828569452479,9.205752562906559,1.1504533938386285
22,8.81,9.01,8.47,8.92,1839324,8.67,10.73,,,8.468491240183017,9.174415596087393,1.1068495799930123
