,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,74.92,78.33,74.92,76.98,79103,,,,,,,3.4099999999999966
1,77.92,78.48,76.64,77.83,60458,,,,,,,3.29785714285714
2,77.56,78.78,76.39,77.04,46598,,,,,,,3.23301020408163
3,75.88,78.4,74.48,77.9,47323,,,,,,,3.2820809037900855
4,77.81,78.2,72.395,73.3,116591,,,,,,,3.462289410662223
5,74.19,74.64,71.1,73.12,236526,,,,,,,3.467840167043493
6,71.97,73.19,69.74,72.5,152692,,,,,,,3.466565869397529
7,70.35,70.35,66.35,69.05,152266,,,,,,,3.6582397358691345
8,72.09,74.315,69.1,74.0,111086,74.64,,,,,,3.7730083261641965
9,68.2,73.37,68.2,71.42,204842,74.02,,,,,,3.9177934457238965
10,71.45,77.56,71.38,75.98,76851,73.81,,,,,,4.07937962817219
11,72.21,74.15,67.465,71.2,68006,73.16,,,,,,4.39620965473132
12,71.54,74.685,68.18,73.85,247110,72.71,,,,,,4.546837536536225
13,73.94,76.12,70.705,75.3,183102,72.94,,,,,,4.608849141069353
14,75.0,76.21,72.265,76.1,208094,73.27,,,,,,4.561431345278684
15,78.15,79.67,73.46,77.705,76867,73.84,,,,,,4.67918624918735
16,78.47,78.49,74.675,74.95,88912,74.5,,,,,,4.6174586599596825
17,75.22,79.24,75.22,76.96,59527,74.83,,,,,,4.594068755676847
18,74.7,77.76,73.21,74.78,61702,75.2,,,,,,4.590920987414217
19,76.09,84.98,76.09,84.79,74218,76.18,75.24,,,65.75259813186389,83.14664541389048,4.991569488313202
20,85.43,89.47,84.65,88.86,256154,78.14,75.83,,,64.17272635273739,85.8575132139119,4.979314524862258
21,88.88,89.6,80.88,81.09,126002,78.95,75.99,,,63.76362483408106,88.02142023832398,5.2465063445149545
22,80.23,83.88,79.84,82.82,50947,79.78,76.28,,,63.52480620037841,88.61675398758985,5.160327319906743
23,81.0,84.93,80.75,84.21,102756,80.68,76.6,,,63.23046276354426,89.369021257844,5.090303939913405
24,86.58,88.78,84.245,87.7,125250,81.8,77.32,,,62.708174580667816,90.82225775028323,5.053139372776735
25,90.36,90.36,83.83,86.35,117985,83.06,77.98,,,62.585358533129025,92.43454477169956,5.158629417578397
26,86.41,87.8116,81.11,82.78,170638,83.71,78.49,,,63.02827637914043,93.23389985447804,5.268841602037083
27,83.24,85.22,82.78,83.76,91061,84.71,79.23,,,64.11853746556869,93.16588640911748,5.066781487605863
28,84.22,84.41,82.16,82.9,66434,84.5,79.68,,,64.9119688731205,93.2650678018455,4.86558280991973
29,84.44,85.58,82.91,84.26,120774,83.99,80.32,,,66.01707435111885,93.25962700255035,4.709469752068321
30,83.0,85.17,83.0,83.94,111459,84.3,80.72,,,66.683189693537,93.45022710519346,4.528079055492013
31,84.59,87.29,84.01,87.01,196128,84.77,81.51,,,68.33380633656533,93.45326443473073,4.4439305515282985
32,89.8,90.0,87.65,87.66,188559,85.15,82.2,,,69.82245691682253,93.71363655703072,4.340078369276277
33,85.94,88.54,85.94,87.53,148268,85.13,82.81,,,71.1647911218837,93.69739855430835,4.215787057185115
34,86.9,89.09,85.61,86.14,125631,85.11,83.31,,,72.40435539599198,93.52276165518084,4.1632308388147505
35,87.95,88.18,85.98,86.13,137616,85.48,83.73,,,73.55989692537314,93.53464060966924,4.023000064613697
36,86.54,86.92,83.01,83.95,178672,85.5,84.18,,,74.6706509634204,93.10336929995442,4.014928631427004
37,84.89,85.07,82.5,82.93,86570,85.51,84.48,,,75.78288766527126,92.54986242057318,3.9117194434679323
38,83.83,85.41,82.86,83.81,138765,85.46,84.93,,,77.88436642266848,91.25908941485653,3.8144537689345084
39,85.31,87.04,84.23,85.1,64410,85.58,84.95,,,79.43842843823504,91.2501366240096,3.7727070711534725
40,86.95,86.95,83.1,85.22,91347,85.39,84.76,,,79.40373366354672,90.9749600734648,3.778227994642511
41,85.2,86.73,78.02,83.0,225562,84.87,84.86,,,78.71479117242797,90.64006361418566,4.130497423596617
42,81.31,83.1875,80.36,82.92,63978,84.36,84.86,,,78.81725299881883,90.73153566319026,4.037426179054002
43,83.55,86.95,82.0,86.52,72045,84.4,84.98,,,78.9927609251471,90.7281569240205,4.102610023407288
44,86.82,89.76,86.82,88.16,71854,84.62,85.0,,,78.85059344127171,90.9008245811967,4.040995021735339
45,88.8,90.02,86.32,86.92,61790,84.95,85.03,,,78.79201348919277,90.82463142961036,4.016638234468529
46,88.22,89.255,86.97,87.7,103360,85.48,85.28,,,78.98812588069954,91.01553846695967,3.896521217720777
47,88.54,90.65,88.54,89.67,75476,86.13,85.57,,,78.86511379459168,91.49997818013097,3.8289125593121502
48,89.15,91.04,88.45,89.07,45489,86.58,85.88,,,78.9208218383353,91.91366453356203,3.7404188050755685
49,89.02,91.04,87.74,90.13,65014,87.12,86.18,81.46,,79.01793622979231,92.32745565706081,3.7089603189987432
50,89.79,90.3,85.71,85.93,122516,87.45,86.28,81.64,,79.19082744626746,92.50795153652365,3.771891724784548
51,85.64,85.95,82.1,82.65,100988,87.42,86.06,81.74,,78.97539151740705,92.53857247492806,3.7774708872999385
52,82.45,83.645,81.68,82.25,113101,86.94,85.79,81.84,,78.70304346235133,92.54752686057687,3.648008681064228
53,82.95,86.93,82.12,86.32,134542,86.74,85.73,82.01,,78.4738252496612,92.46781878572679,3.7310080609882124
54,86.56,88.66,84.43,84.54,91410,86.47,85.65,82.23,,78.45149817376625,92.42383584958382,3.766650342346196
