,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,8.12,8.4,7.56,7.81,1326151,,,,,,,0.8400000000000007
1,7.79,8.16,7.7,8.14,973470,,,,,,,0.8128571428571435
2,8.11,8.345,7.93,7.93,805132,,,,,,,0.7844387755102048
3,8.02,8.215,7.96,8.18,668167,,,,,,,0.7487645772594759
4,7.95,8.09,7.865,7.96,754983,,,,,,,0.7177813931695133
5,7.64,8.14,7.64,8.13,702376,,,,,,,0.702225579371691
6,6.5,7.64,6.5,7.29,844606,,,,,,,0.7684951808451417
7,7.52,7.77,7.24,7.56,823552,,,,,,,0.7514598107847744
8,7.3,7.42,7.02,7.12,715888,7.79,,,,,,0.736355538585862
9,6.68,6.95,6.19,6.25,1070082,7.62,,,,,,0.7501872858297289
10,6.6,6.88,6.26,6.87,1077508,7.48,,,,,,0.741602479699034
11,6.0,6.5,5.94,6.18,958458,7.28,,,,,,0.7550594454348173
12,6.33,6.94,6.08,6.92,1191139,7.14,,,,,,0.7625551993323304
13,6.53,6.56,4.95,5.79,1435712,6.9,,,,,,0.8488012565228782
14,5.75,6.38,5.37,6.26,1307955,6.69,,,,,,0.8603154524855297
15,6.15,7.41,5.55,6.11,1938105,6.56,,,,,,0.9317214915937062
16,6.1,6.44,5.63,6.3,722659,6.42,,,,,,0.923027099337013
17,6.7,7.06,6.6,6.81,853255,6.39,,,,,,0.9113823065272264
18,6.83,7.74,6.71,7.33,1005685,6.51,,,,,,0.9198549989181389
19,7.44,8.34,7.44,8.09,1015436,6.64,7.15,,,4.826872414399783,8.885833385442785,0.9262939275668434
20,7.76,7.89,7.42,7.52,1361349,6.79,7.14,,,4.83224822095484,8.807141023915483,0.907987218454926
21,7.57,7.94,7.36,7.69,1008241,6.88,7.11,,,4.8476780094431415,8.77519367906067,0.8845595599938599
22,7.61,7.66,7.07,7.14,882436,7.03,7.08,,,4.889386203227277,8.676329459682833,0.865662448565727
23,6.78,6.78,6.07,6.15,1064762,7.02,6.97,,,4.893719688918472,8.572229969895057,0.8802579879538894
24,6.08,6.485,6.08,6.25,857270,7.03,6.89,,,4.915577638233081,8.491674784857295,0.8463109888143259
25,6.17,6.36,5.82,6.01,991223,7.0,6.78,,,4.906211750151952,8.388071185011732,0.8244316324704455
26,6.27,6.55,6.23,6.4,939979,6.95,6.74,,,4.892974789565268,8.340079360909384,0.8041150872939852
27,6.68,7.05,6.66,6.79,803981,6.89,6.7,,,4.916230204817689,8.263571558172005,0.7931068667729863
28,6.85,7.84,6.84,7.585,915836,6.84,6.72,,,4.923819612663631,8.324734767808188,0.8114563762892015
29,7.79,8.2,7.79,8.09,925065,6.9,6.81,,,4.857267081804532,8.480712820145484,0.79742377798283
30,8.0,8.0,7.62,7.74,497367,6.91,6.86,,,4.83254780206481,8.582319440567284,0.7740363652697708
31,7.94,8.2,7.82,8.13,413012,7.02,6.96,,,4.838654974348221,8.693405765053829,0.75160519632193
32,7.78,7.82,7.54,7.57,548207,7.17,6.99,,,4.873060034155481,8.746197703160055,0.7400619680132208
33,7.58,7.66,7.21,7.66,482340,7.33,7.08,,,5.1585078299226135,8.759085367441205,0.7193432560122764
34,7.87,8.3476,7.86,8.24,600964,7.58,7.18,,,5.346797993405055,8.834380834996859,0.7170758805828281
35,7.96,8.19,7.85,7.9,472834,7.74,7.27,,,5.53478679594641,8.908536065786635,0.6937133176840548
36,7.62,7.87,7.5789,7.59,581212,7.83,7.33,,,5.758384965519907,8.887933249203655,0.6670980807066222
37,7.79,7.92,7.35,7.365,734869,7.81,7.36,,,5.81058275146715,8.912449646636855,0.6601625035132921
38,7.35,7.64,7.3384,7.49,710059,7.74,7.37,,,5.852938819022495,8.906614605076534,0.6345508961194855
39,7.52,7.86,7.43,7.79,288537,7.75,7.36,,,5.852907121770734,8.84423415327483,0.6199401178252366
40,7.86,8.48,7.86,8.29,933849,7.77,7.39,,,5.840840586345205,8.928716223024194,0.624944395123434
41,8.62,8.68,8.36,8.37,771962,7.86,7.43,,,5.789135396893172,9.042051375577904,0.6081626526146174
42,8.6,8.74,8.39,8.43,973757,7.94,7.49,,,5.765039635690006,9.176039622964662,0.5911510345707163
43,8.2,8.4,8.11,8.14,613000,7.93,7.59,,,5.9381814447460695,9.212825078776847,0.5717831035299509
44,7.96,8.085,7.82,8.03,529080,7.94,7.68,,,6.152216985269104,9.148104667264437,0.5537985961349544
45,7.91,7.99,7.6,7.78,329563,7.96,7.77,,,6.494733369485634,9.00050197417427,0.5449558392681719
46,7.9,8.1,7.71,7.72,214811,8.0,7.83,,,6.77176394651731,8.827645805904169,0.533887565034731
47,7.69,7.78,7.33,7.34,267583,7.99,7.86,,,6.920297619798644,8.720365114356879,0.5278955961036789
48,7.48,7.56,7.395,7.45,354148,7.95,7.86,,,7.042246960400233,8.741235487794789,0.5059030535248447
49,7.62,7.7,7.32,7.55,380379,7.87,7.83,7.38,,6.999219317844936,8.733982410962941,0.49690997827307004
50,7.4,7.42,7.18,7.19,332364,7.74,7.8,7.37,,6.9419832565195065,8.76108459898997,0.4878449798249936
51,6.83,7.05,6.5,6.52,881782,7.52,7.72,7.34,,6.714579075401999,8.815762993751646,0.5022846241232084
52,6.42,6.56,6.04,6.15,960691,7.3,7.65,7.3,,6.398112549880979,8.959305467289127,0.5035500081144078
53,6.01,6.29,5.93,6.26,642920,7.11,7.58,7.27,,6.132273859098758,9.111190934384588,0.4932964361062358
54,6.22,6.33,6.04,6.21,492165,6.93,7.48,7.23,,5.915578851908888,9.150182056125923,0.47877526209864757
55,6.48,6.93,6.48,6.79,796203,6.83,7.42,7.2,,5.815919381883982,9.113273162811753,0.49600560052017273
56,6.71,7.05,6.53,6.73,600612,6.76,7.38,7.19,,5.732681217466661,9.094664442028407,0.4977194861973032
57,6.93,7.23,6.73,7.09,513799,6.72,7.37,7.18,,5.6861150510262615,9.063726279794308,0.497882380040353
58,7.12,7.14,6.83,6.88,257065,6.65,7.34,7.18,,5.653118754350609,9.052358243793705,0.48446221003747064
59,6.92,7.105,6.85,7.08,389877,6.63,7.3,7.2,,5.622139797994372,9.02180903503681,0.4680720521776514
60,7.42,7.58,6.92,7.46,1072454,6.74,7.26,7.21,,5.609620457400394,8.908986481424122,0.4817811913078192
61,7.64,7.85,7.56,7.62,510711,6.9,7.22,7.24,,5.671990536514906,8.765635476538435,0.4752253919286893
62,7.75,7.75,7.37,7.42,396011,7.03,7.17,7.25,,5.757706782645365,8.57880741677015,0.4684235782194972
63,7.32,7.39,7.05,7.08,662454,7.13,7.12,7.27,,5.815285172605479,8.429871146804542,0.46139332263239025
64,7.11,7.22,7.04,7.05,622552,7.16,7.07,7.29,,5.8489670750622675,8.329830396264175,0.44129379958721954
65,7.12,7.375,7.1,7.22,811465,7.21,7.04,7.31,,5.868341122783891,8.247880494781315,0.4329870996167039
66,7.45,7.625,7.42,7.44,644392,7.25,7.03,7.33,,5.89491199152835,8.160258418997312,0.43098802107265366
67,7.34,7.645,7.26,7.49,603947,7.32,7.03,7.35,,5.897650323440348,8.138794514306461,0.42770316242460693
68,7.86,7.9,7.42,7.51,876986,7.37,7.04,7.35,,5.896058894225322,8.193355757852311,0.4314386508228493
69,7.59,7.79,7.565,7.74,630547,7.4,7.05,7.34,,5.879444043900616,8.207633961806799,0.420621604335503
70,7.55,7.605,7.22,7.5,590379,7.38,7.06,7.34,,5.878880523297276,8.226972144417136,0.42772006116868144
71,7.42,7.525,7.07,7.26,552755,7.37,7.1,7.33,,5.921924569627362,8.251231827354825,0.4296686282280614
72,6.86,6.905,6.56,6.81,874879,7.34,7.13,7.33,,6.020004645539591,8.224134239232583,0.448978011926057
73,7.11,7.15,6.88,6.91,147010,7.32,7.16,7.34,,6.198895775051478,8.136020726040876,0.44119386821705303
74,6.9,7.32,6.8271,7.29,751066,7.33,7.22,7.36,,6.370120791326019,8.020078709951083,0.4448871633444064
75,7.6,7.63,7.22,7.32,637688,7.31,7.24,7.39,,6.456493271559324,8.020168283953597,0.44239522310552026
76,7.3,7.34,6.98,7.02,743935,7.26,7.26,7.4,,6.531713178701541,8.007606099494609,0.4365098500265545
77,6.93,6.95,6.45,6.65,1112127,7.17,7.24,7.4,,6.467829277507212,8.030356066948015,0.44604486073894345
78,6.7,6.78,6.47,6.56,1295053,7.04,7.22,7.38,,6.399770883480259,8.069956229366463,0.43632737068616184
79,6.55,6.94,6.46,6.89,970559,6.97,7.21,7.35,,6.33274460766722,8.082545667546823,0.4394468442085789
80,7.02,7.31,6.98,7.23,727173,6.96,7.2,7.34,,6.33741339462674,8.065788017472935,0.43805778390796607
81,7.07,7.15,6.89,7.01,845248,6.99,7.17,7.32,,6.344257400287453,8.004251206696688,0.43105365648596855
82,6.99,7.2,6.845,7.13,766693,7.01,7.16,7.31,,6.336314430430303,7.953928593209572,0.4256212524512566
83,7.02,7.09,6.76,6.83,672027,6.96,7.14,7.3,,6.314973786508933,7.948081834438119,0.4216483058475954
84,6.94,7.31,6.9,7.15,778261,6.94,7.15,7.27,,6.308092657057802,7.950769525588295,0.42581628400133853
85,7.1,7.38,7.1,7.25,697801,6.97,7.15,7.26,,6.308092657057801,7.951104529264816,0.4154008351441001
86,7.27,7.4,7.0,7.04,740918,7.01,7.13,7.25,,6.322662603790745,7.925189280066043,0.4143007754909501
87,7.19,7.31,7.09,7.12,688970,7.07,7.11,7.25,,6.3279576854836685,7.888444588534138,0.4039935772415965
88,7.28,7.46,7.19,7.22,674342,7.11,7.1,7.24,,6.347297167248075,7.801247539166596,0.39942260743862534
89,7.09,7.2,6.95,6.95,660640,7.08,7.06,7.22,,6.401564419673197,7.713384541583641,0.3901781354787235
90,6.93,7.1,6.715,6.96,941642,7.07,7.03,7.2,,6.395777268231231,7.660515861284565,0.3898082686588146
91,6.92,6.925,6.77,6.85,843447,7.04,7.01,7.17,,6.388979413782953,7.625439767294806,0.37553624946889935
92,6.85,7.27,6.85,7.2,974825,7.08,7.03,7.14,,6.424272681040253,7.622936403922988,0.37871223164969225
93,7.31,7.5,7.18,7.19,950526,7.09,7.04,7.12,,6.417501191473869,7.658883254637884,0.3745185008175714
94,7.19,7.39,7.17,7.35,944336,7.1,7.05,7.11,,6.418038598954376,7.666639883219112,0.3634814650448877
95,7.57,7.755,7.53,7.67,1267412,7.17,7.06,7.11,,6.373604433381398,7.699751813036096,0.36644707468453863
96,7.64,7.8414,7.6,7.74,1137564,7.24,7.1,7.11,,6.323600899497553,7.796951016115423,0.3575151407785002
97,7.77,7.77,7.34,7.35,802265,7.25,7.13,7.11,,6.390282088666279,7.862117849674499,0.36269263072289304
98,7.29,7.36,7.11,7.27,728709,7.29,7.17,7.1,,6.4728739649672296,7.833783482942106,0.35464315709982924
99,7.36,7.51,7.34,7.42,647836,7.34,7.2,7.1,,6.567684773234094,7.832056123068487,0.34645436016412723
100,7.34,7.74,7.34,7.54,1253537,7.41,7.21,7.11,,6.572833768494537,7.88206930640181,0.3502790487238324
101,7.58,7.79,7.58,7.68,602698,7.47,7.25,7.13,,6.570475427131597,7.932867331212262,0.34311625952927294
102,7.73,7.81,7.71,7.73,492224,7.53,7.28,7.16,,6.569643133736163,7.9815691087973875,0.3278936695628963
103,7.72,7.905,7.65,7.66,614142,7.56,7.32,7.19,,6.607372588732009,8.03232676918882,0.3226869788798322
104,7.6,8.01,7.6,7.85,979089,7.58,7.35,7.22,,6.635820469523848,8.107967587568561,0.3289236232455585
