,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,44.37,44.37,41.64,42.63,13588,,,,,,,2.729999999999997
1,42.79,43.93,41.93,43.8,11100,,,,,,,2.67785714285714
2,42.9,42.9,40.4,40.87,12833,,,,,,,2.7294387755102014
3,40.1292,40.53,37.38,40.21,50979,,,,,,,2.783764577259473
4,36.75,37.9799,34.96,35.76,24736,,,,,,,2.9599242503123677
5,37.02,39.35,35.19,38.86,31495,,,,,,,3.045643946718627
6,37.82,37.82,34.42,34.99,17756,,,,,,,3.145240807667297
7,32.18,32.19,26.94,27.7,30995,,,,,,,3.495580749976776
8,28.9,30.14,27.9,28.525,46481,37.04,,,,,,3.420182124978435
9,25.43,25.43,21.105,21.64,35371,34.71,,,,,,3.7058834017656896
10,22.22,24.43,20.62,23.61,32496,32.46,,,,,,3.713320301639569
11,22.17,22.17,15.52,17.71,26063,29.89,,,,,,4.025940280093885
12,17.65,25.41,17.39,22.37,34624,27.91,,,,,,4.3112302600871795
13,22.74,24.49,19.79,19.79,44940,26.13,,,,,,4.33899952722381
14,20.52,23.77,19.0,22.36,28601,24.3,,,,,,4.369785275279252
15,23.61,24.76,22.75,23.99,26075,23.08,,,,,,4.22908632704502
16,24.09,24.36,22.4531,23.1,16764,22.57,,,,,,4.063215875113233
17,23.87,27.6,23.5386,27.0,32851,22.4,,,,,,4.094414741176574
18,26.31,26.89,25.5,26.475,17925,22.93,,,,,,3.9090994025211043
19,27.35,27.84,26.24,27.44,22054,23.36,29.44,,,10.755214651953906,46.8301945291957,3.744163730912454
20,27.36,29.4,26.22,26.84,40268,24.37,28.65,,,11.29322531833989,44.8236054905106,3.7038663215615646
21,25.69,26.613,24.19,24.7,23415,24.63,27.7,,,12.0517142698064,42.577610955732865,3.6285901557357385
22,25.16,25.8757,23.06,24.34,23953,25.14,26.87,,,12.870915282345145,40.21514173529315,3.570526573183186
23,24.4,24.825,23.2,24.62,20061,25.39,26.09,,,13.556064963118649,38.12805246872756,3.4315603893843867
24,25.23,26.4407,23.87,24.66,52502,25.46,25.54,,,14.172067778620839,36.41713079957559,3.370070361571216
25,24.52,25.38,22.73,24.3,20624,25.6,24.81,,,15.102247877247049,33.78896531981584,3.318636764316129
26,24.37,25.81,23.83,24.69,19248,25.34,24.29,,,16.427973378637375,30.886024725763676,3.223019852579263
27,25.1,29.68,25.1,28.81,21681,25.6,24.35,,,16.53844649376565,30.18414787102584,3.349232720252173
28,28.42,29.97,26.37,27.26,27963,25.58,24.29,,,16.700375619118994,30.140796307008138,3.3671446688055893
29,27.83,29.7188,26.645,27.7,16491,25.68,24.59,,,16.76220253399125,30.655917755292496,3.346191478176619
30,26.31,26.8677,24.13,24.15,22688,25.61,24.62,,,17.012013561402654,30.697021791948856,3.362177801164003
31,24.05,24.05,21.01,21.17,21861,25.26,24.79,,,18.31725281577292,30.472958804560232,3.346307958223717
32,22.57,23.3813,21.69,21.725,32746,24.94,24.76,,,19.294687499176675,30.584571090447348,3.2652359612077375
33,21.51,22.13,20.79,21.49,70424,24.59,24.84,,,19.51060958467486,30.809599854268242,3.127719106835756
34,20.49,21.54,19.27,21.01,24504,24.22,24.77,,,19.586723448943346,31.052047049635885,3.066453456347488
35,22.23,23.8305,21.44,21.6625,7436,23.89,24.66,,,19.420050398163063,31.078503646494948,3.0488853523226673
36,21.94,22.5,21.3488,21.66,13564,23.09,24.59,,,19.27408304496244,31.18890829835515,2.9133363985853338
37,22.02,25.245,22.02,23.89,108354,22.72,24.43,,,19.146273911004457,31.026461012607285,2.961312370114953
38,24.17,26.97,24.17,26.26,35913,22.56,24.42,,,19.17459730890991,31.033838832095505,2.9697900579638845
39,27.4,28.39,25.41,26.1,36898,22.77,24.35,,,19.23777082786327,31.110705053478824,2.9705193395378933
40,27.2,28.51,26.25,27.96,44293,23.53,24.41,,,19.234776960911805,30.95481183546102,2.9304822438566154
41,27.06,27.06,24.79,25.42,26219,23.94,24.44,,,19.22946171470771,30.994565215215637,2.9475906550097144
42,24.27,25.07,22.74,24.39,23327,24.26,24.45,,,19.20615153308964,30.96812708183055,2.9284770367947353
43,24.39,24.4826,23.3,23.96,6894,24.59,24.41,,,19.21162358477785,30.96802682802246,2.80377153416654
44,24.5364,24.5364,23.04,23.69,7713,24.81,24.36,,,19.17564639257021,30.897447031487594,2.7103878531546446
45,23.48,23.48,22.31,22.55,8645,24.91,24.28,,,19.138118059230923,30.900980175555606,2.6153601493578846
46,23.19,23.71,22.05,22.25,18078,24.73,24.16,,,19.022243952152188,30.867098089202017,2.5471201386894644
47,23.0,24.5,22.14,24.5,51340,24.54,23.94,,,18.949665356827854,30.25479703318959,2.53375441449736
48,24.3,24.3,22.14,22.74,27445,24.16,23.71,,,19.034818104042813,29.469228656725683,2.5213433848904057
49,22.51,22.51,21.0,21.25,29842,23.42,23.39,26.29,,19.124005032613454,28.648707356006536,2.4655331431125194
50,21.0,21.9,20.07,21.1,18999,22.94,23.24,25.86,,18.834710909783183,28.438131928371355,2.4201379186044822
51,21.0,22.18,20.35,21.81,24071,22.65,23.27,25.42,,18.736972205024266,28.464189896850826,2.3779852101327337
52,22.0,22.39,21.26,21.82,14777,22.41,23.28,25.04,,18.69453464545469,28.484435116488605,2.2888434094089667
53,22.9,23.65,22.4658,23.14,16938,22.35,23.36,24.7,,18.848435838057405,28.452218495911154,2.2560688801654694
54,23.25,24.1099,22.62,22.63,48093,22.36,23.44,24.44,,19.333299982838895,28.3678374570906,2.2013425315822217
55,23.65,24.41,22.4576,24.08,9049,22.56,23.56,24.14,,19.425956439678604,28.38552495406227,2.1835609221834917
56,24.5,26.0297,23.52,24.72,32960,22.59,23.71,23.94,,19.565881685680836,28.50067278695152,2.2068565705989562
57,24.73,24.73,23.11,23.6,107771,22.68,23.7,23.85,,19.632643592692283,28.465604180704066,2.1649382441276024
58,24.61,26.34,24.36,26.33,49692,23.25,23.7,23.81,,19.623007170138866,28.363136536842923,2.2060140838327738
59,27.13,29.25,25.905,28.65,26950,24.09,23.83,23.95,,19.553896833351207,28.603044586828002,2.2873702207018614
60,28.95,29.63,27.93,28.57,28842,24.84,23.86,24.05,,19.202739463883105,28.91289965378404,2.245415204937443
61,27.82,28.51,27.5,27.87,25487,25.51,23.98,24.25,,18.87125198206037,29.20052942802234,2.16145697601334
