,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,8.52,8.975,8.37,8.6,1777563,,,,,,,0.6050000000000004
1,8.45,8.8,8.45,8.71,2082750,,,,,,,0.5867857142857148
2,8.78,8.81,8.3,8.76,1406793,,,,,,,0.5813010204081637
3,8.81,9.2,8.43,8.55,1145943,,,,,,,0.5947795189504377
4,8.66,8.97,8.57,8.88,970840,,,,,,,0.582295267596835
5,8.64,8.69,7.98,8.1,694441,,,,,,,0.6049884627684897
6,7.71,8.175,7.5,7.59,723587,,,,,,,0.6099892868564548
7,5.25,5.25,3.68,3.685,2465784,,,,,,,0.8457043377952794
8,4.07,4.48,3.7,4.475,1771535,7.48,,,,,,0.842082599381331
9,4.53,5.24,4.36,5.06,2542061,7.09,,,,,,0.8447909851398073
10,4.51,4.95,4.44,4.54,1471123,6.63,,,,,,0.8287344862012497
11,4.93,5.1,4.22,5.1,1338062,6.22,,,,,,0.8323963086154461
12,4.52,5.465,3.9,3.98,1562388,5.71,,,,,,0.8847251437143429
13,4.01,4.06,3.5801,3.8,1197622,5.15,,,,,,0.8558090620204613
14,3.77,4.2,3.4,3.53,1246163,4.64,,,,,,0.8518227004475712
15,3.67,4.23,3.44,3.89,1539754,4.23,,,,,,0.8474067932727448
16,4.01,4.35,3.78,4.01,1496983,4.26,,,,,,0.8275920223246916
17,4.07,4.395,3.95,4.335,801872,4.25,,,,,,0.8002640207300707
18,4.56,4.88,4.26,4.39,1003274,4.18,,,,,,0.7873880192493514
19,4.33,4.69,4.15,4.3,724655,4.15,5.71,,,1.1419413985225901,10.230020071015238,0.7697174464458264
20,4.36,4.67,4.2,4.59,1027890,4.09,5.51,,,1.1363948053271375,9.836791713318155,0.7483090574139817
21,4.31,4.49,4.13,4.38,789935,4.14,5.3,,,1.1934731152314555,9.425335816992131,0.727715553312983
22,4.31,4.33,3.915,4.21,719704,4.18,5.07,,,1.2823549018077687,8.946745971915295,0.70895015664777
23,4.13,4.47,4.13,4.24,757519,4.26,4.85,,,1.511954162598812,8.259449485453242,0.6825965740300721
24,4.29,4.29,3.82,3.88,645710,4.26,4.6,,,1.9147951325892687,7.487985964294738,0.6674111044564955
25,3.98,4.59,3.97,4.085,693151,4.27,4.4,,,2.433519157176632,6.58063194763984,0.6704531684238887
26,4.12,4.15,3.72,3.77,730255,4.2,4.21,,,3.3427357675192817,5.42812917635316,0.6532779421078967
27,3.89,4.15,3.85,4.0,913859,4.16,4.23,,,3.3619578814012523,5.3401772492442685,0.6337580891001898
28,4.12,4.39,3.94,4.14,969678,4.14,4.21,,,3.3854745738009937,5.338624721550958,0.6206325113073191
29,4.205,4.825,4.15,4.73,891909,4.16,4.2,,,3.3988409594296236,5.261427451680489,0.6252301890710821
30,4.95,5.32,4.76,5.07,970935,4.24,4.22,,,3.3406565217189463,5.3407560824782925,0.6227137469945763
31,5.16,5.2641,4.69,4.73,463520,4.29,4.2,,,3.292048335739169,5.375914530700652,0.6192413364949636
32,4.84,4.99,4.465,4.48,362700,4.32,4.23,,,3.28986791539208,5.264159635156397,0.612509812459609
33,4.25,4.49,4.11,4.16,1262648,4.35,4.25,,,3.3451176186514906,5.250925399204242,0.5959019687124941
34,4.1,4.1816,3.74,3.75,1192490,4.31,4.26,,,3.413339065365131,5.252054321126767,0.5848803995187446
35,3.88,4.07,3.88,4.04,891259,4.34,4.26,,,3.4970898797406376,5.263338977835821,0.5659603709816915
