,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,8.79,9.14,7.54,8.66,821055,,,,,,,1.6000000000000005
1,8.85,9.35,8.28,9.01,491402,,,,,,,1.5621428571428577
2,9.12,9.1341,7.86,8.48,469786,,,,,7.485096473981642,9.343313672013176,1.5415683673469394
3,8.7,8.94,7.93,8.4,340258,,,,,7.775812963801182,9.366972894491463,1.5035991982507293
4,8.13,8.1867,7.55,7.78,600776,,,,,7.557538767422275,9.304095228044716,1.45691354123282
5,7.57,8.06,7.335,7.7,393173,,,,,7.2735822123059775,8.918869586239392,1.404634002573333
6,6.94,7.435,6.39,7.26,303036,,,,,6.4128603000691395,8.336580141072547,1.3978744309609523
7,7.59,7.96,6.81,7.08,453049,,,,,6.324181653548953,8.187626013105548,1.3801691144637414
8,6.95,7.18,6.42,6.46,990976,7.87,,,,6.282261760695074,7.962483428257588,1.3358713205734742
9,6.1,6.57,5.52,5.61,368194,7.53,,,,5.52225210409098,8.003070172225813,1.3154519405325118
10,6.13,6.3612,5.01,6.16,302018,7.21,,,,4.864673953061527,7.171746574741469,1.3180053733516182
11,5.45,6.0,5.32,5.39,1205340,6.87,,,,5.000666863207599,6.627613147268551,1.2838621323979313
12,5.52,5.63,4.51,5.1,608119,6.5,,,,4.497099838115732,6.399236374791673,1.2721576943695079
13,4.85,5.25,4.3,4.6,509085,6.15,,,,4.117529747582199,6.03917888870785,1.2491464304859716
14,4.63,4.9988,4.34,4.7,693334,5.82,,,,4.26067798965297,5.642494249531578,1.2069788283084024
15,4.85,5.13,4.12,4.38,553904,5.5,,,,4.12442509723746,5.264472434033142,1.1929089120006593
16,4.37,5.41,4.17,5.19,406239,5.29,,,,4.083141811458557,5.4106431578732055,1.1962725611434692
17,5.34,6.18,4.98,6.14,347433,5.25,,,,3.8923245449565793,6.17142725015021,1.1965388067760785
18,6.15,6.68,5.99,6.2,633636,5.32,,,,4.043654037965839,6.793742140275838,1.1603574634349298
19,6.22,6.623,6.07,6.39,521423,5.34,6.53,,,5.0117103921203014,6.795412663964561,1.1169747874752922
20,6.17,6.5,5.96,6.34,326618,5.45,6.42,,,5.944118018932835,6.702194021562609,1.0757623026556284
21,6.39,6.59,6.26,6.52,818222,5.61,6.29,,,5.929722564245138,6.641029493786648,1.022493566751655
22,6.36,6.36,5.24,5.81,1536263,5.74,6.16,,,5.243364933428429,6.610825816771957,1.040886883412251
