,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,9.41,9.94,9.2814,9.5,11642,,,,,,,0.6585999999999999
1,9.31,9.43,9.14,9.15,8207,,,,,,,0.6372714285714284
2,8.99,9.1506,8.12,8.16,13572,,,,,,,0.6653663265306122
3,8.5,8.6399,8.0,8.03,23717,,,,,,,0.6635473032069972
4,8.33,8.55,7.8,7.86,29553,,,,,,,0.6697224958350688
5,8.07,8.24,8.0,8.18,22871,,,,,,,0.6490280318468497
6,8.15,8.32,7.99,8.07,22324,,,,,,,0.6262403152863604
7,7.86,8.31,7.86,8.07,18700,,,,,,,0.6136517213373347
8,7.59,7.93,7.59,7.74,19357,8.31,,,,,,0.6041051698132395
9,8.0,8.2692,7.7,8.13,13230,8.15,,,,,,0.601611943398008
10,7.75,8.19,7.7,7.86,22680,8.01,,,,,,0.5936396617267217
11,7.7,7.85,7.26,7.26,27571,7.91,,,,,,0.5940939716033845
12,7.6,7.71,7.29,7.45,20898,7.85,,,,,,0.5838015450602856
13,7.46,7.99,7.0,7.12,35154,7.76,,,,,,0.6128157204131224
14,7.01,7.33,6.78,6.92,77241,7.62,,,,,,0.6083288832407565
15,6.75,7.22,6.1001,6.11,23039,7.41,,,,,,0.6448696772949881
16,6.07,7.19,5.46,7.19,169954,7.31,,,,,,0.7223789860596318
17,7.15,7.15,5.5,5.75,34759,7.09,,,,,,0.7914947727696582
18,7.43,7.68,6.4,6.63,14352,6.92,,,,,,0.8728165747146825
19,6.68,7.39,6.56,7.39,12562,6.87,7.63,,,5.3207472702982805,9.64046120666083,0.8697582479493481
20,7.69,7.69,7.36,7.4,13211,6.88,7.52,,,5.430164552833303,9.273136624740571,0.8312040873815375
21,7.67,9.15,7.27,8.93,59985,7.05,7.51,,,5.5563511040687406,9.197572234153812,0.9061180811399991
22,8.76,8.76,7.81,8.08,14758,7.16,7.51,,,5.5726079650675455,9.109802210211322,0.9213953610585707
23,8.0,8.39,8.0,8.29,19060,7.31,7.52,,,5.5726079650675455,9.07176807625134,0.8834385495543872
24,8.26,8.3,7.75,7.81,7430,7.5,7.52,,,5.574094264368824,9.036882060511342,0.8596215103005025
25,7.9,8.0,7.15,7.2,21878,7.5,7.47,,,5.580273607940754,9.016785676350372,0.8589342595647523
26,7.2915,7.67,7.2915,7.62,11944,7.71,7.45,,,5.596771134767073,8.975307516160036,0.8311532410244129
27,7.51,7.6636,7.13,7.46,9606,7.8,7.42,,,5.604271431830621,8.930864469682659,0.8098994380940977
28,7.43,8.02,7.17,8.02,13770,7.87,7.43,,,5.603860044005008,8.937098573477295,0.8127637639445193
29,7.95,8.07,7.46,7.62,43004,7.89,7.41,,,5.611492833567075,8.9154052685452,0.7982806379484823
30,7.9,8.1,7.785,7.91,7531,7.78,7.41,,,5.606659772762256,8.905877234471854,0.7755463066664477
31,8.01,8.25,7.9723,8.18,6707,7.79,7.45,,,5.583087625324679,8.939861776788817,0.7444358561902729
32,7.96,8.08,7.9,8.04,12112,7.76,7.48,,,5.569286025714199,8.958329988024087,0.7112618664623962
33,8.16,8.54,7.5338,8.22,52646,7.81,7.54,,,5.584135323984261,9.023251314375292,0.7323288760007964
34,8.01,8.16,7.72,8.16,49977,7.91,7.6,,,5.617355499163767,9.030926683558162,0.715733956286454
35,7.94,7.94,7.69,7.9,70408,7.95,7.69,,,5.7655499849510266,9.006157048300395,0.6981815308374216
36,8.18,8.3572,8.0301,8.08,21981,8.01,7.73,,,6.117391252263937,8.996804654116874,0.6809685643490344
37,8.3,8.5131,7.93,7.95,64140,8.01,7.84,,,6.5775670142707,8.977215288822165,0.6739779526098176
38,7.7,8.39,7.7,8.26,78132,8.08,7.93,,,6.798314315234691,8.991302730242753,0.6751223845662593
39,8.18,8.44,7.92,8.43,3759,8.14,7.98,,,7.0137710911380085,8.963563215295643,0.6640422142400979
40,8.13,8.56,7.9829,8.27,66184,8.15,8.02,,,7.039133065533106,8.976469501962063,0.657832056080091
41,8.29,8.54,8.0,8.45,16257,8.19,8.0,,,7.086381193553179,8.828945133880305,0.6494154806457987
42,8.55,8.57,8.15,8.15,30680,8.18,8.0,,,7.071893634464584,8.789445675075127,0.6330286605996702
43,8.47,8.4999,8.04,8.46,32067,8.22,8.01,,,7.069892179913672,8.803707198043275,0.6206623276996939
44,8.25,9.79,8.25,9.13,25804,8.35,8.08,,,7.051923325012394,9.208480962140314,0.6863293042925729
45,8.88,8.88,8.61,8.79,9732,8.43,8.15,,,7.080280648811955,9.274889390905567,0.6744486397002464
46,8.58,8.58,8.15,8.448,9194,8.49,8.2,,,7.151873572407332,9.267087815898655,0.6719880225788001
47,8.1,8.3,8.0,8.3,53494,8.49,8.24,,,7.282094765305022,9.229729657623851,0.6559888781088858
48,8.69,8.788,8.1,8.27,26062,8.47,8.25,,,7.4278563854455575,9.25915228901235,0.658275386815394
49,8.58,8.58,8.05,8.05,19648,8.45,8.27,7.93,,7.509312752727628,9.26332370950254,0.6491128591857229
50,8.25,8.52,8.0,8.28,49704,8.43,8.29,7.9,,7.5287401244899925,9.261796523618736,0.6398905121010284
51,8.49,8.93,8.18,8.86,33280,8.51,8.32,7.9,,7.5311224103996715,9.307023069450471,0.6477554755223836
52,8.55,9.45,8.55,9.43,47824,8.62,8.39,7.92,,7.5050411402684825,9.442074861028269,0.6657729415564989
53,9.49,9.49,8.57,8.95,26213,8.6,8.43,7.94,,7.558244761528408,9.575863103364876,0.6839320171596062
54,8.71,9.37,8.39,8.49,19188,8.56,8.45,7.96,,7.603447914097021,9.655940771647563,0.7050797302196341
55,8.38,8.635,8.27,8.49,54974,8.57,8.48,7.96,,7.669410005238321,9.616371433477294,0.6807883209182317
56,8.67,9.3,8.37,8.97,39890,8.64,8.52,7.98,,7.679231272799767,9.674067470672806,0.6985891551383581
57,9.4,10.0,8.84,8.91,33999,8.71,8.57,8.0,,7.650262166927023,9.88644467551354,0.7315470726284754
58,8.77,8.98,8.65,8.77,28593,8.79,8.59,8.02,,7.717876650705983,9.889617531465136,0.7028651388692986
59,8.91,9.24,8.86,9.05,24866,8.88,8.63,8.04,,7.724698348687687,9.913992398873793,0.6862319146643487
60,8.97,9.22,8.95,9.0,8276,8.9,8.66,8.06,,7.724992577642009,9.935879257917973,0.6565010636168953
61,9.005,9.15,8.75,8.91,6222,8.84,8.69,8.09,,7.7606607739666105,9.945473456033442,0.6381795590728314
62,9.35,9.35,9.07,9.09,11223,8.85,8.73,8.12,,7.747414527038324,9.971493145004892,0.6240238762819148
63,9.4,9.4,9.15,9.35,14700,8.95,8.78,8.17,,7.758397368425824,9.990305240811004,0.6015935994046352
64,9.45,9.82,9.44,9.59,34034,9.07,8.8,8.22,,7.713060383440377,9.99679071466905,0.5921940565900184
65,9.51,9.82,9.5,9.7,8617,9.15,8.85,8.29,,7.6549138106258585,10.092586257480487,0.5727516239764457
66,9.53,9.64,9.36,9.36,13367,9.2,8.89,8.34,,7.679996448389676,10.130697049409283,0.5561265079781281
67,9.49,9.59,9.25,9.49,18120,9.28,8.95,8.41,,7.75852621297648,10.10758097123551,0.5406889002654046
68,9.65,10.32,9.43,9.84,26048,9.37,9.03,8.48,,7.820135290192575,10.27556010900128,0.5656396931035901
69,9.6,10.33,9.5,9.88,1060866,9.47,9.12,8.53,,7.906306956202003,10.390621117789742,0.5845225721676194
70,10.24,10.24,9.87,9.94,68274,9.58,9.2,8.58,,7.985684282887745,10.441865663164085,0.5691995312985038
71,10.0,10.3389,9.96,10.01,82660,9.68,9.26,8.6,,8.044759902468101,10.539237269607385,0.5570352790628964
