,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,4.03,4.035,3.82,4.0,47358,,,,,,,0.2150000000000003
1,3.89,3.98,3.78,3.85,7551,,,,,,,0.21535714285714316
2,3.84,3.89,3.75,3.75,11468,,,,,3.748214487490491,4.041533970853326,0.20997448979591868
3,3.79,3.8589,3.54,3.54,22727,,,,,3.55923303169378,3.9725253307044888,0.2177548833819245
4,3.5,3.65,3.01,3.02,126950,,,,,3.0519761079745718,3.930149245517762,0.24791524885464422
5,3.01,3.132,2.42,3.01,140339,,,,,2.4297322068867424,3.9212096403259373,0.28106415965074105
6,3.09,3.2,2.895,3.19,143732,,,,,2.4622301165393323,3.608831705146269,0.282773862532831
7,3.06,3.295,3.06,3.29,85783,,,,,2.4593891721935486,3.2908718510844874,0.27936144378048594
8,3.35,3.82,3.35,3.82,11077,3.5,,,,2.871322720939124,3.7722619684237273,0.29726419779616553
9,3.6,3.885,3.5,3.67,23681,3.46,,,,3.0796520124025655,3.9901760688999457,0.30353104081072513
10,3.59,3.65,3.41,3.41,25034,3.41,,,,3.344501655647294,3.9063466109951177,0.3004216807528162
11,3.28,3.44,3.18,3.2,51922,3.35,,,,3.19830808274018,3.880950343764553,0.29753441784190077
12,3.28,3.43,3.08,3.17,53324,3.31,,,,3.054119464713374,3.63089763435723,0.30128195942462216
13,3.1,3.202,2.83,2.85,70452,3.29,,,,2.849722436226801,3.491948835164786,0.3063332480371492
14,3.04,3.04,2.55,2.6,80976,3.24,,,,2.554858528328744,3.419928558408418,0.3194523017487814
15,2.4,2.99,2.31,2.86,49280,3.21,,,,2.303077049387426,3.1881545106115685,0.3452057087667256
16,2.95,2.95,2.53,2.61,91556,3.13,,,,2.3301667709637486,3.0384258308615717,0.350548158140531
17,2.5,2.68,2.43,2.545,45872,2.99,,,,2.3131819223876153,3.041955198265893,0.3433661468447788
18,2.5,2.57,1.38,1.78,137488,2.78,,,,1.476282838212788,2.9288667916808357,0.4038399934987231
19,1.81,2.23,1.79,2.11,210384,2.64,3.11,,,1.3374849083516884,2.7279251774655093,0.40713713682024294
20,2.15,2.32,1.82,2.29,116392,2.53,3.03,,,1.4175014124334395,2.54949613682299,0.4137701984759399
21,2.29,2.29,2.25,2.28,27542,2.44,2.95,,,1.6959749580405679,2.3258257569495813,0.38707232715622986
22,2.45,2.49,2.12,2.39,63916,2.38,2.88,,,1.8428036679063617,2.474524597915765,0.38585287521649914
23,2.6,2.985,2.6,2.85,50604,2.41,2.85,,,2.0750727175817967,2.9461158557311364,0.40079195555817776
24,2.86,3.1683,2.792,2.885,58816,2.42,2.84,,,2.1578670775554585,3.231983356687091,0.3990425301611651
25,2.815,3.96,2.75,3.53,108368,2.52,2.87,,,2.6130643769524404,3.889271911627791,0.45696806372108184
26,3.57,3.94,3.35,3.35,135884,2.61,2.87,,,2.6290552284331055,4.140858812602429,0.46647034488386174
27,3.46,3.55,3.18,3.18,66976,2.76,2.87,,,2.7840869375041626,4.04782317930114,0.4595796059635859
28,3.13,3.49,2.89,2.89,109102,2.85,2.82,,,2.9074059330077424,3.9043358344574095,0.46960963410904405
