,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,6.29,6.5,6.2,6.2,23865,,,,,,,0.2999999999999998
1,6.2,6.2,6.05,6.07,247639,,,,,,,0.28928571428571415
2,6.05,6.48,6.05,6.34,49936,,,,,,,0.29933673469387745
3,6.11,6.26,6.0,6.13,127838,,,,,,,0.3022412536443148
4,6.22,6.36,6.05,6.09,37582,,,,,,,0.3027954498125781
5,6.05,6.21,6.04,6.1,24894,,,,,,,0.2933100605402511
6,5.83,5.83,5.5969,5.66,139000,,,,,,,0.3082950562159475
7,5.67,5.945,5.65,5.74,79242,,,,,,,0.30734540934337984
8,5.65,5.65,5.0,5.0,243038,5.93,,,,,,0.3382493086759956
9,5.45,5.525,5.05,5.45,44706,5.84,,,,,,0.3515886437705674
10,5.19,5.1938,3.95,3.95,230190,5.61,,,,,,0.43361802635838403
11,4.0,4.75,4.0,4.36,99658,5.39,,,,,,0.45978816733278516
12,4.37,4.42,3.66,3.76,102864,5.12,,,,,,0.48123186966615766
13,3.8,4.25,3.8,4.225,120652,4.92,,,,,,0.4818581646900036
14,4.43,4.62,4.3697,4.57,104464,4.75,,,,,,0.4756540100692891
15,4.62,5.12,4.386,4.81,113578,4.65,,,,,,0.49410729506433987
16,4.85,5.07,4.82,4.93,48050,4.56,,,,,,0.4773853454168871
17,4.81,4.88,4.5,4.5,95910,4.51,,,,,,0.4740006778871094
18,4.55,5.03,4.41,4.99,41864,4.46,,,,,,0.48442920089517305
19,4.99,6.01,4.99,5.5,211834,4.63,5.22,,,3.2913017328640883,6.962611934482497,0.5226842579740892
20,5.2,5.66,5.2,5.59,17274,4.76,5.19,,,3.327841980072294,6.847176356938319,0.51820681097594
21,5.41,5.41,5.16,5.2,31172,4.92,5.14,,,3.358681087400636,6.7644411229219,0.5119063244776586
22,5.09,5.36,4.95,5.33,22048,5.05,5.09,,,3.3934600244635353,6.61395889580578,0.504627301300683
23,5.29,5.63,5.141,5.63,22160,5.16,5.07,,,3.439974250420846,6.518237970816356,0.5035110654934913
24,5.3701,6.022,5.36,5.72,12282,5.27,5.05,,,3.500924895252642,6.448336055963928,0.5148317036725277
25,5.59,5.6749,5.3,5.48,49854,5.33,5.02,,,3.574869342617471,6.356623174230521,0.5080580105530614
26,5.48,5.86,5.45,5.75,23462,5.47,5.02,,,3.5875100877296138,6.361363990826463,0.5010538669421285
27,5.59,5.73,5.32,5.41,20310,5.51,5.01,,,3.615563089421567,6.327289542950419,0.4959785907319765
28,5.5935,5.9,5.1681,5.3,44760,5.49,5.02,,,3.6133562820818446,6.363714270892212,0.5128301199654068
29,4.95,5.34,4.95,5.325,29708,5.46,5.02,,,3.6130599782155786,6.349617925259776,0.5040565399678778
30,5.3,5.3,5.08,5.15,29844,5.46,5.08,,,3.725074062031684,6.353817175887797,0.48555250139874373
31,5.27,5.29,4.64,5.01,91210,5.42,5.11,,,3.821207078039217,6.348400458288717,0.4972987512988335
32,4.85,5.06,4.85,4.9884,33018,5.35,5.17,,,4.044410778368293,6.297062668066566,0.4767774119203454
