,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,17.45,17.6,17.17,17.6,175873,,,,,,,0.4299999999999997
1,17.19,17.35,16.44,16.63,266934,,,,,,,0.4821428571428569
2,17.18,17.66,16.02,17.54,804100,,,,,,,0.5648469387755101
3,16.41,16.47,13.6,13.62,542478,,,,,,,0.805929300291545
4,15.15,15.45,14.2,15.43,805604,,,,,,,0.8790772074135774
5,15.06,15.19,14.11,14.68,625828,,,,,,,0.9105716925983219
6,13.65,14.35,12.83,12.83,638890,,,,,,,0.9776737145555846
7,13.5,13.69,12.04,12.72,634160,,,,,,,1.0256970206587572
8,12.14,12.14,9.965,10.05,548682,14.57,,,,,,1.1492186620402747
9,10.11,10.23,9.02,9.96,781226,13.72,,,,,,1.1535601861802551
10,9.61,9.65,8.05,8.075,547652,12.77,,,,,,1.207591601453094
11,8.07,8.73,7.9001,8.34,742810,11.74,,,,,,1.1806136299207304
12,8.42,8.79,8.11,8.34,1257944,11.16,,,,,,1.144855513497821
13,8.26,8.56,7.92,8.48,548386,10.39,,,,,,1.108794405390834
14,8.95,9.89,8.575,9.17,453480,9.77,,,,,,1.1303090907200604
15,9.31,10.35,9.24,9.58,448936,9.41,,,,,,1.1338584413829131
16,9.72,11.12,9.72,10.9,387868,9.21,,,,,,1.162868552712705
17,10.52,10.86,10.0,10.6,376956,9.27,,,,,,1.1440922275189402
18,10.76,11.27,10.42,10.6,439878,9.34,,,,,,1.1230856398390159
19,10.47,10.53,9.74,10.07,482924,9.56,11.76,,,5.142895859729457,18.83556679959174,1.1042938084219434
20,9.53,9.68,9.06,9.2,479056,9.66,11.34,,,5.344307096542151,18.07575736860361,1.0975585363918046
21,9.47,9.92,9.11,9.39,298094,9.78,10.98,,,5.605255606319604,17.235047520850998,1.0770186409352471
22,9.23,9.34,8.97,9.32,503658,9.87,10.57,,,5.9723569524172255,16.148122186679384,1.030088738011301
23,9.47,10.54,9.47,10.42,535626,10.01,10.41,,,6.094551843230568,15.203643371332143,1.043653828153351
24,10.86,11.18,10.26,10.37,464514,10.1,10.15,,,6.4602628502143435,14.437013512461599,1.034821411856683
25,10.51,11.22,10.51,11.07,345066,10.12,9.97,,,6.9749340656906975,13.608495424384031,1.0216198824383487
26,11.51,12.06,11.29,12.01,344370,10.27,9.93,,,7.2431018403337255,13.031900456730533,1.0193613194070381
27,11.82,11.82,11.26,11.37,366198,10.36,9.87,,,7.372914100400424,12.55080465406339,1.0001212251636782
