,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,44.63,47.74,44.52,47.69,206783,,,,,,,3.219999999999999
1,47.79,49.2,47.52,47.98,142571,,,,,,,3.109999999999999
2,47.76,49.24,47.76,49.22,133536,,,,,,,2.993571428571428
3,48.47,49.22,47.94,48.76,189362,,,,,,,2.8711734693877546
4,47.77,48.6,46.5,48.42,193296,,,,,,,2.8275182215743437
5,46.0,46.1816,43.21,43.21,296084,,,,,,,2.997695491461891
6,44.1,45.99,41.82,45.82,343100,,,,,,,3.081431527786042
7,44.93,45.09,40.66,41.28,280738,,,,,,,3.2299007043727532
8,38.98,38.98,32.15,33.67,806478,45.12,,,,,,3.651336368346128
9,35.1,37.72,33.04,37.63,810666,44.0,,,,,,3.72481234203569
10,35.0,35.63,32.16,32.28,931490,42.25,,,,,,3.849468603318855
11,32.57,36.5,31.39,35.19,804196,40.7,,,,,,3.9395065602246513
12,32.62,34.52,29.28,32.59,1242480,38.9,,,,,,4.080256091637176
13,33.5,39.58,32.31,37.28,1277620,37.66,,,,,,4.30809494223452
14,36.79,37.37,26.05,27.0,1294654,35.86,,,,,,4.808945303503483
15,27.37,27.49,22.38,24.82,2112302,33.53,,,,,,4.830449210396092
16,26.0,27.88,24.46,26.24,794380,31.86,,,,,,4.729702838224942
17,26.1,27.42,23.26,23.94,979496,30.77,,,,,,4.689009778351733
18,24.09,26.51,22.21,24.94,878218,29.36,,,,,,4.661223365612323
19,24.53,27.49,24.15,26.77,677160,28.75,36.74,,,15.743558014601401,55.715460927959185,4.566850268068586
20,27.0,27.02,24.54,26.78,1382636,27.82,35.69,,,14.831802275817743,54.94217302129665,4.417789534635116
21,26.86,27.13,24.395,25.04,672776,26.98,34.54,,,14.440789473727403,53.60968441320216,4.297590282161178
22,24.22,24.715,21.2701,21.95,1085150,25.28,33.18,,,13.969166866117153,52.13230981390673,4.259898119149666
23,21.67,24.68,21.06,22.0,722986,24.72,31.84,,,14.00145503606558,50.26617454464076,4.214191110638976
24,21.69,22.69,21.17,21.69,671750,24.37,30.51,,,14.39093509224836,48.28244425376195,4.021748888450478
25,22.61,24.24,22.06,22.79,423552,23.99,29.49,,,14.868254875560563,46.3348924750168,3.9166239678468724
26,23.91,24.86,23.1,24.26,424464,24.02,28.41,,,15.762601741271018,43.97773107760406,3.78472225585781
27,25.43,28.28,25.27,27.48,839602,24.31,27.72,,,17.274144358027673,41.32994622852854,3.8015278090108233
28,27.81,30.68,27.81,29.51,442326,24.61,27.51,,,17.532373571130982,40.11256221067673,3.758561536938622
29,29.31,29.54,27.55,28.37,378552,24.79,27.05,,,17.99088694034448,38.98743797465503,3.6322357128715774
30,29.15,29.95,27.87,28.39,324040,25.16,26.85,,,18.400176086044723,38.23721154381793,3.5213617333807505
31,27.47,28.27,25.76,26.21,366840,25.63,26.4,,,18.79861439120401,37.116935521102384,3.4576930381392685
32,26.07,26.79,25.06,26.39,1116002,26.12,26.09,,,18.966512442778836,36.27717726306578,3.3342863925578925
33,27.47,28.42,27.1,28.27,369290,26.85,25.64,,,19.845899457024245,33.69426944348238,3.2411230788037573
34,27.9,28.27,27.35,27.77,518272,27.41,25.68,,,19.770096122573158,31.179337852205137,3.075328573174917
35,27.07,28.02,26.99,27.85,316966,27.8,25.83,,,19.963259796622133,31.222978934495565,2.929233675090995
