,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,13.67,14.465,13.67,14.42,471760,,,,,,,0.7949999999999999
1,14.0,14.26,13.68,13.83,577047,,,,,,,0.7910714285714285
2,13.5,13.55,13.18,13.42,885646,,,,,,,0.7809948979591838
3,12.51,12.51,11.0,11.12,1939220,,,,,,,0.8980666909620992
4,11.45,12.2,11.42,11.74,1399488,,,,,,,0.9110619273219493
5,11.41,11.69,10.89,11.0,1081758,,,,,,,0.9067003610846673
6,10.37,10.84,9.26,10.09,2255028,,,,,,,0.966221763864334
7,10.87,11.09,9.915,10.35,1058916,,,,,,,0.9811344950168817
8,9.1,10.355,8.72,9.5,1333104,11.72,,,,,,1.0278391739442472
9,9.76,10.935,9.3,10.72,1359896,11.31,,,,,,1.071207804376801
10,9.94,10.42,9.33,9.82,1503564,10.86,,,,,,1.0939786754927439
11,9.5,10.35,9.13,9.13,1226774,10.39,,,,,,1.1029801986718335
12,9.31,10.13,9.3,9.37,1306246,10.19,,,,,,1.095624470195274
13,9.29,9.47,8.995,9.05,1552490,9.89,,,,,,1.0512941508956117
14,9.52,11.25,9.35,11.08,844672,9.9,,,,,,1.1333445686887822
15,11.19,11.97,10.8,11.65,673002,10.07,,,,,,1.1359628137824407
16,11.88,12.5,11.43,11.54,664562,10.21,,,,,,1.1312511842265522
17,11.1,11.16,10.06,10.1,485274,10.27,,,,,,1.1561618139246557
18,10.09,10.68,9.8,10.31,450880,10.23,,,,,,1.1364359700728945
19,10.34,11.63,10.32,11.3,731212,10.39,10.98,,,7.3990682393037925,14.281823399561281,1.1495476864962593
20,10.79,11.1965,10.43,10.64,1319536,10.56,10.79,,,7.628304435847662,13.753541764608952,1.1295799946036695
21,10.1,10.77,10.08,10.73,1139678,10.71,10.63,,,7.9645218066987695,13.169348286170736,1.0981814235605503
22,10.53,10.99,10.28,10.99,498022,10.93,10.51,,,8.354146866062411,12.706070258666847,1.070454179020511
23,11.19,11.76,10.68,10.78,859352,10.89,10.49,,,8.373839281158526,12.561631102189343,1.0711360233761889
24,11.06,11.56,10.65,10.7,640114,10.79,10.44,,,8.448704326284572,12.453026361423664,1.0596263074207468
25,10.8299,11.17,10.58,11.02,595332,10.73,10.44,,,8.469036491747218,12.395300748000158,1.0260815711764077
26,11.14,11.4229,10.28,10.4,394634,10.76,10.46,,,8.546312662360341,12.433773551918765,1.0344257446638072
27,10.42,10.4548,9.925,10.32,535518,10.76,10.46,,,8.546889108654497,12.426011544113791,0.9983810486163924
28,10.54,10.94,10.08,10.25,534774,10.65,10.5,,,8.742338135033062,12.422217769423924,0.9884966880009358
29,9.8,10.75,9.429,10.72,781860,10.66,10.5,,,8.763071321830946,12.418326714895066,1.0122469245722976
30,10.81,10.81,10.29,10.68,320882,10.65,10.54,,,8.852763968831088,12.412577261715876,0.9770864299599907
31,10.82,10.9557,10.03,10.0727,827748,10.55,10.59,,,8.982597195825537,12.403940934055868,0.9734159706771344
32,9.94,10.3,9.71,9.92,614904,10.45,10.61,,,9.052243887541035,12.38879938254794,0.9460291156287677
33,9.65,10.14,9.61,9.62,1129752,10.33,10.64,,,9.190201576844402,12.273019121405287,0.916312750226713
34,9.8,10.08,9.68,9.9,554914,10.21,10.58,,,9.255378566061225,12.30227464499521,0.8837189823533764
35,10.05,10.05,9.55,9.76,405942,10.14,10.49,,,9.19261594798292,12.207575943754655,0.8563104836138495
36,9.82,9.96,9.34,9.6,778254,10.06,10.39,,,9.23458219849282,11.930445988797631,0.8394311633557175
37,9.56,9.645,9.14,9.34,847472,9.96,10.35,,,9.09384998618958,11.965552307200335,0.8155432231160235
38,9.41,9.99,9.41,9.88,1127286,9.86,10.33,,,9.040387508603816,11.979723706495525,0.8037187071791647
39,10.13,10.46,10.02,10.32,1012769,9.82,10.28,,,9.039198511965525,11.851236553916031,0.7877387995235102
40,10.19,10.37,9.87,10.29,804658,9.85,10.26,,,9.037747428551159,11.790050811072122,0.7671860281289737
41,10.06,10.1299,9.35,9.38,732332,9.79,10.2,,,8.967758107934575,11.776807823455611,0.7795298832626184
42,9.33,9.93,9.21,9.84,638341,9.81,10.14,,,8.884743398663186,11.744509449735961,0.7752777487438599
43,10.09,10.44,9.77,10.01,664738,9.82,10.1,,,8.924314300103383,11.533386359455823,0.7677579095478699
44,9.93,10.52,9.58,10.17,560658,9.87,10.07,,,8.965200607548047,11.351388102967197,0.7800609160087363
45,9.98,10.7,9.77,10.42,972332,9.96,10.04,,,9.03125891701126,11.270418432627185,0.7907708505795408
46,10.53,11.0836,10.4,10.71,927926,10.11,10.06,,,9.01376782757042,11.179594286240457,0.7831157898238593
47,10.68,11.415,10.43,11.41,656446,10.28,10.11,,,8.97230640748867,11.351664658759889,0.7975360905507265
48,11.33,11.99,11.05,11.2,1133660,10.38,10.16,,,8.82850472930507,11.620659870172005,0.8077120840828174
49,11.46,11.46,10.29,10.45,563790,10.4,10.15,10.58,,8.860962437945163,11.73278070837011,0.8335897923626163
50,10.28,11.25,10.05,11.21,802666,10.6,10.18,10.52,,8.867537707061556,11.792248889326459,0.8597619500510009
51,11.21,11.79,10.89,10.93,750474,10.72,10.22,10.46,,8.797512499141494,11.942929908314671,0.8626360964759293
52,11.32,11.79,11.18,11.69,567986,10.91,10.31,10.42,,8.720281461569412,12.111779886562571,0.8624478038705058
53,11.69,11.72,11.2,11.35,593194,11.04,10.39,10.43,,8.684638783571886,12.242725521092941,0.837987246451184
54,11.52,11.86,10.8,11.0,815886,11.11,10.45,10.41,,8.704976780383976,12.377574477725117,0.8538453002760994
55,10.96,12.13,10.91,12.03,1356736,11.25,10.56,10.43,,8.745672390984435,12.539900361106216,0.8799992073992352
56,12.01,12.13,11.46,11.78,1016442,11.29,10.67,10.47,,8.78445503588525,12.665094907823788,0.8649992640135755
57,12.14,12.27,11.41,11.42,780746,11.32,10.77,10.49,,8.904788557393902,12.745100373298534,0.8646421737268916
58,11.5,11.65,10.825,11.07,1294896,11.39,10.83,10.52,,9.032285643121915,12.738278188758727,0.8618105898892566
59,11.05,11.25,10.62,10.74,908758,11.33,10.86,10.52,,9.073065897101138,12.730027170350068,0.8452526906114527
60,10.79,11.03,10.31,10.43,695916,11.28,10.86,10.53,,9.120416644545301,12.702699526929225,0.8363060698534918
61,10.43,11.0597,10.43,10.75,354390,11.17,10.93,10.57,,9.281387511793193,12.6371523815706,0.8215484934353853
