,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,20.6,20.7899,19.85,19.88,16734,,,,,,,0.939899999999998
1,20.0,20.0,19.31,20.0,52034,,,,,,,0.9220499999999983
2,20.0,20.0,18.8588,19.74,6828,,,,,18.793711237704972,20.764953875396177,0.9377035714285699
3,19.69,19.88,19.25,19.4,7418,,,,,18.870074229803535,20.03621023553304,0.9157247448979576
4,19.28,19.45,18.09,18.57,10943,,,,,18.083763868452763,20.09478037799225,0.9474586916909606
5,18.2,18.5,17.63,17.63,8183,,,,,17.405025469197714,20.053420381387966,0.9469259279987492
6,17.84,17.91,15.47,15.75,20134,,,,,15.524538566857531,19.47467947208296,1.0535740759988386
7,15.66,16.87,15.2125,16.03,31104,,,,,14.643731963972531,18.66781661143648,1.0967116419989216
8,16.7,17.36,15.5,16.21,35072,18.13,,,,15.220321129383409,17.952317219730464,1.1512322389989986
9,14.6,15.15,12.08,14.02,379620,17.48,,,,12.17746867202698,17.736711008803486,1.3640013647847846
10,15.0,16.44,13.3,13.61,464356,16.77,,,,11.72009872050443,17.537831820662365,1.4908584101573
11,12.56,13.82,11.9,12.24,68616,15.94,,,,11.588835339170927,16.57772264522314,1.5215113808603498
12,12.25,12.99,10.825,11.1,542871,15.02,,,,10.643176901515622,16.397471132870578,1.567474853656039
13,11.08,11.61,10.26,10.37,75264,14.11,,,,10.078577199105172,14.034649701294338,1.5519409355377505
14,10.45,11.27,10.31,11.21,39005,13.39,,,,10.120953128193396,12.958653359858445,1.5096594401421968
15,11.02,12.44,10.087,12.41,76302,13.02,,,,10.090281197954972,12.435377390276221,1.5698980515606111
16,14.32,14.32,10.64,11.99,158658,12.57,,,,10.039624735988463,14.369249407135618,1.720619619306282
17,12.1,13.64,11.92,12.89,29488,12.2,,,,9.848089762730524,14.513768062584647,1.7205753607844048
18,13.0,13.0,11.86,12.26,30207,12.01,,,,10.678791117127513,14.379444435943242,1.6791056921569474
19,12.54,12.54,12.21,12.37,51832,11.87,14.88,,,11.790777537926791,13.667694001945103,1.5827409998600224
20,12.27,12.27,11.34,11.41,20101,11.78,14.46,,,11.32179794176459,13.009341132930086,1.5432594998700209
21,11.62,12.299,11.28,11.58,13179,11.83,14.04,,,11.037471398094446,12.532712989328049,1.505812392736448
22,11.66,12.1,11.08,11.67,136712,11.98,13.64,,,11.08358242905141,12.341253837147335,1.4711115075409873
23,11.27,11.5,10.25,10.25,65216,11.87,13.18,,,10.269214680605529,12.423859729657527,1.467460685573774
24,10.33,10.77,9.57,10.0,73132,11.6,12.75,,,9.468135227335653,12.189330527747181,1.4483563508899329
25,9.97,10.3435,9.45,9.8,31344,11.36,12.36,,,9.282091769170782,11.514501253668962,1.408723754397795
26,10.45,10.45,9.9,9.95,240416,11.03,12.07,,,9.383674035650122,10.76534209711252,1.3545292005122382
27,10.19,10.93,10.03,10.44,104352,10.83,11.79,,,9.458540362479361,10.918187514320907,1.3277771147613642
28,10.84,11.0,10.25,10.71,280568,10.65,11.51,,,9.865390133857762,11.122660425042193,1.2865073208498383
29,11.27,12.24,11.27,12.16,95852,10.73,11.42,,,9.788891060223829,12.200648505827326,1.3038996550748498
30,12.36,12.36,11.6256,11.99,28117,10.77,11.34,,,10.263088307546523,12.694911397005113,1.263221108283789
31,12.55,12.73,12.05,12.12,24677,10.82,11.33,,,11.218977413186437,12.724282320399315,1.2258481719778043
32,12.0,12.0,11.33,11.72,108124,10.99,11.36,,,11.270426854444525,12.764845890214685,1.1947161596936753
33,11.7,11.71,10.34,10.93,95030,11.09,11.39,,,10.295600190597272,12.724803616993666,1.2079507197155557
34,11.31,11.68,11.06,11.33,85416,11.26,11.4,,,10.347062170395429,11.991069170080095,1.1752399540215874
35,11.39,11.65,11.12,11.23,42933,11.4,11.34,,,10.362544242887463,11.713000000001145,1.1291513858771884
36,10.91,11.12,10.5,10.67,106698,11.43,11.27,,,10.517182654305312,11.82984788329251,1.1006405726002466
37,10.8,11.03,10.53,10.69,48368,11.43,11.16,,,10.332085942587522,11.635180348004841,1.0577376745573719
38,10.76,11.27,10.59,10.97,47446,11.29,11.1,,,10.489591667356438,11.273367912183108,1.0307564120889883
39,11.03,11.1,10.62,10.62,74574,11.14,11.01,,,10.529591667356431,11.26909906293184,0.9914166683683464
40,10.91,11.75,10.91,11.74,154644,11.1,11.03,,,10.51226416325367,11.744138313522935,1.0013154777706075
41,12.25,12.71,11.8,12.39,46128,11.17,11.07,,,10.433611797855765,12.74428806469369,0.9990786579298498
42,13.18,14.81,12.99,14.49,71384,11.57,11.21,,,10.752040505941121,14.811491214035103,1.1005730395062892
43,14.65,14.89,13.4,14.56,111352,11.93,11.43,,,11.815808007035763,15.49646125899794,1.1283892509701259
44,14.47,14.47,13.0606,13.63,24881,12.2,11.61,,,12.909086323075764,14.968644020694018,1.154890018757974
45,13.61,14.12,13.0,13.78,34022,12.54,11.81,,,12.91638840183941,14.917416265474412,1.1523978745609758
46,14.07,14.35,13.06,13.42,24474,12.84,11.98,,,13.001902934839299,14.508976716388771,1.1622265978066204
47,13.6,14.0,12.9,13.15,32815,13.09,12.12,,,12.897754725211902,14.352310049722107,1.1577818408204332
48,13.25,13.5,12.79,12.91,17407,13.34,12.22,,,12.767320313067877,14.41992020599251,1.1257974236189738
49,13.25,14.35,13.25,13.85,37950,13.58,12.31,13.04,,12.71577093271193,14.41992020599251,1.1482404647890472
50,13.75,14.33,12.6544,13.16,31085,13.66,12.37,12.9,,12.554738679133164,14.593585044767975,1.185909003018401
51,13.15,13.15,11.9,11.98,20168,13.38,12.36,12.74,,11.857256341198624,14.699164884231665,1.1912012170885153
52,11.84,12.12,11.0,11.68,63554,13.06,12.36,12.58,,10.940372813908763,14.416432899916819,1.186115415867907
53,11.5,11.97,11.02,11.69,118002,12.85,12.4,12.43,,10.741333726415318,13.119935295779925,1.1692500290201995
54,11.86,12.46,11.36,11.75,16692,12.62,12.42,12.29,,10.90411480005299,12.459504174178948,1.1643035983758998
55,12.45,13.25,12.105,13.08,53590,12.58,12.51,12.2,,10.884549551560568,13.270416075268601,1.1882819127776214
56,13.02,13.15,11.87,12.59,27007,12.52,12.61,12.14,,11.359381566022055,13.4265038452351,1.194833204722077
57,12.98,13.41,12.6001,13.08,31400,12.54,12.73,12.08,,11.781739031492126,13.414263647534813,1.1680594043847858
58,13.0,13.29,12.86,13.26,37687,12.47,12.84,12.02,,11.878766547969152,13.426474289503755,1.1153408755001584
59,13.3,13.395,12.6745,12.85,24232,12.44,12.95,11.99,,12.564299233909141,13.43692183256877,1.0871379558215757
60,13.29,13.985,12.5,12.655,168136,12.51,13.0,11.98,,12.480135858878453,13.968775369963968,1.1155566732628919
61,13.49,14.84,12.99,14.5,53947,12.83,13.1,12.02,,12.448306080777922,14.872525790338141,1.1919454823155426
62,14.85,14.85,13.74,13.74,25746,13.06,13.07,12.07,,12.38968753064196,15.104534379957547,1.186092233578718
63,13.85,14.44,12.9685,13.86,61270,13.29,13.03,12.14,,12.74954750607036,14.96726834239769,1.2064785026088096
64,14.06,14.06,13.1201,13.27,30026,13.31,13.01,12.18,,12.826572433340745,14.884604417833105,1.1874371809938946
65,13.38,13.94,12.805,12.99,41340,13.36,12.97,12.2,,12.791187142047647,14.43379265527339,1.1836916680657592
66,13.31,14.92,13.31,14.56,75294,13.52,13.03,12.25,,12.797785788784273,14.894660997705145,1.2369994060610623
67,14.53,15.67,14.53,14.77,33711,13.69,13.11,12.29,,12.572794977688995,15.797632203359587,1.2300708770567008
68,15.75,16.58,15.01,16.31,92880,14.07,13.28,12.37,,13.319257955920722,16.63774589521849,1.271494385838365
69,16.83,16.83,14.57,15.27,121932,14.36,13.35,12.42,,14.41036689612034,17.031540765702307,1.342101929707053
70,15.04,15.88,14.764,15.74,159810,14.5,13.48,12.51,,14.538770654148598,16.971687179098826,1.3259517918708352
71,15.53,15.93,14.98,15.53,97312,14.7,13.66,12.59,,14.54572514790276,16.80143054751937,1.2990980924514899
72,14.71,15.34,13.945,14.0,61967,14.72,13.77,12.64,,13.962409066002541,16.07654210808131,1.3195196572763834
73,14.57,14.66,14.21,14.405,6234,14.84,13.91,12.72,,13.786927733652988,16.009084401199203,1.2724111103280704
74,14.26,16.4214,14.23,15.56,64901,15.13,14.1,12.83,,13.953338809609683,16.450919121294863,1.3380531738760653
75,16.27,17.06,15.91,16.36,157970,15.33,14.26,12.96,,13.709982815872575,17.414436719759838,1.349620804313489
76,16.58,16.83,15.9,16.2,86820,15.49,14.45,13.09,,14.282884577452297,17.12624593887542,1.3196478897196682
77,16.39,17.14,16.21,16.61,50395,15.52,14.62,13.21,,15.812887582828143,17.18702824633391,1.2925301833111205
78,16.85,16.88,15.69,15.8,108762,15.58,14.75,13.31,,15.645575912345976,17.133076486748188,1.2852065987888976
79,16.0,16.48,15.64,16.39,50662,15.65,14.93,13.4,,15.499454435699358,17.19904542410064,1.2534061274468336
80,16.68,17.14,16.58,16.94,78213,15.81,15.14,13.5,,15.38824661582423,17.19904542410064,1.217448546914917
81,16.71,16.84,15.37,16.18,81114,16.05,15.22,13.58,,15.164652910440795,17.18349965612096,1.2426307935638516
82,16.13,16.585,16.13,16.4,60399,16.27,15.36,13.67,,15.353925755666529,17.160584276428054,1.1863714511664338
83,16.18,16.18,15.37,15.92,145023,16.31,15.46,13.77,,15.140668508290847,16.90111166329422,1.1752020617974028
