,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,8.26,8.45,7.89,7.9,146636,,,,,,,0.5599999999999996
1,8.18,8.18,7.71,7.8,121590,,,,,,,0.5535714285714283
2,8.96,9.18,8.24,8.49,427281,,,,,,,0.6126020408163262
3,8.16,8.2894,7.1,7.24,399168,,,,,,,0.6681304664723029
4,7.0,7.03,6.323,6.42,379352,,,,,,,0.6859068617242813
5,6.75,7.005,6.36,6.88,235238,,,,,,,0.6829849430296897
6,6.61,6.62,6.16,6.32,419454,,,,,,,0.6856288756704261
7,5.94,6.128,5.21,5.35,413524,,,,,,,0.7159410988368242
8,5.81,6.38,5.51,6.34,312400,6.97,,,,,,0.7383738774913369
9,5.6,5.75,5.22,5.32,420188,6.68,,,,,,0.7656328862419557
10,5.59,5.88,5.23,5.86,557020,6.47,,,,,,0.7573733943675303
11,5.5,6.4,5.155,5.4,460650,6.13,,,,,,0.792203866198421
12,5.5,6.42,5.24,6.25,498200,6.02,,,,,,0.8199035900413909
13,6.26,6.31,5.17,5.32,1072584,5.89,,,,,,0.8427676193241487
14,5.31,5.34,4.88,4.97,393560,5.68,,,,,,0.8154270750867094
15,4.95,5.14,4.25,4.48,1130532,5.48,,,,,,0.8207537125805159
16,4.93,4.97,4.17,4.34,1045608,5.36,,,,,,0.8192713045390505
17,4.4,4.51,4.2,4.45,759054,5.15,,,,,,0.7828947827862612
18,4.45,4.48,3.98,4.13,1304058,5.02,,,,,,0.7626880125872426
19,4.2,4.2,3.62,3.77,800726,4.79,5.85,,,2.898911036562604,9.12488920596392,0.749638868831011
20,4.05,4.4542,3.92,4.18,1070460,4.65,5.67,,,2.8357547846958386,8.858349409761871,0.7449646639145103
21,4.02,4.57,3.8555,4.42,844094,4.45,5.5,,,2.8065544390768364,8.583649717042379,0.7427886164920453
22,4.25,4.36,3.9,4.12,414428,4.32,5.28,,,3.0048548789149025,7.951971913831633,0.7268751438854707
23,4.04,4.17,3.88,3.94,249590,4.2,5.11,,,3.061877529764629,7.491149046859157,0.6956697764650799
24,4.13,4.5,4.1015,4.43,454922,4.2,5.01,,,3.0772830383764425,7.276184296055186,0.6859790781461457
25,4.55,4.675,4.21,4.28,406734,4.19,4.88,,,3.158713624686775,7.020382122223573,0.6701948582785638
26,4.14,4.47,4.14,4.25,684698,4.17,4.78,,,3.2507883592450737,6.824136548253237,0.6458952255443807
27,4.38,4.74,4.26,4.39,1015676,4.2,4.73,,,3.247021363970747,6.698936340610243,0.6347598522912107
28,4.16,4.52,4.14,4.34,571182,4.26,4.63,,,3.282936238010828,6.502984845246974,0.6165627199846957
29,4.42,4.8,4.13,4.16,355030,4.26,4.57,,,3.299190431228368,6.414425293416814,0.6203796685572174
30,3.98,4.0,3.76,3.96,540618,4.21,4.48,,,3.29141325040946,6.3091900311749995,0.6046382636602733
31,3.89,3.91,3.5,3.79,905340,4.17,4.4,,,3.253709483360379,6.046609539441195,0.5943069591131109
32,3.99,4.45,3.95,4.16,491714,4.2,4.29,,,3.339138899910204,5.683601118823244,0.5989993191764602
33,4.0,4.24,3.89,3.91,536710,4.14,4.22,,,3.4609435657134577,5.235387981905044,0.5812136535209989
34,3.93,4.21,3.8,4.11,720736,4.12,4.18,,,3.556778582709909,5.078624293319508,0.5689841068409275
35,4.2,4.25,3.88,3.91,394946,4.08,4.15,,,3.555329591295435,4.95223046661225,0.5547709563522899
36,3.89,4.39,3.88,4.15,902380,4.05,4.14,,,3.551093498650581,4.8564802813585235,0.5515730308985549
37,4.23,4.43,3.98,4.3,851496,4.05,4.14,,,3.557385771146566,4.849660270902801,0.544317814405801
38,4.45,4.655,4.3,4.46,921916,4.08,4.15,,,3.5406768732192093,4.872035926275031,0.5307951133768152
39,4.65,4.99,4.575,4.7,1075138,4.17,4.2,,,3.53430582794684,4.96975870464453,0.5307383195641856
40,4.86,5.43,4.86,5.41,826260,4.35,4.26,,,3.4468336928355745,5.17943177157029,0.5449712967381724
41,5.5,5.69,5.0413,5.35,890742,4.48,4.31,,,3.3688626465937355,5.420143463378596,0.552380489828303
42,5.14,5.25,5.02,5.1,394268,4.61,4.36,,,3.3282225884954713,5.514294679976977,0.5364961691262814
43,5.02,5.09,4.58,4.6,379198,4.66,4.39,,,3.354878296811032,5.564156982581828,0.535317871331547
44,4.92,4.92,4.1,4.3,632168,4.71,4.38,,,3.3547662620097265,5.591318808373316,0.5556523090935793
45,4.41,4.5,4.285,4.41,242702,4.74,4.39,,,3.357660749414923,5.585070307784069,0.5313200013011808
46,4.58,4.66,4.17,4.21,411654,4.73,4.39,,,3.359529031018129,5.5908755934864995,0.5283685726368108
47,4.5,5.34,4.4612,5.27,1279168,4.82,4.43,,,3.362082665331405,5.669450332962124,0.5713422460198958
48,5.28,5.28,4.77,5.09,501174,4.86,4.47,,,3.3594196517293735,5.738647799059537,0.5669606570184748
49,5.1,5.14,4.7,4.72,459064,4.78,4.5,4.99,,3.3673126129948416,5.772252960841117,0.5578920386600122
50,4.66,4.7478,4.35,4.44,766940,4.68,4.52,4.92,,3.4295390412147153,5.748905817945617,0.54645689304144
51,4.35,4.66,3.92,4.555,479212,4.62,4.56,4.85,,3.513982309947419,5.699094352757052,0.5602814006813371
52,4.52,5.0,4.51,4.83,717068,4.65,4.59,4.78,,3.5580651749314143,5.712730371171578,0.5552613006326702
53,5.08,5.38,4.84,5.2,2715768,4.75,4.66,4.74,,3.608682298435302,5.7523975202269435,0.5548854934446223
54,5.18,5.63,5.0,5.28,928116,4.84,4.71,4.72,,3.6786678960807624,5.817713786504771,0.5602508153414351
55,5.4,5.7,5.36,5.38,652158,4.97,4.79,4.69,,3.7055549379228228,5.878262677838342,0.550232899959904
56,5.35,5.39,5.08,5.34,403330,4.98,4.85,4.67,,3.7918965383659895,5.881752387702958,0.5330734071056251
57,5.44,5.53,5.21,5.52,300644,5.03,4.91,4.67,,3.8634125684415066,5.8939430538690285,0.517853878026652
58,5.9,6.08,5.74,5.81,1112486,5.15,4.98,4.66,,3.818856571685474,6.035480540401881,0.5208643153104626
59,6.02,6.88,5.84,6.54,651586,5.38,5.07,4.69,,3.7594516048553075,6.408256659547714,0.5600882927882868
60,6.75,6.75,6.13,6.24,699038,5.57,5.11,4.69,,3.6616803094653934,6.648922956403861,0.5643677004462663
61,6.03,6.37,5.88,6.14,520604,5.72,5.15,4.71,,3.6201069935914925,6.7523841690379545,0.5590557218429616
62,6.14,6.42,6.06,6.07,429254,5.81,5.2,4.7,,3.5704362476781686,6.881026540857723,0.5448374559970358
63,6.16,6.36,6.0307,6.19,630862,5.91,5.28,4.72,,3.573875179908878,6.985685317932509,0.529441923425819
64,6.4,6.83,6.27,6.76,816940,6.07,5.4,4.76,,3.6484133622912704,7.159648472454553,0.5373389288954034
65,6.75,7.3,6.61,7.3,654206,6.29,5.54,4.81,,3.681443852128275,7.3741047783416045,0.5482432911171602
66,7.76,8.27,7.58,7.95,1425384,6.56,5.73,4.89,,3.6199989126237244,7.818654570131478,0.5783687703230773
67,8.53,8.7,7.45,8.0,2138240,6.8,5.87,4.96,,3.6137931022949834,8.32813248056257,0.6263424295857146
68,7.24,7.56,6.96,7.0,1448736,6.85,5.96,5.01,,3.666574424804978,8.494169745405603,0.6558893989010207
69,7.13,7.18,6.76,6.82,584136,6.91,6.07,5.08,,3.7690424959291504,8.572110813206042,0.6390401561223764
70,6.35,6.65,6.1506,6.51,771726,6.96,6.17,5.12,,3.9703594373101403,8.540824566584803,0.6412087163993495
71,6.84,6.8701,6.4,6.43,220890,7.0,6.27,5.16,,4.319766274632729,8.485462079434932,0.6289866652279673
72,5.86,6.96,5.85,6.64,555134,7.05,6.36,5.21,,4.536159576390909,8.44893793078784,0.6633447605688269
73,6.91,7.17,6.48,6.71,485222,7.04,6.43,5.27,,4.721600023088737,8.450826591382565,0.6652487062424821
74,6.74,6.83,6.31,6.38,435050,6.94,6.49,5.31,,4.891889606863381,8.431173775406242,0.6548737986537334
75,6.31,6.67,6.31,6.45,527168,6.77,6.54,5.35,,5.001081052692382,8.399413056195092,0.6338113844641811
76,6.57,6.57,6.19,6.35,1376468,6.59,6.59,5.39,,5.183752031304226,8.310033118732697,0.6156819998595967
