,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,23.21,23.79,23.21,23.65,95170,,,,,,,0.5799999999999983
1,23.73,24.56,23.61,24.52,55442,,,,,,,0.6064285714285699
2,24.73,24.73,23.38,23.63,41517,,,,,,,0.6595408163265293
3,24.11,25.662,23.1,23.65,48975,,,,,,,0.7954307580174913
4,23.0,23.92,23.0,23.35,70713,,,,,,,0.8043285610162421
5,23.15,23.6,22.23,22.68,94289,,,,,,,0.8447336638007963
6,21.35,21.38,20.26,20.58,239042,,,,,,,0.957252687815025
7,21.11,22.24,20.76,21.37,80876,,,,,,,1.0074489243996663
8,20.85,21.02,20.0,20.2,233436,22.63,,,,,,1.0333454297996902
9,19.09,19.99,17.4,17.59,298976,21.95,,,,,,1.1595350419568553
10,18.65,20.7,18.02,20.7,274492,21.53,,,,19.140632285889254,24.759737269855105,1.2988539675313655
11,17.65,18.78,17.1,17.36,237514,20.83,,,,18.342962459634315,24.635901954237937,1.463221541279125
12,17.77,18.83,16.64,18.79,143098,20.29,,,,17.60846561854555,24.23100645305377,1.515134288330616
13,18.26,18.375,13.79,15.71,352946,19.44,,,,16.337193897670655,23.668001448862096,1.764053267735572
14,15.18,15.66,12.94,15.45,253604,18.64,,,,15.145146303136812,22.843294543863205,1.83590660575446
15,15.56,16.47,14.48,14.86,261734,18.0,,,,14.575068049475512,22.127466817477814,1.8469132767719985
16,14.75,15.77,13.66,14.75,408238,17.27,,,,14.011086858630582,21.31226486012637,1.8657051855739986
17,15.72,16.45,15.275,16.33,79486,16.84,,,,13.773881325131315,20.838231619847782,1.8538691008901416
18,16.49,17.3099,15.61,15.99,81142,16.66,,,,13.7504474467957,20.054744012051483,1.8428713079694172
19,16.19,18.4,16.19,18.24,267574,16.39,19.47,,,13.874843757265417,19.569350283128745,1.8833805002573158
20,17.42,17.945,17.13,17.34,111096,16.38,19.15,,,13.878206902778887,19.234106858250026,1.828139035953222
21,17.59,18.5274,17.45,18.08,84203,16.31,18.83,,,13.905216376936867,18.718721508721348,1.7823719619565632
22,18.06,18.46,17.85,18.38,315296,16.6,18.57,,,13.882489078654883,18.659469982249348,1.6986311075310945
