,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,17.03,17.56,16.62,17.54,249970,,,,,,,0.9399999999999977
1,17.51,17.83,17.14,17.71,274345,,,,,,,0.9221428571428549
2,17.84,17.8476,17.1,17.72,508015,,,,,,,0.9096755102040796
3,17.55,17.76,17.16,17.51,347257,,,,,,,0.8875558309037882
4,17.1,17.415,16.66,17.28,447203,,,,,,,0.8848732715535178
5,16.71,16.9799,14.44,14.51,645112,,,,,,,1.0245251807282667
6,14.92,15.18,13.56,15.04,418996,,,,,,,1.0670590963905333
7,14.71,14.95,13.96,14.22,584542,,,,,,,1.0679834466483522
8,13.33,13.47,11.96,12.255,607658,15.98,,,,,,1.15312748617347
9,12.8,14.57,12.65,14.5,818168,15.64,,,,,,1.236118380018222
10,12.15,13.75,11.9672,13.27,444244,15.15,,,,,,1.3287384957312063
11,13.54,15.95,12.98,15.9,471296,14.94,,,,,,1.4459714603218343
12,14.91,15.42,14.1,15.3,582318,14.7,,,,,,1.471259213155989
13,15.47,16.06,14.22,15.13,288843,14.46,,,,,,1.497597840787704
14,15.2,15.68,13.92,14.81,317132,14.49,,,,,,1.5163408521600108
15,15.12,15.14,13.47,14.87,586236,14.47,,,,,,1.527316505577153
16,15.22,16.72,15.05,15.92,280906,14.66,,,,,,1.5503653266073563
17,16.29,17.5,15.21,17.29,157367,15.22,,,,,,1.6031963747068307
18,17.6,18.25,15.15,16.54,682718,15.45,,,,,,1.7101109193706285
19,16.26,16.59,15.02,15.1,246844,15.65,15.62,,,11.288966699331905,19.090439583215613,1.7001029965584409
20,15.1,15.63,14.61,15.25,261066,15.58,15.51,,,11.324557247619259,18.934763228073,1.651524211089981
21,15.43,16.98,15.0,16.87,439992,15.75,15.46,,,11.453097649701995,18.80846597764661,1.6749867674406969
22,16.47,17.4335,15.96,17.15,181916,15.98,15.44,,,11.57604951956207,18.737263795795048,1.660594855480647
23,16.59,17.73,16.59,17.17,243516,16.24,15.42,,,11.659456448773295,18.73179409769884,1.6234095086606006
24,17.22,17.45,15.7,16.68,400415,16.44,15.39,,,11.758108243999795,18.737310812933913,1.6324516866134149
25,17.27,17.52,16.05,16.48,594060,16.5,15.49,,,11.716518423892188,18.813545827110335,1.6208479947124568
26,16.97,17.19,16.07,17.1,512046,16.48,15.59,,,11.763927556395117,18.919662906607932,1.5850731379472813
27,17.25,17.82,17.0437,17.32,584164,16.57,15.75,,,11.70152376443192,19.08838166342546,1.527303628093904
28,17.12,18.01,16.82,17.75,997040,16.86,16.02,,,12.075600378617597,19.053599320293873,1.5032105118014827
