,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,8.98,9.205,8.9,9.16,75810,,,,,,,0.3049999999999997
1,9.1,9.22,8.9349,8.96,67210,,,,,,,0.3035785714285712
2,8.97,9.07,8.95,9.04,47148,,,,,,,0.29046581632653046
3,8.89,9.06,8.82,8.86,73030,,,,,,,0.28686111516034973
4,8.76,8.89,8.76,8.83,150022,,,,,,,0.27565674979175336
5,8.52,8.74,8.26,8.27,214742,,,,,,,0.296681267663771
6,8.36,8.52,8.16,8.48,178616,,,,,,,0.30120403425921594
7,8.34,8.4435,8.2,8.22,193042,,,,,,,0.29968946038355776
8,7.11,7.92,7.11,7.72,402436,8.62,,,,,,0.3575687846418751
9,7.76,7.99,7.56,7.77,270784,8.46,,,,,,0.3627424428817412
10,7.34,7.49,6.71,7.02,334712,8.25,,,,,,0.41254655410447394
11,7.03,7.86,7.03,7.83,181280,8.11,,,,,,0.44307894309701157
12,7.54,7.65,6.85,6.9,145282,7.89,,,,,,0.4814304471615108
13,6.75,8.1,6.75,7.83,323680,7.78,,,,,,0.5434711295071172
14,7.82,8.0146,6.95,7.23,256316,7.67,,,,,,0.5806946202566088
15,6.95,7.15,6.11,6.47,585840,7.44,,,,,,0.6192164330954224
16,6.74,7.12,6.63,6.98,206566,7.31,,,,,,0.6214152593028923
17,7.09,7.465,6.75,6.93,345800,7.22,,,,,,0.6280998836384
18,7.03,7.31,6.12,7.14,425598,7.15,,,,,,0.6682356062356571
19,6.97,7.22,6.8,6.81,299352,7.12,7.82,,,5.52394195268723,9.573223009295434,0.6505044915045388
20,7.0,7.84,6.95,7.5,284654,7.09,7.74,,,5.522655348307483,9.41617999577265,0.677611313539929
21,7.48,7.895,7.47,7.7,270552,7.18,7.68,,,5.587513232726508,9.235163641429967,0.6595676482870769
22,7.41,7.73,7.11,7.24,318020,7.11,7.59,,,5.664085003428597,9.062862934685699,0.6567413876951429
23,7.2,7.79,7.13,7.59,236878,7.15,7.52,,,5.760319347145832,8.866066384986247,0.6569741457169185
24,7.5,7.7,7.25,7.35,225488,7.25,7.45,,,5.897485029211262,8.682838076254953,0.6421902781657101
25,7.5,7.96,7.41,7.69,277046,7.33,7.42,,,5.974726954854548,8.530482515811103,0.6398909725824451
26,7.77,8.11,7.17,7.49,456094,7.39,7.37,,,6.0564472517270085,8.443772085967764,0.661327331683699
27,7.48,7.89,7.4,7.5,308214,7.43,7.33,,,6.175115423895635,8.338783912941185,0.6490896651348632
28,7.51,7.97,7.51,7.7,404768,7.53,7.33,,,6.159883969297161,8.345182553161097,0.6362975461966587
29,7.81,7.88,7.54,7.63,337820,7.54,7.33,,,6.161792067441692,8.331388836397132,0.6151334357540402
30,7.77,8.04,7.65,7.73,366172,7.55,7.36,,,6.167718213480935,8.367002376682533,0.6004810474858945
31,7.58,7.68,7.22,7.35,351068,7.56,7.34,,,6.1729907188311195,8.355614283775488,0.5940181155226164
32,7.26,7.74,7.26,7.54,301900,7.55,7.37,,,6.192867641086022,8.359121439380683,0.5858739644138582
33,7.6,7.92,7.6,7.69,329514,7.59,7.36,,,6.216008165213433,8.332752500683414,0.5711686812414397
34,7.6,7.66,7.14,7.31,147580,7.55,7.37,,,6.228279325339163,8.299575763464228,0.569656632581337
35,7.22,7.28,6.995,7.28,200668,7.53,7.41,,,6.40502564759109,8.283052766928316,0.5514668731112415
36,7.55,7.55,7.095,7.18,118020,7.49,7.42,,,6.469103666562382,8.239976568833432,0.5445763821747243
37,7.16,8.13,7.16,8.0,519584,7.52,7.47,,,6.518639414489795,8.286644070719934,0.5749637834479583
38,7.98,8.12,7.69,8.08,170592,7.57,7.52,,,6.784960928613671,8.303747479273564,0.5646092274873897
39,8.21,8.21,7.84,7.95,240586,7.6,7.58,,,6.829680032411668,8.302592488757863,0.5507085683811477
40,7.9,8.17,7.88,7.96,437482,7.67,7.6,,,6.852362921983472,8.340604259651094,0.5320865277824942
41,8.1,8.1246,7.79,7.96,387058,7.71,7.61,,,6.837616511220274,8.365568123031546,0.5179803472266017
42,7.95,7.99,7.65,7.9,262784,7.74,7.64,,,6.869870545413253,8.375243020952668,0.5052674652818444
43,7.76,7.76,7.38,7.55,144058,7.76,7.64,,,6.898938167662044,8.375320712969247,0.5063197891902841
44,7.6,7.71,7.38,7.65,132220,7.8,7.66,,,6.911628108253246,8.37499082869514,0.49372551853383523
45,7.45,7.85,7.45,7.69,205248,7.86,7.66,,,6.91377211260359,8.368862601060432,0.4870308386385612
46,7.77,7.79,7.51,7.62,147844,7.82,7.66,,,6.945743549776886,8.343104003716334,0.4722429215929497
47,7.67,7.87,7.56,7.65,156318,7.77,7.67,,,6.952493260634808,8.342038852955948,0.46065414147916767
48,7.77,7.88,7.5645,7.58,254442,7.73,7.66,,,6.953633724569568,8.335314633937784,0.45028598851637
49,7.62,7.8,7.42,7.74,213620,7.7,7.67,7.7,,6.948384908053146,8.332240495753908,0.4452655607652007
50,7.92,7.99,7.67,7.7,317772,7.68,7.67,7.68,,6.947765269842181,8.3263011098995,0.4363180207105435
51,7.76,7.8,7.44,7.57,253662,7.64,7.68,7.65,,6.971351111661629,8.325503120587086,0.4308667335169332
52,7.54,7.54,7.18,7.41,156350,7.62,7.67,7.62,,6.958981736139426,8.335485536628468,0.42794768112286663
53,7.37,7.5006,7.32,7.43,137984,7.6,7.66,7.59,,6.9446673273867745,8.339075183792838,0.41027998961409046
54,7.59,7.71,7.47,7.55,193272,7.58,7.67,7.56,,6.983255893775374,8.338372221838618,0.4009742760702269
55,7.5,7.68,7.5,7.57,124714,7.58,7.69,7.55,,7.06316787183037,8.291778965915004,0.38519039920806786
56,7.55,7.84,7.52,7.6,140504,7.57,7.71,7.53,,7.127923465364211,8.281456280959869,0.3805339421217773
57,7.68,7.7512,7.54,7.63,129266,7.58,7.69,7.52,,7.185290836681958,8.247223821631485,0.36843866054165036
58,7.63,7.8,7.51,7.71,185644,7.57,7.67,7.52,,7.183545340448013,8.211222841021758,0.3628358990743897
59,7.9,8.16,7.9,7.96,177794,7.6,7.67,7.52,,7.174327760444195,8.198768600681744,0.36906190628336183
60,7.99,8.2899,7.97,8.13,337768,7.67,7.68,7.54,,7.158666294212684,8.23101636460516,0.36626462726312164
61,8.1,8.145,7.92,8.0,189446,7.73,7.68,7.55,,7.142948289296316,8.235250479468268,0.35617429674432727
62,7.89,8.115,7.87,7.95,150604,7.79,7.68,7.57,,7.1301232164194355,8.25511509105496,0.3482332755483039
63,7.89,8.16,7.89,7.975,193862,7.84,7.71,7.57,,7.138596683663091,8.29553153283667,0.3426451844377108
64,7.91,8.15,7.91,8.1,200514,7.9,7.73,7.59,,7.151990847021683,8.328239498884242,0.33531338554930296
65,8.16,8.3,7.99,8.0,244340,7.94,7.74,7.62,,7.154407391908338,8.386680687550568,0.33350528658149564
66,8.04,8.16,7.98,8.03,176186,7.98,7.76,7.64,,7.157545641462289,8.413693022642564,0.32254062325424593
67,8.0,8.12,7.93,8.02,239670,8.02,7.78,7.66,,7.163774649646545,8.432346236995919,0.3130734358789426
68,8.11,8.25,8.04,8.16,348230,8.04,7.81,7.68,,7.165375150397995,8.468287297261101,0.30713961903044673
69,8.07,8.24,8.02,8.16,306576,8.04,7.83,7.71,,7.193837292747737,8.498637060703325,0.300915360528272
70,8.23,8.25,8.12,8.24,259982,8.07,7.86,7.72,,7.189502003565461,8.525146459614083,0.28870712049053837
71,8.19,8.2,7.89,7.91,222006,8.07,7.88,7.73,,7.228657193118485,8.543853102874264,0.2930851833126428
72,7.97,8.16,7.97,8.15,57172,8.09,7.91,7.75,,7.339442356090344,8.52710879713941,0.29000767021888263
73,8.02,8.66,8.02,8.26,500020,8.1,7.96,7.76,,7.427343870902409,8.586216106738151,0.31500712234610534
74,8.39,8.9,8.39,8.5,387406,8.16,8.0,7.78,,7.447003002482708,8.726795942433657,0.3382208993213836
75,8.52,8.675,8.23,8.35,259544,8.19,8.04,7.8,,7.500054698138385,8.771313087091398,0.3458479779412848
76,8.2,8.48,8.18,8.22,241522,8.22,8.07,7.81,,7.565596282473947,8.785473206430732,0.34257312237405024
77,8.28,8.46,8.12,8.155,239806,8.22,8.1,7.82,,7.642951418932482,8.774328435577647,0.3423893279187611
78,8.0,8.235,8.0,8.17,137377,8.22,8.12,7.83,,7.751186452366959,8.741287830911313,0.33471866163884956
79,8.21,8.795,8.21,8.73,102292,8.27,8.16,7.86,,7.759360359599904,8.818555318871976,0.35545304295036034
80,8.67,8.95,8.67,8.8,110664,8.37,8.19,7.88,,7.67483702679484,8.923103602017001,0.35006353988247746
81,8.77,8.96,8.7,8.73,118996,8.43,8.23,7.9,,7.629612062153846,9.011995665103917,0.34363042989087206
82,8.7,8.92,8.69,8.73,96636,8.49,8.27,7.93,,7.618116048202203,9.07612788280677,0.3355139706129527
83,8.76,8.95,8.67,8.74,116214,8.51,8.31,7.95,,7.6231537943960035,9.137598839415094,0.33154868699774176
84,8.66,8.97,8.63,8.78,149815,8.56,8.34,7.98,,7.641797159061813,9.191481005789498,0.3321523522121888
85,8.68,8.86,8.6772,8.7,151330,8.62,8.38,8.01,,7.653211679936251,9.225573392104621,0.32148432705417535
86,8.7,8.9,8.695,8.72,128191,8.68,8.41,8.04,,7.673508342162744,9.251186479165993,0.3131640179788771
87,8.71,8.89,8.64,8.69,142426,8.74,8.44,8.05,,7.715161749758854,9.261588356515174,0.3086523024089573
88,8.76,8.76,8.48,8.59,128823,8.72,8.47,8.06,,7.749236145474255,9.262075509537954,0.306605709379746
89,8.58,8.67,8.42,8.44,99198,8.68,8.48,8.07,,7.789203884204671,9.250047916238021,0.3025624444240499
90,8.41,8.57,8.38,8.39,118649,8.64,8.49,8.08,,7.814259007023348,9.231761456000934,0.294522269822332
91,8.38,8.58,8.38,8.53,94597,8.62,8.52,8.09,,7.888114982446267,9.200772981547143,0.2877706791207368
92,8.5,8.8,8.5,8.54,108403,8.6,8.54,8.1,,7.956198975909362,9.156128683587534,0.2886442020406842
93,8.52,8.75,8.52,8.64,98302,8.58,8.56,8.13,,8.021825316623387,9.158457496711844,0.28445533046634963
94,8.55,8.97,8.55,8.86,127905,8.6,8.58,8.15,,8.02929489891641,9.168441785193428,0.29413709257589604
95,8.82,9.12,8.81,9.0,82851,8.63,8.61,8.18,,8.047715859937824,9.219127833034918,0.29527015739190343
96,9.02,9.23,8.915,8.98,210965,8.66,8.65,8.2,,8.073213855094698,9.276558140185287,0.29667943186391044
97,9.0,9.28,9.0,9.11,107871,8.72,8.69,8.23,,8.115146794872116,9.329608669176194,0.2969166153022025
98,9.13,9.41,9.13,9.23,142077,8.81,8.75,8.27,,8.19279766842819,9.353005297057312,0.2971368570663309
99,9.19,9.36,9.18,9.23,121989,8.9,8.77,8.3,,8.224294670065703,9.419552420708225,0.2887699387044501
100,9.2,9.34,9.18,9.31,58586,8.99,8.8,8.33,,8.198597528692895,9.470900091460908,0.27957208593984656
101,9.17,9.18,9.04,9.06,90252,9.05,8.81,8.36,,8.194354707474304,9.490965042972222,0.27888836551557195
102,9.04,9.09,9.01,9.01,61216,9.09,8.83,8.39,,8.195606796970855,9.501215215309262,0.2646820536930311
103,9.01,9.169,9.01,9.07,129926,9.11,8.84,8.42,,8.200760087372602,9.518370119075175,0.2571333355721004
104,9.08,9.335,9.08,9.27,163458,9.14,8.87,8.46,,8.208745217915197,9.557974448740064,0.2576952401740933
105,9.21,9.37,9.14,9.32,174932,9.18,8.9,8.49,,8.212234216862303,9.600751168301885,0.25571700873308656
106,9.33,9.45,9.33,9.4,184716,9.21,8.93,8.53,,8.2016833202161,9.65295507308375,0.24673722239500886
107,9.31,9.4,9.05,9.09,150404,9.2,8.95,8.56,,8.222183320216102,9.690419370164827,0.25411313508107963
108,9.29,9.54,9.05,9.1,293176,9.18,8.98,8.58,,8.270811649876098,9.73996810276977,0.2709621968610024
109,9.03,9.37,9.03,9.28,201038,9.18,9.02,8.61,,8.338921489723637,9.743127361574405,0.275893468513788
110,9.33,9.33,9.22,9.25,127236,9.2,9.06,8.63,,8.424115519569412,9.711950290599802,0.2640439350485174
111,9.2,9.54,9.2,9.36,437816,9.24,9.11,8.66,,8.529607817849708,9.68820000301446,0.2694693682593376
112,9.54,9.61,9.47,9.47,200736,9.28,9.15,8.69,,8.594327977824264,9.701710413722793,0.26807869909795634
113,9.55,9.73,9.5,9.51,123850,9.31,9.2,8.72,,8.671759705225226,9.710049477215506,0.267501649162388
114,9.62,9.79,9.55,9.61,355190,9.34,9.23,8.75,,8.758029987043573,9.759517177758482,0.2683943885079317
115,9.6,9.6,9.46,9.53,39235,9.36,9.26,8.78,,8.799842290821537,9.77424381890154,0.25993764647165074
116,9.53,9.63,9.51,9.62,101569,9.41,9.29,8.81,,8.822889270350926,9.797387908151578,0.24994210029510433
117,9.54,9.74,9.54,9.66,186512,9.48,9.32,8.85,,8.835508106138096,9.838794445005313,0.2463748074168827
118,9.61,9.69,9.55,9.69,164372,9.52,9.34,8.88,,8.835852996519982,9.866737306695164,0.23877660688710528
119,9.69,9.69,9.525,9.62,93832,9.56,9.36,8.91,,8.83797534763796,9.892353595008858,0.233506849252312
120,9.54,9.7,9.44,9.65,156392,9.6,9.38,8.94,,8.847054237451172,9.916062773829564,0.2353992171628611
121,9.6,9.64,9.48,9.51,133436,9.6,9.4,8.97,,8.876785440666639,9.915432741031394,0.23072784450837105
122,9.41,9.5,9.4,9.44,107552,9.59,9.42,8.99,,8.918206051452609,9.880436666340074,0.22210442704348737
123,9.45,9.45,9.32,9.4,71352,9.57,9.44,9.02,,8.961745141465478,9.849930469233067,0.21552553939752392
124,9.4,9.4,9.23,9.23,54920,9.54,9.44,9.03,,8.985441354105285,9.844251087855461,0.21227371515484364
125,9.28,9.32,9.18,9.31,84246,9.5,9.44,9.05,,8.991877581086447,9.84946567987281,0.2071113069294977
126,9.31,9.37,9.15,9.33,51566,9.46,9.43,9.07,,8.971755958339863,9.853616696452635,0.20803192786310493
127,9.28,9.79,9.16,9.68,410147,9.46,9.46,9.1,,8.992584944675608,9.882036039098525,0.23817250444431165
128,9.76,9.76,9.4,9.52,159228,9.45,9.48,9.13,,9.038572678047583,9.903739376232364,0.24687446841257507
129,9.5,9.53,9.4,9.52,99050,9.44,9.5,9.14,,9.09768642204481,9.897092477677575,0.23852629209739107
130,9.46,9.545,9.45,9.47,184288,9.43,9.51,9.16,,9.118635640175386,9.883494295080196,0.2282744140904346
131,9.47,9.5,9.35,9.36,128774,9.42,9.51,9.17,,9.140706269306865,9.883878566824706,0.22268338451254646
