,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,5.1,5.45,5.0,5.08,341356,,,,,,,0.4500000000000002
1,5.0,5.27,4.91,5.08,379364,,,,,,,0.4435714285714287
2,5.22,5.37,4.91,5.26,295908,,,,,,,0.4447448979591838
3,5.33,5.46,5.05,5.21,279902,,,,,,,0.44226311953352787
4,5.33,5.49,5.21,5.44,221996,,,,,,,0.4306728967097045
5,5.3,5.36,5.17,5.29,173022,,,,,,,0.4191962612304399
6,5.04,5.345,5.0,5.06,280486,,,,,,,0.41389652828540846
7,4.52,4.73,3.92,3.94,537902,,,,,,,0.46576106197930783
8,4.27,4.37,3.97,4.06,515751,4.94,,,,,,0.4632067004093573
9,3.97,4.12,3.69,3.88,640231,4.8,,,,,,0.4608347932372604
10,3.8,3.86,3.44,3.46,604718,4.62,,,,,,0.4593465937203132
11,3.73,4.15,3.55,3.77,478174,4.46,,,,,,0.47582183702600517
12,3.39,3.8,3.39,3.52,439305,4.27,,,,,,0.47112027723843336
13,3.71,3.77,3.47,3.6,384696,4.06,,,,,,0.458897400292831
14,3.5,3.7,3.205,3.32,231007,3.85,,,,,,0.46147615741477166
15,3.35,3.65,3.2,3.28,371254,3.65,,,,,,0.4606564318851451
16,3.49,3.73,3.25,3.38,646654,3.59,,,,,,0.4620381153219204
17,3.42,3.77,3.39,3.68,342837,3.54,,,,,,0.45689253565606897
18,3.95,3.99,3.69,3.8,321488,3.53,,,,,,0.4464002116806355
19,3.75,3.75,3.4,3.45,295536,3.53,4.18,,,2.4852021188576945,5.95413816470195,0.4430859108463044
20,3.61,3.77,3.37,3.76,316470,3.53,4.11,,,2.445063489204951,5.823287014894466,0.44000834578585407
21,3.56,3.59,3.33,3.37,234355,3.52,4.03,,,2.4107120310773653,5.714881591330013,0.43929346394400737
22,3.31,3.38,2.795,3.16,473668,3.47,3.92,,,2.312594610304397,5.574853706540563,0.44970107366229256
23,3.14,3.36,3.01,3.16,258265,3.45,3.82,,,2.3035953283738126,5.379737207680245,0.4425795684007003
24,3.05,3.28,2.88,3.15,288874,3.43,3.7,,,2.3512960617033882,5.134361794202569,0.43953817065779316
25,3.02,3.32,3.01,3.1,185461,3.4,3.6,,,2.4906384942815087,4.866045704188861,0.4302854441822365
26,3.05,3.15,2.78,2.81,448440,3.31,3.48,,,2.665055453415829,4.530528327047016,0.4259793410263625
27,3.08,3.441,3.04,3.38,1272570,3.26,3.45,,,2.6682019273565714,4.3280820977680605,0.44062367381019374
28,3.45,3.46,3.07,3.19,639296,3.23,3.41,,,2.704101789708874,4.2048032903565575,0.43700769710946563
29,3.18,3.42,3.13,3.25,493482,3.17,3.38,,,2.7156922409981497,4.132427623434355,0.4265071473159324
30,3.31,3.4,3.165,3.37,575840,3.17,3.38,,,2.7123090808821946,4.104812680497973,0.41282806536479444
31,3.37,3.46,3.25,3.3,422670,3.19,3.35,,,2.723749648184771,4.000662695947778,0.3983403464101663
32,3.37,3.42,3.225,3.25,285482,3.2,3.34,,,2.72453115240998,3.9706527906516262,0.38381603595229724
33,3.2,3.2345,2.94,2.945,482576,3.18,3.31,,,2.7066918537631333,3.9503589251326274,0.3785434619557046
34,3.04,3.09,2.75,2.77,932680,3.14,3.28,,,2.649559139415377,3.949316953724748,0.37579035753029716
35,2.94,2.94,2.76,2.78,953050,3.14,3.25,,,2.600978911093089,3.965629325685883,0.36180533199241877
36,2.75,2.75,2.335,2.45,1503992,3.03,3.21,,,2.45357084190561,3.98511803548619,0.36774780827867454
37,2.48,2.59,2.305,2.4,1080588,2.95,3.14,,,2.3316782158632527,4.001468240661294,0.3618372505444835
38,2.48,2.49,2.22,2.3,747204,2.84,3.07,,,2.2491371072550166,3.955549582395887,0.3552774469341633
39,2.25,2.56,2.16,2.43,920490,2.74,3.02,,,2.1405092347272037,3.9244872499834926,0.3584719150102945
40,2.47,2.52,2.215,2.36,665764,2.63,2.95,,,2.0648415543951173,3.8725301481941,0.3546524925095592
41,2.49,2.7,2.4201,2.59,762804,2.56,2.91,,,2.0397786172805987,3.8217187725941577,0.3536058859017336
42,2.7,2.74,2.43,2.58,759620,2.52,2.88,,,2.005832010564336,3.7938555236680385,0.35049117976589544
43,2.64,2.85,2.63,2.82,1019668,2.52,2.86,,,1.9948592960677591,3.760719330815716,0.3447418097826172
44,2.85,2.85,2.55,2.61,811728,2.5,2.83,,,1.977187630452358,3.7348080346561336,0.341545966226716
45,2.51,2.65,2.403,2.58,672412,2.52,2.81,,,1.9472544893855166,3.704754428371256,0.33479268292480774
46,2.52,2.62,2.41,2.56,555522,2.54,2.8,,,1.919915934263889,3.6917115591352614,0.32587891985875006
47,2.66,2.72,2.43,2.43,663822,2.55,2.75,,,1.9032054140799834,3.6262114470506157,0.3233161398688394
48,2.45,2.48,2.305,2.4,680376,2.55,2.71,,,1.8796886457030508,3.5559724818049387,0.312722129878208
49,2.49,2.56,2.39,2.495,970350,2.56,2.67,3.39,,1.8819147581880364,3.475485528782709,0.3025276920297646
50,2.68,3.14,2.56,3.07,2012954,2.62,2.66,3.35,,1.9127867503356475,3.4234734896392007,0.3269899997419242
51,3.07,3.17,2.92,3.09,871008,2.67,2.65,3.31,,1.9622439466495694,3.3557953115975137,0.3214907140460725
52,3.03,3.15,2.99,3.03,836210,2.7,2.63,3.26,,2.0063160091871324,3.2895254026688456,0.3099556630427816
53,2.99,2.99,2.64,2.74,691304,2.71,2.62,3.21,,2.029595098088433,3.2422413165585415,0.31567311568258294
54,2.65,2.9,2.5299,2.73,699886,2.73,2.62,3.16,,2.0343493435815265,3.2132246339028323,0.3195607502766842
55,2.81,2.89,2.69,2.87,730104,2.76,2.63,3.11,,2.0390771320833228,3.207213637237358,0.3110206966854925
56,2.95,3.18,2.9,3.06,1370852,2.83,2.66,3.07,,2.034137612735319,3.265780912831524,0.31094778977938586
57,3.03,3.16,2.97,3.02,950734,2.9,2.69,3.05,,2.034076369204714,3.312319082424759,0.30230866193800116
58,3.12,3.2,2.97,2.99,616320,2.96,2.72,3.03,,2.059780051068575,3.3511956968732988,0.2971437575138582
