,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,13.28,13.48,12.94,13.45,646981,,,,,,,0.5400000000000009
1,13.16,13.3,12.93,13.07,767537,,,,,,,0.5385714285714295
2,12.59,13.26,12.53,12.81,1419278,,,,,,,0.5522448979591845
3,12.01,12.11,11.01,11.37,1504553,,,,,,,0.6413702623906714
4,11.79,11.845,11.1,11.7,1448422,,,,,,,0.6487723865056235
5,11.11,11.3,10.52,10.56,1616206,,,,,,,0.6867172160409362
6,10.2,10.35,9.5,9.68,2277519,,,,,,,0.7133802720380122
7,10.27,10.5,9.02,10.1,2885625,,,,,,,0.7681388240352971
8,9.16,9.56,8.74,9.04,2583230,11.31,,,,,,0.8104146223184902
9,9.23,10.38,8.83,10.29,1934178,10.96,,,,,,0.863242149295741
10,9.75,10.04,8.86,9.15,2426974,10.52,,,,,,0.9037248529174737
11,9.14,10.6907,8.57,9.97,2119117,10.21,,,,,,0.9906516491376541
12,9.95,10.25,8.89,8.9901,1997785,9.94,,,,,,1.0170336741992503
13,9.17,9.24,8.0595,8.87,1649160,9.63,,,,,,1.0287098403278754
14,9.38,10.75,9.11,10.03,1710486,9.57,,,,,,1.0895162803044558
15,10.04,10.65,9.5,10.2,1761860,9.63,,,,,,1.0938365459969945
16,10.32,11.05,10.14,10.9,1073276,9.72,,,,,,1.0807053641400663
17,10.49,10.68,9.82,9.86,889301,9.81,,,,,,1.0806549809872046
18,9.9,10.25,9.65,9.89,1008276,9.76,,,,,,1.0463224823452615
19,9.96,10.445,9.81,10.35,1144278,9.9,10.51,,,7.078905356406654,13.414922202891727,1.0169423050348856
20,9.82,10.07,9.5199,9.66,1143017,9.86,10.32,,,7.262297598947789,12.974860357182378,1.0035964261038224
21,9.57,10.07,9.28,9.57,1015472,9.93,10.15,,,7.54202872300159,12.49391992588191,0.988339538524978
22,9.57,9.92,9.09,9.26,1008913,9.97,9.97,,,7.874127222268439,11.887861503366048,0.9770295714874796
23,9.76,10.55,9.58,10.5,3757628,10.02,9.93,,,7.980644429293227,11.586883163555035,0.9993846020955168
24,10.94,11.08,10.415,10.54,1437751,10.06,9.87,,,8.098495931258677,11.391570481934243,0.9754999876601229
25,10.73,11.005,10.5,10.91,1750038,10.06,9.89,,,8.101437629925337,11.3279045795785,0.9418928456843999
26,11.26,11.35,10.77,10.96,1175864,10.18,9.95,,,8.011156602000629,11.472446777048342,0.9160433567069428
27,10.87,10.98,10.515,10.92,662835,10.3,9.99,,,8.015045457548347,11.525178712365319,0.8838259740850184
28,11.17,11.489,10.88,11.04,1212914,10.37,10.09,,,8.040195898873597,11.631312168097196,0.86419554736466
29,10.62,10.81,10.095,10.15,2551698,10.43,10.09,,,8.13095210207408,11.655918829614233,0.8699672939814699
30,10.16,10.41,9.845,10.18,2820045,10.5,10.14,,,8.225131367757403,11.648851250423979,0.8481839158399364
31,10.51,10.715,9.98,10.21,2186952,10.6,10.15,,,8.391658778328223,11.650621385326936,0.840099350422798
32,10.12,10.82,10.0,10.63,2384040,10.62,10.23,,,8.50864402838859,11.671475426334917,0.8386636825354554
33,10.35,10.41,9.97,10.03,3478488,10.56,10.29,,,8.899762334495465,11.51670181536534,0.8259019909257801
34,10.38,10.38,10.15,10.27,1163181,10.49,10.3,,,9.022539916339888,11.507495070878756,0.7919089915739388
35,10.3,10.785,10.3,10.46,1715731,10.43,10.31,,,9.079569439588518,11.516161211680908,0.7721297778900861
36,10.5,10.82,10.475,10.76,866874,10.41,10.31,,,9.075185225207285,11.4887666434392,0.7426919366122228
37,10.86,11.47,10.645,11.34,3625467,10.45,10.38,,,9.084373570649706,11.604911772887252,0.7485710839970642
38,11.6,11.78,10.91,10.93,1431486,10.53,10.43,,,9.101504198159374,11.77701177892348,0.7572445779972738
39,11.35,11.75,10.99,11.64,1530683,10.7,10.5,,,9.105784260061732,11.9201030073417,0.7617271081403257
40,11.5,11.905,10.83,11.6,2500345,10.85,10.6,,,9.184863636111029,12.0497303013548,0.7841037432731596
41,11.19,11.21,10.75,10.91,5370920,10.88,10.66,,,9.34300511586639,12.037731571309047,0.7888106187536482
42,10.82,11.04,10.5,10.92,1494728,10.98,10.74,,,9.603849511475453,11.967875514844014,0.7710384316998161
43,11.09,11.31,11.01,11.03,1416111,11.07,10.77,,,9.73213096305807,11.983770171156108,0.7438214008641151
44,11.07,11.21,10.88,11.02,1135857,11.13,10.8,,,9.734708033486871,11.992251707719012,0.7142627293738212
45,11.15,11.34,11.09,11.25,573092,11.18,10.81,,,9.719947018546558,12.015311140120367,0.6861011058471197
46,11.52,11.85,11.32,11.74,2515294,11.23,10.85,,,9.678556429442585,12.094797558750608,0.6799510268580397
47,11.55,11.56,11.2,11.42,1828338,11.28,10.88,,,9.667405192510799,12.140177438018673,0.6699545249396083
48,11.39,11.46,10.88,10.96,772334,11.21,10.87,,,9.667405192510802,12.136733435607452,0.6635292017296364
49,10.85,10.85,10.275,10.51,1023486,11.08,10.89,10.63,,9.693404285541982,12.135970229351532,0.6650628301775195
50,10.28,10.67,10.1,10.62,827026,11.05,10.91,10.58,,9.744500248155001,12.113774564790058,0.6582726280219825
51,10.49,10.64,10.08,10.33,1542886,10.99,10.92,10.52,,9.763808827368214,12.118115865112438,0.651253154591841
52,10.76,11.4,10.76,11.25,1434346,11.01,10.95,10.49,,9.851352382949981,12.138447095860707,0.6811636435495666
53,11.25,11.74,11.12,11.33,835305,11.05,11.01,10.49,,9.951995668061786,12.15940071887149,0.6767948118674548
54,11.54,11.91,11.47,11.77,1509528,11.1,11.09,10.49,,9.995069066259537,12.179904230013522,0.6698808967340653
55,11.76,11.81,11.18,11.24,3580848,11.05,11.13,10.5,,10.053675442208517,12.214875208910586,0.6670322612530607
56,11.25,11.38,11.11,11.36,808478,11.04,11.16,10.54,,10.09356783140691,12.198994510887733,0.6386728140206993
57,11.8,11.985,11.58,11.61,917416,11.11,11.17,10.57,,10.082024275652001,12.265201729722406,0.6376961844477922
58,11.8,12.12,11.6,12.01,955286,11.28,11.23,10.63,,10.059000260608125,12.324612574221568,0.6292893141300928
59,12.21,12.21,11.58,11.625,630356,11.39,11.23,10.65,,10.042419215913354,12.402941521783251,0.6293400774065148
60,11.52,11.7391,11.43,11.6,595141,11.53,11.23,10.7,,10.052222045989122,12.381451253749105,0.6064657861631924
61,11.59,11.785,11.54,11.59,592396,11.57,11.26,10.73,,10.069164709006685,12.411719554515205,0.5806468014372501
62,11.67,11.95,11.55,11.87,528828,11.63,11.31,10.79,,10.130052789307406,12.451270480865508,0.5677434584774464
63,12.01,12.23,11.6,11.63,1839850,11.62,11.34,10.85,,10.13363970596772,12.539306362539408,0.572190354300486
64,11.58,12.06,11.48,11.89,941106,11.69,11.38,10.88,,10.157526620251392,12.585914363238778,0.5727481861361656
65,12.25,12.43,11.97,12.04,796715,11.76,11.42,10.92,,10.136157711694347,12.692825296665024,0.5704090299835823
66,12.2,12.595,12.15,12.5,1337052,11.86,11.46,10.95,,10.094332469528792,12.807536515406138,0.5693083849847551
67,12.3,12.47,12.12,12.39,1107488,11.9,11.51,11.0,,10.07351634717799,12.899186746333749,0.5557863574858442
68,12.41,12.49,11.855,11.96,900600,11.94,11.56,11.05,,10.111352069247479,12.984330984324568,0.5614444748082839
69,11.42,11.675,11.22,11.32,2527342,11.91,11.6,11.07,,10.261719641497898,12.935098669604022,0.5741984408934064
70,11.97,11.97,11.4,11.41,188044,11.89,11.64,11.1,,10.502158039597996,12.840756772134098,0.5796128379724489
71,10.94,11.69,10.805,11.64,771622,11.86,11.7,11.14,,10.721598180501198,12.675421709936016,0.6014262066887025
72,12.04,12.22,11.64,11.88,1912564,11.89,11.73,11.19,,10.842722166937495,12.666731713416112,0.5998957633537952
73,11.8,11.84,11.46,11.67,451021,11.87,11.75,11.22,,10.885415695966284,12.663985315315244,0.5870460659713813
74,11.58,11.61,11.105,11.31,1464014,11.79,11.73,11.23,,10.839409181729549,12.674343041128187,0.5854713469734255
75,11.46,11.9,11.355,11.47,755040,11.67,11.74,11.24,,10.862166684245725,12.67423747131877,0.5857948221896094
76,11.34,11.355,10.755,11.17,1196729,11.54,11.73,11.25,,10.781547635124362,12.6781704577568,0.5950237634617802
77,11.27,11.62,11.25,11.47,883921,11.48,11.72,11.26,,10.756841396316627,12.683257110789572,0.5846649232145102
78,11.4,11.42,11.01,11.06,728443,11.45,11.67,11.26,,10.698636489329543,12.692110556214107,0.5757602858420453
79,11.0,11.16,10.72,11.15,727264,11.42,11.65,11.28,,10.589351210387958,12.712295339731712,0.5660631225676135
