,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,27.85,29.04,27.33,28.8,1315183,,,,,,,1.7100000000000009
1,29.18,30.26,28.345,30.23,1347228,,,,,,,1.7246428571428583
2,30.27,30.52,28.61,29.16,990811,,,,,,,1.7378826530612255
3,29.8,29.89,28.99,29.63,671341,,,,,,,1.6780338921282811
4,28.35,28.86,27.96,28.31,1115481,,,,,,,1.6774600426905468
5,27.49,29.05,27.24,28.73,903708,,,,,,,1.6869271824983652
6,26.66,27.48,25.82,26.69,1254251,,,,,,,1.774289526605625
7,27.91,28.045,26.39,27.98,958217,,,,,,,1.7657688461337948
8,27.25,27.27,24.45,24.9,981764,28.27,,,,,,1.8917853571242382
9,23.36,23.67,21.0,23.0,1036568,27.63,,,,,,2.0352292601867923
10,24.06,27.45,24.06,27.38,1307581,27.31,,,,,,2.207712884459164
11,24.24,27.04,23.99,24.84,1250323,26.83,,,,,,2.2921619641406523
12,25.68,29.2,25.11,28.9,1247395,26.75,,,,,,2.4398646809877484
13,26.89,29.26,23.23,24.76,1202265,26.35,,,,23.539621654979836,30.11263860539971,2.696302918060052
14,24.35,24.7,21.77,23.5,1303326,25.77,,,,22.94280692043658,30.04065387234025,2.717281281055763
15,23.9,24.62,21.17,21.38,961776,25.18,,,,22.32785071783832,29.724844726499217,2.769618332408923
16,21.42,21.68,18.43,18.5801,1231331,24.14,,,,21.29383134993649,29.46333312335591,2.8039313086654287
17,19.73,19.875,18.57,19.77,1039251,23.57,,,,20.52109468965314,29.254272655507094,2.696864786617898
18,19.83,21.89,18.4,20.96,832281,23.34,,,,19.84016901954442,28.876664529937425,2.753517301859477
19,21.17,22.61,21.08,22.07,749522,22.75,25.48,,,19.656648661928923,28.374832520363707,2.674694637440943
20,21.17,22.24,21.0,21.51,531439,22.38,25.11,,,19.479012608777655,28.039505231102595,2.5722164490523043
21,21.88,22.115,20.6,22.02,554568,21.62,24.7,,,19.370759992758696,27.567446221197223,2.4967009884057108
22,22.02,22.06,21.25,21.6,820114,21.27,24.33,,,19.292033127824762,27.1543566155946,2.3762223463767316
23,20.28,20.58,19.45,19.76,542695,20.85,23.83,,,19.118801388940863,27.084209609574557,2.3600636073498227
24,19.83,21.43,19.51,20.85,530312,20.79,23.46,,,18.90172002479932,26.548424053478655,2.328630492539121
25,20.67,20.98,19.71,20.65,1098957,21.02,23.06,,,18.76790665204284,26.004977560315552,2.253014028786327
26,21.5,22.2,20.99,21.83,1876864,21.25,22.81,,,18.95985211306172,24.917495270979394,2.2027987410158754
27,22.32,22.97,20.88,21.13,1708384,21.27,22.47,,,19.041215293869996,23.478689796967,2.1947416880861703
28,21.6,23.16,21.23,22.79,971812,21.35,22.36,,,19.050884536613797,23.19406508782003,2.182974424651444
29,23.36,24.4629,22.22,22.73,1368594,21.48,22.35,,,19.02204913760812,23.15642200805423,2.187254822890627
30,22.89,23.3,21.97,22.58,1196374,21.55,22.11,,,19.312133610816048,23.3165969957398,2.126022335541297
31,22.78,22.98,21.86,22.27,1312516,21.62,21.98,,,19.634723041537676,23.359906318786486,2.054163597288347
32,21.47,21.8,20.7,21.25,1102788,21.79,21.6,,,20.026807493506375,23.356968917523954,2.0195804831963224
33,21.19,21.3,20.0,20.51,1113930,21.75,21.39,,,19.92023756231326,23.297549002571895,1.968181877253728
34,21.24,22.23,21.06,21.69,941940,21.86,21.3,,,19.92340770731829,23.296849634393855,1.950454600307033
35,21.14,21.33,20.59,20.69,1201102,21.74,21.26,,,19.922503015282487,23.269604834847886,1.8897078431422452
36,20.05,20.6,20.03,20.26,912204,21.64,21.35,,,19.82158269025734,23.24779153115732,1.8018715686320848
37,20.85,21.15,20.46,20.46,738130,21.38,21.38,,,19.96595532201726,23.23996756969832,1.7367378851583644
38,20.49,21.29,20.49,20.85,746958,21.17,21.38,,,20.115186306435863,23.237450226736456,1.6719708933613382
39,21.07,21.22,20.52,21.03,757204,21.0,21.32,,,20.240789518338275,23.237299492863976,1.6025444009783856
40,21.46,22.66,21.21,22.45,816444,21.02,21.37,,,20.25249078818389,23.278886681396845,1.6045055151942151
41,23.03,24.09,23.0,23.75,868416,21.3,21.46,,,20.213307487099403,23.457146179109866,1.6070408355374857
42,24.59,25.16,24.41,24.86,1005562,21.78,21.62,,,20.07119714619161,23.81537495553238,1.5929664901419511
43,24.5,24.6232,23.06,23.36,1294966,21.97,21.8,,,20.06642590318254,23.845316150584516,1.6077545979889547
