,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,14.57,14.97,14.36,14.96,75407,,,,,,,0.6100000000000012
1,14.97,15.47,14.84,15.01,128344,,,,,,,0.6114285714285727
2,15.28,15.62,15.17,15.61,93246,,,,,,,0.611326530612246
3,15.17,15.415,14.62,15.04,118589,,,,,,,0.6383746355685141
4,14.79,15.31,14.45,15.31,163374,,,,,,,0.6542050187421918
5,14.78,14.78,11.8,11.89,394262,,,,,,,0.858190374546321
6,12.3,13.0,12.2,12.93,242614,,,,,,,0.8761767763644408
7,12.95,12.95,12.14,12.45,203191,,,,,,,0.8714498637669806
8,11.69,12.15,10.95,11.73,325570,13.88,,,,,,0.9163463020693391
9,12.32,13.49,11.67,13.49,290611,13.72,,,,,,0.9808929947786721
10,12.0,12.29,10.49,10.67,518246,13.24,,,,,,1.1251149237230527
11,10.76,10.99,10.12,10.7,301446,12.69,,,,,,1.1068924291714062
12,10.21,10.31,9.0301,9.28,357503,12.05,,,,,,1.1471072556591628
13,9.23,10.39,8.63,9.74,389172,11.43,,,,,,1.1908853088263656
14,9.8,10.46,9.1,9.95,473122,11.22,,,,,,1.2029649296244824
15,9.84,9.91,8.67,9.13,306406,10.79,,,,,,1.2084674346513051
16,9.53,9.7799,8.91,9.22,355946,10.43,,,,,,1.1842840464619262
17,9.56,10.25,9.14,9.63,217459,10.2,,,,,,1.178978043143217
18,9.8,11.3,9.71,11.05,187584,9.93,,,,,,1.2140510400615587
19,10.7,11.02,10.3,10.39,170087,9.9,11.91,,,6.730591061458379,16.756074963883556,1.1809045372000189
20,10.35,10.71,10.1119,10.49,213832,9.88,11.69,,,6.7231457581061465,16.44652903592027,1.139275641685732
21,10.43,10.89,10.27,10.85,209807,10.05,11.48,,,6.85352105713749,15.975692680764276,1.1021845244224653
22,10.1,10.21,9.67,9.9,189680,10.07,11.19,,,7.096721517341478,15.403564902767279,1.1077427726780036
23,9.81,10.27,9.77,10.0,405594,10.07,10.94,,,7.396861163014913,14.770859678588236,1.0643325746295749
24,9.8,10.04,9.7,9.95,453200,10.16,10.67,,,7.863938368728791,14.034389627093738,1.0125945335846054
25,10.4,10.65,9.58,10.15,663710,10.27,10.58,,,7.886724308317104,13.286702072606108,1.016694924042848
26,10.69,10.75,9.88,9.93,447914,10.3,10.43,,,8.03856968874616,12.979469309200333,1.0062167151826447
27,10.2,10.5,9.98,10.43,473562,10.23,10.33,,,8.259538187543738,12.630438980085286,0.9750583783838843
28,10.83,12.07,10.83,12.05,477716,10.42,10.35,,,8.272025603291468,12.61437430562015,1.022554208499321
29,12.02,12.02,11.49,11.8,264820,10.56,10.27,,,8.309184254774333,12.160790529625332,0.9895146221779411
30,12.15,12.33,11.0,11.27,523114,10.61,10.3,,,8.265489875570927,12.172060079941973,1.013835006308088
31,10.77,10.96,10.39,10.61,523892,10.69,10.29,,,8.262218175688465,12.169529192395173,1.0042753630003676
32,10.57,10.97,10.15,10.9,633088,10.79,10.37,,,8.356205695847052,12.191054877611693,0.99111283707177
33,11.17,11.62,11.0,11.34,435010,10.94,10.45,,,8.510992727537868,12.288687935319732,0.9717476344237864
34,11.24,11.385,10.91,11.23,477298,11.06,10.52,,,8.607420085982957,12.343473184790371,0.9362656605363732
35,10.77,11.31,10.77,11.2,429534,11.2,10.62,,,8.840346299698702,12.350255343525351,0.9079609704980608
36,11.57,11.57,10.92,10.93,254506,11.26,10.71,,,9.043936033278747,12.350246702983275,0.8895351868910565
37,10.95,11.23,10.74,10.87,335260,11.13,10.77,,,9.231949851596571,12.346855599056036,0.8609969592559811
38,10.99,11.47,10.71,11.25,295550,11.07,10.78,,,9.31486895622028,12.363602290107229,0.8537828907376968
39,11.37,12.46,11.37,12.17,489848,11.17,10.87,,,9.288940383771228,12.573185006468554,0.8792269699707186
40,12.33,12.79,12.26,12.69,277292,11.4,10.98,,,9.161515625086722,12.83314146152963,0.860710757829953
41,12.8,13.6,12.8,13.41,381130,11.68,11.1,,,8.980321217648694,13.269923075400204,0.8642314179849564
42,13.04,13.325,12.86,12.99,350952,11.86,11.26,,,8.957950610863982,13.521711204597834,0.8417863167003168
43,12.55,12.77,12.29,12.46,329816,12.0,11.38,,,9.05302883023066,13.617290681458464,0.8316587226502943
44,12.25,12.48,12.04,12.28,307074,12.12,11.5,,,9.213955939546802,13.603287833370887,0.8036830996038448
45,12.59,12.69,12.09,12.14,279472,12.25,11.6,,,9.433270657260756,13.658127860153161,0.7891343067749987
46,12.16,12.29,11.93,12.01,253656,12.38,11.7,,,9.627345101698785,13.652543347981723,0.7584818562910702
47,12.26,12.48,11.99,12.13,260762,12.48,11.79,,,9.828380859024044,13.606792653505446,0.7393045808417081
48,12.51,13.08,12.51,12.85,301044,12.55,11.83,,,9.868512797454333,13.720334013474911,0.754354253638729
49,12.53,12.77,12.2022,12.54,320298,12.53,11.86,11.62,,9.875409045249834,13.781138702189253,0.746743235521677
50,12.51,12.615,11.87,11.92,335140,12.37,11.9,11.56,,9.933589321748848,13.806077771664619,0.7466187186987001
51,11.69,11.89,11.01,11.32,348690,12.18,11.93,11.49,,10.037554227761632,13.753447025236742,0.7582888102202217
52,10.79,10.9,10.32,10.87,540558,12.01,11.93,11.39,,10.077795456142942,13.762579877430458,0.7755538952044916
53,10.85,11.1,10.7,10.98,275466,11.86,11.91,11.31,,10.031682944593838,13.797287873059854,0.7487286169755993
54,10.96,12.0,10.96,11.93,352578,11.84,11.95,11.24,,10.038717093274943,13.783931591074884,0.7695337157630564
55,11.84,11.973,11.51,11.54,199916,11.79,11.96,11.23,,10.125416922271604,13.760304667165189,0.7476384503514096
56,11.8,11.88,11.4,11.79,223126,11.75,12.01,11.21,,10.18324711961335,13.751144300185162,0.728521418183452
57,11.8,12.03,11.79,11.9,178086,11.64,12.06,11.2,,10.302194212234818,13.710602878497893,0.6936270311703483
58,12.0,12.16,11.5478,12.15,290576,11.6,12.1,11.21,,10.423157495003785,13.687970193705775,0.6878108146581806
59,12.4,12.93,12.33,12.79,304554,11.7,12.13,11.2,,10.463167889222627,13.735109875391288,0.6943957564683106
60,13.12,13.32,12.44,13.05,381454,11.89,12.15,11.24,,10.457588948717312,13.81472691496643,0.70765320243486
61,13.3,13.3,12.78,12.8,216998,12.1,12.12,11.28,,10.459541526907183,13.751859915609963,0.6942494022609416
62,12.6,12.73,12.35,12.49,162312,12.27,12.1,11.35,,10.49740961690849,13.661173713277922,0.6768030163851602
63,12.61,13.05,12.3778,12.88,170604,12.38,12.12,11.41,,10.494335683730611,13.699298156353588,0.6764742295005058
64,13.05,13.17,12.87,13.02,130332,12.54,12.16,11.47,,10.454909113775988,13.77983714979805,0.6495832131076126
65,13.35,13.57,13.18,13.49,242086,12.73,12.22,11.56,,10.389633245710233,13.91468112960155,0.6424701264570689
66,13.44,13.44,13.08,13.23,140828,12.88,12.28,11.64,,10.358128522654367,14.033281508260364,0.6258651174244211
