,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.3,1.44,1.22,1.31,3329622,,,,,,,0.21999999999999997
1,1.35,1.41,1.32,1.33,1661822,,,,,,,0.2114285714285714
2,1.31,1.33,1.25,1.3,1064727,,,,,,,0.20204081632653062
3,1.25,1.2608,1.18,1.22,822710,,,,,,,0.19618075801749274
4,1.17,1.175,1.05,1.06,1335420,,,,,,,0.19431070387338614
5,1.18,1.2,1.02,1.13,1100160,,,,,,,0.19328851073957284
6,1.11,1.12,1.01,1.01,1461940,,,,,,,0.18805361711531765
7,0.89,0.94,0.78,0.8463,1911857,,,,,,,0.1910497873213664
8,0.9,0.95,0.85,0.9184,1384880,1.12,,,,,,0.18481051679841168
9,0.81,0.8745,0.81,0.8201,1063451,1.07,,,,,,0.17935262274138228
10,0.9,0.9865,0.7892,0.98,1372742,1.03,,,,,,0.180634578259855
11,0.9243,0.94,0.8455,0.8825,615534,0.99,,,,,,0.1773392512412939
12,0.89,0.99,0.86,0.9661,677197,0.96,,,,,,0.17395787615263006
13,0.98,1.06,0.885,0.9363,1392238,0.94,,,,,,0.17403231357029936
14,0.9605,1.0,0.8432,0.8763,844395,0.92,,,,,,0.17280143402956372
15,0.9701,0.98,0.902,0.968,1120321,0.91,,,,,,0.16786561731316632
16,1.0,1.05,0.9201,1.01,908505,0.93,,,,,,0.16515378750508303
17,1.0,1.07,0.975,1.01,801785,0.94,,,,,,0.1601428026832914
18,0.99,1.03,0.9251,0.95615,611708,0.95,,,,,,0.15619688820591343
19,1.02,1.07,0.97005,1.06,876547,0.96,1.03,,,0.6501108801768154,1.4151711877339739,0.15317211047691962
20,1.08,1.18,1.06,1.175,1383483,1.0,1.02,,,0.6609452030563243,1.3616928470288499,0.1508026740142825
21,1.15,1.18,1.05,1.1294,953974,1.01,1.01,,,0.6943966802866186,1.3093020268204734,0.14931676872754804
22,1.14,1.18,1.1,1.12,438703,1.03,1.0,,,0.717262891805963,1.2754261359585035,0.1443655709612946
23,1.14,1.17,1.07,1.11,500269,1.06,1.0,,,0.731953581657935,1.2564517273997793,0.1411966016069164
24,1.15,1.21,1.11,1.16,1739096,1.08,1.0,,,0.7262906474150177,1.2631111105578559,0.1382539872064224
25,1.28,1.34,1.21,1.29,3705568,1.11,1.01,,,0.705643478460913,1.2981481870266394,0.14123584526310654
26,1.35,1.36,1.29,1.305,2112418,1.15,1.03,,,0.6762143577349873,1.3442103988100726,0.13614757060145607
27,1.3,1.36,1.22,1.29,1788068,1.18,1.05,,,0.6896813990738688,1.3848966464088008,0.1364227441299235
