,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,2.66,2.9,2.57,2.65,447720,,,,,,,0.33000000000000007
1,2.76,2.83,2.64,2.79,176617,,,,,,,0.32000000000000006
2,2.65,2.82,2.5604,2.64,237734,,,,,,,0.31568571428571435
3,2.51,2.675,2.46,2.47,244826,,,,,,,0.3084938775510205
4,2.33,2.39,2.0,2.0,381705,,,,,,,0.32003002915451906
5,2.12,2.43,2.07,2.36,523578,,,,,,,0.32788502707205347
6,2.22,2.32,2.03,2.07,219311,,,,,,,0.3280360965669068
7,1.91,1.99,1.8,1.84,786043,,,,,,,0.32389066109784204
8,2.0,2.06,1.85,2.02,523479,2.32,,,,,,0.31646989959085337
9,2.0,2.05,1.75,1.86,488800,2.23,,,,,,0.31529347819150666
10,1.93,2.33,1.85,2.15,448045,2.16,,,,,,0.32705822974925614
11,2.0,2.15,1.78,1.93,548174,2.08,,,,,,0.3301254990528807
12,1.87,2.12,1.83,2.06,274744,2.03,,,,,,0.32725939197767495
13,2.09,2.1156,1.85,1.87,309903,2.02,,,,,,0.32285514969355533
14,1.91,1.98,1.78,1.79,178060,1.95,,,,,,0.3140797818583014
15,1.92,1.95,1.64,1.71,635447,1.91,,,,,,0.3137883688684227
16,1.73,2.1,1.68,1.98,466824,1.93,,,,,,0.3213749139492497
17,2.01,2.14,1.9,2.04,200726,1.93,,,,,,0.31556242009573193
18,1.93,1.9603,1.79,1.79,265030,1.92,,,,,,0.3108793900888939
19,1.77,1.9,1.7,1.71,212249,1.88,2.09,,,1.3396325106384466,2.8960043050037028,0.30295943365397293
20,1.72,1.81,1.69,1.73,166857,1.85,2.04,,,1.3489056442730982,2.7959198501522207,0.28989090267868917
21,1.68,1.71,1.455,1.46,490363,1.79,1.97,,,1.3551431506667504,2.7019401863686086,0.2888272667730685
22,1.5,1.52,1.29,1.29,342380,1.72,1.91,,,1.3367920626246812,2.6102840752890777,0.28462531914642075
23,1.3,1.4875,1.3,1.37,468166,1.68,1.85,,,1.3331649775103844,2.5384368439071747,0.2784020820645336
24,1.43,1.635,1.4,1.48,507783,1.65,1.83,,,1.2922181250722504,2.4989153490364084,0.27744479048849546
25,1.6,1.65,1.2,1.3,520997,1.57,1.77,,,1.2218421145567953,2.436370374694155,0.2897701625964601
26,1.325,1.35,1.31,1.35,381707,1.5,1.74,,,1.1890917843390092,2.424090682374855,0.27264372241099866
27,1.38,1.69,1.363,1.65,1289093,1.48,1.73,,,1.1572367799349208,2.4154347310763105,0.27745488509592736
28,1.66,1.69,1.44,1.5,381982,1.46,1.7,,,1.1432776638240993,2.3971066547189808,0.2754938218747897
29,1.52,1.63,1.43,1.43,320697,1.43,1.68,,,1.1269974306323751,2.3788380389239276,0.27010140602659044
30,1.4,1.4,1.26,1.265,359084,1.4,1.64,,,1.0936667628773953,2.3165525742673916,0.2629513055961197
31,1.39,1.39,1.18,1.2,332812,1.39,1.6,,,1.04765957631123,2.2817665185512626,0.25916906948211116
32,1.32,1.49,1.29,1.37,896200,1.39,1.56,,,1.032515452929156,2.2349174615881995,0.26137127880481753
33,1.35,1.35,1.23,1.28,253093,1.37,1.53,,,1.0181249904238168,2.1895597880868154,0.2527019017473306
34,1.26,1.27,1.19,1.19,337142,1.36,1.5,,,0.9979630545223336,2.168526233431895,0.24108033733680698
35,1.25,1.26,1.12,1.16,489576,1.34,1.48,,,0.961147366234562,2.14354572812782,0.23386031324132076
36,1.2,1.27,1.1622,1.26,452369,1.3,1.44,,,0.9409026545126837,2.0730815355533374,0.22501314800979785
37,1.34,1.35,1.16,1.17,279746,1.26,1.4,,,0.9655295531657502,1.9667670252919995,0.2225122088662409
38,1.25,1.27,1.16,1.25,419385,1.24,1.37,,,0.987226491374632,1.8997133335615872,0.2144756225186523
39,1.28,1.29,1.21,1.25,570477,1.24,1.35,,,1.0139316172598638,1.8336307151851923,0.20487022091017715
