,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,16.39,17.09,15.94,16.32,282859,,,,,,,1.1500000000000004
1,16.2,16.2,15.29,15.925,411181,,,,,,,1.141428571428572
2,15.82,15.95,14.75,15.11,403893,,,,,,,1.1456122448979595
3,15.3,16.11,15.19,16.02,206645,,,,,,,1.135211370262391
4,15.66,15.89,15.48,15.84,430955,,,,,,,1.092696272386506
5,15.19,16.01,15.19,15.77,410645,,,,,,,1.0732179672160413
6,14.91,15.17,14.27,14.3,283589,,,,,,,1.1037023981291814
7,14.64,14.75,13.74,14.41,321527,,,,,,,1.0970093696913827
8,13.97,14.485,13.2,13.25,423959,15.22,,,,,,1.110437271856284
9,12.5,12.66,11.13,11.4,668407,14.67,,,,,,1.1825488952951209
10,12.03,13.1,11.66,13.095,406975,14.35,,,,,,1.2195096884883265
11,13.29,13.29,10.87,10.91,490236,13.89,,,,,,1.305258996453446
12,11.28,12.0,10.68,11.5,496719,13.39,,,,,,1.3063119252781998
13,10.73,11.75,10.32,10.7001,371032,12.82,,,,,,1.3151467877583285
14,10.62,11.61,10.165,11.42,379398,12.33,,,,,,1.3244220172041623
15,11.52,12.13,10.98,11.26,492914,11.99,,,,,,1.3119633016895793
16,11.33,11.84,10.9,11.07,271868,11.62,,,,,,1.285394494426038
17,11.63,12.27,11.15,11.66,282816,11.45,,,,,,1.279294887681321
18,11.59,11.88,10.81,11.16,400054,11.42,,,,10.394683260032417,16.00733570392951,1.264345252846941
19,11.22,11.95,10.87,11.83,369842,11.28,13.15,,,10.25067224281163,15.60959910373266,1.2511777347864452
20,11.42,12.13,11.13,11.2,238549,11.31,12.89,,,10.144266233593886,15.304944223239506,1.2332364680159849
21,11.34,11.57,11.01,11.32,187353,11.29,12.66,,,10.038637859399131,15.00187778941874,1.185148148871986
22,11.31,11.84,11.15,11.29,402116,11.36,12.47,,,10.001654182036216,14.628850480017606,1.1497804239525582
23,10.98,11.28,10.12,10.24,248304,11.23,12.18,,,9.954745438188954,14.241830468464993,1.1512246793845184
24,10.1,10.91,10.1,10.58,195970,11.15,11.92,,,9.979482913396756,13.761935736118383,1.12685148799991
25,10.47,10.57,9.92,10.24,360477,11.06,11.64,,,9.981390432325965,13.385928667720247,1.0935049531427736
26,10.71,11.95,10.69,11.88,267052,11.08,11.52,,,10.096363887919056,13.024845935917917,1.1375403136325755
27,12.32,13.065,12.11,12.4,445639,11.22,11.42,,,10.228078086021783,12.757021083139263,1.1409302912302486
28,12.56,13.6,12.36,13.3,451218,11.38,11.42,,,10.18173627224098,12.89342235910257,1.1480066989995166
29,13.63,13.84,12.72,12.88,531877,11.57,11.5,,,10.120416061607497,13.010926765354512,1.146006220499551
30,12.77,12.78,12.03,12.22,285420,11.67,11.45,,,10.13849152794078,12.947715394106364,1.1248629190352972
31,12.25,12.37,11.98,12.01,250002,11.75,11.51,,,10.178880654979354,12.970634181969887,1.072372710532776
32,11.6,11.84,11.4,11.55,181585,11.9,11.51,,,10.25594886409438,12.973503555301185,1.0393460883518635
33,11.52,11.62,11.12,11.41,291590,11.99,11.55,,,10.344912419071239,12.973685455721402,1.000821367755302
34,11.67,12.05,11.62,11.8,169058,12.16,11.57,,,10.373689238727001,12.969375656550364,0.9750484129156376
35,11.55,11.7,11.12,11.15,209281,12.08,11.56,,,10.389054318827224,12.965120832618197,0.9539735262788065
36,11.0,11.21,10.67,11.14,226849,11.94,11.56,,,10.352028521399468,12.932443782353204,0.9244039886874632
37,11.5,12.09,11.41,11.97,279226,11.79,11.58,,,10.388938475339497,12.943058214611632,0.9262322752097872
38,12.09,12.56,12.02,12.42,245993,11.74,11.64,,,10.433568243852081,12.98486568837715,0.9022156841233739
39,12.64,13.07,12.35,13.05,143598,11.83,11.7,,,10.459854244030108,13.069154445085097,0.8892002781145616
40,13.21,13.89,13.185,13.86,148297,12.04,11.84,,,10.470678576362243,13.27880452374161,0.8856859725349501
41,14.28,14.34,13.68,13.94,164575,12.3,11.97,,,10.466172266418138,13.531026538280853,0.8695655459253108
42,14.36,14.9715,14.2,14.71,205955,12.67,12.14,,,10.57952724918605,13.859812067968363,0.8811322926449315
43,14.38,14.38,13.82,13.89,217288,12.9,12.32,,,10.767996985316577,14.043318905769032,0.8817657003131508
44,13.47,13.97,13.15,13.97,209461,13.22,12.49,,,11.041224067349642,14.122504202093122,0.8773538645764972
45,13.68,13.92,13.25,13.44,118590,13.47,12.65,,,11.220000065359887,14.223214911422897,0.8661143028210332
46,13.58,13.93,13.22,13.28,234024,13.62,12.72,,,11.257719345127123,14.290696463353909,0.8549632811909593
47,13.12,13.75,12.63,12.79,124328,13.66,12.74,,,11.270265172733263,14.303589371260612,0.873894475391605
48,12.99,13.23,12.84,13.12,118256,13.67,12.73,,,11.273880876201705,14.255336386484771,0.8429020128636333
49,13.47,14.31,13.27,14.13,190471,13.7,12.79,12.68,,11.32360076308935,14.374812638872413,0.8676947262305168
50,13.03,13.65,12.77,13.38,246801,13.63,12.85,12.62,,11.370567130196477,14.432606717791373,0.9028593886426228
51,13.48,13.72,13.17,13.53,190741,13.5,12.93,12.58,,11.492595634572467,14.484889488508882,0.8776551465967213
52,13.36,13.79,13.22,13.56,327149,13.47,13.03,12.54,,11.667181982736977,14.519537450645727,0.8556797789826697
53,13.14,13.65,12.68,13.65,308537,13.43,13.14,12.5,,11.764113353477805,14.545901779007487,0.8638455090553362
54,13.51,14.08,13.51,13.76,262935,13.47,13.24,12.46,,11.97644090142824,14.568071826566175,0.8428565441228122
55,14.42,14.64,14.07,14.09,325283,13.56,13.38,12.42,,12.323870619536795,14.541532042247294,0.8455096481140401
56,13.89,14.03,13.33,13.33,230535,13.62,13.49,12.4,,12.568434963549192,14.494682150613336,0.8394018161058944
57,13.59,14.07,13.59,13.89,297807,13.7,13.59,12.39,,12.727556856997102,14.460886361093715,0.8323016863840448
58,13.88,14.04,13.76,13.78,312994,13.66,13.66,12.4,,12.846740703036293,14.450045613280812,0.7928515659280415
59,13.9,14.04,13.75,13.98,177943,13.73,13.7,12.45,,12.867311649541866,14.456581964101328,0.7569335969331814
60,14.42,14.44,14.02,14.28,243219,13.81,13.72,12.48,,12.863692125529967,14.46744793916092,0.735724054295097
61,14.55,14.75,14.34,14.55,569769,13.92,13.76,12.55,,12.855225087001,14.426243830514155,0.7167437647025902
62,14.87,15.05,14.58,14.66,532018,14.04,13.75,12.61,,12.824226380126262,14.530736980786743,0.7012620672238338
63,14.42,14.54,13.99,14.37,325411,14.1,13.78,12.69,,12.85743019803054,14.575372767077251,0.6990290624221314
64,14.47,14.805,14.35,14.59,286571,14.16,13.81,12.75,,12.880532902340335,14.651834187728861,0.6815984151062648
65,14.85,15.45,14.79,15.24,309639,14.37,13.9,12.83,,12.896401260492382,14.825251421010543,0.6943413854558174
66,15.51,15.75,15.41,15.55,256455,14.56,14.01,12.92,,12.960616209543582,15.028994132606556,0.6811741436375447
67,15.39,16.2,15.37,16.03,206097,14.81,14.17,13.01,,13.03658459447966,15.269872896285573,0.6918045619491486
68,16.41,16.785,16.18,16.6,321829,15.1,14.35,13.12,,13.031819884346168,15.588613670951954,0.6963185218099236
69,16.92,17.12,16.61,17.01,201949,15.4,14.49,13.22,,13.104155114131384,15.922933803362922,0.6837243416806433
70,16.26,16.46,15.71,16.17,270653,15.58,14.63,13.32,,13.219375378951865,16.104005742944434,0.7277440315605974
71,15.85,15.85,13.71,13.78,311373,15.48,14.64,13.37,,13.27181619629465,16.192750949985918,0.8514766007348404
72,13.02,13.41,12.29,12.29,474902,15.25,14.58,13.39,,13.207978706236007,16.200958942077627,0.8970854149680662
73,12.71,12.769,12.37,12.52,102083,15.02,14.52,13.43,,13.059221965492956,16.244268539158444,0.8672221710417758
74,12.01,13.41,11.85,13.07,344238,14.78,14.49,13.48,,12.79671140900595,16.23616196389822,0.916706301681649
75,13.65,13.72,12.78,13.0,219874,14.5,14.43,13.54,,12.73823314903481,16.23542616662011,0.9183701372758171
76,12.87,13.08,12.13,12.13,143657,14.06,14.37,13.54,,12.576627968040924,16.244435680705514,0.9206294131846873
77,11.94,12.19,11.61,11.63,168804,13.51,14.26,13.53,,12.339566509894878,16.285783578100425,0.8962987408143526
78,11.62,11.84,11.34,11.545,332338,12.9,14.15,13.49,,12.082237579866128,16.326270076232003,0.8679916878990417
79,11.39,11.63,11.08,11.58,205113,12.39,14.03,13.47,,11.795216954558263,16.33659815498943,0.8452779959062531
80,11.81,11.98,11.34,11.75,218695,12.17,13.9,13.46,,11.555745574662865,16.290150294174506,0.8306152819129493
81,11.54,11.85,11.43,11.65,254348,12.1,13.76,13.45,,11.341310859469184,16.20542088515711,0.8012856189191673
82,11.54,11.72,11.26,11.71,236961,12.01,13.61,13.45,,11.136662683568307,16.1423771570858,0.7769080747106554
83,11.59,11.59,11.1,11.12,165638,11.79,13.45,13.45,,10.921250836949888,16.04453220413653,0.7649860693741801
84,11.39,12.0476,11.36,11.9,155994,11.67,13.31,13.45,,10.750793528283326,15.864781657321707,0.7766013501331672
85,11.7,12.06,11.7,11.94,145229,11.65,13.15,13.47,,10.646193925220878,15.631039103125294,0.7468441108379411
86,12.05,12.16,11.58,11.78,125363,11.66,12.96,13.48,,10.55905505231343,15.312337668771523,0.7349266743495169
87,12.0,12.09,11.59,11.63,124158,11.67,12.74,13.47,,10.575009794869205,14.853521916334321,0.7181461976102657
88,11.9,12.02,11.61,11.98,141139,11.72,12.51,13.46,,10.772610720542273,14.237246742882023,0.6961357549238181
89,11.78,11.94,11.54,11.58,106434,11.7,12.24,13.43,,11.05893549588011,13.634981036417084,0.6778403438578311
90,11.53,11.65,11.2,11.39,146507,11.67,12.0,13.38,,11.134159445411257,13.001376402936721,0.6615660335822718
91,11.33,11.33,10.95,11.1,160920,11.6,11.86,13.33,,11.066358464825754,12.861916139159101,0.6457398883263954
92,11.11,11.72,11.11,11.7,197429,11.67,11.84,13.27,,11.035588842389032,12.795516900848781,0.6439013248745101
