,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,21.19,21.75,20.73,21.61,19135,,,,,,,1.0199999999999996
1,21.1,21.4,20.18,20.685,26448,,,,,,,1.049285714285714
2,20.19,20.96,20.15,20.73,46688,,,,,,,1.0321938775510202
3,19.6,19.74,18.35,18.6,37405,,,,,,,1.128465743440233
4,19.07,19.165,17.51,18.66,24827,,,,,,,1.166075333194502
5,18.31,18.44,17.22,17.49,28269,,,,,,,1.1856413808234663
6,16.64,17.6099,15.4,16.1,38680,,,,,,,1.2588027107646473
7,17.2,17.37,16.0,16.895,64603,,,,,,,1.2667453742814583
8,16.0,16.89,15.51,15.64,103780,18.49,,,,,,1.2751921332613543
9,15.93,18.12,15.69,18.11,48795,18.1,,,,,,1.3612498380284004
10,17.14,18.14,13.74,14.605,71482,17.43,,,,,,1.5783034210263718
11,14.75,19.17,14.75,17.05,49657,17.02,,,,,,1.7916388909530596
12,17.14,17.19,15.34,15.67,84605,16.69,,,,,,1.7958075415992698
13,15.53,16.02,14.02,15.6,46265,16.35,,,,,,1.810392717199322
14,16.18,17.17,16.05,16.44,36816,16.23,,,,,,1.7932218088279421
15,16.4,16.4,15.37,15.44,31166,16.16,,,,,,1.741563108197375
16,15.6,16.91,15.6,16.91,28609,16.16,,,,,,1.722165743326134
17,16.76,16.76,15.94,16.03,21267,16.21,,,,,,1.6684396188028388
18,16.12,16.83,16.0,16.46,41267,16.02,,,,,,1.608551074602636
19,16.35,16.68,16.075,16.45,59289,16.23,17.26,,,12.533760624660141,21.552128711639824,1.536868854988162
20,15.75,16.43,15.09,15.4,34305,16.04,16.95,,,12.75615121975475,20.908861066417654,1.5242353653461505
21,15.19,16.495,14.71,16.25,46500,16.11,16.73,,,12.981125504236127,20.223942225023862,1.5428614106785683
22,16.0,16.49,15.87,16.47,40064,16.21,16.51,,,13.538745107424308,19.516540877520686,1.476942738487242
23,16.96,17.445,16.72,17.05,79972,16.27,16.44,,,13.774809989765513,19.094205701104116,1.4410896857381534
24,17.45,17.75,16.46,17.0,25832,16.45,16.35,,,13.894862522134087,18.812311972638163,1.4302975653282852
25,17.24,17.75,16.99,17.55,57296,16.52,16.36,,,13.928064627159223,18.694036148742995,1.3824191678048365
26,17.97,18.88,17.85,18.88,21725,16.83,16.49,,,13.761925847206216,18.93011374110754,1.3786749415330626
27,18.43,18.84,17.11,17.16,34774,16.91,16.51,,,13.718283628896543,19.148615082136985,1.406626731423558
28,17.68,17.78,16.48,16.62,51034,16.93,16.56,,,13.744080406028548,19.192577651501804,1.3990105363218754
29,16.01,16.27,15.48,15.82,67774,16.98,16.44,,,13.729215083487118,19.125702448925313,1.3805097837274558
30,15.66,15.8,15.0,15.43,119879,16.89,16.48,,,13.988100302210398,19.071742460982968,1.3404733706040661
31,15.74,16.55,15.74,16.02,76884,16.84,16.43,,,14.109118827498092,18.704077036849018,1.3247252727037757
32,15.48,16.5,15.48,16.09,43580,16.73,16.45,,,14.12419616633449,18.683316834697116,1.302959181796363
33,15.18,16.01,15.18,15.83,45063,16.6,16.46,,,14.375536846478836,18.68402340026668,1.2748906688109085
34,16.15,16.8431,15.6,15.73,36669,16.4,16.43,,,14.34566861163512,18.66655376991214,1.2726199067529864
35,15.8,16.36,15.8,16.05,131148,16.08,16.46,,,14.387951091633202,18.667479202019877,1.2267184848420587
36,16.03,16.5,15.95,16.26,40892,15.98,16.43,,,14.414507130807475,18.659806066844997,1.1783814502104832
37,16.79,18.3,16.73,17.94,161928,16.13,16.52,,,14.418313649237676,18.83680223703974,1.2399256323383059
38,18.67,18.67,17.83,18.46,53939,16.42,16.62,,,14.315757017802424,19.068562682431498,1.2113595157427128
39,18.99,20.05,18.99,19.66,62244,16.89,16.78,,,14.046348810145966,19.622120708331828,1.2384052646182335
40,19.06,19.1,18.19,18.56,81186,17.18,16.94,,,14.111635825690394,19.852859100402473,1.2549477457169311
41,17.99,18.28,17.22,18.2,36347,17.41,17.04,,,14.356623676844313,19.930302026343302,1.2610229067371503
42,18.05,18.2962,17.67,17.94,67580,17.64,17.11,,,14.413539057263439,19.995286411763942,1.2156784133987824
43,18.1,18.145,16.64,16.76,26166,17.76,17.1,,,14.409984930554831,20.041255042865334,1.236344241013155
44,16.78,17.14,16.4017,17.05,78672,17.87,17.1,,,14.406030335358464,20.01999015995789,1.200769652369358
45,17.56,17.56,16.84,17.1,42853,17.96,17.08,,,14.402851145644284,20.009554269030428,1.166428962914404
46,17.56,17.87,17.39,17.69,51720,17.94,17.02,,,14.425195789975568,19.886991813763814,1.138112608420518
47,17.35,17.8422,16.66,16.81,87742,17.75,17.0,,,14.416336976893014,19.762156685320843,1.1412617078190523
48,16.98,16.98,16.07,16.1,33871,17.36,16.98,,,14.384677373238274,19.729073889001043,1.1247430144034056
