,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,24.8,25.2141,24.55,24.9615,46961,,,,,,,0.6640999999999977
1,25.0,25.33,24.6,24.64,75201,,,,,,,0.6688071428571405
2,24.99,25.51,24.9,25.51,28074,,,,,,,0.6831780612244877
3,25.3,25.52,25.3,25.41,27679,,,,,,,0.650093913994167
4,25.32,25.53,24.035,25.01,66026,,,,,,,0.7104443487088695
5,24.38,24.38,22.17,22.17,38540,,,,,,,0.862555466658236
6,22.58,23.0842,22.25,22.82,60098,,,,,,,0.8662443618969333
7,22.8581,22.8581,21.46,21.65,41202,,,,,,,0.9042340503328666
8,20.1,20.1,17.12,17.95,74020,23.35,,,,,,1.1632173324519475
9,22.0,22.0,19.03,20.0,81683,22.8,,,,,,1.3694160944196656
10,16.55,18.592,15.9509,16.55,50684,21.9,,,,,,1.5608220876754038
11,16.0381,16.25,13.5344,14.0,112822,20.62,,,,,,1.6647347956985894
12,13.0,13.0,8.37,9.35,59342,18.83,,,,,,1.9479680245772617
13,9.34,12.36,8.13,12.36,179890,17.43,,,,,,2.1109703085360287
14,13.1,14.0,12.1435,12.2501,209241,16.33,,,,,,2.0927938579263126
15,11.18,11.7705,10.2528,10.97,70354,15.01,,,,,,2.085972868074433
16,13.49,13.96,12.5201,13.9295,47283,14.15,,,,,,2.150546234640545
17,14.51,17.18,14.465,17.13,35155,14.06,,,,,,2.2291143607376487
18,17.17,19.1999,17.17,17.88,46907,13.82,,,,,,2.217741906399245
19,17.52,17.86,16.0,16.15,39097,13.78,18.53,,,6.208100089869985,29.554513682980918,2.193617484513585
20,16.15,17.5,15.74,16.26,27692,14.03,18.1,,,6.206626621076715,28.857007123201765,2.1626448070483293
21,16.84,16.97,15.7,16.1,48935,14.78,17.67,,,6.303135357203054,28.05187484458296,2.0988844636877344
22,15.75,16.15,14.4957,15.28,26703,15.11,17.16,,,6.460455208392862,27.102207517604384,2.0671284305671818
23,15.95,15.9694,14.77,14.96,56896,15.41,16.64,,,6.883157828628319,26.00803824294519,2.005147828383812
24,15.0,15.487,13.8,14.9,39059,15.84,16.13,,,7.240693868173667,24.72885884071259,1.982422983499254
25,15.3,16.0492,15.3,15.6,116857,16.03,15.8,,,7.586198509834685,23.55427911961296,1.9229070561064499
26,15.95,17.25,15.85,17.25,45874,16.04,15.53,,,8.105308442099972,22.610823516879073,1.9034136949559892
27,17.6,19.0341,17.59,18.73,118754,16.14,15.38,,,8.578211947294387,21.796184237825862,1.8948912881734183
28,19.19,21.01,19.19,20.34,115235,16.6,15.5,,,8.4104161532211,21.985287077796528,1.9223990533038884
29,20.02,20.02,18.99,19.67,53895,16.98,15.48,,,8.414657151779071,21.529028615337253,1.881513406639325
30,20.32,20.48,19.3156,20.42,252382,17.46,15.68,,,8.237440798650299,21.854961221299774,1.830291020450802
31,20.2267,20.56,19.5,20.25,134078,18.01,15.99,,,8.211462844237309,22.358571015366,1.7752702332757446
32,19.5659,20.3,19.5659,19.924,489273,18.56,16.52,,,9.232574658838274,22.633693001798832,1.7009009308989058
33,20.5,20.8,20.075,20.25,716808,19.16,16.91,,,10.559849587323935,22.794357823595153,1.6419794358346984
34,20.3,20.38,19.9706,20.25,227172,19.68,17.31,,,11.028868457834221,22.970568974235213,1.5539380475607911
35,20.15,20.389,19.16,19.27,202755,19.9,17.73,,,12.218633435721634,22.61363213984117,1.5307281870207345
36,20.09,20.09,19.55,19.85,123524,20.02,18.02,,,12.926732215503822,22.45680092233601,1.479961887947825
37,19.49,20.19,19.32,19.9,46356,19.98,18.16,,,13.296970478105838,22.603290709743305,1.4363931816658375
38,20.37,20.37,19.685,19.9,144633,20.0,18.26,,,13.32286793502016,22.723941964435916,1.382722240118278
39,20.05,20.12,19.65,20.09,85108,19.96,18.46,,,13.49561199768748,22.848028884449413,1.3175277943955441
40,20.0,20.61,20.0,20.24,71690,19.96,18.66,,,13.728666745412216,23.007112891836986,1.2669900947958626
41,20.22,21.14,20.22,21.0707,48412,20.09,18.91,,,14.004641737387745,23.179232501536845,1.2422050880247297
42,21.29,21.84,21.27,21.58,79153,20.24,19.22,,,14.542685757130927,23.31589028062853,1.2084261531658205
43,21.55,21.55,20.8321,21.39,152236,20.37,19.54,,,15.166541925442557,23.269049465611452,1.1755314279396905
44,21.0,21.35,20.98,21.35,30913,20.6,19.87,,,16.29768272536356,22.912283773637036,1.1208506116582841
45,21.73,21.73,21.08,21.53,153484,20.78,20.16,,,17.14770507487892,22.477026061794497,1.087218425111264
46,21.5,21.5,20.61,20.9853,6164,20.9,20.35,,,18.095733699080398,22.063431816775463,1.075274251889031
47,20.15,20.985,20.0,20.6,43680,20.98,20.44,,,18.573191771757266,21.931604928334675,1.068847519611243
48,20.85,21.58,20.85,21.24,9729,21.11,20.49,,,18.648514717665797,22.011681856619614,1.0625012682104398
49,21.38,21.73,21.17,21.7,17843,21.27,20.59,19.03,,18.759411294597264,22.106955395828443,1.0266083204811225
50,21.82,21.82,20.51,20.885,54374,21.25,20.61,18.95,,18.866804864167197,22.226334164233702,1.0468505833038995
51,21.15,21.15,19.7,19.8,44566,21.05,20.59,18.85,,18.89604980983614,22.244926919202076,1.0756469702107638
52,19.06,19.81,18.56,19.41,44724,20.83,20.56,18.73,,18.675917187029462,22.292951489093817,1.0881007580528521
53,19.47,20.06,18.84,19.95,21942,20.68,20.55,18.62,,18.500864728204398,22.31394261273211,1.0975221324776483
54,20.8,20.8,20.03,20.035,40510,20.51,20.54,18.52,,18.504610671683064,22.313198006901118,1.0798419801578163
55,20.36,20.36,19.92,19.97,62190,20.4,20.57,18.48,,18.60183113691785,22.314261100433722,1.0341389815751152
56,20.29,20.29,19.82,19.82,62028,20.31,20.57,18.42,,18.63246064844312,22.30096732874972,0.9938433400340355
57,19.58,19.81,19.0,19.475,48582,20.12,20.55,18.37,,18.573438583775182,22.336486017474407,0.981425958603033
58,19.62,19.795,19.4,19.5,49738,19.87,20.53,18.41,,18.536824165540366,22.377733115238406,0.9395383901313881
59,19.75,19.98,19.3,19.75,23777,19.75,20.51,18.4,,18.489925870102642,22.38756784137478,0.9209999336934318
60,19.92,20.51,19.61,20.28,32908,19.8,20.52,18.48,,18.455753615359058,22.387241808963065,0.9194999384296154
61,20.4806,21.15,20.33,20.61,25436,19.93,20.49,18.61,,18.458595899825493,22.38810055175147,0.9159642285417856
62,20.25,20.42,19.79,19.99,29190,19.94,20.41,18.82,,18.47823430416975,22.26107671888775,0.909109640788801
63,19.74,20.56,19.74,20.0,82578,19.93,20.34,18.97,,18.468637844889734,22.173385210482213,0.9027446664467438
64,20.25,20.355,20.05,20.09,86806,19.95,20.28,19.13,,18.499702289204237,22.107445837293696,0.8636200474148336
65,20.09,20.4,19.96,19.99,176768,19.96,20.2,19.31,,18.55328046497382,21.962348826232095,0.8333614725994881
66,20.0,20.585,20.0,20.585,42416,20.09,20.18,19.44,,18.568893070535673,21.854481618908185,0.8163356531280963
67,21.0,21.85,21.0,21.6,41577,20.32,20.23,19.53,,18.51522968441016,22.007988973644323,0.8483831064760895
68,21.75,22.45,21.75,22.16,49084,20.59,20.28,19.62,,18.37809335067707,22.221953040170934,0.8484985988706545
69,21.3,22.0,21.24,21.54,192128,20.73,20.27,19.73,,18.369446220778258,22.27816555010136,0.853605841808465
70,21.54,21.54,21.04,21.3,125342,20.81,20.29,19.83,,18.337305516607618,22.226967720660546,0.828348281679289
71,20.98,20.98,19.55,19.75,22917,20.78,20.29,19.9,,18.323464831590357,22.2096773299212,0.8941805472736255
72,20.27,20.47,20.07,20.07,7294,20.79,20.32,20.0,,18.53581661541001,22.19058532722326,0.8817390796112237
73,19.55,19.79,19.43,19.7,97102,20.74,20.31,20.09,,18.642696476288894,22.207142740720137,0.8644720024961363
74,20.0,20.5,19.84,20.06,17044,20.75,20.31,20.19,,18.630027136089073,22.194127734620263,0.8598668594606981
75,20.14,20.2279,19.4,19.62,57612,20.64,20.29,20.27,,18.575701785265217,22.194761185586298,0.8575835123563628
