,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,25.0,25.48,25.0,25.25,18881,,,,,,,0.4800000000000004
1,25.4525,25.75,25.25,25.34,22219,,,,,,,0.4814285714285718
2,25.505,25.84,25.4,25.75,17467,,,,,,,0.4827551020408167
3,25.6115,25.65,25.6,25.65,4728,,,,,,,0.45898688046647257
4,25.6,25.64,25.17,25.17,25606,,,,,,,0.46048781757601
5,24.0,24.5999,21.74,22.75,75996,,,,,,,0.6725958306062952
6,23.25,24.44,23.1979,24.44,19731,,,,,,,0.74526755699156
7,24.02,24.02,22.0,22.25,42084,,,,,,,0.8663198743493058
8,21.75,21.98,16.15,21.59,166199,24.24,,,,,,1.2401541690386413
9,22.02,23.73,22.0014,22.89,132040,23.98,,,,,,1.3044288712501668
10,21.06,21.06,18.65,19.1,88324,23.29,,,,,,1.5141125233037265
11,18.62,18.8318,15.58,17.21,141524,22.34,,,,,,1.6573902002106033
12,16.96,16.96,12.3,12.31,78936,20.86,,,,,,1.8897194716241317
13,12.5,15.6,11.58,13.75,76537,19.59,,,,,,2.0418823665081223
14,14.01,15.5,13.01,13.02,53138,18.51,,,,,,2.0738907689003994
15,13.1,14.34,11.0,12.3167,69432,17.16,,,,,,2.1643271425503707
16,13.59,15.59,13.36,14.785,45139,16.33,,,,,,2.2435394895110585
17,15.56,17.83,15.2999,17.71,39667,15.9,,,,,,2.300786668831697
18,18.68,19.84,17.02,19.49,58752,15.52,,,,,,2.337873335343719
19,18.41,18.8,17.5,17.5,44855,15.34,19.91,,,8.461134941850183,29.303965084890923,2.3130252399620246
20,16.7,18.3999,16.7,17.66,74738,15.39,19.53,,,8.42633917393156,28.75886345250141,2.269230579964737
21,17.99,19.4,16.7,17.23,65164,15.94,19.13,,,8.509305021852906,28.099210542776497,2.29999982425297
22,17.2,17.58,16.1,16.73,55862,16.27,18.68,,,8.681533957913555,27.336202850807027,2.2414284082349005
23,16.51,17.49,16.06,16.89,88556,16.7,18.24,,,9.046837885705326,26.498369418463486,2.183469236218122
24,16.58,16.6921,15.17,16.1,64241,17.12,17.79,,,9.48618927568966,25.539623172866946,2.1503642907739704
25,17.25,17.86,16.66,17.0,47681,17.37,17.5,,,9.664599878797745,24.679706034165186,2.122481127147258
26,17.15,18.25,17.04,18.0,74159,17.4,17.18,,,10.183841025958552,23.737477623533977,2.0601610466367397
27,17.75,20.0,17.75,19.1,88440,17.36,17.02,,,10.621745236001743,22.915749027673357,2.0737209718769725
28,21.0,22.0,20.64,21.29,51583,17.78,17.0,,,10.40675289402618,22.92011582666781,2.1327409024571886
29,21.08,21.08,19.62,19.62,65133,18.0,16.84,,,10.74160692892123,22.252920692597137,2.0996879808531035
30,19.8,21.31,19.7,20.93,96562,18.41,16.93,,,10.655835524349508,22.304073239345314,2.0704245536493104
31,20.8,20.9899,20.06,20.83,58690,18.86,17.11,,,10.573055271329775,22.593534868173002,1.9889585141029313
32,20.33,20.99,20.12,20.92,45378,19.31,17.54,,,11.00810601997081,22.91110308701159,1.909032905952722
33,22.72,22.72,20.58,21.02,264388,19.86,17.91,,,11.702447016149573,23.434625153958514,1.9255305555275275
34,20.61,21.0,20.36,20.5,50382,20.25,18.28,,,12.218908354022936,23.524579285265826,1.83513551584699
35,20.4,20.4389,19.15,19.15,84840,20.37,18.62,,,13.540061301236651,23.247147782248014,1.8004829790007766
36,19.8,20.1,19.49,19.67,85900,20.44,18.87,,,14.333498646076348,23.030980233596804,1.7397341947864358
37,20.0,20.1377,19.57,19.75,80550,20.27,18.97,,,14.733163386315724,23.042762926828775,1.6560174665874046
38,19.95,19.95,19.6907,19.8,210078,20.29,18.98,,,14.868420005937596,23.04923677889045,1.5562519332597329
39,19.99,20.35,19.86,20.195,71950,20.2,19.12,,,14.960316700198959,23.104525111380642,1.4843767951697522
