,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,46.69,46.79,45.25,45.52,57971,,,,,,,1.5399999999999991
1,46.0,47.13,45.555,47.1,115439,,,,,,,1.5449999999999993
2,47.33,48.26,45.9,46.15,169638,,,,,45.243128269822115,48.162900311141854,1.603214285714285
3,47.16,47.83,46.44,47.8299,66198,,,,,45.51893386140618,48.31035076926397,1.608698979591836
4,47.3,47.3,46.624,47.02,30523,,,,,45.94502849236883,48.27753393872137,1.5799276239067048
5,45.94,46.72,45.39,46.72,35791,,,,,45.485611669773164,47.83852098929601,1.5835042221990832
6,44.1,44.59,42.06,42.12,47712,,,,,42.33048066251008,47.63029981273405,1.8032539206134341
7,43.75,43.83,41.65,43.59,57254,,,,,40.982130434219414,46.544809961993685,1.8301643548553317
8,42.29,43.15,41.78,42.12,48116,45.35,,,,41.62047673160233,44.57703694182609,1.8287240437942367
9,39.14,39.85,28.0,35.48,116747,44.24,,,,29.224707610814725,44.40554743677411,2.706672326380362
10,38.52,38.66,36.05,38.66,127207,43.3,,,,28.35419360183402,42.87949612499974,2.740481445924622
11,35.38,36.39,33.53,34.84,331559,42.04,,,,28.408944804601006,40.057868026900756,2.9111613426442915
12,36.44,37.19,35.13,36.31,85742,40.76,,,,33.62813400250955,38.56469484620984,2.8710783895982703
13,34.01,34.01,28.66,30.51,93478,38.93,,,,29.0700890219473,37.51745948732925,3.2124299331983943
14,29.85,35.59,29.3,35.0,120936,37.63,,,,27.464905330850222,37.1866771488124,3.4322563665413663
15,34.71,35.99,33.095,34.33,16238,36.76,,,,27.954416505892144,36.24363053105422,3.393880911788412
16,34.43,34.45,29.74,32.0,29735,35.47,,,,28.635947915647282,36.14241614089042,3.48788941808924
17,36.0,36.01,33.76,36.01,72926,34.79,,,,30.043546027510907,36.378282121439845,3.5251830310828653
18,36.79,40.71,35.13,39.47,15874,35.24,,,,30.075196814368866,40.31527577690578,3.671955671719804
19,39.9,41.48,39.13,41.48,18255,35.55,40.11,,,33.21639188927764,42.360962681291326,3.5775302665969604
20,39.79,41.61,38.3108,40.65,13694,36.2,39.87,,,35.410601448178426,41.75311639000218,3.5576495332686062
21,41.0,43.5756,39.9,40.42,37014,36.65,39.54,,,38.318873078347025,43.39603465010566,3.5660745666065634
22,40.75,40.75,39.57,39.93,15287,37.7,39.22,,,38.42161285648434,43.42693467734444,3.395640668991809
23,36.54,38.48,36.1,36.59,23722,37.88,38.66,,,36.41818884106366,43.488043340277635,3.426666335492394
24,34.26,38.46,34.26,37.622,21336,38.24,38.19,,,33.9469592247695,40.54639659677464,3.481904454385795
25,37.8,37.8,36.7,37.23,8980,38.82,37.72,,,34.41523702514759,38.633620582958024,3.3117684219296666
26,38.46,40.03,38.2906,40.02,9376,39.27,37.61,,,34.38670473880639,39.90886086828533,3.2752135346489766
27,41.11,41.63,40.04,40.04,83176,39.33,37.44,,,36.67290427416628,41.743616385873196,3.156269710745478
28,40.04,42.23,39.88,41.84,25948,39.37,37.42,,,38.43639040008436,42.433914807282044,3.0986790171208005
29,41.69,45.01,41.69,44.45,40636,39.79,37.87,,,39.53465202938164,44.76003388754353,3.114487658755029
30,44.73,46.122,43.0,43.52,55292,40.14,38.11,,,39.956670212769936,46.45868650915792,3.115024254558241
31,43.0,43.52,42.1448,42.74,41280,40.45,38.51,,,41.613146366770884,46.18956807559,2.990751093518367
32,40.88,41.75,36.86,41.25,34481,40.97,38.76,,,37.34260688049889,45.996488019419125,3.1971260154099124
33,41.62,41.62,40.2,40.2,10014,41.25,39.24,,,37.06201488838716,43.358096519899135,3.0701884428806325
34,41.83,41.85,40.69,41.85,10831,41.77,39.58,,,37.16574953520453,41.85532562594571,2.968746411246302
35,40.0,41.03,39.76,40.14,19175,41.78,39.87,,,39.75144270626324,41.92296571965086,2.9059788104429947
36,39.19,39.98,39.19,39.66,13661,41.74,40.26,,,39.12283423215248,41.890687766476475,2.7662660382684954
37,39.93,40.74,39.865,40.7399,19266,41.62,40.49,,,39.241785187526546,41.12558173889402,2.64581846410646
38,40.59,40.9,40.25,40.4,37266,41.17,40.54,,,39.23176243090435,41.031528229097546,2.50326000238457
39,40.44,41.14,40.12,41.14,27438,40.9,40.52,,,39.8824804974247,41.12799558493999,2.397312859357101
40,41.34,41.34,40.79,41.04,3572,40.71,40.54,,,40.03137336060328,41.3469694885576,2.265361940831594
41,41.36,42.0562,41.3,41.56,17145,40.75,40.6,,,40.144861518553334,41.99379357408737,2.1761360879150518
42,42.06,43.14,42.01,42.29,22160,40.98,40.72,,,40.75394051793999,43.08496774745206,2.133554938778262
43,41.52,42.1089,40.99,41.35,203952,40.92,40.95,,,40.910424800859985,43.04612074388367,2.0740153002941004
44,40.33,40.96,40.08,40.36,16214,40.95,41.09,,,40.061144355514074,43.16016366456357,2.0165856359873793
45,40.0,40.36,39.77,40.36,5825,41.03,41.25,,,39.64588644550039,42.03165694079661,1.9146866619882805
46,40.66,42.69,40.52,40.91,12221,41.05,41.29,,,39.74646023355905,42.546473813832336,1.944351900417689
47,41.0,41.0,40.01,40.08,8570,41.01,41.29,,,39.716985639955695,42.55378569521314,1.8761839075307116
48,40.37,41.27,39.54,39.54,7553,40.83,41.18,,,39.53319729779475,42.561206305358134,1.8657421998499468
49,40.25,40.57,40.14,40.57,10955,40.78,40.98,40.42,,39.58101918396882,41.29970113146175,1.8060463284320936
50,40.0,40.26,39.26,39.64,24792,40.57,40.79,40.3,,39.19707425866416,41.21739733281089,1.7706144478298014
51,40.31,40.47,39.46,39.48,79798,40.25,40.63,40.15,,39.15869749621299,40.591552590483516,1.716284844413387
52,39.32,39.5,38.165,38.59,12516,39.95,40.49,39.99,,38.26452368754865,40.586993359416674,1.6890502126695737
53,38.0,39.28,37.64,39.28,25311,39.83,40.45,39.82,,37.48491251891306,40.38316664473094,1.6855466260503185
54,39.19,39.19,38.48,39.01,16537,39.68,40.31,39.66,,37.67064755214532,39.482811649518275,1.622293295618153
55,39.97,41.2,39.97,40.96,10174,39.68,40.35,39.55,,37.51665254245732,41.02538539712286,1.662843774502571
56,41.09,41.19,40.38,41.06,5568,39.79,40.42,39.53,,38.6101500112516,41.68426475466317,1.6019263620381015
57,42.14,42.14,40.85,41.0,7839,39.95,40.43,39.47,,39.959659222873796,42.05561891462798,1.5796459076068086
58,40.46,41.18,40.125,40.48,11791,39.94,40.44,39.44,,40.083891826127726,42.05472551076528,1.542171199920608
59,40.88,40.88,40.33,40.84,5099,40.08,40.42,39.55,,40.06126881318237,42.05817930687603,1.4713018284977077
60,41.7,42.02,41.57,41.63,6479,40.32,40.45,39.61,,39.89315922337083,41.95093146810762,1.4504945550335857
61,42.12,42.365,41.47,41.94,13294,40.69,40.47,39.75,,40.43446953450704,42.53215828503582,1.4108163725311869
62,42.36,42.68,42.27,42.54,8003,41.05,40.48,39.87,,41.33411010564593,42.68511361680457,1.3629009173503879
63,41.98,42.78,41.86,42.47,100052,41.44,40.54,40.11,,41.46662500216991,42.82491665063438,1.331265137539646
64,42.65,42.99,42.5,42.59,10963,41.62,40.65,40.27,,41.885808698451086,42.97488592381675,1.273317627715386
65,42.97,43.41,42.8846,43.39,6639,41.88,40.8,40.45,,41.89728860170129,43.38078029864657,1.2409377971642865
66,43.8,44.35,43.44,43.8,25000,42.19,40.94,40.68,,42.46895418299631,44.27970488167021,1.220870811652552
67,43.66,43.71,43.07,43.28,7470,42.5,41.1,40.83,,42.84876655074872,44.303472202133904,1.1858086108202266
68,44.77,45.32,44.53,44.53,15738,42.91,41.35,40.93,,42.920987483634235,45.27061704891999,1.2468222814759247
69,45.17,45.44,44.88,45.28,21033,43.31,41.59,41.01,,43.1999479180795,45.789373360109174,1.2227635470847869
70,44.79,44.79,43.8,44.71,34982,43.62,41.84,41.09,,43.85230399352175,45.5292138522023,1.2411375794358739
71,44.44,44.44,43.84,44.12,8372,43.8,42.08,41.16,,43.56101533316251,45.39744457825436,1.2146277523333113
72,42.55,42.86,41.09,41.42,47856,43.68,42.22,41.19,,41.333706880050556,45.058250942134144,1.3442971985952172
73,42.3,42.44,42.07,42.09,21673,43.62,42.36,41.3,,40.93954951461061,44.30124399115886,1.321133112981273
74,41.39,42.07,40.76,41.97,7736,43.47,42.5,41.39,,40.62531996099226,42.851930291774195,1.3217664620540395
75,42.65,43.81,42.5,42.61,9629,43.33,42.59,41.5,,40.87033707246081,43.68997575725508,1.3587831433358941
76,42.42,42.84,42.42,42.7,52606,43.27,42.67,41.55,,40.91102313113989,43.7785802709493,1.2917272045261874
77,42.0,42.77,42.0,42.76,13813,43.07,42.76,41.6,,42.03809017228693,43.72129166517316,1.25446097563146
78,43.67,43.67,41.68,41.68,22493,42.67,42.82,41.6,,41.6622089157409,43.593966266062615,1.3069994773720701
79,41.75,42.52,41.55,42.23,19373,42.4,42.89,41.56,,41.511744617430885,43.59150824372063,1.2829280861312082
80,42.5,42.5,42.03,42.34,15558,42.2,42.92,41.53,,41.50507271758177,43.566467632128145,1.2248617942646933
81,42.34,42.34,41.08,41.69,15410,42.23,42.91,41.51,,41.07832456148448,42.55199099057869,1.22737166610293
82,41.45,41.8,41.34,41.59,60503,42.17,42.86,41.52,,40.99238187612665,42.58012119209252,1.1725594042384346
83,41.84,41.84,41.26,41.36,12414,42.11,42.81,41.54,,41.09350010429694,42.294220909236955,1.1302337325071183
84,42.09,42.31,41.67,42.18,19050,42.06,42.79,41.55,,41.20600102249725,42.26694104361843,1.1173598944708958
85,42.35,42.68,42.23,42.47,50055,42.03,42.74,41.59,,41.2330708470424,42.69765756126315,1.0732627591515462
86,42.57,43.5,42.57,43.24,8065,42.09,42.71,41.67,,41.70220728087591,43.43901559914323,1.070172562069293
