,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,25.0,25.0221,24.23,24.34,30759,,,,,,,0.7920999999999978
1,24.26,25.0,24.19,24.99,21186,,,,,,,0.7933785714285693
2,25.0,25.18,24.99,25.13,9447,,,,,,,0.7502801020408144
3,25.08,25.3273,24.75,25.3273,10324,,,,,,,0.7379243804664707
4,25.32,25.32,25.13,25.17,6595,,,,,,,0.6993083532902943
5,25.09,25.2641,24.4,24.97,9808,,,,,,,0.7110791851981304
6,24.3001,24.3799,22.5,23.25,58282,,,,,,,0.8367163862554068
7,24.26,24.38,23.426,23.79,16944,,,,,,,0.857665215808592
8,23.5266,23.7933,22.66,22.7065,24022,24.41,,,,,,0.8773534146794068
9,22.01,22.11,15.27,18.65,109694,23.78,,,,,,1.3458638850594489
10,19.51,19.59,18.8,19.474,52404,23.16,,,,,,1.3168736075552026
11,18.11,18.82,17.5,17.6,65202,22.33,,,,,,1.3638112070155453
12,17.5,17.994,17.5,17.6,22287,21.47,,,,,,1.3016818350858637
13,17.38,17.38,10.3007,10.51,130386,19.84,,,,,,1.7300831325797306
14,10.81,14.0,8.63,12.76,89729,18.48,,,,,,1.990077194538321
15,13.49,16.5,13.404,15.0,48742,17.57,,,,,,2.1150716806427265
16,14.0,14.14,13.0,13.0084,32234,16.37,,,,13.857633540478925,25.601215279590207,2.106852274882532
17,13.7721,15.0,13.7721,14.0,47065,15.4,,,,13.22575994775444,25.176038764426767,2.0986199695337797
18,14.6802,15.95,14.5,15.03,61024,15.0,,,,12.742057558903266,24.655765572207216,2.088004257424224
19,15.13,17.89,15.13,17.1,46120,14.73,19.52,,,12.399555556452773,24.072715637020025,2.143146810465351
20,17.0,18.5249,16.95,18.185,19037,14.8,19.21,,,12.263413000142044,23.437917044351995,2.102557752574969
21,18.3,18.69,17.83,18.6354,25955,14.91,18.89,,,12.263070440723185,22.751855285563835,2.013803627391043
22,18.64,18.9913,18.13,18.7,14636,15.82,18.57,,,12.315699498599187,22.01983565774439,1.931481939720254
23,17.5,19.459,15.63,16.14,52263,16.2,18.11,,,12.219240783259842,21.402424040929162,2.0670189440259503
24,16.66,17.0,16.5,16.82,10065,16.4,17.7,,,12.316227692338279,20.555114008200665,1.9808033051669538
25,16.47,16.6,16.07,16.14,18058,16.75,17.25,,,12.463488994700043,19.665777367650367,1.8928887833693144
26,16.2,17.74,16.2,17.08,46774,17.09,16.95,,,12.508187359630636,19.055391794702157,1.871968155985792
27,18.46,18.5,18.0,18.1397,12326,17.44,16.66,,,12.51822461445385,18.920884133682176,1.8396847162725214
28,18.2,19.77,18.18,19.29,36732,17.68,16.49,,,12.518173849979132,19.046942248376407,1.8247286651101984
29,20.73,20.98,19.6943,20.48,40402,17.94,16.58,,,12.490003966270448,19.434067395338896,1.8151051890308987
30,20.68,20.757,19.9452,20.6,26446,18.15,16.64,,,13.17712233528908,19.787508024731682,1.7434405326715487
31,19.855,20.5,19.3174,20.0524,76722,18.3,16.76,,,14.427744295989143,20.047573346253312,1.7105233517664384
32,19.77,20.0284,19.77,19.9205,72964,18.72,16.88,,,14.839731571810113,20.266408601560773,1.6085145409259785
33,19.98,20.0,19.6904,19.85,29110,19.06,17.35,,,15.402131102836236,20.342589422021017,1.5157349308598371
34,20.14,20.2896,19.8107,20.2896,82095,19.52,17.72,,,15.908294587768339,20.42451935383932,1.4416752929412775
35,20.2803,20.45,19.9,20.14,43659,19.86,17.98,,,16.357927030419493,20.519819661743462,1.3779842005883292
36,19.81,20.04,19.8,20.04,30666,20.07,18.33,,,16.76157036180944,20.617280550098805,1.3038424719748771
37,20.395,20.395,20.0,20.02,20280,20.15,18.63,,,16.932851601287638,20.73550416991693,1.2389251525481002
38,20.242,20.7,20.0,20.0,16446,20.1,18.88,,,17.03020054235695,20.873962785904318,1.2004304987946646
39,20.2586,20.339,19.9427,19.95,38334,20.03,19.02,,,17.111660317993866,20.95855753784129,1.142992606023617
40,20.131,20.6,20.12,20.6,11820,20.09,19.14,,,17.55725932468607,21.04553822603492,1.1077788484505016
41,20.4224,21.62,20.4224,21.5,4682,20.27,19.29,,,17.90345081822893,21.20333803459482,1.1141946449897515
42,21.64,22.395,21.5,22.27,16124,20.53,19.47,,,18.387407778841467,21.34401729299311,1.0985378846333407
43,22.49,22.725,22.3235,22.7,37754,20.8,19.79,,,18.912918983134833,21.571178205422495,1.0525708928738167
44,22.555,22.61,22.13,22.511,9431,21.07,20.08,,,19.146382042466815,21.77013882452945,1.0181015433828298
45,22.19,22.5586,21.585,22.03,8448,21.29,20.37,,,19.427894061754465,21.979147641597535,1.0149228617126276
46,22.11,22.225,22.0,22.0328,11221,21.51,20.62,,,19.49872524387028,22.09638966266603,0.9584998001617256
47,21.9501,22.009,21.25,21.25,6332,21.65,20.78,,,19.56942387094316,22.19074254606781,0.9459498144358882
48,21.2943,21.77,21.175,21.6323,9226,21.84,20.89,,,19.723049133297632,22.261756096954368,0.9208819705476103
49,21.79,21.9507,21.25,21.3832,28702,21.92,20.94,19.78,,19.830338539449425,22.34106045201832,0.9051546869370668
50,22.4,22.48,21.99,21.99,12422,21.98,21.01,19.73,,19.963481724921866,22.46092384813702,0.9188436378701336
51,21.9866,22.39,21.5,21.86,8099,21.93,21.1,19.67,,20.096170718225412,22.557093992690618,0.916783378022267
52,21.503,21.503,21.01,21.22,7000,21.77,21.16,19.59,,20.206763757419107,22.572505232138774,0.9120131367349621
53,21.0,21.5,20.1512,21.5,11894,21.66,21.25,19.51,,20.25607614892432,22.558516126258368,0.9432121983967505
54,21.16,21.32,21.15,21.19,2384,21.56,21.29,19.43,,20.37213252715107,22.54404326161282,0.9008398985112686
55,21.48,21.48,21.05,21.15,10100,21.46,21.34,19.36,,20.491319223906302,22.539442757666716,0.867208477189035
56,21.14,21.469,21.0666,21.25,4825,21.46,21.4,19.32,,20.63365472312858,22.496538313594083,0.8340078716755326
57,21.47,21.47,21.275,21.4141,4356,21.44,21.47,19.27,,20.774572830015234,22.45488186762737,0.7901501665558517
58,21.4699,21.5514,21.3501,21.47,5374,21.45,21.55,19.24,,20.880868355157578,22.454201615208913,0.748089440373291
59,21.55,21.75,21.55,21.74,4107,21.42,21.63,19.3,,20.883047280746922,22.405731452629215,0.7146544803466275
60,21.85,22.64,21.75,22.32,32168,21.47,21.72,19.36,,20.896747290764857,22.39224360186572,0.7278934460361542
61,22.32,22.3582,22.0,22.0,2621,21.56,21.75,19.45,,20.901402814639304,22.357968296835043,0.7014867713192862
62,22.27,22.27,22.0,22.0,4413,21.61,21.73,19.54,,20.90252675191751,22.319864429525076,0.6706662876536228
63,21.9289,21.9289,21.4802,21.7202,49176,21.67,21.68,19.76,,20.897774267077835,22.29394801703488,0.6598901242497925
64,21.51,22.15,21.49,22.15,13840,21.78,21.67,19.95,,20.911558721635185,22.30645777587688,0.6598979725176646
65,22.25,22.59,22.25,22.59,9578,21.93,21.69,20.1,,20.93061895076461,22.38659751517503,0.6441909744806886
66,22.61,22.93,22.135,22.72,12540,22.08,21.73,20.3,,20.957166916176256,22.504741610974126,0.6549630477320678
67,22.89,22.99,22.855,22.98,1831,22.25,21.81,20.48,,20.92106337149273,22.578058949639264,0.6274656871797772
68,23.14,23.78,22.9823,23.7101,34428,22.47,21.92,20.65,,20.914819169708068,22.80108830246713,0.6397895666669361
69,23.296,24.06,23.296,23.8576,20094,22.64,22.04,20.78,,20.960603371044574,23.07829298566322,0.6486617404764407
70,23.88,23.88,23.275,23.5,19220,22.8,22.12,20.89,,21.177899394766698,23.282338968570752,0.6455430447281235
71,23.32,23.5,23.1398,23.3,9362,22.95,22.19,20.98,,21.271148146056525,23.403931016774543,0.6251613986761146
72,22.8,23.02,22.26,22.26,6101,23.01,22.24,21.06,,21.38556664704341,23.459878749360154,0.6547927273421064
73,23.0,23.0,23.0,23.0,300,23.1,22.32,21.19,,21.524223427308282,23.501536209638378,0.6608789611033844
74,22.495,22.495,22.15,22.26,4494,23.07,22.37,21.3,,21.619298705978512,23.499979615341744,0.6743876067388571
75,22.17,22.83,22.01,22.2645,15144,23.01,22.43,21.42,,21.69800810584014,23.50680200538662,0.6847884919717957
76,22.6706,22.95,22.616,22.95,10676,23.01,22.51,21.54,,21.79082044135362,23.5168483946973,0.6848393139738101
77,22.88,22.935,22.7824,22.9,4300,22.92,22.58,21.64,,21.868672296300844,23.530414968216565,0.6478936486899667
78,22.94,22.94,22.8,22.84,1065,22.81,22.65,21.71,,21.922408046927096,23.547088515860978,0.6116155309263976
79,22.84,23.0,22.83,22.92,4058,22.74,22.71,21.76,,21.981237321051758,23.56299940947079,0.5800715644316551
80,22.9006,23.04,22.7,22.7,8728,22.68,22.73,21.8,,22.123860990792497,23.556456565177278,0.5629235955436797
