,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,3.07,3.7,3.07,3.39,4963349,,,,,,,0.6300000000000003
1,3.31,3.44,3.15,3.22,2761748,,,,,,,0.605714285714286
2,3.1,3.17,2.93,3.0058,2277397,,,,,,,0.5831632653061227
3,2.79,2.91,2.59,2.67,4687432,,,,,,,0.5712087463556853
4,2.86,2.86,2.2643,2.58,3524281,,,,,,,0.5729581216159935
5,2.48,2.5651,2.2864,2.3,1189242,,,,,,,0.5530039700719939
6,1.85,2.43,1.76,2.15,5005214,,,,,,,0.5613608293525657
7,2.4,2.42,1.9202,2.13,3334238,,,,,,,0.5569636272559538
8,1.84,1.99,1.77,1.795,2367674,2.58,,,,,,0.5428947967376714
9,1.83,2.05,1.7301,1.995,5702066,2.43,,,,,,0.5269665969706949
10,1.89,1.94,1.45,1.5,3029389,2.24,,,,,,0.5282546971870739
11,1.55,2.355,1.5358,2.1,3717912,2.14,,,,,,0.5515936473879972
12,2.35,2.55,2.09,2.26,4791105,2.09,,,,,,0.5450512440031402
13,2.49,3.49,2.33,3.06,14454785,2.14,,,,,,0.5939761551457731
14,3.05,3.2,2.6,2.86,4413390,2.21,,,,,,0.5944064297782178
15,2.98,3.45,2.86,2.96,3641107,2.3,,,,,,0.5940916847940594
16,2.95,3.1,2.82,3.09,2469471,2.4,,,,,,0.5716565644516266
17,2.97,3.225,2.86,3.07,2512501,2.54,,,,,,0.5568953812765105
18,3.13,3.15,2.78,2.86,2502960,2.64,,,,,,0.5435457111853312
19,2.84,2.93,2.655,2.86,1907854,2.79,2.59,,,1.3034502594412154,3.9078563236714867,0.5243638746720933
20,2.74,2.7742,2.435,2.455,1542342,2.83,2.55,,,1.3223905047790592,3.782624509001759,0.5172664550526581
21,2.52,2.61,2.42,2.58,2276210,2.87,2.51,,,1.3582379216084335,3.6964012031385156,0.493890279691754
22,2.58,3.12,2.5,3.085,4539944,2.87,2.52,,,1.3779578235465362,3.6895390069330616,0.5028981168566287
23,3.25,3.35,3.1,3.18,2792371,2.9,2.54,,,1.3404607091355811,3.7468909192257005,0.48590539422401235
24,3.17,3.25,2.861,2.92,2209085,2.9,2.56,,,1.3397082767846389,3.788781522344747,0.4789835803508686
25,2.98,2.98,2.76,2.76,1310149,2.86,2.58,,,1.346241535453364,3.8064123613346452,0.4604847531829494
26,2.8,2.9301,2.61,2.73,2546924,2.83,2.61,,,1.424268283159946,3.8152330771006917,0.45045727081273873
27,2.75,2.8561,2.675,2.72,1708719,2.81,2.64,,,1.4825925116458032,3.8164108767804388,0.431217465754686
28,2.77,2.945,2.69,2.83,4846091,2.81,2.69,,,1.5772840172980311,3.7704992422744086,0.41863050391506557
29,2.78,2.82,2.6418,2.76,3197712,2.84,2.73,,,1.6941314957744436,3.709267583942824,0.4021711822068466
30,2.79,2.855,2.6633,2.7,3751579,2.85,2.79,,,1.926775616340143,3.590653105191201,0.387137526334929
31,2.83,2.83,2.68,2.6891,4281816,2.81,2.82,,,2.207129464351064,3.5395389886442206,0.3701991315967198
32,2.67,2.9397,2.63,2.79,5732282,2.77,2.85,,,2.3205687110829065,3.5116874530507785,0.36587776505409697
33,2.78,2.84,2.55,2.66,5812362,2.74,2.83,,,2.3646750482445356,3.436311241964011,0.36045792469309007
34,2.69,2.77,2.58,2.68,5126644,2.73,2.82,,,2.3623937968794357,3.4173396661253697,0.34828235864358364
35,2.69,2.89,2.66,2.83,4603567,2.74,2.81,,,2.3624163330564527,3.3313606149332746,0.3398336187404705
36,2.84,3.13,2.785,3.07,7625868,2.78,2.81,,,2.3635890934670396,3.3354919599236035,0.3402026459732941
37,3.1,3.35,3.07,3.18,5029242,2.82,2.82,,,2.336416842830074,3.3638284862480172,0.33590245697520166
38,3.21,3.27,2.89,2.94,2824453,2.84,2.82,,,2.332477730774689,3.3848489362328222,0.33905228147697297
39,3.0,3.11,2.87,3.07,3704274,2.88,2.83,,,2.3352366681470382,3.397822200751247,0.33197711851433204
40,3.08,3.17,2.93,2.95,2395856,2.91,2.86,,,2.369569891891698,3.41383677678344,0.3254073243347369
