,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,7.0,7.08,6.32,6.46,376592,,,,,,,0.7599999999999998
1,6.6,7.9199,6.56,7.59,723555,,,,,,,0.809992857142857
2,7.6,7.74,6.94,7.15,230566,,,,,,,0.8092790816326529
3,6.79,6.967,6.39,6.44,555893,,,,,,,0.8057591472303207
4,5.96,5.98,5.445,5.55,655024,,,,,,,0.8192763509995835
5,5.86,6.1791,4.995,5.5601,399621,,,,,,,0.8453351830710418
6,5.39,5.565,4.91,4.9365,261065,,,,,,,0.8317398128516817
7,4.41,4.89,4.2277,4.43,418261,,,,,,,0.8229583976479903
8,4.85,4.92,4.01,4.16,285419,5.81,,,,,,0.829175654958848
9,4.0,4.55,3.68,4.14,197431,5.55,,,,,,0.8320916796046447
10,4.17,5.3,4.17,4.99,547116,5.26,,,,,,0.8555137024900272
11,4.77,4.99,4.05,4.22,141157,4.94,,,,,,0.8615484380264539
12,4.22,5.43,4.22,4.61,166146,4.73,,,,,,0.8864378353102786
13,4.75,4.85,4.08,4.26,226545,4.59,,,,,,0.8781208470738301
14,4.29,4.48,4.0,4.44,106717,4.47,,,,,,0.8496836437114138
15,2.99,2.99,2.16,2.27,4109483,4.17,,,,,,0.9518490977320271
16,2.35,2.44,2.2,2.28,1265289,3.93,,,,,,0.9010027336083108
17,2.35,2.64,2.23,2.57,2092431,3.75,,,,,,0.8659311097791458
18,2.6,2.79,2.45,2.65,1051103,3.59,,,,,,0.8283646019377782
19,2.75,2.78,2.44,2.48,939282,3.31,4.56,,,1.246545107219367,8.384875048140787,0.7934814160850797
20,2.46,2.57,2.29,2.5,1050254,3.12,4.36,,,1.082229027109869,8.18366804256591,0.7568041720790026
21,2.47,2.5,2.28,2.31,632543,2.86,4.1,,,1.0085133085022928,7.7230157689988195,0.7184610169305025
22,2.27,2.44,2.17,2.2,1459556,2.63,3.85,,,1.0736783674002912,7.205367412409526,0.6864280871497522
23,2.22,2.4,2.18,2.2,719537,2.38,3.64,,,1.1471748219707885,6.796656320628493,0.6531117952104842
24,2.33,2.52,2.25,2.365,950039,2.4,3.48,,,1.1470741741447608,6.542760745203067,0.6293180955525924
25,2.51,2.58,2.38,2.405,656447,2.41,3.32,,,1.1525004241590284,6.18502373073863,0.5997239458702645
26,2.4,2.53,2.3,2.38,691850,2.39,3.19,,,1.182631089768651,5.917782580477135,0.5733150925938171
27,2.51,2.52,2.4,2.4,413739,2.36,3.09,,,1.1721463830225998,5.749725698908881,0.5423640145514016
28,2.43,2.5,2.2,2.35,404869,2.35,3.0,,,1.1385321219803775,5.549054296777628,0.5250522992263016
29,2.45,2.46,2.31,2.35,882046,2.33,2.91,,,1.109004830222657,5.3918876168501,0.4982628492815658
30,2.29,2.42,2.25,2.395,799592,2.34,2.78,,,1.1475949960638197,5.032207623460877,0.47481550290431107
31,2.4,2.4199,2.26,2.35,1295660,2.36,2.69,,,1.2060680680522895,4.69497016726155,0.45232153841114603
32,2.39,2.4499,2.315,2.33,1166732,2.37,2.57,,,1.3612694248743922,4.103150115264704,0.4296485713817785
33,2.34,2.47,2.33,2.4,1716077,2.37,2.48,,,1.583643840033759,3.5592264105174194,0.40895938771165147
34,2.39,2.5,2.35,2.46,1550034,2.38,2.38,,,2.1144259336933495,2.846138881653554,0.3904622885893907
35,2.54,2.86,2.48,2.6375,5489368,2.41,2.4,,,2.121033385123995,2.8024836232966894,0.3911435536901485
36,2.7,2.89,2.6,2.78,2943338,2.45,2.43,,,2.1045871978304045,2.8633451211654055,0.3839190141408522
37,2.84,3.03,2.73,2.89,4548849,2.51,2.44,,,2.0686398390521354,2.947611526559844,0.37792479884507707
38,2.97,3.16,2.85,3.125,4096126,2.6,2.47,,,2.0114325617902713,3.040340582341395,0.3730730274990001
39,3.18,3.48,3.13,3.425,1747913,2.71,2.51,,,1.9094104137427774,3.2223265426361403,0.3717820969633573
40,3.54,3.54,3.05,3.25,2910810,2.81,2.55,,,1.872574017254824,3.395249039356192,0.3802262328945461
41,3.17,3.28,3.02,3.07,650817,2.89,2.59,,,1.8594801304616464,3.476160319939614,0.37163864483064996
42,3.03,3.24,2.91,3.13,1620654,2.97,2.63,,,1.8855527252710478,3.537644452249416,0.36866445591417496
43,3.11,3.27,3.05,3.21,906060,3.06,2.69,,,1.906602088931435,3.5930469320676726,0.3580455662060196
44,3.25,3.4,3.11,3.17,1784464,3.12,2.73,,,1.922319920660748,3.6675300866398817,0.3531851686198754
45,3.17,3.2,2.91,3.04,601286,3.15,2.76,,,1.943825758273567,3.702433968425811,0.34867194228988435
46,3.06,3.09,2.92,2.975,1094504,3.16,2.79,,,1.9812012058743846,3.7181441545927605,0.33590966069774975
47,2.92,3.11,2.9,3.03,555181,3.14,2.82,,,2.0095106625162336,3.7307760219842123,0.32691611350505334
48,3.06,3.0965,2.92,3.06,716814,3.1,2.85,,,2.078169098919239,3.735615049112738,0.31617210539754953
49,3.1,3.88,3.09,3.51,3797912,3.13,2.91,3.46,,2.1272949134611308,3.8688392625809787,0.3521598121548674
50,3.5,3.9,3.5,3.63,1415826,3.2,2.97,3.4,,2.15531278943051,3.9736983277275715,0.35557696842951975
51,3.69,3.6987,3.4,3.44,759510,3.23,3.03,3.32,,2.2194690284919636,4.010298532002091,0.3515143278274112
52,3.67,4.95,3.51,4.33,4921305,3.35,3.13,3.26,,2.2775503923761136,4.387798603934274,0.43426330441116756
53,4.5,4.6,3.86,4.19,4874902,3.47,3.22,3.22,,2.2984736846941,4.566070783715963,0.4561016398103699
54,4.09,4.21,4.0,4.005,485574,3.57,3.29,3.19,,2.3252869363347566,4.621149990240955,0.43852295125248636
55,4.02,4.26,4.02,4.06,1441742,3.7,3.37,3.16,,2.355595904728043,4.699161524872485,0.4254141690201659
56,4.1,4.13,3.87,3.99,981844,3.8,3.43,3.14,,2.4095952254096553,4.741377382350867,0.4135988712330112
57,4.0,4.09,3.85,4.04,885222,3.91,3.48,3.13,,2.4586467194769996,4.775657064839866,0.40119895185922466
58,4.35,4.5,4.2,4.38,1006966,4.01,3.55,3.13,,2.461341585290334,4.872419209834354,0.4053990267264229
59,4.53,4.7299,4.3,4.55,863418,4.11,3.6,3.14,,2.434935442227852,5.00898786771228,0.4071490962459642
60,4.52,4.7,4.37,4.39,591072,4.22,3.66,3.13,,2.430756828467352,5.123104209709164,0.4016384465141096
61,4.37,4.4116,4.1,4.24,1208970,4.2,3.72,3.13,,2.4745665946197626,5.170311306321142,0.39520712890595894
62,4.25,4.37,4.07,4.12,970150,4.2,3.77,3.12,,2.5507229916246867,5.198525407169235,0.3884066196983904
63,4.15,4.15,3.78,3.95,1400466,4.19,3.81,3.11,,2.6171234614089807,5.197322861529848,0.3870918611485054
64,3.99,4.15,3.94,4.05,1014914,4.19,3.85,3.11,,2.681169227967607,5.198248908280705,0.3744424424950408
65,3.98,3.98,3.6202,3.72,2762878,4.16,3.88,3.14,,2.7832913904387153,5.163995043187525,0.378396553745395
66,3.98,4.0,3.7,3.935,493211,4.15,3.93,3.17,,2.8999761879170824,5.099708605827701,0.3727967999064382
67,4.14,4.54,4.11,4.29,1559718,4.14,3.99,3.2,,3.047411215196599,5.05110544240701,0.3893827427702641
68,4.21,4.4,4.11,4.16,1093592,4.1,4.05,3.23,,3.2224396359305367,4.930456108545263,0.38228397542953096
69,4.21,4.23,3.9201,4.1,1260166,4.06,4.08,3.27,,3.378096995547875,4.9205072976742565,0.3771136914702788
70,3.87,3.99,3.57,3.65,947518,4.0,4.08,3.29,,3.392151820654014,4.9140004615634645,0.38803414207954456
71,3.77,3.83,3.68,3.7,786406,3.95,4.09,3.32,,3.451156918116837,4.89539925343973,0.37317456050243425
72,3.75,4.07,3.6,3.94,1686896,3.95,4.07,3.35,,3.4708165201417227,4.7765613166387375,0.38009066332368896
73,4.16,4.18,3.9,3.91,512441,3.93,4.06,3.39,,3.473809752147282,4.731853909533309,0.3729413302291397
74,3.97,4.12,3.87,3.89,1242489,3.95,4.05,3.42,,3.467471902736503,4.730418739429022,0.364159806641344
75,3.84,4.08,3.82,4.05,488807,3.97,4.05,3.45,,3.4571057709357396,4.726590971934429,0.3567198204526766
76,4.11,4.19,3.9,3.98,874442,3.93,4.05,3.48,,3.459081365494847,4.7276932907647975,0.35195411899177115
