,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,14.33,14.95,14.035,14.95,72107,,,,,,,0.9149999999999991
1,15.47,15.47,14.2,15.14,37953,,,,,,,0.9403571428571422
2,15.1,15.77,14.34,15.49,26338,,,,,,,0.9753316326530607
3,16.35,17.8556,15.63,16.33,31520,,,,,,,1.074636516034985
4,16.35,16.59,14.91,15.115,22383,,,,,,,1.1178767648896288
5,14.59,15.0119,13.55,14.35,20856,,,,,,,1.1498141388260839
6,13.29,13.6399,12.54,12.71,24076,,,,,,,1.1969702717670778
7,13.13,13.64,11.3,12.56,27532,,,,,,,1.2786152523551437
8,12.34,13.09,10.9,11.07,11528,14.19,,,,,,1.3437141629012048
9,10.5,10.5,8.94,8.94,43757,13.52,,,,,,1.3998774369796902
10,9.35,9.35,7.4607,7.93,82531,12.72,,,,,,1.434836191481141
11,7.24,7.88,6.3,7.13,75332,11.79,,,,,,1.4487764635182023
12,7.32,8.2345,6.67,7.25,158510,10.78,,,,,,1.4570424304097593
13,7.0,7.1,5.76,5.76,51413,9.74,,,,,,1.4593965425233482
14,5.96,6.25,5.51,6.0,81584,8.82,,,,,,1.408011075200252
15,6.15,7.71,6.01,7.3,101827,8.22,,,,,,1.4295817126859482
16,7.32,7.625,6.07,7.12,53647,7.61,,,,,,1.438540161779809
17,7.5,7.5,7.0,7.06,83566,7.17,,,,,,1.3715015787955371
18,6.95,7.5,6.9,7.27,117927,6.98,,,,,,1.3163943231672846
19,7.35,9.0299,7.0,7.94,141179,6.98,10.37,,,2.3764774347603623,18.893425519093142,1.3673590143696215
20,7.56,7.5636,7.18,7.29,110522,7.0,9.99,,,2.237632868314579,18.48203697979982,1.3239762276289342
21,7.05,7.685,6.96,7.26,66078,7.0,9.59,,,2.169111456021982,17.895136163079385,1.2811922113697247
22,7.25,7.51,6.96,7.37,40674,7.18,9.19,,,2.216645848782825,17.153690258378276,1.2289641962718874
23,7.35,7.6,6.54,6.93,54139,7.28,8.72,,,2.596396248947813,15.687353729060035,1.2168953251096097
24,6.71,7.17,6.41,6.71,17508,7.22,8.3,,,3.0888134246896586,14.322338153999386,1.1842599447446376
25,6.65,7.09,6.4914,6.62,15996,7.16,7.91,,,3.5661293015238664,13.183504395383748,1.1424270915485921
26,7.0,7.3949,7.0,7.26,82303,7.18,7.64,,,4.118472317044992,12.246450163114666,1.1161751564379785
27,7.51,7.51,6.65,6.69,54108,7.12,7.34,,,4.5829588244642165,11.053654542324226,1.097876930978123
28,6.59,7.7435,6.51,7.14,41886,7.03,7.15,,,5.280315026391126,9.624427799775376,1.1075642930511143
29,7.25,8.1399,7.14,7.5,51964,7.05,7.08,,,5.614168968164834,9.008454975639179,1.0998739864046063
30,7.45,7.82,7.155,7.28,101232,7.06,7.04,,,5.643721516798567,8.679160767717894,1.0688115588042775
31,7.29,8.01,7.25,7.34,92098,7.05,7.05,,,5.662603435805896,8.69424469507852,1.0467535903182577
32,7.3,7.65,6.6,6.93,100466,7.05,7.04,,,5.658784245833044,8.624857521660108,1.0469854767240965
33,6.94,7.12,6.66,6.705,136539,7.05,7.09,,,5.797047858555434,8.623959268488582,1.0050579426723754
34,6.8,7.56,6.75,6.82,403800,7.07,7.13,,,6.053790159415663,8.481212723214075,0.9943395181957772
35,6.85,7.444,6.365,6.66,327609,7.01,7.09,,,6.136037599965066,8.472125126890425,1.0003866954675074
36,6.6,6.76,6.3,6.45,225510,6.98,7.06,,,6.194414574093937,8.515409480460878,0.9617876457912569
37,6.6,6.9,6.52,6.71,298344,6.93,7.04,,,6.167193475512196,8.535260807169768,0.9252313853775956
38,6.75,7.1,6.36,6.39,191794,6.81,7.0,,,6.117215474110494,8.536617956176462,0.9120005721363388
39,6.45,6.64,6.15,6.26,467295,6.7,6.92,,,6.034682240666892,8.218219816939184,0.8818576741266002
40,6.59,7.3,6.36,7.0,378972,6.66,6.9,,,6.018342081298137,8.203797361485309,0.8931535545461288
41,7.39,7.88,6.78,7.1,158816,6.68,6.89,,,6.022415558113429,8.23240930340087,0.9079283006499766
42,7.49,8.77,7.17,7.99,314238,6.82,6.92,,,6.004416065808371,8.495744232545032,0.9623619934606926
43,8.06,8.1683,7.23,7.25,94038,6.87,6.94,,,5.993870476900884,8.569087543737707,0.9606432796420717
44,7.37,7.43,6.8,7.2,112070,6.93,6.96,,,6.0249018581614235,8.570930865857832,0.937025902524781
45,7.05,7.2362,6.7601,6.88,65886,6.98,6.98,,,6.046038969789135,8.567566618002726,0.9041026237730109
46,6.94,7.83,6.94,7.2,255086,7.03,6.97,,,6.047627621742144,8.59571584514059,0.9073810077892244
47,7.5,7.75,7.32,7.34,81707,7.14,7.01,,,6.031584242719443,8.611258601622767,0.881853792947137
48,7.6182,7.6636,7.37,7.39,75852,7.26,7.02,,,6.0350509907063925,8.60496806445715,0.8419785220223415
49,7.62,7.77,7.43,7.64,55903,7.33,7.03,8.37,,6.012204174762495,8.555838913509163,0.8089800561636028
50,7.55,7.8799,7.0,7.65,130068,7.39,7.05,8.23,,6.015437993716418,8.562654918373187,0.8140457664376312
51,7.65,7.65,6.81,6.905,354602,7.27,7.02,8.06,,6.021509148032214,8.522416409697867,0.8158996402635147
52,6.9,7.04,6.66,6.955,71373,7.24,7.02,7.89,,6.027086317439538,8.512922366495637,0.7847639516732636
53,6.83,6.98,6.3479,6.96,179102,7.21,7.04,7.71,,5.988056946444866,8.518610245495069,0.773859383696602
54,6.85,7.08,6.72,7.05,82667,7.23,7.05,7.54,,5.986271490962995,8.509749943967483,0.7442979991468447
55,7.15,7.19,7.0,7.1,157554,7.22,7.07,7.4,,6.035804638962529,8.504194390796902,0.7047052849220701
56,7.14,7.2,7.07,7.08,78789,7.19,7.1,7.29,,6.103586820064072,8.4829251273581,0.6636549074276364
57,7.15,7.5321,7.1,7.47,301722,7.2,7.14,7.18,,6.13998700685271,8.477944783718709,0.6485438426113767
58,7.665,7.665,7.3,7.46,130722,7.18,7.19,7.11,,6.204129750255713,8.489416069553899,0.6282907109962784
59,7.4758,7.51,7.2,7.36,83964,7.15,7.25,7.08,,6.345095525951869,8.436226016586275,0.60555566021083
60,7.46,7.67,7.0,7.54,142993,7.22,7.28,7.07,,6.446793029401964,8.445573739988605,0.6101588273386278
61,7.61,8.23,7.52,8.17,120412,7.35,7.33,7.09,,6.448054025300304,8.501315534260158,0.6172903396715831
62,8.11,8.6825,8.11,8.36,93473,7.51,7.35,7.12,,6.325104035237074,8.47350469952114,0.6140910296950415
63,8.38,8.7,8.11,8.55,172028,7.68,7.41,7.17,,6.242195173966981,8.599509241745594,0.6123702418596814
64,8.52,9.1,8.37,8.64,446902,7.85,7.49,7.22,,6.176730446249896,8.8778439633315,0.6207723674411327
65,8.62,8.74,8.26,8.45,284642,8.0,7.56,7.25,,6.1732838641994165,9.01485817262419,0.6107171983381948
66,8.61,8.8,7.83,7.9,278372,8.05,7.6,7.26,,6.204201613016508,9.143878834709003,0.6363802555997523
67,7.89,8.4398,7.83,8.13,144610,8.12,7.64,7.28,,6.207358082428433,9.20442631528164,0.6344816659140557
68,8.65,8.71,7.83,8.44,59113,8.24,7.69,7.31,,6.210510437960549,9.303120140332338,0.6520186897773376
69,8.65,8.89,8.38,8.72,144184,8.37,7.74,7.32,,6.174062749228674,9.421763854430553,0.6418744976503848
70,8.7,8.7,8.37,8.43,140822,8.4,7.78,7.35,,6.190872620476025,9.496603560933634,0.6210263192467861
71,8.47,8.75,8.42,8.54,161152,8.42,7.87,7.37,,6.249690399712524,9.574569079501902,0.6002387250148729
72,8.41,8.4416,6.91,7.05,100955,8.26,7.87,7.37,,6.294140475048992,9.568717105438347,0.6737931017995247
73,7.52,7.57,7.25,7.51,25666,8.13,7.9,7.38,,6.46420229901903,9.517969532628731,0.6628078802424158
74,7.55,7.61,7.05,7.42,299288,8.02,7.92,7.39,,6.526468934159638,9.471747152100896,0.6554644602251004
75,7.54,7.93,7.315,7.55,75858,7.98,7.94,7.41,,6.572001707779493,9.424019506059707,0.6525741416375933
76,7.72,7.86,7.28,7.32,78506,7.89,7.95,7.41,,6.602636865323941,9.367710484120128,0.6473902743777653
77,7.22,7.55,7.11,7.34,49813,7.76,7.94,7.42,,6.6042539670879785,9.366060856030037,0.632576683350782
78,7.42,8.72,7.31,8.6,188571,7.75,8.0,7.45,,6.605478639054358,9.395856750374167,0.6881069202542976
79,8.74,8.74,7.61,7.87,85053,7.69,8.03,7.46,,6.648703888549004,9.398392716559606,0.719670711664705
80,8.04,8.26,7.85,8.08,50092,7.64,8.05,7.48,,6.742036735203958,9.371866373791898,0.697551375117226
81,7.92,8.47,7.635,8.19,90169,7.76,8.05,7.49,,6.7517201201649195,9.379754719749702,0.7073691340374242
82,8.12,9.9,7.865,9.77,245561,8.02,8.12,7.55,,6.752697120573687,9.643086174317013,0.8021999101776082
83,10.0,12.0,8.84,10.77,1895116,8.39,8.24,7.63,,6.680731081901513,10.604416366237018,0.9706142023077791
84,11.47,12.7,11.05,11.31,606918,8.81,8.37,7.72,,6.0843727737232545,11.493260938358269,1.0391417592857948
85,11.31,11.85,11.1,11.14,156167,9.23,8.5,7.81,,5.73101469893694,11.969367468630157,1.0184887764796666
86,11.19,11.8,11.16,11.28,143636,9.67,8.67,7.91,,5.513740426421662,12.37003854701599,0.9928824353025476
87,11.57,11.7,11.2,11.385,80575,9.98,8.84,8.0,,5.377575947031408,12.707871053548514,0.9576765470666514
88,11.4,11.68,11.31,11.35,95987,10.36,8.98,8.1,,5.292530797978577,13.002750231788202,0.9156996508476049
89,11.35,11.62,11.18,11.21,169663,10.71,9.11,8.2,,5.229148187939112,13.25574197702131,0.8817211043584902
90,11.16,11.44,10.93,11.23,337298,11.05,9.25,8.28,,5.2204625784032865,13.456578821741575,0.8551695969043123
91,11.23,11.8228,11.23,11.45,109172,11.24,9.39,8.37,,5.2102357084968585,13.692622744511882,0.8364289114111472
92,11.65,11.98,11.01,11.32,82439,11.3,9.6,8.44,,5.438735870874211,13.916018995917508,0.8459697034532081
93,11.52,11.6967,10.9,10.91,122720,11.25,9.77,8.51,,5.6586535361970425,14.001039364575577,0.842450438920836
94,11.04,11.245,10.6,10.96,111201,11.23,9.95,8.59,,5.962014931365334,13.987124701661655,0.8283468361407763
95,11.24,12.26,11.0,11.91,181305,11.3,10.17,8.69,,6.24764202910074,14.082687742475002,0.8620363478450065
96,11.9,12.0841,11.3417,12.0,79148,11.37,10.4,8.78,,6.576345258108143,14.07947150218323,0.853490894427506
97,12.08,13.48,11.83,13.26,139942,11.58,10.7,8.9,,6.983454380382641,14.170985667826173,0.9103844019683985
98,13.8,14.57,13.3801,14.41,168693,11.94,10.99,9.04,,7.268550757657059,14.59464464789731,0.9389283732563701
99,14.79,15.27,12.9,13.03,170232,12.14,11.25,9.15,,7.65010115127059,15.082504361199875,1.0411477751666294
100,12.89,13.47,12.64,12.88,76759,12.3,11.49,9.25,,8.090373729012011,14.969659977117178,1.026065791226156
101,12.8,13.06,12.11,12.89,106554,12.47,11.72,9.37,,8.73835320697129,14.69062430262261,1.0206325204242876
102,12.74,12.95,12.18,12.41,123014,12.64,11.86,9.48,,9.481713437113022,14.580196459250812,1.0027301975368386
103,12.5,12.94,12.39,12.66,41374,12.83,11.95,9.6,,10.035484339666604,14.628355153012144,0.9703923262842072
104,12.61,13.12,12.27,12.99,68933,12.95,12.03,9.72,,10.086918093032683,14.666521321194192,0.9617928744067639
105,13.04,13.22,11.29,12.15,105869,12.96,12.08,9.82,,10.10791727726888,14.734864086338739,1.0309505262348524
106,11.85,11.94,11.31,11.4,74127,12.76,12.09,9.9,,10.123904887546765,14.732257160830397,1.017311202932363
107,11.33,11.65,11.0,11.48,91255,12.43,12.1,9.98,,10.098940002996668,14.734154931214599,0.9910746884371943
108,11.58,12.56,11.5,12.14,37821,12.33,12.13,10.08,,10.114677587755128,14.73683868258979,0.9974264964059661
109,12.7,13.0,11.7,12.33,60161,12.27,12.19,10.18,,10.156636209219474,14.75819237045599,1.0190388895198257
110,12.38,12.4897,11.6,11.83,63533,12.15,12.22,10.26,,10.230352107279103,14.729083276193037,1.0098003974112666
111,11.85,12.99,11.85,12.55,96001,12.17,12.28,10.35,,10.277736400453884,14.742047593901914,1.020528940453319
112,12.55,13.11,12.09,12.52,109827,12.15,12.34,10.43,,10.365888603469086,14.763709921052977,1.0204911589923678
113,12.895,13.715,12.8,13.08,137169,12.16,12.44,10.52,,10.458535132456339,14.819590546143573,1.0329560762071988
114,13.15,13.24,12.2,12.31,64782,12.18,12.51,10.6,,10.66907167316553,14.738458052018512,1.0334592136209704
115,12.45,12.45,11.52,11.75,71463,12.22,12.5,10.66,,10.757371152748194,14.731096565852686,1.026069269790901
116,11.7,12.37,11.34,11.49,61255,12.22,12.48,10.73,,10.757097001590363,14.714552078806566,1.0263500362344082
117,11.49,12.44,11.16,11.42,56466,12.14,12.39,10.8,,10.669705870307649,14.67505796296614,1.0444678907890934
118,11.51,12.41,11.32,12.15,78082,12.12,12.27,10.87,,10.724020754753548,14.417781565610223,1.0477201843041581
119,12.23,12.34,11.6801,12.08,50037,12.15,12.23,10.94,,10.772948458239917,13.803593525797673,1.0200187425681468
120,12.0,12.1,11.59,11.61,34291,12.05,12.16,11.01,,10.797511130057211,13.722131334871651,0.9835888323847077
121,11.51,12.07,11.48,11.68,74143,11.95,12.1,11.07,,10.775259345992813,13.695920299062092,0.9554753443572287
122,11.57,12.02,11.0,12.02,103010,11.83,12.08,11.17,,10.691691129426546,13.676715394606052,0.9600842483317124
123,12.03,12.05,11.0,11.22,72144,11.71,12.01,11.24,,10.645338876819624,13.648146861390446,0.9665068020223044
124,11.24,11.73,11.02,11.42,56423,11.68,11.93,11.32,,10.608749705163188,13.606497629483261,0.9481848875921399
125,11.3,11.4,11.0,11.09,39430,11.63,11.88,11.39,,10.569837198882935,13.562490419949741,0.9104573956212728
126,11.01,11.24,10.48,10.93,92481,11.58,11.86,11.47,,10.42384668593209,13.624678435325247,0.899710438791182
127,10.79,11.0699,10.65,10.91,36228,11.44,11.83,11.54,,10.362550000859175,13.688896420385001,0.8654382645918118
128,11.0,11.045,10.52,10.55,89650,11.27,11.75,11.58,,10.237498089143266,13.726438873339784,0.8411212456923967
129,10.5,10.72,9.65,9.78,127831,11.07,11.62,11.61,,9.907188753544512,13.722203507078516,0.8574697281429398
130,9.7,10.73,9.7,10.12,50798,10.89,11.53,11.65,,9.649126982530305,13.747073065316343,0.8697933189898727
131,10.23,10.3325,9.765,10.05,56951,10.67,11.41,11.69,,9.450834042100503,13.72176067330257,0.8482009390620245
132,10.22,10.27,9.34,9.91,62175,10.53,11.28,11.69,,9.206286562912283,13.634982741086164,0.8540437291290228
133,9.75,11.46,9.6204,10.69,121473,10.45,11.16,11.69,,9.177648082642747,13.28717202863795,0.924440605619807
134,10.83,11.0,10.41,10.67,52305,10.4,11.08,11.68,,9.220702628835525,13.021141431322208,0.900551990932678
135,10.61,10.965,10.14,10.33,56744,10.33,11.01,11.66,,9.181653502628293,12.907294672829156,0.8951554201517724
136,10.42,10.99,10.3201,10.65,46281,10.31,10.96,11.65,,9.162181791226558,12.791168853817858,0.8790657472837887
137,10.96,12.105,10.96,12.02,130665,10.47,10.99,11.66,,9.16616810938648,12.729383657328583,0.9202039081920896
138,12.3,12.67,11.3,11.6,137658,10.67,10.97,11.67,,9.167334984170306,12.78824807730972,0.9523322004640832
139,11.61,12.86,11.56,12.05,95928,10.89,10.96,11.69,,9.180083358192832,12.90469481712735,0.9771656147166485
140,11.91,12.3599,11.678,11.74,68741,11.07,10.97,11.7,,9.170523926144705,12.94664648928508,0.9560752136654592
141,11.96,12.14,11.68,11.68,107796,11.27,10.97,11.7,,9.151091116087494,12.956540773755567,0.9206412698322122
142,11.42,11.55,10.69,10.75,76462,11.28,10.91,11.69,,9.147575763870078,12.910496944287878,0.9255954648441971
143,10.85,10.98,10.4,10.87,47082,11.3,10.89,11.69,,9.130099846968447,12.840517612276651,0.9009100744981831
144,10.69,10.7351,9.61,9.74,72370,11.23,10.81,11.66,,9.019460865511022,12.808379781309105,0.92655935489117
145,9.87,10.0,9.375,9.7,69062,11.13,10.74,11.62,,8.881548882085507,12.85287799482993,0.9050194009703721
146,9.72,10.83,9.72,10.48,57191,10.96,10.71,11.59,,8.814865763177862,12.84404118392279,0.9210894437582028
147,10.85,11.07,10.21,10.39,62547,10.82,10.69,11.53,,8.798083614978522,12.844043943022015,0.9167259120611883
148,10.51,11.0,10.31,10.49,48214,10.65,10.69,11.45,,8.790116295610884,12.84307555954038,0.9005312040568176
149,10.42,11.24,10.41,10.83,48080,10.55,10.74,11.41,,8.860944710989415,12.850454141683649,0.8954932609099021
150,10.96,11.0,9.84,10.06,55520,10.37,10.74,11.35,,8.87965869407594,12.849331981175096,0.9143865994163377
151,9.8828,9.99,9.5,9.87,43857,10.27,10.73,11.29,,8.839353956551243,12.882252796790599,0.8890732708865994
152,10.06,11.27,10.03,11.27,79694,10.31,10.79,11.27,,8.94114737086715,12.863848008904426,0.9255680372518423
153,11.2,11.5,10.9,10.91,39457,10.44,10.8,11.24,,9.035220567798547,12.866760009450847,0.9023131774481393
154,10.85,11.3,10.85,10.94,39423,10.58,10.82,11.19,,9.046354798033,12.874825255543675,0.8700050933447009
155,11.1,11.42,10.81,11.04,34171,10.64,10.85,11.17,,9.081426921281006,12.888469955219422,0.8514333009629365
156,11.0,11.23,10.61,10.76,48939,10.69,10.86,11.16,,9.09805682223826,12.89235035525486,0.8349023508941554
157,10.85,11.29,10.82,11.23,48368,10.77,10.82,11.15,,9.09876330361925,12.811210430032068,0.8131236115445729
158,12.09,12.09,11.51,11.71,86960,10.87,10.83,11.15,,9.081915766547642,12.69150499302989,0.8164719250056748
159,11.56,11.64,10.87,10.97,46676,10.97,10.77,11.12,,9.120353646742004,12.435545643611771,0.8181525017909839
160,11.04,11.2719,10.56,11.18,41857,11.11,10.74,11.11,,9.18210458902297,12.258581380855688,0.8105630373773421
161,11.12,12.425,11.12,12.1,82215,11.2,10.76,11.1,,9.249841483665179,12.332136846816926,0.8458799632789606
162,12.05,12.51,11.7501,12.0,60217,11.33,10.83,11.09,,9.160037875662217,12.516319762351424,0.8397385373304634
163,12.08,12.2,11.63,11.97,27889,11.44,10.88,11.06,,9.12106273434962,12.64013011557264,0.8204714989497159
164,11.93,12.06,11.415,11.52,30807,11.49,10.97,11.05,,9.226144248317928,12.719600435904127,0.8079378204533078
165,11.51,11.73,11.15,11.62,30628,11.59,11.07,11.05,,9.42551519926894,12.65037824752655,0.7916565475637859
166,11.69,12.21,11.33,12.17,34681,11.69,11.15,11.06,,9.5647814504573,12.72715716089994,0.7979667941663727
167,11.87,12.38,11.5801,11.9,49384,11.71,11.23,11.07,,9.614569849030197,12.830941281108194,0.7981048802973463
168,11.94,11.985,11.35,11.85,34727,11.81,11.3,11.06,,9.674707985660381,12.860014615165959,0.7864545317046787
169,11.59,12.08,11.249,11.81,47426,11.88,11.34,11.06,,9.730153179999963,12.902290059497346,0.7896363508686302
170,11.74,12.44,11.51,12.285,43507,11.9,11.46,11.07,,9.907202073524209,12.975505116148216,0.7996623258065851
171,12.11,12.45,11.2,11.615,31749,11.86,11.54,11.07,,10.252409492170804,12.81503945604839,0.8318293025346862
172,11.6,12.02,10.92,11.35,47545,11.79,11.55,11.06,,10.455188114832755,12.809987802321423,0.8509843523536372
173,11.72,12.45,11.72,12.105,26955,11.86,11.61,11.07,,10.464238494005764,12.866272836624631,0.8687711843283774
174,12.43,12.79,11.7312,12.08,45635,11.91,11.66,11.09,,10.490589763445774,12.957443601118856,0.8823446711620647
175,12.41,12.8134,12.18,12.64,33733,11.96,11.74,11.12,,10.47925337441409,13.042315580499602,0.8717057660790601
176,12.6,13.47,12.44,13.4,44036,12.13,11.88,11.17,,10.495794189703558,13.24565774734893,0.8830124970734131
177,13.56,13.96,13.0,13.09,75180,12.26,11.97,11.21,,10.398444261832594,13.551801392283174,0.8885116044253123
