,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,15.41,16.3,15.41,16.19,225240,,,,,,,0.8900000000000006
1,16.21,16.51,15.86,16.07,177787,,,,,,,0.8728571428571436
2,16.04,16.41,15.35,15.54,156890,,,,,,,0.8862244897959191
3,15.57,15.97,15.39,15.83,111236,,,,,,,0.8643513119533535
4,15.48,15.48,13.45,13.74,230448,,,,,,,0.972611932528114
5,12.92,14.23,12.92,14.14,231757,,,,,,,0.9967110802046774
6,12.66,14.47,12.66,14.07,183131,,,,,,,1.0548031459043432
7,14.31,14.65,13.42,14.06,156228,,,,,,,1.0673172069111758
8,13.78,13.91,13.29,13.41,214396,14.78,,,,,,1.0460802635603776
9,12.87,13.08,12.0,12.21,333218,14.34,,,,,,1.072074530448922
10,12.74,12.96,12.21,12.74,286969,13.97,,,,,,1.0490692068454277
11,12.0,12.15,11.44,11.57,306992,13.53,,,,,,1.0669928349278972
12,11.8,12.33,11.26,12.28,294510,13.14,,,,,,1.0672076324330475
13,11.75,12.3,9.66,10.76,197667,12.8,,,,,,1.1795499444021156
14,10.71,13.61,10.35,11.84,266468,12.55,,,,,,1.3281535198019645
15,11.85,12.18,11.09,11.29,348610,12.24,,,,,,1.3111425541018242
16,11.31,12.12,11.065,11.64,219342,11.97,,,,,,1.2928466573802655
17,12.2,12.72,11.82,11.94,184782,11.81,,,,,,1.2776433247102466
18,12.0,12.5,11.56,11.78,250708,11.76,,,,,,1.2535259443738005
19,11.98,12.63,11.98,12.35,194005,11.72,13.17,,,9.057653954039228,16.983063851085866,1.2247026626328148
20,12.03,12.4,11.83,12.04,176195,11.77,12.96,,,9.12036293721054,16.62195783857971,1.177938186730471
21,12.0,12.02,10.24,10.38,244241,11.56,12.68,,,9.123302084143935,16.151372374320868,1.2223711733925802
22,10.18,11.005,9.89,10.57,283810,11.54,12.43,,,9.090514011073562,15.693757602556497,1.2147018038645387
23,10.23,10.46,9.52,9.65,223245,11.29,12.12,,,9.139965835632594,15.317883596518573,1.202937389302786
24,9.5,9.8,8.89,9.24,176299,11.07,11.9,,,8.797252302311072,15.07166658794046,1.1820132900668727
25,9.15,9.21,8.52,8.83,139222,10.75,11.63,,,8.393771544277156,15.113023068994409,1.1490123407763817
26,9.06,10.01,9.05,9.93,182744,10.53,11.43,,,8.161222450057682,14.881167765492245,1.15122574500664
27,10.24,10.89,10.19,10.26,176394,10.36,11.24,,,8.236549128640947,14.46697666399139,1.1375667632204518
28,10.58,10.77,9.99,10.23,123198,10.13,11.08,,,8.338143104298897,14.175873956324185,1.1120262801332765
29,10.45,11.02,10.28,10.89,140018,10.0,11.01,,,8.341708672636988,14.010337914989142,1.0890244029808995
30,10.82,10.98,10.2,10.93,166710,10.06,10.92,,,8.383013977014365,13.84580606900664,1.066951231339407
31,10.93,11.1,10.42,10.66,167554,10.07,10.87,,,8.38638406531014,13.784022671120223,1.0393118576723064
32,10.53,10.53,9.58,9.955,359235,10.1,10.76,,,8.31508827879302,13.698627638664712,1.0422181535528559
33,9.93,10.52,9.75,10.4,172658,10.23,10.74,,,8.325339330562635,13.602773047850016,1.022773999727652
34,10.73,11.37,10.5452,10.69,146997,10.44,10.68,,,8.332369645005455,13.222016478800626,1.019004428318534
35,10.35,10.56,10.135,10.28,108425,10.48,10.63,,,8.316822605242576,13.107009824703434,0.9858612548672101
36,10.09,10.21,9.7,9.85,134149,10.43,10.54,,,8.26982486375147,12.994754435202676,0.9568711652338381
37,9.98,10.05,9.57,9.63,112040,10.36,10.43,,,8.296169704791463,12.737893770887355,0.9228089391457069
38,9.6,9.92,9.44,9.6,140579,10.22,10.32,,,8.30864655270668,12.495102965231611,0.8911797292067279
39,9.63,9.71,9.27,9.62,109655,10.08,10.18,,,8.433781163040145,12.17217542260768,0.8589526056919617
40,9.75,10.33,9.73,10.24,68257,10.03,10.09,,,8.678348014762156,11.827010855533361,0.8483131338568217
41,10.6,11.09,10.57,10.98,181650,10.14,10.12,,,8.653261702618082,11.611067671090158,0.8484336242956202
42,11.51,11.92,11.16,11.6,134443,10.28,10.17,,,8.552582761164897,11.80999246293145,0.8549740797030758
43,11.54,11.54,11.09,11.25,107994,10.34,10.25,,,8.5214885477633,11.94123286377727,0.8303330740099989
44,10.87,11.4,10.82,11.38,116996,10.46,10.36,,,8.646874517853401,12.017154254393827,0.812452140152142
45,11.14,11.2732,10.605,10.9,98052,10.58,10.46,,,8.92068142081526,11.962216218447326,0.8097769872841318
46,11.15,11.21,10.51,10.53,89579,10.68,10.49,,,9.091499326816438,11.983861820810704,0.8019357739066939
47,10.5,10.69,10.0,10.06,95793,10.73,10.48,,,9.079130508109708,11.974753348688381,0.7939403614847872
48,10.13,10.7,10.13,10.41,90382,10.82,10.49,,,9.089159133500727,11.972175196073232,0.7829446213787309
49,10.72,10.96,10.6,10.84,87497,10.88,10.49,11.51,,9.08934919187959,11.967165654535016,0.7663057198516788
50,10.61,10.89,10.445,10.58,93435,10.84,10.47,11.39,,9.095758209636935,11.960480923604981,0.7433553112908446
51,10.57,10.68,10.39,10.49,144240,10.72,10.46,11.28,,9.095411871262083,11.931704305270094,0.7109727890557843
52,10.05,10.2844,9.58,9.81,114394,10.56,10.46,11.17,,9.095411871262083,11.935633297997361,0.7251890184089427
53,9.51,9.95,9.35,9.72,101644,10.37,10.42,11.04,,9.02758918481766,11.958912725205712,0.7162469456654468
54,9.65,10.29,9.54,10.13,163350,10.29,10.4,10.97,,8.95656681159245,11.882355298620201,0.7186578781179149
55,10.57,11.19,10.57,11.09,143883,10.35,10.44,10.91,,8.962074052039478,11.933201338489736,0.7430394582523495
56,10.97,11.25,10.755,10.83,85325,10.43,10.48,10.85,,9.00597864910079,11.983335261211147,0.7253223540914673
57,10.97,10.995,10.7,10.89,126112,10.49,10.55,10.78,,9.082364358288853,11.986038323158166,0.6945850430849339
58,10.79,10.79,10.25,10.45,232652,10.44,10.59,10.72,,9.187934255232511,11.951922444832888,0.69068611143601
59,10.4,10.62,9.79,10.19,111043,10.4,10.62,10.68,,9.293981029101516,11.864221691662161,0.700637103476295
60,10.5,10.66,10.26,10.52,295997,10.4,10.63,10.64,,9.358636930341323,11.850190228929767,0.6841630246565598
61,10.8,10.95,10.38,10.65,406696,10.5,10.62,10.62,,9.354123761215765,11.839880404501473,0.6760085228953768
62,10.82,10.82,10.14,10.2,160018,10.55,10.55,10.58,,9.37714855508346,11.654574584710577,0.67629362840285
63,10.06,10.17,9.68,9.69,183865,10.5,10.47,10.56,,9.347994767998472,11.574371495189844,0.6651297978026465
64,9.7,9.88,9.12,9.14,144605,10.28,10.36,10.5,,9.180257398344558,11.542203925134569,0.6719062408167432
65,9.24,9.53,9.16,9.37,267656,10.12,10.28,10.47,,9.040288649841383,11.565946244642499,0.6517700807584044
66,9.67,10.14,9.67,10.04,182276,10.03,10.26,10.43,,9.005804999160635,11.493994630564954,0.660215074989947
67,9.89,10.29,9.87,10.22,244854,10.0,10.26,10.4,,8.996965908489118,11.480544543333131,0.643056855347808
68,10.7,11.12,10.59,10.67,289133,10.06,10.28,10.38,,8.989207222869142,11.534067611779593,0.6614099371086788
69,10.78,11.06,10.58,10.79,244515,10.09,10.27,10.35,,8.990403177136692,11.548539224408252,0.648452084458059
70,10.71,10.95,10.51,10.69,278494,10.09,10.28,10.32,,8.988004040805011,11.555961016638784,0.6335626498539119
71,10.51,10.51,9.46,9.46,226201,10.01,10.23,10.3,,8.923856567082604,11.546789772645734,0.6761653177214895
72,9.04,9.1,8.86,8.865,282821,9.92,10.18,10.27,,8.78549691677793,11.685222134570845,0.6707249378842403
73,9.15,9.22,8.7545,8.76,90811,9.87,10.13,10.25,,8.663951487226154,11.762527565276528,0.6560660137496517
74,8.49,8.6751,8.09,8.3,343548,9.76,10.04,10.23,,8.353588323792621,11.913168961544876,0.6570612984818194
75,8.7,9.08,8.59,8.78,298891,9.62,9.93,10.23,,8.192220808902556,11.86746556149998,0.6658426343045466
76,8.85,8.85,8.28,8.34,198651,9.41,9.8,10.2,,8.009412346865208,11.804276607403532,0.6589967318542218
77,8.25,8.45,8.08,8.28,210852,9.14,9.67,10.16,,7.8181035197721975,11.798562147181766,0.6383541081503488
