,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,2.8,2.93,2.75,2.85,287711,,,,,,,0.18000000000000016
1,2.95,3.0,2.72,2.97,266158,,,,,,,0.18714285714285728
2,2.95,3.05,2.83,2.87,210038,,,,,,,0.18948979591836745
3,2.79,3.45,2.67,3.14,1896474,,,,,,,0.23166909620991266
4,3.02,3.17,2.94,3.03,589320,,,,,,,0.23154987505206176
5,3.02,3.0333,2.84,2.9102,381462,,,,,,,0.22881774111977166
6,2.72,2.7799,2.57,2.65,380682,,,,,,,0.2367736167540737
7,2.74,2.74,2.34,2.65,584134,,,,,,,0.24843264412878274
8,2.59,2.69,2.39,2.48,478304,2.84,,,,,,0.2521160266910126
9,2.27,2.34,2.02,2.13,418347,2.76,,,,,,0.26696488192736884
10,2.25,2.59,2.06,2.305,654331,2.69,,,,,,0.28575310464684245
11,1.3,2.04,1.3,1.77,593294,2.56,,,,,,0.3371278828863537
12,1.77,1.86,1.62,1.8,414662,2.41,,,,,,0.33019017696589986
13,1.75,1.82,1.61,1.77,235799,2.27,,,,,,0.3216051643254785
14,1.74,2.04,1.74,2.02,99373,2.18,,,,,,0.32006193830223
15,2.05,2.3,2.0,2.07,240496,2.11,,,,,,0.31862894270921355
16,2.08,2.19,2.0,2.19,92186,2.06,,,,,,0.3094411610871269
17,2.28,2.4,2.2,2.39,97894,2.05,,,,,,0.302338221009475
18,2.38,2.5,2.27,2.45,195917,2.08,,,,,,0.29717120522308393
19,2.43,2.62,2.37,2.43,181967,2.1,2.44,,,1.3289213380032296,3.4850876099128745,0.29380183342143507
20,2.41,2.5,2.3416,2.42,120788,2.17,2.42,,,1.335998171095453,3.448649324861047,0.28413027389133255
21,2.46,2.52,2.4,2.41,71114,2.24,2.39,,,1.3446159548528076,3.399822704614872,0.27240668289909453
22,2.43,2.53,2.3901,2.48,95566,2.32,2.37,,,1.3652242529402843,3.338905043631729,0.26294191983487347
23,2.37,2.5,2.37,2.42,103637,2.36,2.34,,,1.3749922497476663,3.163185746151757,0.2534460684180968
24,2.47,2.47,2.28,2.44,257888,2.4,2.31,,,1.4205755513675717,3.043849800989698,0.24891420638823278
25,2.42,2.48,2.35,2.44,86791,2.43,2.29,,,1.4624645781414434,2.947165784645678,0.240420334503359
26,2.49,2.51,2.36,2.44,135827,2.44,2.28,,,1.4747801206358653,2.9066191601132134,0.2339617391816905
27,2.56,2.56,2.4,2.46,179144,2.44,2.27,,,1.4729491125790877,2.8775519116790127,0.22867875781156977
28,2.53,2.55,2.44,2.45,203106,2.44,2.26,,,1.470771491179906,2.8557002305385124,0.22020170368217193
29,2.47,2.53,2.44,2.45,144424,2.44,2.28,,,1.4792860032163404,2.8704205146177233,0.21090158199058823
30,2.46,2.645,2.35,2.62,380086,2.47,2.3,,,1.4891699769203868,2.8787684154559403,0.21690861184840338
31,2.73,2.93,2.59,2.77,2867342,2.5,2.35,,,1.6630705521158322,2.953959890126699,0.22570085385923172
32,2.71,2.79,2.51,2.65,852688,2.52,2.39,,,1.7723050690586204,2.9538146445386215,0.22957936429785805
33,2.68,2.81,2.629,2.76,489453,2.56,2.44,,,1.9061684667460947,2.918985128261795,0.22610940970515392
34,2.65,2.9,2.65,2.79,1164380,2.6,2.48,,,2.027432834766063,2.928833455303959,0.22781588044050008
35,2.83,2.8715,2.77,2.8,712926,2.64,2.51,,,2.066546769960574,2.9605781530836977,0.21879331755189294
36,2.71,2.766,2.65,2.67,407163,2.66,2.54,,,2.1406724371420083,2.9452434600724082,0.21387950915532916
37,2.69,2.77,2.67,2.73,273384,2.69,2.55,,,2.1691335292354657,2.953213151835499,0.2057452585013771
38,2.79,2.84,2.73,2.76,346544,2.73,2.57,,,2.1833352077655017,2.975582592706246,0.19890631146556442
39,2.8,2.87,2.7135,2.75,832281,2.74,2.59,,,2.189053020312407,3.0015932936747265,0.19587728921802414
40,2.8,2.84,2.75,2.79,283164,2.74,2.6,,,2.200291033401714,3.017387323576771,0.18831462570245097
41,2.94,2.94,2.76,2.78,105625,2.76,2.62,,,2.206981409159595,3.0476444385571018,0.18772072386656163
42,2.82,2.95,2.82,2.88,291872,2.77,2.64,,,2.2140710094952296,3.0748800603292543,0.18645495787609298
43,2.87,2.895,2.75,2.8,97877,2.77,2.66,,,2.235641266592481,3.0853259304899976,0.18349388945637207
44,2.79,2.82,2.67,2.77,311650,2.77,2.68,,,2.283789755611857,3.0781315266243587,0.18110146878091693
45,2.74,2.97,2.74,2.91,276624,2.8,2.7,,,2.320601875564164,3.0855777615097404,0.18459422101085143
46,2.98,3.05,2.89,2.99,560170,2.83,2.73,,,2.3500549736104364,3.104300178950494,0.18283749093864773
47,3.12,3.13,2.93,3.025,305728,2.86,2.76,,,2.374442633512288,3.139309003133343,0.18406338444303003
48,3.09,3.13,3.02,3.08,391402,2.89,2.79,,,2.386373909597442,3.160839332375132,0.1787731426970993
49,3.08,3.3,3.08,3.22,287794,2.94,2.83,2.6,,2.400755359797678,3.212188942766116,0.18171791821873506
