,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,8.32,8.9,8.25,8.73,202875,,,,,,,0.6500000000000004
1,8.75,9.5453,8.68,9.04,124986,,,,,,,0.6653785714285717
2,9.2,9.45,8.4903,8.68,168307,,,,,8.257937710794652,9.646761287039798,0.6864015306122452
3,8.86,9.08,8.5,8.85,115812,,,,,8.449933322932917,9.604226667932407,0.6788014212827992
4,8.92,10.5,8.65,9.4,210891,,,,,8.457232520480234,10.413303166803155,0.7624584626197421
5,9.15,9.9349,8.5277,9.13,128896,,,,,8.479416271665206,10.553211651884341,0.808511429575475
6,8.46,8.6699,7.46,7.68,181111,,,,,7.557962386713248,10.638690267797077,0.8700463274629411
7,7.84,8.25,6.92,6.95,453136,,,,,6.81774327296049,9.828662238384485,0.9029001612155881
8,6.83,7.02,6.5,6.96,392694,8.38,,,,6.478751623379357,8.837422789936742,0.875550149700189
9,6.51,6.8,5.31,5.4953,256924,8.02,,,,5.408208592151909,8.13809697919194,0.9308679961501756
10,5.79,7.2,5.5,7.2,193427,7.82,,,,5.130703511663011,7.206999722684268,0.9861417107108773
11,6.69,6.69,5.55,5.56,371952,7.47,,,,5.32671053391182,7.165056929778712,1.0335601599458148
12,5.51,6.63,5.5036,6.0,149500,7.15,,,,5.489980230298055,7.1532091952673476,1.0401915770925423
13,5.98,6.14,5.3502,6.0,149270,6.78,,,,5.363367118266799,6.788383973650136,1.022306464443075
14,5.89,6.396,5.75,6.28,183048,6.46,,,,5.3329052801880845,6.633748965769145,0.9954274312685697
15,6.53,7.0364,6.1,6.45,113430,6.32,,,,5.358224467748753,6.985865781113817,0.9912111861779577
16,6.66,6.69,6.0,6.37,56996,6.26,,,,5.769722436226785,7.02802376506468,0.9696961014509607
17,6.85,6.8786,6.3212,6.44,95727,6.2,,,,5.9760330933551264,7.0417613971908075,0.9402463799187493
18,6.76,6.961,5.81,6.25,293714,6.28,,,,5.785342518223085,6.982124871783347,0.955300209924553
19,6.34,6.61,6.09,6.49,41550,6.2,7.2,,,5.8177454169518406,7.000080202915336,0.924207337787085
20,6.19,6.65,6.12,6.55,98922,6.31,7.09,,,5.835689085290224,6.932479978720011,0.8960496708022933
21,6.47,6.47,5.7,5.85,98769,6.3,6.93,,,5.7356925097227895,6.671182979191838,0.8927604086021295
22,5.83,6.19,5.63,5.76,82260,6.27,6.78,,,5.551650943862644,6.668471182009569,0.8689918079876917
23,5.5,5.63,4.5,4.73,255713,6.1,6.58,,,4.603143591090676,6.524373731529245,0.8969209645599995
