,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,6.28,6.3147,6.05,6.23,84704,,,,,,,0.2647000000000004
1,6.38,6.43,6.08,6.19,115684,,,,,,,0.2707928571428575
2,6.34,6.4,6.1,6.3,33813,,,,,,,0.27287908163265345
3,6.18,6.45,6.18,6.37,82565,,,,,,,0.2726734329446068
4,6.14,6.4,5.885,5.98,137928,,,,,,,0.2899824734485635
5,5.79,6.2799,5.55,5.83,97649,,,,,,,0.32140515391652325
6,6.03,6.07,5.66,5.85,107346,,,,,,,0.3277333572082002
7,5.79,5.86,5.46,5.7,153438,,,,,,,0.33289526026475735
8,5.47,5.78,5.22,5.67,115640,6.01,,,,,,0.3491170273887033
9,5.83,5.83,5.17,5.74,83818,5.96,,,,,,0.37132295400379595
10,5.21,5.73,5.1,5.56,176292,5.89,,,,,,0.39051417157495344
11,5.69,5.7965,5.27,5.495,53386,5.8,,,,,,0.4002274450338854
12,5.28,5.3516,4.49,4.62,74881,5.6,,,,,,0.4434254846743222
13,4.67,5.19,4.5613,5.17,169434,5.52,,,,,,0.45665937862615635
14,5.18,5.71,5.01,5.065,90598,5.43,,,,,,0.4740408515814309
15,5.2,5.22,4.41,4.64,62291,5.3,,,,,,0.49803793361132864
16,4.81,5.4,4.7101,5.07,48873,5.23,,,,,,0.5167495097819481
17,5.09,5.73,5.0271,5.31,112986,5.19,,,,,,0.5300459733689519
18,5.33,5.7,5.33,5.55,26888,5.16,,,,,,0.5200426895568839
19,5.43,5.7,5.05,5.09,49480,5.11,5.57,,,4.213682068749389,6.6788586690168055,0.5293253545885351
20,5.05,5.68,4.9,5.28,36968,5.09,5.52,,,4.19830683565621,6.622709291193746,0.5472306864036398
21,5.4,5.7,5.26,5.43,97292,5.18,5.49,,,4.2302329393638995,6.536242970972196,0.5395713516605227
22,5.48,5.65,5.19,5.32,38892,5.2,5.44,,,4.276458119779581,6.444300874366496,0.533887683684771
23,5.29,5.5,5.075,5.5,65486,5.24,5.39,,,4.3571610215660375,6.323337120801256,0.5261099919930017
24,5.47,5.62,5.16,5.59,33645,5.35,5.37,,,4.411602522725903,6.192359099833017,0.5213878497077873
25,5.49,5.65,5.4813,5.65,35095,5.41,5.36,,,4.4176931207473675,6.075446647480761,0.49619586044294534
26,5.85,5.95,5.2,5.24,36590,5.41,5.33,,,4.450669078448435,6.047265600050408,0.5143247275541636
27,5.35,5.63,5.35,5.58,65584,5.41,5.33,,,4.458919812165343,6.022148792446806,0.5054443898717234
28,5.71,5.93,5.31,5.34,61745,5.44,5.31,,,4.456562942583769,6.047218313998114,0.5136269334523146
29,5.41,5.41,5.0,5.15,41586,5.42,5.28,,,4.450258740681952,6.026838571465791,0.5062250096342921
30,5.24,5.6,5.0,5.05,84390,5.38,5.26,,,4.44555157418443,6.016634115367442,0.5129232232318426
31,4.95,5.05,4.82,4.93,53871,5.34,5.23,,,4.4257721501308644,6.03788143651579,0.49271442157242523
32,4.95,4.95,4.6,4.7547,122040,5.25,5.24,,,4.450167783726931,6.086264378065137,0.48252053431725206
33,5.0,5.35,4.94,5.01,127401,5.19,5.23,,,4.509713559600435,6.076268166944088,0.4905762104374483
34,4.91,5.17,4.8102,4.9,49491,5.11,5.22,,,4.489836767781294,6.071328288978009,0.4812350525490592
35,4.77,4.85,4.51,4.72,133761,5.05,5.22,,,4.5176266613035905,6.118597512208616,0.4747182630812693
36,4.77,4.865,4.57,4.77,41892,4.96,5.21,,,4.488750601134711,6.156130902666846,0.4618812442897501
37,4.79,5.14,4.7,5.06,182916,4.93,5.2,,,4.452691723096423,6.132978924246235,0.46031829826905357
38,5.09,5.24,4.9087,5.17,139627,4.93,5.18,,,4.450479555517707,6.106148562463344,0.4511027055355498
39,5.11,5.47,4.9282,5.355,211536,4.96,5.19,,,4.4444077944490346,6.0831342480522395,0.45758108371158196
40,5.38,5.81,5.27,5.76,210554,5.06,5.21,,,4.4500957351695805,6.102777677726753,0.4634681491607547
41,5.75,6.2073,5.75,6.16,410834,5.21,5.25,,,4.390077751872587,6.205009600228097,0.46302756707784365
42,6.06,6.24,5.79,6.1,95238,5.33,5.29,,,4.337173560646345,6.309642221202676,0.4620970265722834
43,5.93,6.0931,5.77,6.04,33885,5.46,5.32,,,4.304787775395773,6.3833788345891325,0.4526615246742632
44,5.94,6.2,5.8601,6.15,55191,5.62,5.34,,,4.268427808144119,6.46461129513656,0.44460713005467295
45,6.27,6.3,5.75,5.75,114060,5.73,5.35,,,4.250816639013624,6.557116584448681,0.45213519219362486
46,5.82,5.82,5.39,5.41,22043,5.77,5.36,,,4.253679950562621,6.541805657661173,0.45055410703693743
47,5.54,5.72,5.425,5.55,38100,5.81,5.36,,,4.253318830569317,6.54837158088424,0.4405145279628705
48,5.68,5.84,5.68,5.72,31886,5.85,5.38,,,4.243697345584486,6.53771836436713,0.42976349025123695
49,5.7,5.7,5.42,5.5,37256,5.82,5.39,5.47,,4.262238836274216,6.551053739510195,0.4204946695190057
50,5.6,5.7469,4.93,4.9501,67312,5.69,5.39,5.44,,4.255144263110246,6.561231582565087,0.4488093359819339
51,5.16,5.245,4.76,4.76,40572,5.54,5.38,5.41,,4.246766666694931,6.55200273092722,0.4513943834117958
52,4.75,4.8025,4.26,4.78,51468,5.4,5.38,5.38,,4.174395466830356,6.56771355983405,0.45790192745381036
53,4.75,4.94,4.7226,4.81,49404,5.25,5.37,5.35,,4.148287682837513,6.584929433816512,0.4407232183499668
54,4.83,4.9371,4.7,4.75,61418,5.14,5.36,5.33,,4.133594281199346,6.597659590892527,0.4261787027535406
55,4.75,4.865,4.31,4.41,56352,5.03,5.35,5.3,,4.093534866429592,6.596276787801619,0.43538022398543064
56,4.51,4.59,4.4,4.48,78685,4.91,5.33,5.27,,4.0629500843847115,6.627583400577342,0.4178530651293284
57,4.56,4.81,4.41,4.69,169182,4.79,5.31,5.25,,4.016281784925894,6.646584494129484,0.4165778461915192
58,4.7,4.82,4.53,4.61,102912,4.69,5.29,5.23,,3.9693636221408064,6.663570544682461,0.4075365714635536
59,4.72,4.9,4.68,4.84,56808,4.68,5.26,5.21,,3.943548728888537,6.666679971535654,0.39914110207329984
60,4.9,5.74,4.83,5.73,154464,4.79,5.26,5.22,,3.9191777120699327,6.659482914895827,0.43563102335377846
61,5.76,6.14,5.74,5.84,51205,4.91,5.24,5.22,,3.919918348595508,6.647715060205759,0.4338002359713657
62,5.78,5.8,5.43,5.6,22395,4.99,5.22,5.24,,3.938898950961626,6.580835814683795,0.43210021911626817
63,5.51,5.7999,5.4,5.62,34584,5.09,5.2,5.25,,3.9592452403064278,6.538346365074416,0.42980020346510617
64,5.6,5.77,5.51,5.56,47572,5.22,5.17,5.26,,3.9882892668125347,6.469870844670308,0.4176716175033129
65,5.6,5.815,5.6,5.65,37158,5.35,5.16,5.28,,4.001469773897033,6.380205044696849,0.40605221625307636
66,5.57,5.65,5.31,5.46,34355,5.43,5.17,5.29,,4.003279091340514,6.35900207942789,0.4013342008064281
67,5.63,5.7,5.34,5.46,36127,5.53,5.16,5.29,,4.005899039832061,6.3565841049455285,0.3983817578916833
68,5.43,5.6889,5.26,5.35,97990,5.59,5.14,5.29,,4.02885843973891,6.336311607926186,0.4005616323279917
69,5.39,5.87,5.14,5.83,62352,5.6,5.16,5.3,,4.034320595496182,6.359842959810696,0.42409294430456373
70,5.84,5.84,5.54,5.59,30579,5.57,5.19,5.31,,4.029992240804476,6.372669980206467,0.41522916256852344
71,5.53,5.53,5.05,5.15,57694,5.52,5.21,5.3,,4.050586121989289,6.386567459027989,0.42414136524220036
72,5.18,5.39,5.1701,5.18,11336,5.47,5.23,5.3,,4.161523311748024,6.375105284843856,0.41098841058204316
73,5.5,5.546,5.1075,5.24,224586,5.43,5.25,5.29,,4.1943333086727215,6.377746172057737,0.4129535241118973
74,5.25,5.4851,5.25,5.29,77994,5.39,5.28,5.29,,4.23667106120906,6.371503064919148,0.4009639866753332
75,5.191,5.318,5.1,5.13,77506,5.36,5.32,5.28,,4.360195587189951,6.349060566857465,0.38789513048423796
76,5.2,5.2,5.0,5.0,76390,5.31,5.34,5.27,,4.4677470133462105,6.276761396617011,0.37447404973536386
