,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,34.0,34.0,33.75,34.0,6849,,,,,,,0.25
1,33.34,33.49,32.339,33.48,839,,,,,,,0.35078571428571437
2,33.48,33.77,33.47,33.77,841,,,,,,,0.3471581632653065
3,33.0473,34.0,33.0473,34.0,3248,,,,,32.537664483312106,34.05728082879171,0.39041115160349893
4,33.75,33.9,33.4,33.89,5370,,,,,32.54650507960277,34.011058061754525,0.40538178363182054
5,33.0,33.7,33.0,33.5,2576,,,,,32.989340648079576,33.97625973484822,0.439997370515262
6,33.49,33.5,33.3275,33.5,2283,,,,,32.99418827937521,33.99673557826083,0.42089041547845757
7,33.0,33.0,32.0,33.0,4939,,,,,32.28671553973714,33.91122100754189,0.49796967151571064
8,32.4318,32.5,32.26,32.4,450,33.5,,,,32.02610472915364,33.71274219349673,0.5152575521217315
9,31.7,33.0,31.7,31.98,2991,33.28,,,,31.613486644293896,33.408248290463874,0.5713105841130365
10,31.86,31.995,30.25,30.97,16284,33.0,,,,30.65452542723453,33.104641099938455,0.6551455423906768
11,30.25,31.04,28.3,29.95,22423,32.58,,,,28.859725975979963,32.97042372174982,0.8040637179341998
12,28.0,28.64,27.8,28.25,1208,31.94,,,,27.711400798586233,33.034879573028995,0.9002020237960426
13,29.67,29.88,28.05,28.99,6460,31.39,,,,27.481220903544116,31.84031452951063,0.966616164953468
14,29.99,29.99,27.8,28.94,18176,30.89,,,,27.74814322306096,30.869856859802017,1.0540007245996488
15,28.1,28.1,27.58,27.58,4676,30.23,,,,27.61542796490211,30.08364177223455,1.075857815699674
16,27.58,27.58,24.82,26.51,1049,29.51,,,,25.555220441767144,30.116357870816138,1.19615368600684
17,22.77,23.625,22.77,23.15,16078,28.48,,,,23.341356175347546,29.998188804060923,1.377856994149209
18,22.99,24.0,18.0,18.37,38829,26.97,,,,19.251069766365717,28.166212161375025,1.708010065995694
19,18.42,21.31,18.0,18.07,5392,25.53,29.71,,,17.44867048841206,26.718912076653424,1.8224379184245731
20,18.07,18.07,16.86,17.2,8080,24.12,28.88,,,16.27702000577843,24.478526953910926,1.778692352822818
21,18.85,18.85,18.3879,18.3879,160,23.02,28.12,,,17.15150728504347,23.23582503628674,1.7695000419069027
22,19.0,19.0,18.0,18.99,6604,21.91,27.38,,,17.15150728504347,20.70335994999513,1.7145357531992669
23,19.0,19.0,17.56,19.0,10751,20.81,26.63,,,17.046640274458994,19.17564559910363,1.6949260565421767
24,18.9899,22.0,18.4004,21.75,20546,20.16,26.02,,,17.68955839762147,21.239138464077335,1.8309741953605925
25,22.24,24.37,22.0,22.75,4072,19.74,25.49,,,16.954358683755085,23.695234139323567,1.8873331814062646
26,25.0,25.0,22.0,24.25,12366,19.86,25.02,,,17.644044578659763,25.313570561378434,1.9668093827343884
27,23.0,25.0,23.0,25.0,2808,20.6,24.62,,,19.32791964866305,25.51876259854219,1.9691801411105034
28,25.99,25.99,24.75,25.38,11576,21.41,24.27,,,21.640468131977244,25.759477408132863,1.917095845316896
29,25.99,25.99,24.25,24.25,1526,22.2,23.89,,,22.25836129785408,26.06657676649798,1.9044461420799748
30,25.5,25.5,23.6012,23.6012,780,22.77,23.52,,,23.137786376078033,26.09349762407037,1.9040428462171195
31,25.43,25.43,23.87,24.95,6502,23.44,23.27,,,23.61932429681417,26.031953061516802,1.8986683572016112
32,23.7699,25.9,23.7699,24.9935,2907,24.1,23.11,,,23.597915855770434,25.986010082856385,1.9151991888300675
33,25.99,25.99,24.62,25.48,1061,24.52,22.93,,,23.51491804990381,25.986010082856385,1.8762563896279196
34,24.8,25.86,23.52,25.86,4690,24.86,22.78,,,23.471500253225397,26.044332442066718,1.9093809332259253
35,24.2115,25.0,23.62,25.0,2693,24.95,22.65,,,23.380181092843436,26.149046314036074,1.9329965808526448
