,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,6.29,6.41,6.26,6.35,20872,,,,,,,0.15000000000000036
1,6.14,6.6427,6.14,6.49,33856,,,,,,,0.17519285714285748
2,6.45,6.9,6.3,6.88,65203,,,,,,,0.20553622448979628
3,6.67,6.87,6.3069,6.87,29058,,,,,,,0.2317907798833823
4,6.18,6.77,6.18,6.73,69769,,,,,,,0.26452000989171215
5,6.8,7.24,6.8,6.98,98502,,,,,,,0.282054294899447
6,6.98,6.98,6.5,6.5,57634,,,,,,,0.29619327383520083
7,6.72,6.93,5.66,5.95,79983,,,,,,,0.3657508971326865
8,5.99,6.36,5.94,6.36,19528,6.57,,,,,,0.3696258330517803
9,5.71,5.75,5.1001,5.27,42158,6.45,,,,,,0.4332168449766532
10,5.26,6.52,5.26,5.3,214762,6.32,,,,,,0.49227278462117796
11,5.08,6.25,5.07,5.2,113405,6.13,,,,,,0.5413961571482366
12,5.3,6.005,5.21,5.86,64443,6.02,,,,,,0.5602250030662197
13,5.56,6.17,5.56,6.06,94034,5.94,,,,,,0.5637803599900612
14,5.65,6.3,5.65,6.0,64439,5.83,,,,,,0.5699389057050568
15,5.88,6.52,5.86,6.43,65538,5.83,,,,,,0.5763718410118384
16,6.14,6.98,6.02,6.65,72664,5.9,,,,,,0.6037738523681356
17,6.43,7.1499,5.8,5.8,72018,5.84,,,,,,0.657068577198983
18,6.04,7.0899,6.04,6.975,93281,6.03,,,,,,0.7022708216847701
19,6.85,7.06,6.53,6.67,66732,6.18,6.27,,,4.919543089537156,7.477760282743384,0.6899657629930007
20,6.8,7.05,6.8,7.0,40068,6.38,6.3,,,4.87910619801197,7.52086863897578,0.6678253513506436
21,7.0,7.348,6.995,7.2321,55946,6.54,6.34,,,4.822690272938651,7.607498020482368,0.6453378262541691
22,7.01,7.3,6.8,6.8,43591,6.62,6.33,,,4.797931955497515,7.662358019492996,0.6349565529503
23,6.75,7.1,6.73,6.73,17090,6.7,6.32,,,4.782440815684081,7.686633221831978,0.6160310848824213
24,6.96,7.05,6.8435,7.0,31960,6.76,6.34,,,4.763878180622872,7.71054289205365,0.5948860073908198
25,6.87,7.01,6.8,6.8,26373,6.78,6.33,,,4.763878180622872,7.679891125187795,0.567394149720047
26,6.8191,7.1873,6.8191,7.0,11072,6.91,6.35,,,4.749410362268553,7.705661524111359,0.5545302818829008
27,7.0,7.15,6.5,6.8,80251,6.89,6.4,,,4.793465365610732,7.730131211492618,0.5613495474626936
28,6.89,7.09,6.78,6.84,42663,6.91,6.42,,,4.806034538921605,7.756882250558317,0.5433960083582156
29,7.0,7.08,6.88,6.88,20896,6.9,6.5,,,4.955347348302438,7.689963513063096,0.5217248649040573
30,7.06,7.06,6.94,6.95,16038,6.87,6.58,,,5.09227268363322,7.703816655757578,0.49731594598233897
31,6.95,7.05,6.95,6.96,31891,6.88,6.67,,,5.310128867365692,7.685857549833369,0.46893623555502906
32,7.0,7.06,6.93,6.93,18007,6.91,6.73,,,5.533998754339729,7.597221228055566,0.44472650444395556
33,6.87,6.88,6.3,6.31,56582,6.83,6.74,,,5.671816185767941,7.499057153297228,0.4579603255551016
34,6.63,6.63,6.19,6.19,59107,6.76,6.75,,,5.786443451020432,7.422982173901957,0.45667744515830855
35,6.22,7.0,6.22,6.65,22203,6.72,6.76,,,5.85859817459373,7.35862924089144,0.48191477050414366
36,7.1,7.1,6.5401,6.77,17595,6.72,6.76,,,5.934957539617003,7.362090383223691,0.48748514403956195
37,6.83,6.97,6.63,6.97,13629,6.73,6.82,,,6.095316742590273,7.35411382402054,0.476950490893879
38,7.0,7.0,6.5603,6.99,56542,6.75,6.82,,,6.199057497373975,7.350662164840818,0.4742897415443162
