,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.09,1.1799,1.05,1.1799,145358,,,,,,,0.1298999999999999
1,1.15,1.19,1.1,1.12,98198,,,,,1.03610912703474,1.1928059563389826,0.1270499999999999
2,1.13,1.1766,1.1,1.15,72844,,,,,1.1,1.1937227539546895,0.1234464285714285
3,1.15,1.22,1.12,1.195,91527,,,,,1.0944436508138966,1.2320572777338457,0.12177168367346931
4,1.21,1.24,1.18,1.19,153499,,,,,1.103330952441688,1.2455563491861035,0.1173594205539358
5,1.21,1.22,1.12,1.18,102825,,,,,1.103330952441688,1.2455563491861035,0.11611946194294039
6,1.13,1.14,1.05,1.0801,116822,,,,,1.030552777848636,1.2422253967444161,0.11711092894701607
7,1.1,1.17,1.05,1.05,422656,,,,,1.05,1.1783345237791556,0.11731729116508634
8,1.05,1.17,1.05,1.11,274884,1.14,,,,1.05,1.17,0.11750891322472302
9,1.09,1.09,1.0,1.03,79832,1.12,,,,0.9861091270347409,1.1922253967444159,0.11697256228009996
10,1.01,1.05,0.9,0.909841,170616,1.1,,,,0.8722182540694805,1.1011126983722073,0.11933166497437854
11,0.86,0.87,0.71,0.72,311386,1.05,,,,0.657214682732012,1.1000071426749358,0.12508233176192293
12,0.72,0.75,0.6301,0.75,224986,1.0,,,,0.6079023850015159,0.9033380951166222,0.12471216520749988
13,0.75,0.8798,0.74,0.86,191091,0.97,,,,0.5995678612223593,0.9158607062178133,0.12578986769267847
14,0.88,0.9896,0.84,0.93,411988,0.94,,,,0.7122182540694809,1.02010435703171,0.12749059142891572
15,0.9156,0.9679,0.84,0.9546,72589,0.92,,,,0.84,0.9956286388669181,0.1275198348982789
16,0.9082,0.968,0.85,0.85,93328,0.9,,,,0.8372218254069574,0.9680277817448002,0.12683984669125897
17,0.84,0.900149,0.84,0.84,81554,0.87,,,,0.8372218254069574,0.9868501924313151,0.12207621478474048
18,0.8498,0.875,0.835,0.86,49892,0.85,,,,0.8336109127034933,0.9071358312840593,0.11621362801440188
19,0.8989,0.995,0.8989,0.9205,70173,0.85,0.99,,,0.8172474643503989,1.0283380951166232,0.11755551172765889
20,0.8,0.9,0.7725,0.8956,362518,0.87,0.98,,,0.7373838731438231,1.021392658633993,0.11973011803282613
21,0.8931,0.9,0.8488,0.8603,48076,0.89,0.97,,,0.7513025278550145,0.9,0.11483510960190998
22,0.89,1.1199,0.8694,0.9759,329828,0.9,0.96,,,0.8430769603383174,1.1809920593012135,0.12517545891605927
23,1.0,1.18,0.9311,1.1,315803,0.92,0.95,,,0.8522586627608703,1.1966968293042435,0.13401292613634075
24,1.14,1.18,0.99,0.99,216604,0.92,0.94,,,0.9147365516469246,1.18,0.13801200284088783
25,1.1,1.1001,0.899,0.91,197334,0.93,0.93,,,0.8737186112032274,1.202197614998486,0.142518288352253
26,0.95,0.99,0.8801,0.8801,55184,0.93,0.92,,,0.8748492500191362,1.1306877022695028,0.14018841061280635
27,0.8887,0.98,0.8801,0.8902,49129,0.94,0.91,,,0.8801,0.9927781745930456,0.13731066699760588
28,0.9,0.959,0.89,0.9,131098,0.93,0.9,,,0.8773496071528872,0.9858341666454058,0.13243133364063403
29,0.94,0.94,0.88,0.88,67666,0.93,0.89,,,0.8772218254069567,0.9642785317267945,0.12725766695201732
30,0.9,0.9,0.8521,0.8999,41589,0.94,0.89,,,0.8443488928853882,0.9511126983722055,0.12158926216973037
31,0.9,0.9694,0.8602,0.9455,136666,0.93,0.9,,,0.8498496785796398,0.9886805316757799,0.1207043148718925
32,0.9495,0.9495,0.88,0.88,59103,0.91,0.91,,,0.8546992143057616,0.9749285674401696,0.11704686380961446
33,0.9,0.9,0.88,0.8999,74247,0.9,0.91,,,0.88,0.9632519642356057,0.11011494496607058
34,0.9,0.9,0.875,0.8924,63723,0.9,0.91,,,0.8736109127034918,0.9,0.10403530603992268
35,0.8927,0.9395,0.888,0.919899,156297,0.9,0.91,,,0.8713883730290392,0.9504737896425535,0.10028278417992821
36,0.9104,0.9245,0.866,0.9,42546,0.9,0.91,,,0.8598880158952895,0.9436672618895728,0.09729829959564763
37,0.9,0.9086,0.8585,0.8937,115530,0.9,0.91,,,0.8564163690552228,0.9289172976029473,0.0939269924816728
38,0.8889,0.904,0.85,0.8599,129399,0.9,0.91,,,0.8476385515959163,0.9098779603127837,0.09107506444726761
39,0.8642,0.901525,0.86,0.8899,109527,0.9,0.91,,,0.847221825406957,0.9046875982117418,0.0875429169867485
40,0.8602,0.897,0.8602,0.87,200112,0.89,0.91,,,0.8599444365085912,0.9027821240033345,0.08391842291626647
41,0.8901,0.9791,0.89,0.97,230598,0.9,0.92,,,0.8519210397127079,1.0019088134089562,0.08571710699367602
42,0.99,1.05,0.91,1.05,184622,0.92,0.92,,,0.8844436508139005,1.0696972578647381,0.08959445649412773
43,1.05,1.05,0.95,0.9799,108456,0.93,0.92,,,0.8988873016277941,1.05,0.09033770960169003
44,0.95,0.9693,0.9105,0.95,17016,0.93,0.91,,,0.8995262103574468,1.072419868965929,0.08884215891585504
45,0.94,0.94,0.8816,0.92,51492,0.93,0.91,,,0.8735710754260829,0.9774400515576385,0.08738200470757967
46,0.9548,0.9548,0.886,0.89,49716,0.93,0.91,,,0.8803776031790784,0.9589116983977086,0.08605471865703827
47,0.89,0.97,0.89,0.9234,43793,0.94,0.92,,,0.8848887301628026,0.9742228253814322,0.08562223875296411
48,0.9253,0.9598,0.9009,0.957,64646,0.95,0.92,,,0.8869717896935819,0.9728337380849031,0.08371350741346667
49,1.08,1.08,0.8999,0.9221,334246,0.95,0.92,0.95,,0.8996221825407896,1.1133936586084847,0.09059825688393335
50,0.9404,0.978899,0.92,0.959,139316,0.95,0.92,0.95,,0.8943158690679702,1.1080876229532146,0.08833402424936668
51,0.9452,0.975,0.9264,0.9343,126188,0.94,0.92,0.94,,0.9182219682604617,0.9799822102738027,0.0854958796601262
52,0.92,0.97,0.8905,0.9149,116695,0.93,0.92,0.94,,0.8805263532109459,0.9763890872965032,0.08506760254154577
53,0.891,0.934,0.891,0.9102,41869,0.93,0.93,0.93,,0.8903610912705383,0.9800014285349835,0.08206277378857822
54,0.9103,0.9498,0.892,0.9085,195142,0.92,0.93,0.93,,0.8907221825407902,0.9541895158570133,0.0803297185179655
55,0.901,0.97,0.901,0.9551,222316,0.93,0.93,0.92,,0.8894996428662637,0.9756119126779588,0.07952045290953938
56,0.98,0.98,0.9301,0.9411,82667,0.93,0.93,0.92,,0.8929155119342218,0.9827781745930404,0.0774047062731437
