,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,64.0,64.2,63.6547,63.67,1453,,,,,,,0.5453000000000046
1,63.271,64.08,63.271,63.81,1554,,,,,,,0.5641357142857184
2,63.9,64.1,63.5,63.53,4222,,,,,,,0.5666974489795953
3,63.8,63.9015,63.73,63.9015,332,,,,,,,0.5527547740524812
4,64.02,64.02,63.75,63.82,2094,,,,,,,0.5325580044773037
5,63.56,64.17,63.5,63.705,14539,,,,,,,0.5423752898717822
6,63.52,63.58,63.32,63.44,6910,,,,,,,0.5311341977380833
7,63.71,63.71,63.15,63.4,2208,,,,,,,0.5331960407567918
8,63.4,63.42,63.21,63.25,3725,63.61,,,,,,0.5101106092741639
9,63.47,63.48,63.3,63.31,1066,63.57,,,,,,0.49010270861172334
10,63.0,63.45,62.6143,63.45,1787,63.53,,,,,,0.5147882294251719
11,63.17,63.48,63.0,63.47,1140,63.53,,,,,,0.5123033558948022
12,63.5,63.5,63.06,63.205,2030,63.45,,,,,,0.5071388304737449
13,63.2,63.465,63.0,63.035,3365,63.36,,,,,,0.5041289140113348
14,62.825,62.825,61.05,62.48,5897,63.23,,,,,,0.6099054201533822
15,62.5875,62.5875,61.82,61.858,605,63.05,,,,,,0.621162175856712
16,61.37,62.3625,61.05,62.0,2883,62.9,,,,,,0.670543449009804
17,55.87,63.15,55.87,63.15,2509,62.88,,,,,,1.1426474883662467
18,61.55,61.695,61.135,61.135,1733,62.64,,,,,,1.204958382054372
19,59.9592,60.95,59.9592,60.84,1150,62.35,63.02,,,58.60428315374437,65.01348266468865,1.2028756404790593
20,60.02,60.02,55.48,57.96,878,61.74,62.74,,,57.15576736305141,65.29641556023284,1.4998130947305555
21,58.48,58.48,55.0,56.23,13592,60.97,62.36,,,55.87553324852984,65.78227948221028,1.6412550165355158
22,56.23,56.23,55.38,55.89,8112,60.17,61.98,,,54.926201068813114,66.53818463265756,1.5847368010686929
23,55.69,55.9,50.0,50.0,2341,58.78,61.28,,,52.62488712382579,66.99912845690893,1.8929698867066433
24,51.95,54.49,51.085,51.16,4582,57.6,60.65,,,51.118928029010725,67.45557929007853,2.078472037656169
25,48.0,48.0,42.19,43.65,15400,55.56,59.65,,,47.20268335945967,69.0661354650911,2.5707240349664424
