,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.55,1.6,1.52,1.575,485743,,,,,,,0.08000000000000007
1,1.59,1.615,1.51,1.54,747295,,,,,,,0.08178571428571435
2,1.53,1.58,1.45,1.46,891883,,,,,,,0.08522959183673476
3,1.49,1.49,1.365,1.38,674941,,,,,,,0.08807033527696799
4,1.38,1.4,1.25,1.26,1057442,,,,,,,0.09249388275718455
5,1.28,1.54,1.27,1.3,885774,,,,,,,0.1058871768459571
6,1.02,1.1,0.99,0.99,875289,,,,,,,0.12046666421410303
7,1.08,1.105,0.98,1.06,644071,,,,,,,0.12079047391309566
8,1.02,1.13,0.9003,0.9953,1636767,1.28,,,,,,0.12856972577644596
9,0.9214,0.9899,0.8403,0.8403,1172039,1.2,,,,,,0.1304576025066998
10,0.9009,1.09,0.9009,1.09,547605,1.15,,,,,,0.13897491661336409
11,1.02,1.03,0.7022,0.718,1185297,1.07,,,,,,0.15674813685526665
12,0.7496,0.9797,0.7496,0.7914,1129740,1.0,,,,,,0.1642446985084619
13,0.7761,0.78,0.7008,0.7008,795908,0.94,,,,,,0.15898436290071463
14,0.74,0.8505,0.72,0.8012,492587,0.89,,,,,,0.15832119412209217
15,0.8221,0.9062,0.7793,0.9062,323615,0.88,,,,,,0.15607682311337132
16,0.97,0.97,0.7881,0.9079,283830,0.86,,,,,,0.1579213357481305
17,0.9304,1.01,0.9047,1.0,305173,0.86,,,,,,0.1541626689089783
18,1.05,1.09,0.9202,1.01,354808,0.88,,,,,,0.1552796211297656
19,1.03,1.07,0.9262,0.938,561384,0.86,1.06,,,0.4502255576870464,1.7002377630915997,0.1544596481919252
20,0.8606,0.93,0.8606,0.8807,364142,0.88,1.03,,,0.4690002848691117,1.6353174337202125,0.14895538760678767
21,0.8865,0.8925,0.8132,0.8493,137054,0.89,0.99,,,0.49704574041310273,1.5551921191479465,0.1439800027777314
22,0.871,0.9409,0.8259,0.8842,218834,0.91,0.97,,,0.5342030993701378,1.4670505204562705,0.14191000257932201
23,0.8572,0.8639,0.8,0.80005,117829,0.91,0.94,,,0.5709565191177939,1.3914093472431495,0.13778785953794187
24,0.87,0.8962,0.8002,0.8443,222874,0.9,0.92,,,0.6001692876174763,1.326285527359974,0.13481372671380318
25,0.87,0.8737,0.76,0.8004,426073,0.89,0.89,,,0.658534087172026,1.1768166215252747,0.13330560337710298
26,0.85,0.9499,0.834,0.9367,741984,0.88,0.89,,,0.6670689533041803,1.160711202184954,0.1344623459930242
27,0.9841,0.9931,0.8297,0.8401,702098,0.86,0.88,,,0.677188134514466,1.14453685108338,0.13652932127923675
28,0.8706,0.9462,0.8302,0.9301,524004,0.86,0.87,,,0.6789441726571259,1.1173320970887866,0.13506294118786272
29,0.9898,1.0,0.9,0.9224,597688,0.87,0.88,,,0.6769732020409757,1.1183792511035517,0.13255844538872968
30,0.99,0.99,0.857401,0.8851,538766,0.87,0.87,,,0.6789684803186838,1.101572342709981,0.13256134214667759
31,0.9345,0.9804,0.83,0.973,748050,0.88,0.88,,,0.6960999537458374,1.0950719617560418,0.13383553199334347
32,0.9,0.96,0.8203,0.94,490386,0.9,0.89,,,0.7042690420456681,1.0934002482723884,0.13518299399381895
33,0.96,0.96,0.87,0.8899,441476,0.9,0.9,,,0.7264475318497702,1.0806339220761434,0.13195563727997472
34,0.9,0.9196,0.8601,0.8845,527362,0.91,0.9,,,0.7472820086975748,1.0757541139948033,0.12678023461711938
35,0.87,0.9195,0.79,0.8,707000,0.9,0.9,,,0.7491831581908843,1.0753613660280954,0.12697450357303944
36,0.77,0.85,0.760078,0.7825,456748,0.89,0.89,,,0.7436214474913976,1.0786223501136152,0.12432789617496519
37,0.84,0.84,0.775,0.8096,394586,0.88,0.88,,,0.7381236358637646,1.0763323034350236,0.12009018930532482
38,0.8461,0.85,0.79,0.8191,479552,0.86,0.87,,,0.739184173437225,1.051269988182842,0.11579803292637304
39,0.87,0.875,0.79,0.8078,484570,0.86,0.86,,,0.744667314858364,1.0245527048727774,0.11359817343163212
40,0.82,0.8521,0.795,0.8363,499360,0.84,0.86,,,0.7431734769442597,1.0251067134392133,0.10956258961508696
41,0.8699,0.94,0.85,0.8922,459460,0.84,0.86,,,0.7435369312692713,1.027240648406178,0.1091438332140093
42,0.93,1.03,0.9005,0.956,987924,0.84,0.87,,,0.7387430515021709,1.042234402755992,0.1111907022701515
43,0.9519,1.0,0.89,0.8999,557208,0.84,0.87,,,0.7386808264987997,1.0500250039006025,0.11110565210799782
44,0.9225,0.9225,0.8171,0.8343,1329186,0.85,0.87,,,0.7402732637197476,1.0502818011240005,0.11069810552885512
45,0.84,0.9,0.8208,0.8968,328514,0.86,0.88,,,0.7491750051437213,1.0493927221622805,0.10844824084822262
46,0.912,0.95,0.8534,0.8701,324010,0.87,0.87,,,0.7495094498661087,1.0494006449948232,0.10760193793049243
47,0.87,0.9,0.8101,0.8154,433008,0.87,0.87,,,0.7479731239141777,1.0421784419297384,0.1063375137926001
48,0.826,0.8799,0.7941,0.806,308548,0.87,0.87,,,0.7445767816504452,1.0406488643086038,0.1048705485217001
49,0.83,0.89,0.8249,0.83,777138,0.87,0.86,0.94,,0.7478096582157019,1.0306595515967523,0.10337979505586437
50,0.8293,0.9,0.8187,0.8272,621612,0.86,0.86,0.93,,0.7473764783791981,1.0214514991163102,0.10180266683758835
51,0.8362,0.86,0.78,0.7882,875592,0.84,0.85,0.91,,0.7425794456533633,1.0136725781746099,0.10024533349204633
52,0.8,0.8,0.6569,0.6924,1918128,0.82,0.84,0.9,,0.7054406780202082,1.0137753650546584,0.10330638109975732
53,0.7,0.7495,0.66665,0.7287,561274,0.81,0.83,0.89,,0.6806798854312495,1.0187808214683463,0.10184521102120324
54,0.7601,0.83,0.699,0.8058,1480000,0.8,0.82,0.88,,0.6675417051281312,1.0164106687863634,0.10392769594826015
55,0.85,0.9447,0.83,0.9037,1251170,0.8,0.83,0.87,,0.6685549692394185,1.0194830743034284,0.10642571766624156
56,1.05,1.32,0.95,0.9958,7220972,0.82,0.84,0.87,,0.6620692554172589,1.1437681182776398,0.12855959497579575
57,1.04,1.04,0.92,0.9566,2389100,0.84,0.85,0.87,,0.6613993894979798,1.1579601409067948,0.12794819533466747
58,0.947,1.01,0.947,1.0,832530,0.86,0.86,0.87,,0.6583549263086336,1.1665745036665147,0.12330903852504838
59,0.98,1.0,0.94,0.9967,825398,0.87,0.87,0.87,,0.658151811675325,1.173344938824454,0.11878696434468779
60,0.98,1.05,0.9548,1.01,701580,0.9,0.88,0.87,,0.6578949349300427,1.1850175819695088,0.1171021811772101
61,1.01,1.05,1.01,1.05,585472,0.94,0.88,0.87,,0.6496681774234144,1.19497046937196,0.1115948825216951
62,1.05,1.13,0.953,0.9886,1367970,0.97,0.88,0.88,,0.6477308404030881,1.2106390626942352,0.1162666766272883
63,0.985,0.9999,0.9552,0.98,310850,0.99,0.89,0.88,,0.6459427612888599,1.21063045143897,0.11115477115391056
64,0.98,1.09,0.98,1.07,1527448,1.01,0.9,0.89,,0.6467610426001013,1.2252704511259853,0.11107228750005982
65,1.06,1.0769,1.0,1.025,451970,1.01,0.91,0.89,,0.6473771562105366,1.236863350251073,0.10863140982148413
66,1.06,1.07,1.01,1.035,712880,1.02,0.92,0.89,,0.646298906470056,1.2460537455857381,0.10515773769137814
67,1.03,1.1,1.02,1.04,566906,1.02,0.93,0.9,,0.6501692258013811,1.2584843707843727,0.10336075642770827
68,1.08,1.145,1.06,1.135,1227672,1.04,0.94,0.9,,0.6553066423877634,1.2750963401188216,0.10347784525430054
69,1.26,1.57,1.24,1.55,4479994,1.1,0.98,0.91,,0.6352443778106763,1.403309039164757,0.12715799916470766
70,1.47,1.48,1.31,1.34,1415452,1.13,1.0,0.92,,0.615118081681762,1.4759230008052138,0.13521814208151425
