,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,3.76,3.9218,3.53,3.81,792786,,,,,,,0.39180000000000037
1,3.72,3.85,3.65,3.79,1027716,,,,,,,0.3781000000000004
2,3.85,4.03,3.69,3.95,774471,,,,,,,0.3753785714285718
3,3.98,3.98,3.62,3.62,760833,,,,,,,0.37428010204081663
4,3.72,3.775,3.56,3.56,589584,,,,,,,0.362902951895044
5,3.55,3.667,3.31,3.31,887076,,,,,,,0.3624813124739694
6,3.17,3.25,2.97,2.97,957353,,,,,,,0.36087550444011446
7,2.7,2.7,2.39,2.4,1034052,,,,,,,0.37652725412296345
8,2.55,2.71,2.25,2.68,953880,3.34,,,,,,0.38248959311418035
9,2.6,2.69,2.46,2.5,516682,3.2,,,,,,0.3715974793203103
10,2.33,2.34,2.07,2.1,945289,3.01,,,,,,0.3757690879402882
11,2.28,2.365,2.12,2.29,772905,2.83,,,,,,0.3678570102302676
12,2.11,2.8386,2.11,2.8,1141699,2.73,,,,,,0.3936243666423914
13,2.94,2.94,2.51,2.61,903059,2.63,,,,,,0.39622262616793497
14,2.5,2.51,1.8,1.8801,662179,2.47,,,,,,0.4257781528702253
15,1.83,2.15,1.5084,1.7,936188,2.33,,,,,,0.44119399909378065
16,1.82,2.05,1.57,1.93,1098108,2.28,,,,,,0.44396585630136776
17,1.86,1.9,1.62,1.65,494087,2.16,,,,,,0.43439686656555576
18,1.76,1.84,1.68,1.75,516218,2.08,,,,,,0.41693994752515895
19,1.68,2.11,1.645,1.91,848307,2.06,2.66,,,0.9052770069422169,4.386589975503938,0.42037280841621905
20,1.98,2.56,1.9,2.23,1068854,2.05,2.58,,,0.8789735375817127,4.241497672526478,0.4374890363864891
21,2.26,2.39,2.0,2.34,624037,2.0,2.51,,,0.9000569850165556,4.09253158119333,0.4340969623588828
22,2.42,2.47,2.01,2.08,596440,1.94,2.42,,,0.9590250290634099,3.8738798388616438,0.43594717933324834
23,2.27,2.36,2.16,2.21,472682,1.98,2.35,,,1.056425578972879,3.627155276546815,0.42480809509515916
24,2.2,2.2693,1.9979,2.02,481439,2.01,2.27,,,1.1826005493620617,3.394999007209697,0.41385037401693353
25,2.0,2.28,1.99,2.11,419677,2.03,2.21,,,1.3118895702021378,3.141589724157825,0.4050039187300097
26,2.15,2.15,1.9,2.03,589478,2.08,2.16,,,1.4045223181766304,2.9833981780082675,0.3939322102492947
27,2.07,2.15,2.0,2.09,820988,2.11,2.15,,,1.4170752026497164,2.944719263657199,0.37650848094577366
28,2.18,2.25,2.0,2.05,992410,2.13,2.11,,,1.4207758875641887,2.8986841256909988,0.3674721608782184
29,2.09,2.25,2.05,2.18,944540,2.12,2.1,,,1.4537132937815422,2.851612039709163,0.3555098636726314
30,2.33,2.4747,2.21,2.25,2001234,2.11,2.11,,,1.4482786308888889,2.8633036696744165,0.3511663019817291
31,2.4,2.73,2.26,2.71,1927456,2.18,2.13,,,1.440637554949248,2.9119821058280975,0.3603687089830342
32,2.9,3.4,2.86,3.39,3461426,2.31,2.16,,,1.3357024763277692,3.080650225932523,0.38391380119853175
33,3.3,3.33,2.85,2.96,2036314,2.42,2.17,,,1.280697528936929,3.1826189757778676,0.39506281539863664
34,3.07,3.12,2.9,3.02,1100304,2.52,2.23,,,1.238670935425623,3.2775947036994406,0.3825583285844483
35,3.18,3.39,3.05,3.38,1246260,2.67,2.31,,,1.2452555122029916,3.433209609397592,0.3816613051141306
36,3.25,3.751,3.1,3.71,2160748,2.85,2.4,,,1.2640639074615398,3.6523132082903658,0.4008997833202641
37,3.98,4.12,3.33,3.45,2610536,3.01,2.49,,,1.2680906315062075,3.9210703409956515,0.42869265594024525
38,3.65,4.05,3.65,3.925,1874320,3.2,2.6,,,1.2441619632052392,4.110858276414647,0.44092889480165626
39,4.22,4.68,4.0,4.24,4665088,3.42,2.72,,,1.211848354469839,4.447001387982985,0.46336254517296654
40,4.46,4.7,4.27,4.42,3727516,3.61,2.83,,,1.1457194013599177,4.738508029256696,0.46312236337489754
41,4.5,5.06,4.41,5.03,3567494,3.79,2.96,,,1.0993669065513716,5.070239456120546,0.47647076599097626
