,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.18,1.3387,1.12,1.14,36172,,,,,,,0.2186999999999999
1,1.16,1.2063,1.16,1.19,4776,,,,,,,0.20781428571428562
2,1.16,1.19,1.1293,1.19,21000,,,,,,,0.1973061224489795
3,1.1,1.24,1.06,1.08,55590,,,,,,,0.19606997084548095
4,1.06,1.11,1.05,1.11,13303,,,,,,,0.18635068721366088
5,1.1,1.14,1.0368,1.14,51206,,,,,,,0.1804113524126851
6,1.13,1.13,1.01,1.0406,45226,,,,,,,0.17681054152606474
7,1.0452,1.0452,0.91,0.97,47090,,,,,,,0.17383835998848868
8,0.95,1.024,0.93,0.9554,19926,1.09,,,,,,0.1681356199893109
9,0.92,0.96,0.91,0.91,149880,1.07,,,,,,0.15969736141864582
10,0.91,1.07,0.852,0.99,75467,1.04,,,,,,0.16386183560302828
11,0.99,1.08,0.86,0.86,87244,1.01,,,,,,0.16787170448852626
12,0.87,0.97,0.87,0.898593,75296,0.99,,,,,,0.1637380113107744
13,0.86,0.9345,0.86,0.9,202838,0.96,,,,,,0.15736386764571908
14,0.86,0.94,0.8,0.8998,129644,0.94,,,,,,0.15612359138531057
15,0.9,0.939799,0.85,0.850101,95704,0.91,,,,,,0.1513861205720741
16,0.9,0.94,0.87,0.9201,64787,0.91,,,,,,0.14699418338835452
17,0.9,1.04,0.9,1.04,59914,0.92,,,,,,0.14649459886061492
18,1.06,1.06,0.9681,1.02,33777,0.93,,,,,,0.14259498465628528
19,1.0,1.0451,0.95,0.9663,30958,0.93,1.0,,,0.7418352705872803,1.2948857613042122,0.1392024857522649
20,1.025,1.04,0.97,0.9702,26812,0.94,1.0,,,0.7487522433223969,1.2411634722736307,0.13452373676996027
21,1.01,1.05,0.9501,1.03,62780,0.96,0.99,,,0.765235670181246,1.2192165111194677,0.13205061271496313
22,1.04,1.05,0.832,0.87,83130,0.95,0.97,,,0.7702204552934984,1.1986275900522294,0.13818985466389433
23,0.86,0.943,0.85,0.8735,57797,0.95,0.96,,,0.7713238838722318,1.1586646349988856,0.1349620079021876
24,0.9,1.06,0.9,1.04,146324,0.97,0.96,,,0.7799145127180799,1.1512761635584603,0.13864329305203135
25,1.05,1.09,1.01,1.02,44969,0.98,0.95,,,0.784164473546519,1.140882877786003,0.1344544864054577
26,1.07,1.07,1.035,1.045,191348,0.98,0.95,,,0.7802284353028167,1.1290631255642272,0.12842202309078216
27,1.1,1.2373,0.955,1.11,116691,0.99,0.96,,,0.780387684432798,1.1756538234140312,0.1394133071557263
28,1.15,1.3619,1.15,1.3,529382,1.03,0.98,,,0.7506796270128806,1.25485270393728,0.14744807093031728
29,1.3,1.39,1.1601,1.27,216684,1.06,0.99,,,0.7309687047121719,1.3228390753809647,0.15333749443529462
30,1.15,1.36,1.15,1.35,567783,1.1,1.01,,,0.7266101798798865,1.3691162262011023,0.15738481626134504
31,1.32,1.36,1.2401,1.25,322708,1.14,1.03,,,0.7128174788613741,1.4090601768016031,0.1547073293855347
32,1.23,1.36,1.2,1.24,225366,1.18,1.05,,,0.7123683678164351,1.4441208845016928,0.15508537728656793
33,1.22,1.31,1.22,1.28,337428,1.21,1.07,,,0.7163022494989562,1.4627242535985636,0.15043642176609878
34,1.28,1.28,1.2,1.25,88866,1.23,1.08,,,0.7387098603608113,1.4729700718283676,0.14540524878280603
35,1.24,1.3799,1.21,1.37,188217,1.27,1.11,,,0.7559024186731205,1.4948296530140845,0.14715487386974846
36,1.37,1.44,1.33,1.35,1057341,1.3,1.13,,,0.7613114063436498,1.5218215922040563,0.14450095430762355
37,1.37,1.3999,1.3201,1.36,127586,1.3,1.15,,,0.7705107328345799,1.5431962221246303,0.13987945757136472
38,1.35,1.36,1.335,1.355,195648,1.31,1.16,,,0.7736677389733955,1.5559113897464112,0.13167378203055297
39,1.35,1.44,1.33,1.33,130449,1.31,1.18,,,0.7848457778510127,1.5765011606576849,0.13012565474265633
40,1.33,1.6556,1.32,1.36,729192,1.32,1.2,,,0.7981881411105394,1.6387469279830604,0.14480239368960945
41,1.43,1.68,1.36,1.66,813902,1.37,1.23,,,0.8161469004642719,1.6950292894078611,0.15731650842606593
42,1.51,1.77,1.48,1.77,74755,1.42,1.28,,,0.8548654180173698,1.761659334189917,0.16679390068134695
43,1.74,1.77,1.55,1.73,89136,1.48,1.32,,,0.8922043516909104,1.7981244236372325,0.17059433634696503
44,1.73,1.7899,1.5909,1.7243,73341,1.52,1.36,,,0.924376272439442,1.8413105877290006,0.1726233123221818
45,1.69,1.7399,1.6,1.65,44517,1.55,1.39,,,0.9418058602841815,1.8649908479365365,0.1702859328705974
46,1.73,1.77,1.7,1.7201,272316,1.59,1.42,,,0.9499707453315457,1.879494062157602,0.1666940805226976
47,1.7,1.77,1.66,1.68,403300,1.62,1.45,,,0.997530909675141,1.9054361721305277,0.16264450334250494
48,1.65,1.68,1.6,1.64,129340,1.66,1.47,,,1.0178030065006785,1.9202368408618857,0.156741324532326
49,1.61,1.64,1.52,1.55,175588,1.68,1.48,1.2,,1.0457770704376812,1.9290953401983721,0.15411694420858843
50,1.51,1.93,1.51,1.9,1435756,1.71,1.51,1.22,,1.0803673171928692,1.9828731351594637,0.17310859105083212
51,1.89,2.075,1.53,2.063,355300,1.74,1.55,1.24,,1.1015185600838326,2.0619806652426855,0.19967226311862984
52,1.95,1.95,1.65,1.86,223365,1.75,1.58,1.25,,1.1282643161316557,2.099209694237674,0.21490995861015633
53,1.77,1.88,1.77,1.8,155580,1.76,1.61,1.26,,1.1450120669514292,2.1114922874196207,0.20741639013800228
54,1.84,1.86,1.71,1.81,260616,1.78,1.63,1.28,,1.1823352536312979,2.107595441170925,0.2033152194138593
55,1.86,1.86,1.7615,1.835,36423,1.79,1.66,1.29,,1.2216225496040187,2.108416113127605,0.19582841802715506
56,1.88,1.88,1.78,1.84,32586,1.81,1.68,1.31,,1.240360538820902,2.1121958346964993,0.18898353102521542
57,1.81,1.84,1.79,1.8,36476,1.83,1.7,1.33,,1.2672095247278405,2.098090598926696,0.17905613595198577
58,1.8,1.9104,1.6801,1.9,52175,1.87,1.73,1.34,,1.3034194269258008,2.069985020973232,0.18271641195541538
59,1.9,1.95,1.69,1.95,81274,1.87,1.76,1.37,,1.3469012584146753,2.0475419990658197,0.1882366682443143
60,1.95,2.24,1.95,2.07,593464,1.87,1.8,1.39,,1.3751148231234422,2.1313933122740623,0.19550547765543472
61,2.15,2.15,1.99,2.0713,68837,1.9,1.82,1.41,,1.3992582499624553,2.173232199607283,0.19296937210861795
62,2.14,2.49,2.1,2.43,649193,1.97,1.85,1.44,,1.3869530439674398,2.312258497486274,0.20909298838657384
63,2.58,2.73,2.48,2.65,1393548,2.06,1.9,1.48,,1.2906975928947289,2.4962438133272418,0.2155863463589614
64,2.68,2.7065,2.32,2.325,295222,2.12,1.93,1.5,,1.2696231734521768,2.630822819397727,0.2277944644761785
65,2.28,2.94,2.22,2.65,900408,2.21,1.98,1.54,,1.2749200843208783,2.8042053004877086,0.26295200272788
66,2.89,3.14,2.7,2.88,792556,2.33,2.04,1.58,,1.2020186959573886,3.0009137868745968,0.27916971681874575
67,3.09,3.2,2.93,3.18,725972,2.47,2.11,1.62,,1.123555889900473,3.1763236695994914,0.2820861656174068
68,3.09,3.1252,2.91,3.01,482118,2.59,2.18,1.66,,1.0963093659617904,3.2985084188874643,0.2812228680733063
69,3.01,3.09,2.65,2.66,264429,2.65,2.23,1.7,,1.1378759254466821,3.3869561917026,0.2925640917823559
70,2.5,2.56,2.25,2.33,282100,2.68,2.26,1.72,,1.2085057007196236,3.4032776337436657,0.30095237094075905
71,2.35,2.49,2.35,2.41,79182,2.68,2.27,1.75,,1.2840559344583238,3.4148843060869574,0.29088434444499056
72,2.21,2.43,2.2,2.35,275404,2.64,2.3,1.78,,1.342471841599722,3.416582609277424,0.2865354626989198
73,2.4,2.4606,2.27,2.27,190592,2.64,2.32,1.81,,1.387517874492194,3.412078802199451,0.27968292964899694
74,2.32,2.335,2.23,2.3,60908,2.6,2.35,1.83,,1.4456156308282975,3.396781876124066,0.26720557753121144
75,2.31,2.48,2.24,2.24,40589,2.53,2.37,1.86,,1.499520574041579,3.380941800250075,0.2652623219932677
76,2.25,2.35,2.17,2.17,124264,2.42,2.38,1.88,,1.5498866545440317,3.357398940468922,0.25917215613660577
77,2.19,2.305,2.17,2.28,80609,2.33,2.41,1.9,,1.6020099645135009,3.3229667652537187,0.2503027164125625
78,2.35,2.36,2.2994,2.31,27194,2.3,2.43,1.92,,1.6940037914385684,3.290525282657563,0.23813823666880807
79,2.24,2.3099,2.11,2.11,67133,2.27,2.43,1.94,,1.7784691259422587,3.2584008069327353,0.23541407690675037
80,2.1,2.11,1.87,1.87,162664,2.21,2.42,1.95,,1.7618718395287583,3.268851115951842,0.23574164284198248
81,1.89,1.9602,1.815,1.915,80160,2.16,2.42,1.97,,1.7264353648970063,3.289693260271876,0.22927438263898373
82,1.91,1.97,1.83,1.92,48855,2.12,2.39,1.98,,1.6807004770476126,3.313611653872202,0.22289764102191345
83,1.97,2.05,1.9,1.9,63810,2.08,2.35,1.99,,1.633032168830334,3.3065296410923697,0.21769066666320536
84,1.95,2.08,1.896,2.035,55172,2.06,2.34,2.01,,1.5907790696660578,3.293360311380237,0.21528419047297642
85,2.04,2.29,2.04,2.27,95669,2.07,2.32,2.02,,1.5751483395170998,3.236039568419008,0.21812103401062097
86,2.38,2.38,2.26,2.37,62137,2.08,2.3,2.05,,1.5887809594585425,3.128551612673323,0.21111238872414806
87,2.39,2.62,2.3097,2.49,146930,2.1,2.26,2.07,,1.6507097445943368,3.0063502282707217,0.21819721810099463
88,2.5,2.5,2.31,2.33,80036,2.12,2.23,2.09,,1.7354786229450805,2.872935555566574,0.21618313109378073
89,2.34,2.37,2.19,2.36,61909,2.18,2.21,2.11,,1.7804324797571924,2.705234660158817,0.21359862172993926
90,2.35,2.41,2.27,2.41,38229,2.23,2.22,2.13,,1.779965152223301,2.6836692176096952,0.20834157732065792
91,2.4,2.45,2.36,2.42,56957,2.29,2.22,2.14,,1.7791788000531246,2.6780626012853204,0.19988860751203952
92,2.38,2.42,2.33,2.42,38431,2.35,2.22,2.16,,1.7762615701924103,2.676906880528649,0.19203942126117957
93,2.43,2.7601,2.42,2.76,143239,2.43,2.24,2.18,,1.7671340651383214,2.739143160128498,0.20261517688538103
94,2.77,2.77,2.61,2.6702,70836,2.47,2.26,2.2,,1.735406225690201,2.806254073577143,0.1995712356792824
95,2.73,2.8399,2.55,2.5728,214920,2.49,2.28,2.22,,1.7194231572885899,2.8719069140396023,0.20602329027361937
96,2.55,2.75,2.55,2.66,69704,2.51,2.3,2.23,,1.7109145988521823,2.920163308817593,0.20559305525407515
97,2.69,3.05,2.69,2.9,169135,2.57,2.33,2.26,,1.6918430418500896,3.0323879170638475,0.21876497987878404
98,2.9,3.03,2.7601,2.92,126654,2.64,2.37,2.28,,1.6653480392109707,3.122416421760329,0.22241748131601374
99,2.9,2.9361,2.79,2.81,43902,2.68,2.4,2.31,,1.65718136056068,3.1830210912256067,0.2169662326505842
100,2.86,2.99,2.86,2.96,119636,2.74,2.45,2.33,,1.689487869523841,3.2377722375779774,0.21432578746125677
101,2.99,3.41,2.96,3.16,467482,2.82,2.52,2.35,,1.7386601272018904,3.359340037955844,0.23115965978545272
102,3.16,3.54,3.08,3.54,246690,2.91,2.6,2.39,,1.7894401717516066,3.4853210212729517,0.24750539837220611
103,3.6,3.66,3.3401,3.5,136471,3.0,2.68,2.42,,1.8059399778464327,3.6199038851014183,0.25267644134561995
104,3.44,3.45,3.2,3.35,111294,3.09,2.74,2.45,,1.8762451668041749,3.677548360480827,0.25605669553521854
105,3.33,3.5,3.29,3.39,82656,3.17,2.8,2.48,,1.9243143479316995,3.748056816071828,0.25276693156841723
106,3.3,3.57,3.3,3.43,121620,3.23,2.85,2.51,,1.9477155092282317,3.8230537771262085,0.253997865027816
107,3.4,3.4523,3.25,3.4,64141,3.28,2.9,2.55,,1.9823806354588558,3.877446634272157,0.250305160382972
108,3.4,3.59,3.3999,3.535,85551,3.36,2.96,2.58,,2.015738966150937,3.9383650206913576,0.2460047917841883
109,3.54,3.58,3.415,3.5,99796,3.42,3.02,2.61,,2.0894676376726586,3.96900963919956,0.24021873522817486
110,3.51,3.55,3.4342,3.5,41710,3.46,3.07,2.64,,2.1629567248360964,3.981249447427219,0.23133168271187662
111,3.44,3.49,3.33,3.37,69315,3.44,3.12,2.66,,2.24098912443968,3.9716743053694157,0.22695084823245687
112,3.35,3.41,3.25,3.37,54270,3.43,3.16,2.68,,2.3446916660536914,3.924815208782198,0.22216864478728138
113,3.4,3.48,3.18,3.36,99215,3.43,3.19,2.7,,2.4425592668891953,3.921819444947756,0.22772802730247554
114,3.31,3.4899,3.31,3.41,39045,3.43,3.23,2.72,,2.50666615588083,3.9093125095131445,0.224311739638013
115,3.375,3.415,3.3306,3.39,40216,3.43,3.27,2.73,,2.596970885804524,3.888091859296799,0.21431804394958354
116,3.47,3.9,3.45,3.74,452310,3.46,3.33,2.75,,2.700905703591173,3.9115191909680376,0.23543818366747044
117,3.75,3.75,3.55,3.6,91133,3.47,3.36,2.76,,2.7760956152693304,3.9335842170779465,0.2329068848340797
118,3.53,3.71,3.53,3.6,67050,3.48,3.4,2.77,,2.8516579769566377,3.9341869070960747,0.22912782163164547
119,3.56,3.56,3.41,3.55,64926,3.49,3.43,2.79,,2.943749820347782,3.879035665008473,0.22633297722938509
120,3.585,3.65,3.4,3.4,53508,3.49,3.45,2.81,,3.034000460189102,3.8106951691059314,0.22802347885585758
121,3.36,3.49,3.3,3.4,90600,3.49,3.47,2.83,,3.105996442967896,3.8072679773935727,0.22530751608043922
122,3.41,3.52,3.38,3.45,36163,3.5,3.46,2.85,,3.1548433093730193,3.806805440248301,0.21921412207469357
123,3.45,3.4503,3.39,3.4381,33363,3.51,3.46,2.88,,3.1567379422797286,3.7964043424947604,0.2078631133550726
124,3.42,3.45,3.29,3.41,50928,3.51,3.46,2.9,,3.1722718057393635,3.7964043424947604,0.204444319543996
125,3.44,3.5538,3.42,3.48,41897,3.48,3.47,2.92,,3.1799060096986045,3.797949052262728,0.20011258243371055
126,3.63,3.73,3.58,3.68,142568,3.49,3.48,2.95,,3.173766411068109,3.818415118055425,0.20367596940273122
127,3.7,3.7,3.6,3.6,57242,3.49,3.49,2.98,,3.1786918963368955,3.832595758619564,0.19627054301682187
128,3.61,3.67,3.51,3.55,39905,3.49,3.49,3.0,,3.1784754603231153,3.8401170856706637,0.19367978994419174
129,3.55,3.69,3.42,3.48,197194,3.5,3.49,3.03,,3.178658026687692,3.850404861907346,0.19913123351960663
130,3.52,3.52,3.31,3.37,95736,3.5,3.48,3.06,,3.1692073810961285,3.8500171493019817,0.19990757398249187
131,3.32,3.44,3.22,3.44,56744,3.49,3.49,3.09,,3.151889241670705,3.851995008821051,0.20134274726945672
132,3.45,3.55,3.3395,3.55,100723,3.51,3.49,3.12,,3.1642803859926616,3.847702591099594,0.2019968367502098
133,3.585,3.65,3.43,3.55,79834,3.52,3.5,3.16,,3.2000369489327034,3.852734009326297,0.20328277698233765
134,3.63,3.6474,2.8199,2.88,387680,3.46,3.48,3.17,,3.0495963296600204,3.8567627402906126,0.24786972148359926
