,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.72,1.74,1.58,1.66,42402,,,,,,,0.15999999999999992
1,1.73,1.73,1.59,1.6,51858,,,,,,,0.15857142857142847
2,1.56,1.83,1.46,1.67,126253,,,,,,,0.17367346938775502
3,1.75,1.82,1.6,1.82,17479,,,,,,,0.17698250728862966
4,1.82,1.82,1.5401,1.57,73049,,,,,,,0.18433375676801325
5,1.65,1.8199,1.65,1.8,33350,,,,,,,0.1890170598560123
6,1.88,1.9,1.82,1.8736,21408,,,,,,,0.18265869843772573
7,2.03,2.0425,1.8,1.98,118387,,,,,,,0.18693307712074533
8,1.85,2.0,1.85,1.97,213185,1.77,,,,,,0.18429500018354925
9,2.0,2.3,1.9886,2.18,614024,1.83,,,,,,0.19470250017043858
10,2.12,2.21,2.05,2.18,588662,1.89,,,,,,0.1922237501582644
11,2.11,2.5,2.08,2.445,166428,1.98,,,,,,0.20849348228981696
12,2.5,2.99,2.37,2.925,157616,2.1,,,,,,0.23788680498340148
13,3.71,3.7199,2.963,3.13,258900,2.28,,,,,,0.2776734617703014
14,3.25,3.46,3.0,3.1766,88051,2.43,,,,,,0.2906967859295656
15,2.77,3.2,2.5,3.2,81670,2.58,,,,,,0.3199327297917395
16,3.03,3.29,2.8901,3.218,279148,2.71,,,,,,0.3256446776637581
17,3.25,3.59,3.14,3.5,196852,2.88,,,,,,0.33452720068777536
18,3.5,3.58,2.71,3.24,200516,3.0,,,,,,0.3727752577815057
19,3.54,3.7,2.75,3.6,41381,3.16,2.44,,,1.0285639695882445,4.113442635522826,0.41400559651139823
20,3.65,4.24,3.41,4.15,67427,3.35,2.56,,,1.028089912879763,4.357813423477596,0.4437194824748698
21,4.15,4.35,4.1,4.31,52966,3.5,2.7,,,0.9459340702968853,4.5811420144809105,0.4298823765838077
22,4.29,4.32,4.0101,4.27,12461,3.63,2.83,,,0.9697405027442496,4.762594034321116,0.4213122068278214
23,4.0206,4.46,3.86,4.18,54540,3.74,2.94,,,1.0333986540062416,4.934283918213245,0.43407562062583416
