,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,0.64,0.64,0.61,0.629239,3916912,,,,,,,0.030000000000000027
1,0.63,0.66,0.62,0.6439,914057,,,,,,,0.030714285714285743
2,0.66,0.7,0.63,0.68,3253059,,,,,,,0.033520408163265326
3,0.68,0.68,0.6461,0.6589,707060,,,,,,,0.03354752186588923
4,0.665,0.68,0.657,0.663,607721,,,,,,,0.03279412744689715
5,0.6714,0.6714,0.6221,0.63,1149786,,,,,,,0.033973118343547354
6,0.63,0.65,0.59,0.6,1579825,,,,,,,0.03583218131900826
7,0.62,0.6201,0.5803,0.5899,946946,,,,,,,0.0361155969390791
8,0.6,0.6,0.525,0.5401,984943,0.63,,,,,,0.038893054300573444
9,0.5,0.5048,0.4126,0.43385,2890440,0.6,,,,,,0.04522212185053248
10,0.4004,0.45,0.365,0.392,4389749,0.58,,,,,,0.048063398861208737
11,0.35,0.39,0.35,0.37,3008918,0.54,,,,,,0.047630298942550976
12,0.3779,0.45,0.37,0.44,1236487,0.52,,,,,,0.04994242044665448
13,0.4474,0.4499,0.36,0.3664,1080514,0.48,,,,,,0.052796533271893445
14,0.36,0.4,0.35,0.3702,1438073,0.46,,,,,,0.05259678089532963
15,0.35,0.4,0.32,0.32,2039067,0.42,,,,,,0.054554153688520374
16,0.34,0.39,0.326201,0.3705,2305868,0.4,,,,,,0.05565742842505463
17,0.44,0.51,0.4095,0.5031,3544374,0.4,,,,,,0.06164618353755073
18,0.52,0.58,0.4701,0.5451,2070012,0.41,,,,,,0.06509288471343996
19,0.54,0.5837,0.506246,0.5155,1028746,0.42,0.51,,,0.23694470734641074,0.7755310483403305,0.06597582151962282
20,0.48,0.5198,0.4,0.4639,1545108,0.43,0.5,,,0.2307857953015824,0.7658465501724201,0.06982040569679263
21,0.47,0.51,0.47,0.4821,1207185,0.44,0.5,,,0.23292696426979229,0.7519390687779846,0.06812609100416459
22,0.48,0.5,0.48,0.4925,756457,0.45,0.49,,,0.2379502269546544,0.7281756377962011,0.06468851307529569
23,0.515,0.5382,0.48,0.4924,869851,0.47,0.48,,,0.24709322987299595,0.7079463756789269,0.06422504785563171
24,0.5,0.5325,0.4975,0.527,706040,0.49,0.47,,,0.2614596774257147,0.6850633474140403,0.06250183015165801
25,0.5313,0.5388,0.485,0.4898,690516,0.5,0.47,,,0.27337426655384933,0.6621501595854948,0.06188027085511101
26,0.51,0.53,0.49,0.5171,1190333,0.5,0.46,,,0.2824759057273303,0.6413675250888395,0.060331680079745945
27,0.5057,0.5225,0.504,0.5101,474926,0.5,0.46,,,0.29114952050075044,0.625321334079096,0.05734370293119266
28,0.51,0.52,0.4962,0.5,528889,0.5,0.46,,,0.2934113083331361,0.6123547095110284,0.05494772415039319
29,0.52,0.5624,0.505,0.533,1652730,0.5,0.46,,,0.2938241299806128,0.6192795303276537,0.05548002956822225
30,0.55,0.6043,0.535,0.5993,1296859,0.52,0.47,,,0.29873446312853724,0.6343934344202821,0.056610027456206365
31,0.6375,0.6602,0.5344,0.55,3514040,0.52,0.48,,,0.3086826322215951,0.6548907192226553,0.06155216835219163
32,0.529,0.605,0.5126,0.596,1364391,0.54,0.49,,,0.31833509290103634,0.66461351377667,0.06375558489846365
33,0.59,0.604,0.58,0.59,703391,0.54,0.5,,,0.326709218779729,0.6723717162690287,0.06091590026285911
34,0.58,0.5925,0.56,0.5756,548702,0.55,0.51,,,0.342922818435843,0.6703331367300875,0.05888619310122632
35,0.56,0.5838,0.54,0.5588,837671,0.56,0.52,,,0.37373757864845936,0.6627111018848748,0.05780860787971016
36,0.53,0.5522,0.52,0.5445,580353,0.56,0.53,,,0.41202637692261124,0.642462150928121,0.056450850174016576
37,0.58,0.58,0.55,0.5598,570013,0.57,0.53,,,0.42711103276538537,0.643454469469935,0.054954360875872535
