,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.47,1.4702,1.42,1.44,36823,,,,,,,0.05020000000000002
1,1.42,1.4318,1.2986,1.35,47015,,,,,,,0.05671428571428574
2,1.32,1.41,1.32,1.38,15370,,,,,,,0.05909183673469389
3,1.36,1.4,1.35,1.36,7910,,,,,,,0.05844241982507289
4,1.37,1.4001,1.326,1.4,14152,,,,,,,0.05956081840899624
5,1.4,1.4505,1.33,1.4457,24058,,,,,,,0.06391361709406793
6,1.43,1.43,1.28,1.3,61616,,,,,,,0.07118407301592022
7,1.01,1.23,1.0,1.07,44060,,,,,,,0.08752806780049736
8,1.15,1.2,1.1,1.1555,29788,1.32,,,,,,0.09056177724331897
9,1.15,1.15,1.01,1.015,70240,1.28,,,,,,0.09448593601165332
10,0.9079,1.0,0.8,0.948,18137,1.23,,,,,,0.10309408343939236
11,0.9133,1.43,0.8217,1.04,28880,1.19,,,,,,0.13918022033657862
12,1.1053,1.1053,0.8,0.856,135884,1.14,,,,,,0.15104591888396587
13,0.8988,0.9954,0.76,0.8,330780,1.07,,,,,,0.15707121039225402
14,0.76,1.2945,0.7268,0.89,729325,1.01,,,,,,0.18640183822137874
15,0.9072,1.15,0.8026,0.898,580904,0.96,,,,,,0.19790170691985168
16,0.898,0.898,0.62,0.73,323144,0.93,,,,,,0.2036230135684337
17,0.6905,0.75,0.5525,0.7,303532,0.88,,,,,,0.20318565545640271
18,0.71,0.71,0.6,0.6,84216,0.83,,,,,,0.19652953720951682
19,0.6,0.65,0.5522,0.587354,80979,0.79,1.05,,,0.3633791824314999,1.7112054809980872,0.18947742740883705
20,0.6,0.82,0.58,0.73,149908,0.75,1.01,,,0.335299494693978,1.6828964612141455,0.19308618259392013
21,0.7,0.7447,0.56,0.5799,135878,0.72,0.97,,,0.3026213632063198,1.6591594365036006,0.19248716955149728
22,0.6088,0.634349,0.5701,0.63,37807,0.71,0.94,,,0.28388057158130775,1.6406607165141018,0.1833273002978189
23,0.6,0.65,0.5801,0.5999,103532,0.67,0.9,,,0.2825591924410784,1.610992218979137,0.17522535027654615
24,0.62,0.62,0.51,0.53,60776,0.63,0.86,,,0.28163572329954684,1.573435786145779,0.1705663966853643
25,0.5565,0.6,0.5051,0.547,46048,0.61,0.81,,,0.3001178339672063,1.5149240679685225,0.16516165406498115
26,0.5241,0.5679,0.45,0.4777,54647,0.59,0.77,,,0.32311727190704803,1.449609539787796,0.16178582163176822
27,0.53,0.5333,0.486732,0.5009,84862,0.58,0.74,,,0.31566295978555947,1.417740068685924,0.1542011200866419
28,0.5,0.5,0.48,0.4899,45207,0.57,0.71,,,0.33907154569698983,1.3848200191038424,0.14467961150902464
29,0.5,0.5,0.45,0.45,121371,0.53,0.68,,,0.35604705837324263,1.3520492185249544,0.13791678211552288
30,0.5,0.55,0.47501,0.5,298454,0.53,0.66,,,0.34946020121117616,1.3332646472040721,0.1352084405358427
31,0.55,0.59,0.5,0.5687,192384,0.52,0.63,,,0.35502326130433204,1.2051894774877527,0.13197926621185394
32,0.58,0.73,0.58,0.643,204056,0.52,0.62,,,0.36991458317481773,1.1538326181617231,0.13407360433957866
33,0.69,0.84,0.6377,0.7694,830010,0.55,0.62,,,0.3822773690676903,1.1307682706608757,0.13894691831532305
34,0.8,0.83,0.703,0.703,294908,0.57,0.61,,,0.38547558599466586,1.0122206013522181,0.1380935670070857
35,0.701,1.0,0.701,0.8679,558423,0.61,0.61,,,0.406186283164789,0.9639439750966446,0.1495868836494367
36,0.7111,0.86,0.71,0.829,424884,0.65,0.62,,,0.3974822073654656,0.9564035808166367,0.15018067767447696
37,0.82,0.82,0.78,0.7993,65181,0.68,0.62,,,0.3811909423689399,0.9652206140105175,0.14295348641201433
38,0.8,0.8,0.7103,0.7299,148452,0.71,0.63,,,0.37692188026801265,0.974136508080069,0.13914966595401332
39,0.73,0.778,0.72,0.7425,113823,0.74,0.63,,,0.37564052236383494,0.9823253489861575,0.13335326124301236
40,0.7443,0.79,0.7009,0.7293,130244,0.76,0.63,,,0.37532507200193765,0.978427443337623,0.13019231401136863
41,0.7371,0.778,0.72,0.7343,122895,0.77,0.64,,,0.37631595732782186,0.9816719593560915,0.12503572015341374
42,0.7665,0.7665,0.702,0.74,30933,0.76,0.65,,,0.37867015561260753,0.9881363127172569,0.12071174014245561
43,0.75,0.91,0.735,0.861,299776,0.78,0.66,,,0.37952253159353755,1.0140568305369084,0.12458947298942308
