,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,14.21,14.21,11.35,14.0,1038641,,,,,,,2.860000000000001
1,14.06,15.23,13.74,13.76,521611,,,,,,,2.7621428571428583
2,13.98,14.16,12.86,13.26,562512,,,,,,,2.6577040816326543
3,12.96,13.11,12.11,12.41,502620,,,,,,,2.5500109329446077
4,12.04,12.88,12.04,12.45,535524,,,,,,,2.427867294877136
5,12.94,12.94,11.1,11.92,369531,,,,,,,2.3858767738144833
6,12.03,12.29,11.345,11.51,269658,,,,,,,2.2829570042563057
7,11.25,12.01,10.57,11.4,582818,,,,,,,2.2227457896665697
8,10.9,10.93,8.35,8.41,885916,12.12,,,,,,2.281835376118958
9,8.91,9.68,8.36,8.94,581309,11.56,,,,,,2.213132849253318
10,7.48,10.37,7.02,8.8,679175,11.01,,,,,,2.294337645735224
11,8.76,9.63,7.99,9.18,808478,10.56,,,,,,2.2475992424684224
12,8.41,9.2,8.04,8.52,428015,10.13,,,,,,2.1699135822921063
13,7.6,10.0,7.56,9.15,595051,9.76,,,,,,2.1892054692712417
14,9.2,9.9,5.07,8.76,2810119,9.41,,,,,,2.377833650037582
15,8.51,8.81,7.3473,7.96,417608,9.01,,,,,,2.312466960749183
16,8.36,9.86,8.268,9.59,843967,8.81,,,,,,2.283005034981384
17,9.41,10.19,8.44,8.61,540492,8.83,,,,,,2.2449332467684284
18,8.78,9.23,7.95,7.98,587931,8.73,,,,,,2.1760094434278265
19,7.9,8.72,7.42,8.11,300224,8.65,10.24,,,4.686081015566453,15.183519894058504,2.1134373403258393
20,7.93,8.38,7.65,8.01,258850,8.52,9.94,,,4.542378047449119,14.807622940640215,2.0146203874454223
21,7.9,8.585,7.79,7.95,246332,8.46,9.65,,,4.747388177351709,14.023237068974087,1.927504645485035
22,7.75,8.04,7.56,7.65,307632,8.29,9.37,,,4.904795136896647,13.443869929135527,1.8241114565218184
23,7.52,8.03,7.4,7.52,201260,8.15,9.12,,,5.028662263237142,13.032830750169241,1.7388177810559742
24,7.37,7.5,7.09,7.18,296272,8.07,8.86,,,5.224791376851384,12.634511120365842,1.6453307966948332
25,7.5,7.89,6.99,7.4,285221,7.82,8.63,,,5.346586477082179,12.063712088903085,1.5920928826452023
26,7.54,8.8,7.54,8.45,443273,7.81,8.48,,,5.728550167024476,11.534596854922178,1.5783719624562595
27,8.5325,9.21,8.43,8.93,267781,7.91,8.36,,,6.091724085386764,10.993537451411854,1.521345393709384
28,9.04,9.69,9.01,9.24,417869,8.04,8.4,,,6.031662406855341,10.754261075937562,1.4669635798729994
29,9.0,9.52,8.8,9.23,477282,8.17,8.41,,,6.001564566871883,10.735765538623141,1.4136090384534994
30,9.25,9.72,9.19,9.525,864836,8.35,8.45,,,6.008330426979948,10.620003029926647,1.3504941071353924
31,8.73,9.62,8.53,9.47,803812,8.55,8.46,,,6.005386912857096,10.618727445835868,1.3318873851971502
32,9.89,9.89,9.14,9.22,469476,8.74,8.5,,,5.965202788299806,10.697189804358096,1.290324000540211
33,8.69,9.73,8.3553,9.56,537925,9.0,8.52,,,5.99799510786818,10.655603601336995,1.2963508576444818
34,9.51,10.05,9.3908,9.77,282050,9.27,8.57,,,6.63133184103479,10.680988768385095,1.2508400820984475
35,9.58,10.18,8.97,9.61,417881,9.4,8.65,,,6.711658058658439,10.817563313933832,1.2479229333771298
36,9.95,10.52,9.81,10.07,349806,9.52,8.67,,,6.622081945061577,10.934030579638941,1.2237855809930491
37,10.13,10.46,9.99,10.36,306208,9.65,8.76,,,6.529727250782091,10.984096890086004,1.1699437537792599
38,10.47,11.93,10.47,11.92,357523,9.94,8.96,,,6.43673674488738,11.49822797931986,1.1985191999378841
39,11.89,12.59,11.25,11.5,485699,10.16,9.13,,,6.346127187024405,12.113465080736871,1.2086249713708923
