,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,3.0,3.49,3.0,3.21,27490,,,,,,,0.4900000000000002
1,3.11,3.3005,3.1,3.21,18291,,,,,,,0.4693214285714288
2,3.11,3.22,2.96,3.04,39477,,,,,,,0.45436989795918387
3,2.93,2.9494,2.81,2.82,43937,,,,,,,0.438343476676385
4,2.89,2.9009,2.72,2.72,395540,,,,,,,0.4199546569137861
5,2.65,2.8519,2.5,2.605,176914,,,,,,,0.41509360999137285
6,2.6,2.6,1.67,2.39,111456,,,,,,,0.4522297807062748
7,2.54,2.7658,2.24,2.36,85673,,,,,,,0.4574847963701123
8,2.35,2.5656,2.0,2.22,882844,2.73,,,,,,0.4652073109151043
9,2.21,2.77,2.15,2.46,59775,2.65,,,,,,0.47626393156402547
10,2.16,2.62,2.0,2.05,232282,2.52,,,,,,0.4865307935951665
11,2.06,2.129,1.9375,2.05,198024,2.41,,,,,,0.46545716548122607
12,2.06,2.345,1.96,2.15,101770,2.33,,,,,,0.45971022508970993
13,2.28,2.3001,1.98,1.98,101880,2.25,,,,,,0.44973806615473066
14,2.0999,2.1103,1.74,1.75,271044,2.16,,,,,,0.44406391857224997
15,1.86,2.13,1.86,2.0,133815,2.11,,,,,,0.43948792438851786
16,2.05,2.13,1.96,1.99,100244,2.07,,,,,,0.42023878693219513
17,1.99,2.18,1.92,1.95,78250,2.04,,,,,,0.4087931592941812
18,2.02,2.12,1.9288,2.06,671130,2.0,,,,,,0.39325079077316827
19,1.98,2.2,1.95,2.1705,187408,2.01,2.36,,,1.3141492047186227,3.4570671801986808,0.38301859143222766
20,2.17,2.28,2.08,2.16,98768,2.02,2.31,,,1.3449476894680754,3.2938637700661575,0.3699458349013543
21,2.15,2.265,2.07,2.09,22436,2.02,2.25,,,1.4171989708562434,3.156648721474028,0.3574497038369719
22,2.1,2.22,2.06,2.12,12889,2.03,2.2,,,1.492986473353421,3.016736978162813,0.3433461535629025
23,2.2,2.25,2.115,2.25,44052,2.09,2.18,,,1.5699340178395529,2.931240870310827,0.3284642854512666
24,2.25,2.34,2.15,2.19,15427,2.11,2.15,,,1.6597525294512803,2.8465138558648566,0.31857397934760473
25,2.255,2.2638,2.08,2.16,34929,2.13,2.13,,,1.7197260826108116,2.759410545205946,0.30894726653706156
26,2.2,2.4429,2.2,2.26,7373,2.16,2.12,,,1.7769118490266653,2.7362010605679408,0.30708674749869996
27,2.25,2.56,2.13,2.24,41222,2.18,2.12,,,1.7881201739805364,2.687967996083457,0.31586626553450714
28,2.22,2.4,2.21,2.21,47934,2.19,2.11,,,1.7823090528135883,2.663053624527125,0.30687581799632807
29,2.241,2.241,2.11,2.12,85719,2.18,2.1,,,1.7840630515338516,2.5621621596834423,0.29431325956801896
30,2.15,2.15,2.0,2.04,162012,2.18,2.1,,,1.7840630515338516,2.4933964635446686,0.2840051695988748
31,2.19,2.19,2.07,2.12,343503,2.18,2.1,,,1.7932365213007506,2.4913264896509544,0.27443337177038374
32,2.15,2.19,2.04,2.04,295860,2.15,2.1,,,1.7994421228166797,2.4814223503447126,0.26554527378678494
33,2.04,2.15,2.01,2.1,76404,2.14,2.1,,,1.801985318057993,2.476524404581851,0.25657775423058604
34,2.1105,2.155,2.05,2.1411,17955,2.14,2.12,,,1.8633047069276032,2.4743650823533563,0.2457507717855442
35,2.09,2.2105,2.0428,2.1293,10218,2.13,2.13,,,1.8950542213139878,2.472858824201179,0.24017571665800533
36,2.09,2.195,2.0855,2.16,13612,2.12,2.14,,,1.9077831311417521,2.4708367524063926,0.23084173689671922
37,2.18,2.18,2.13,2.165,55686,2.11,2.15,,,1.9315916895771557,2.4708367524063926,0.217924469975525
38,2.16,2.2873,2.15,2.22,18866,2.12,2.15,,,1.9568467906698628,2.470956971773506,0.21216557926298754
39,2.33,2.48,2.3148,2.45,60982,2.17,2.17,,,1.9549822483120614,2.5047050016321295,0.21558232360134555
40,2.4461,2.7505,2.3,2.3,54216,2.19,2.18,,,1.9431339318201712,2.6117435856174485,0.2323621576298209
41,2.3,2.34,2.1259,2.24,21526,2.21,2.18,,,1.9472522083456396,2.615722322231608,0.2310577177991194
42,2.3,2.3,2.06,2.1558,43832,2.22,2.18,,,1.9472522083456396,2.6174860112982596,0.23169645224203944
43,2.2,2.3,2.135,2.29,24204,2.23,2.19,,,1.9481098272964907,2.618976001805806,0.22693241993903662
44,2.3,2.3,2.2,2.245,33348,2.25,2.19,,,1.9473255247176933,2.61657984750524,0.2178658185148197
45,2.215,2.31,2.2,2.31,46398,2.26,2.2,,,1.9512003627717096,2.6183113948941337,0.21016111719233257
46,2.38,2.59,2.32,2.42,48658,2.29,2.2,,,1.9396835198430973,2.6455171283138976,0.21514960882145168
47,2.41,2.65,2.3,2.39,43197,2.31,2.21,,,1.9345749667298926,2.6661289834213813,0.2247817796199194
48,2.31,2.315,2.26,2.29,33208,2.29,2.22,,,1.9325197903448785,2.6597539278092706,0.21801165250421092
49,2.335,2.37,2.1,2.11,25692,2.27,2.22,2.27,,1.9316247032026888,2.665264216634723,0.2217251058967673
50,2.14,2.19,2.06,2.18,27898,2.27,2.22,2.25,,1.9416284028355828,2.6635377947644514,0.2151733126184268
