,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,7.68,9.25,7.54,9.0,2210974,,,,,,,1.71
1,9.33,9.75,7.81,8.09,1423799,,,,,,,1.7264285714285714
2,8.5,9.64,8.5,9.345,780125,,,,,7.454924248220538,9.809408618652514,1.713826530612245
3,10.0,10.7,9.0,9.08,851098,,,,,7.83914400321922,10.612837884835912,1.712838921282799
4,9.58,10.09,9.17,9.75,504961,,,,,8.541718504654643,10.67534210519084,1.6626361411911705
5,9.89,10.45,9.3,9.54,495689,,,,,9.006222878714722,10.719981883522852,1.6260192739632298
6,9.64,10.27,9.64,10.27,546802,,,,,9.127306778009777,10.450000000000001,1.5620178972515706
7,10.05,10.62,8.26,9.25,770137,,,,,8.34768590660884,10.621690474571002,1.6190166188764585
8,9.36,9.8443,8.25,8.64,1050008,9.22,,,,7.917020911764325,10.633231804527624,1.6172511460995687
9,8.5,9.0,8.0,8.25,681608,9.14,,,,8.022690801373411,10.631675373302459,1.5731617785210281
10,7.42,7.5,6.0,6.195,787763,8.92,,,,6.183445951087599,9.968768232733385,1.621507365769526
11,6.35,7.6474,6.3,6.8,502925,8.64,,,,5.68808735417576,8.87589947519772,1.60942826821456
12,6.49,6.75,5.84,6.26,644484,8.33,,,,5.813142934824773,7.780373661374658,1.5630405347706628
13,6.42,6.63,5.8,6.51,265159,7.97,,,,5.702151120210946,7.565135359708526,1.5106804965727585
14,6.24,6.365,4.57,5.25,420369,7.49,,,,4.681368421905242,6.778664974611983,1.54134617538899
15,5.24,5.7,5.15,5.5,559202,6.96,,,,4.558001444566487,6.710789128395729,1.4705357342897767
16,5.63,6.94,5.5,6.37,877130,6.64,,,,4.603617106944063,6.955544116078772,1.4683546104119356
17,6.48,6.85,5.54,6.34,586494,6.39,,,,5.182112866109857,7.188066213479736,1.4570435668110833
18,6.5,7.04,6.49,6.93,223220,6.24,,,,5.282946562135649,7.038377182862484,1.4029690263245773
