,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.76,1.85,1.76,1.8373,89899,,,,,,,0.09000000000000008
1,1.85,1.85,1.8,1.84,19959,,,,,,,0.08714285714285722
2,1.85,1.85,1.7818,1.7818,6788,,,,,,,0.08578979591836741
3,1.76,1.84,1.72,1.72,92490,,,,,,,0.08823338192419831
4,1.7,1.7201,1.5,1.64,89894,,,,,,,0.09765242607246986
5,1.6,1.735,1.6,1.65,18837,,,,,,,0.10032010992443631
6,1.54,1.54,1.0548,1.16,107463,,,,,,,0.13566867350126227
7,1.25,1.29,1.119,1.15,45636,,,,,,,0.13819233967974354
8,1.02,1.07,0.8804,1.0,141309,1.53,,,,,,0.14757860113119042
9,1.0,1.12,1.0,1.06,63185,1.44,,,,,,0.14560870105039114
10,0.9712,1.093,0.9712,1.03,36293,1.35,,,,,,0.1439080795467918
11,1.0,1.35,1.0,1.32,95604,1.3,,,,,,0.15862893100773523
12,1.27,1.32,1.18,1.18,38651,1.24,,,,,,0.1572982930786113
13,1.11,1.19,1.11,1.1301,39304,1.19,,,,,,0.15177698643013904
14,1.14,1.44,1.14,1.27,73854,1.14,,,,,,0.1630714873994148
15,1.22,1.415,1.15,1.15,83118,1.14,,,,,,0.17035209544231375
16,1.23,1.23,1.1,1.1,98096,1.14,,,,,,0.16746980291071992
17,1.15,1.15,1.02,1.02,76661,1.14,,,,,,0.16479338841709706
18,1.02,1.07,1.01,1.05,30339,1.14,,,,,,0.15730814638730442
19,1.03,1.2,1.03,1.145,68579,1.15,1.31,,,0.6183063837839118,1.9999616243471197,0.15821470735963983
20,1.15,1.1715,1.02,1.0425,33427,1.12,1.27,,,0.622902896440166,1.9380716665884177,0.15773508540537984
21,1.03,1.0582,0.98,0.9801,57178,1.1,1.23,,,0.6444461685955961,1.8702760603773458,0.15205400787642412
22,0.9773,0.98,0.95,0.9598,11512,1.08,1.19,,,0.6817779877712762,1.7930284826184528,0.1433430073138224
23,0.97,1.02,0.9617,0.9734,39790,1.05,1.15,,,0.7372690265356957,1.6959376720863308,0.1374042210771208
24,1.02,1.0551,0.96,0.9641,32144,1.03,1.12,,,0.7644473550694129,1.6131721161014376,0.1343824910001836
25,0.96,1.0,0.95,0.97,54453,1.01,1.08,,,0.8691379041909881,1.5058543066208676,0.12835517021445622
26,1.0,1.0499,0.91,0.94,57544,1.0,1.07,,,0.853854534305322,1.4399914614577942,0.12917980091342363
27,0.987,1.04,0.96,1.02,80773,1.0,1.07,,,0.8502089433070061,1.4260373732929654,0.12709552941960767
28,1.08,1.08,0.9903,0.9905,95797,0.98,1.06,,,0.8676488452846465,1.4259517763544063,0.12442442017534998
29,1.0309,1.0309,0.96,1.0103,74745,0.98,1.06,,,0.863522052215008,1.4265082438090955,0.12060124730568213
30,0.9915,1.03,0.97,0.9851,52875,0.98,1.06,,,0.8633849894670281,1.4273235996081575,0.1162725867838477
31,1.0271,1.05,1.01,1.04,36415,0.99,1.05,,,0.8640605108729364,1.3978012790107088,0.11260311629928715
32,1.09,1.09,1.0,1.02,57961,0.99,1.04,,,0.8751677468977203,1.3711518909695042,0.11098860799219523
33,1.06,1.06,0.96,1.02,31109,1.0,1.03,,,0.8748513635493236,1.3634924420217365,0.11020370742132415
34,1.0,1.0355,0.96,0.99,33717,1.0,1.02,,,0.8828003930598518,1.2918834657003846,0.10772487117694388
35,0.99,1.03,0.9836,1.0135,65159,1.01,1.01,,,0.9032503472080775,1.2039326173639149,0.1033445232357336
36,0.99,1.0521,0.99,1.04,58114,1.01,1.01,,,0.9185625484291737,1.1721367151402269,0.10039848586175265
37,1.05,1.1616,1.0456,1.13,108313,1.03,1.01,,,0.9152408540305327,1.1747686963308674,0.10191287972877032
38,1.09,1.2,1.09,1.155,93750,1.04,1.02,,,0.9034992965064914,1.1969747089354725,0.10249053117671528
39,1.18,1.2829,1.18,1.22,67613,1.07,1.02,,,0.8736977896373082,1.2225790238773633,0.10430549323552132
40,1.19,1.22,1.145,1.19,46042,1.09,1.03,,,0.861746254877199,1.233070211117086,0.10221224371869837
41,1.13,1.24,1.02,1.0545,67235,1.09,1.03,,,0.8636726251093929,1.2580202159289813,0.11062565488164848
42,1.08,1.09,1.02,1.02,37038,1.09,1.04,,,0.8689772019513501,1.2562361870155527,0.10772382239010217
43,1.04,1.075,1.02,1.02,28361,1.09,1.04,,,0.8731698887431252,1.255820157550641,0.10395783507652344
44,1.02,1.0525,1.0,1.0,21686,1.09,1.04,,,0.8769042616690345,1.2558243872027584,0.10028227542820034
45,1.0,1.12,1.0,1.08,83879,1.1,1.05,,,0.8821973887948366,1.2560367500704999,0.10169068432618604
46,1.06,1.1275,1.03,1.08,45908,1.09,1.05,,,0.8971002379972655,1.2585791765737433,0.10139134973145847
47,1.05,1.11,1.04,1.1,21997,1.08,1.06,,,0.9037662600867058,1.25918901885283,0.09914911046492574
48,1.12,1.12,1.07,1.08,34622,1.07,1.06,,,0.9066898072585153,1.2607515480052103,0.09563845971743104
49,1.13,1.13,1.03,1.03,38778,1.05,1.06,1.15,,0.9141857754269997,1.2613961874698036,0.0959499983090431
50,1.03,1.07,1.02,1.05,19056,1.05,1.07,1.13,,0.9199126620118359,1.259646888725191,0.0926678555726829
51,1.05,1.1,1.05,1.05,38375,1.05,1.07,1.12,,0.9220427053494872,1.2590308195658588,0.08962015160320555
52,1.15,1.23,1.1,1.14,108823,1.07,1.07,1.1,,0.9242640351208176,1.2738077991617107,0.09607585506011942
53,1.17,1.17,1.09,1.14,23064,1.08,1.08,1.09,,0.9346819809940456,1.2772492114903953,0.09492757969868232
54,1.19,1.19,1.09,1.09,80869,1.08,1.08,1.08,,0.9469458565125483,1.2800092101147569,0.09528989543449072
55,1.14,1.14,1.06,1.1,58598,1.09,1.09,1.07,,0.9556585342637102,1.275963482865109,0.0941977600463128
56,1.13,1.13,1.06,1.1,38191,1.09,1.09,1.07,,0.9639362706938602,1.272834885682438,0.09246934861443332
57,1.14,1.14,1.1,1.1,46625,1.09,1.09,1.07,,0.9650379867849157,1.2716322729506213,0.08872153799911664
58,1.15,1.235,1.1,1.235,135501,1.11,1.09,1.07,,0.964793028409444,1.2774354781540849,0.09202714242775117
59,1.27,1.58,1.23,1.5698,208880,1.17,1.11,1.08,,0.9528268402522662,1.3894098562654909,0.11045377511148324
60,1.55,1.55,1.2,1.315,231393,1.2,1.12,1.09,,0.9448836922292502,1.4640172344659463,0.12897850546066303
61,1.23,1.31,1.22,1.23,52051,1.21,1.13,1.09,,0.9391146410926349,1.4723151840300575,0.12655146935632994
62,1.32,1.94,1.3188,1.6064,314343,1.26,1.16,1.09,,0.9193274493092864,1.6669660447603414,0.16822636440230637
63,1.63,1.75,1.53,1.59,114338,1.32,1.18,1.1,,0.8594483882817473,1.7523555857964819,0.17192448123071305
64,1.54,1.7597,1.54,1.63,146218,1.38,1.22,1.11,,0.8308370345918638,1.8251799254765708,0.17533701828566212
65,1.58,1.65,1.5,1.51,60566,1.42,1.24,1.12,,0.8258214941559816,1.8675742359599838,0.17352723126525768
66,1.57,1.6299,1.53,1.61,123169,1.48,1.26,1.13,,0.82181128203155,1.9012538340471186,0.1696967147463107
67,1.62,1.68,1.49,1.62,96902,1.52,1.29,1.14,,0.8293841851754791,1.9370675944401692,0.1711469494072885
68,1.58,1.601,1.45,1.56,76023,1.52,1.31,1.15,,0.8414072554349401,1.9562745160837485,0.17106502444962504
69,1.48,1.56,1.4102,1.43,55475,1.53,1.33,1.16,,0.8654969031117665,1.9671031995035448,0.1695460941317947
70,1.41,1.54,1.41,1.475,24066,1.56,1.36,1.16,,0.8955251677225573,1.966995527343809,0.1667213731223808
71,1.47,1.65,1.42,1.62,94948,1.56,1.38,1.18,,0.9240802115365166,1.975767621401872,0.17124127504221076
72,1.6,1.8,1.55,1.7603,115818,1.58,1.41,1.19,,0.9411424418550159,2.01111884202977,0.17686689825348142
73,1.69,1.9,1.69,1.77,151340,1.6,1.45,1.21,,0.951373302465574,2.052549987902605,0.17923354837823274
74,1.78,1.875,1.7,1.722,132247,1.62,1.48,1.22,,0.9706775675082815,2.0807799659533823,0.17893115206550184
75,1.7,1.85,1.66,1.67,81171,1.63,1.51,1.24,,1.0102942199254632,2.0879962434469816,0.17972178406082318
76,1.64,1.75,1.64,1.7,68355,1.63,1.54,1.25,,1.0615350442654172,2.0668204996067723,0.17474165662790725
77,1.68,1.7902,1.66,1.755,100677,1.66,1.57,1.27,,1.1118422779845805,2.034229975872918,0.17156010972591387
78,1.75,1.835,1.71,1.78,80709,1.69,1.6,1.28,,1.1700671207942268,2.0078215725820074,0.16823438760263432
79,1.74,1.83,1.68,1.79,72059,1.73,1.61,1.3,,1.2073408498258256,2.0201008995749774,0.16693193134530332
80,1.73,1.8001,1.65,1.745,59205,1.74,1.63,1.31,,1.2628831449686433,2.025023985053429,0.16572965053492453
81,1.71,1.81,1.71,1.78,41045,1.75,1.66,1.33,,1.3214444617364915,1.979412601759366,0.16103467549671563
82,1.74,1.86,1.74,1.8,56611,1.75,1.67,1.35,,1.3591110892230227,1.9639693275229197,0.15810362724695026
83,1.85,2.1699,1.85,2.0,177277,1.78,1.69,1.36,,1.3472698312384779,2.055923122605522,0.1732319395864538
84,2.16,2.18,2.07,2.105,113988,1.83,1.71,1.39,,1.2996283577143901,2.1308157450041367,0.1737153724731357
85,2.27,3.18,2.2401,2.82,1567415,1.95,1.78,1.42,,1.2425305061373295,2.569344645288057,0.23809284586791174
86,2.87,6.85,2.61,5.87,22355486,2.41,1.99,1.52,,1.1257448514838462,4.455980643665228,0.5239433568773466
87,5.16,5.48,3.9,4.95,6747710,2.76,2.16,1.6,,0.7057641862977131,5.073451291625007,0.6272331171003933
88,4.75,6.3,4.4,4.75,7460126,3.09,2.31,1.67,,0.3912692601584291,5.807549884958508,0.718145037307508
89,4.86,5.05,4.13,4.2,1398125,3.36,2.45,1.73,,0.28764146413713765,6.129242723135004,0.7325632489284003
90,4.71,4.85,3.62,3.62,1017959,3.57,2.56,1.78,,0.3141023319425882,6.373108269532013,0.7680944454335146
91,3.61,3.66,3.16,3.21,635017,3.73,2.64,1.82,,0.3982397053076243,6.438711771752796,0.7489448421882635
92,3.38,3.53,3.225,3.42,332641,3.88,2.72,1.87,,0.4770159138493728,6.485980441276062,0.7183059248891018
93,3.26,3.26,3.08,3.08,269214,3.99,2.79,1.91,,0.5544368395697115,6.509036622241352,0.6912840731113088
94,3.1,3.65,2.935,3.33,1037099,4.05,2.87,1.96,,0.6414581379176187,6.549964643947458,0.6929780678890725
95,3.4,3.5,3.1101,3.15,547035,3.75,2.94,2.0,,0.744004424905176,6.568944014603433,0.6713296344684245
96,3.21,3.38,3.13,3.23,298198,3.55,3.02,2.04,,0.8625329392912702,6.5657177721772895,0.6412346605778229
97,3.16,3.265,2.8,2.94,324832,3.35,3.08,2.08,,0.9839091921582748,6.549213230728157,0.6286464705365499
98,3.02,3.02,2.62,2.62,171572,3.18,3.12,2.11,,1.0956934248303907,6.520114236673047,0.6123145797839392
99,2.55,2.61,2.25,2.28,335619,3.03,3.14,2.13,,1.1844590404900959,6.48508500553182,0.5950063955136579
100,2.3,2.46,2.22,2.34,412828,2.93,3.17,2.16,,1.2800380692133917,6.447803994938268,0.5696487958341109
101,2.29,2.36,2.1723,2.24,271054,2.8,3.2,2.18,,1.3610273791272511,6.412244251520756,0.5423667389888173
102,2.25,2.3,2.16,2.2,448570,2.7,3.22,2.2,,1.4374178861867415,6.381738271461879,0.5136262576324732
103,2.2,3.8,2.03,3.5,9211010,2.72,3.29,2.25,,1.4714831028668982,6.372637216703257,0.6033672392301537
104,4.25,4.72,2.7,3.03,12758836,2.71,3.34,2.29,,1.5527281573612761,6.428189350974026,0.704555293570857
105,2.64,2.9,2.52,2.585,1822752,2.64,3.33,2.32,,1.590622716541862,6.43282023131313,0.6906584868872243
