,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,3.96,4.15,3.92,4.09,324373,,,,,,,0.23000000000000043
1,4.15,4.19,4.0,4.04,142440,,,,,,,0.22714285714285756
2,4.01,4.11,3.96,4.01,138299,,,,,,,0.2216326530612249
3,4.01,4.06,3.9,3.98,125541,,,,,3.8962181727826164,4.188663033497913,0.21723032069970882
4,3.97,4.0,3.86,3.9,80214,,,,,3.8615992202773484,4.178457145933309,0.2117138692211582
5,3.76,3.94,3.76,3.92,99171,,,,,3.7775301851052645,4.108520059244609,0.20944859284821835
6,3.5,3.6399,3.32,3.52,205543,,,,,3.4167583476607275,4.115230409246625,0.23734512193048848
7,3.55,3.82,3.42,3.64,106127,,,,,3.303436452655495,4.02464309389525,0.24896332750688216
8,3.45,3.4595,3.3,3.31,304720,3.82,,,,3.2154479446547826,3.946085742407324,0.2554659469706763
9,3.11,3.25,3.0,3.17,141004,3.72,,,,3.060781526960979,3.8109979640099034,0.2593612364727709
10,3.15,3.27,3.0,3.06,243878,3.61,,,,2.9451042784553136,3.740484776662222,0.26012114815328724
11,2.9,3.03,2.75,2.78,452884,3.48,,,,2.7650000000000023,3.4457036509849654,0.2636839232851953
12,2.81,2.95,2.81,2.83,111438,3.35,,,,2.7477068753125007,3.3004261478039503,0.25699221447910997
13,2.81,2.9099,2.51,2.6,131223,3.2,,,,2.5452428291370586,3.217374238137222,0.26719991344488786
14,2.82,3.0,2.82,2.92,332188,3.09,,,,2.5630000000000037,3.0309839283072826,0.2766856339131102
15,2.95,3.26,2.91,3.05,163234,3.04,,,,2.5708399276496743,3.203463759554234,0.281922374347888
16,3.03,3.06,2.849,2.94,59818,2.96,,,,2.5755572552600574,3.2207604903484484,0.27685649046589605
17,2.98,3.04,2.8777,2.9,50639,2.92,,,,2.821740239582797,3.217650564693881,0.26867388400404635
18,2.99,3.08,2.83,2.99,126129,2.9,,,,2.8282742982920177,3.221457017126184,0.2673400351466145
19,3.02,3.18,3.0,3.01,125212,2.89,3.33,,,2.8050901684804836,3.1584007797226508,0.2618157469218563
20,3.03,3.05,2.87,2.9,43892,2.9,3.27,,,2.8136593086969133,3.1578627505621166,0.25597176499886654
21,2.95,3.1,2.95,2.98,161384,2.92,3.22,,,2.828067087775764,3.1636630334979112,0.2519737817846618
22,2.95,3.1795,2.95,3.02,108614,2.97,3.17,,,2.883348358715369,3.1975876576314164,0.25036851165718593
23,3.13,3.15,2.92,2.92,112677,2.97,3.12,,,2.8809759106060238,3.1825530846202765,0.24891361796738695
24,2.89,3.07,2.85,3.04,142640,2.97,3.08,,,2.8656131037736996,3.1789326139410528,0.24684835954114503
25,3.05,3.14,2.96,2.98,22807,2.97,3.03,,,2.865367897105588,3.185900408294952,0.24207347671677756
26,3.1,3.21,3.01,3.06,159694,2.99,3.0,,,2.860665171913392,3.2056103530862132,0.24121108552272202
27,3.24,3.3,3.07,3.09,129754,3.0,2.98,,,2.8699479806797275,3.2881511288275176,0.24112457941395615
28,3.11,3.22,3.092,3.19,25187,3.02,2.97,,,2.9672817123371855,3.289561894692453,0.23318710945581647
29,3.2,3.23,3.11,3.17,38133,3.05,2.97,,,3.0226236662500936,3.284907311951019,0.2251023159232582
30,3.19,3.21,3.03,3.18,72552,3.07,2.98,,,3.0375912059455095,3.284907311951019,0.22188072192873978
31,3.2,3.25,3.01,3.235,193942,3.1,3.0,,,3.007658002813427,3.246286076404246,0.22317495607668697
32,3.24,3.24,3.04,3.12,135426,3.12,3.01,,,2.999657376047443,3.2512860764042455,0.22151960207120935
33,3.2,3.3,3.04,3.055,166260,3.12,3.04,,,3.014443650813927,3.2911582312545065,0.2242682019232658
34,3.09,3.24,3.07,3.16,219231,3.14,3.05,,,3.0130556128294033,3.28909509455595,0.22146333035731824
35,3.23,3.29,2.98,3.02,422772,3.14,3.05,,,2.9909759106060223,3.3027171833058717,0.2277873781889384
36,3.03,3.1,2.86,3.0,270316,3.13,3.05,,,2.885342034084468,3.3338652636097104,0.22865970831829996
37,3.0,3.0,2.8,2.94,430974,3.1,3.05,,,2.7944727471530775,3.302981671239598,0.22661258629556427
38,2.97,3.0,2.76,2.8696,834420,3.06,3.05,,,2.744491706487125,3.2478892172553158,0.2275688301315954
39,2.85,2.95,2.85,2.94,137829,3.04,3.04,,,2.7663963471625337,3.08170681565665,0.21845677083648146
40,3.0,3.11,2.905,3.07,243166,3.02,3.05,,,2.759707289788622,3.0893348280866157,0.21749557291958996
41,3.07,3.11,2.93,3.05,66940,3.01,3.06,,,2.778399356268852,3.1311279677453268,0.2148173177110478
42,3.0,3.15,2.9815,3.01,207435,3.01,3.05,,,2.8565038947900527,3.177563654434767,0.21150893787454442
43,3.19,3.19,3.04,3.1,160520,3.0,3.06,,,2.8983723907361925,3.182126792741276,0.20925829945493413
44,3.0,3.1,2.92,3.1,80871,3.01,3.07,,,2.9072445157119873,3.1827428631572583,0.20716842092243887
45,3.06,3.06,2.88,3.02,263648,3.01,3.07,,,2.878174413052756,3.187548647733849,0.20808496228512183
46,2.98,3.07,2.9,2.93,61626,3.01,3.06,,,2.8559325182728976,3.1700768776140946,0.20536460783618457
47,3.03,3.04,2.95,2.96,212466,3.02,3.06,,,2.879653133076873,3.094999999999997,0.19855285013359994
48,3.01,3.6299,3.01,3.37,520486,3.07,3.06,,,2.871174717653068,3.515551693834742,0.23222050369548566
49,3.35,3.59,3.31,3.51,116929,3.12,3.08,3.17,,2.8401926842647582,3.6856278300301906,0.23563332486009383
50,3.5,3.58,3.37,3.54,210636,3.17,3.1,3.16,,2.9282156174372425,3.7688681147797456,0.23380237308437285
51,3.54,3.66,3.35,3.46,190628,3.22,3.11,3.15,,3.074624704990124,3.655625457459497,0.23924506072120338
52,3.37,3.42,3.11,3.21,190514,3.23,3.12,3.13,,3.153766112100069,3.6740926371525755,0.247156127812546
53,3.2,3.235,3.05,3.16,162976,3.24,3.12,3.12,,3.03992223901881,3.6803907409813785,0.24271640439736414
54,3.11,3.41,3.11,3.37,124726,3.28,3.13,3.11,,3.008654518347854,3.6232714289256966,0.24680808979755242
55,3.42,3.48,3.24,3.29,89418,3.32,3.14,3.09,,3.039328292519659,3.502261763053004,0.24632179766915582
56,3.25,3.49,3.25,3.29,60555,3.36,3.16,3.09,,3.054209110878775,3.5335449504667507,0.24587024069278757
57,3.4,3.43,3.25,3.29,144374,3.35,3.18,3.08,,3.137154683843883,3.4949843108296026,0.2411652235004456
58,3.27,3.41,3.27,3.39,63472,3.33,3.2,3.08,,3.2386586368687222,3.4949843108296026,0.23393913610755665
59,3.39,3.435,3.31,3.35,32715,3.31,3.22,3.09,,3.238887301627815,3.478922658078058,0.22615776924273118
60,3.41,3.44,3.27,3.27,86980,3.29,3.23,3.09,,3.247317273737367,3.443214756018208,0.22214650001110753
61,3.29,3.33,3.18,3.31,57670,3.3,3.25,3.1,,3.1970000000000125,3.459726743682827,0.2169931785817427
62,3.33,3.44,3.22,3.31,93046,3.32,3.26,3.11,,3.182451352266161,3.4708897169119113,0.21720795154018963
63,3.27,3.3384,3.1,3.16,93654,3.3,3.26,3.12,,3.113496308103153,3.454397828593001,0.21872166928731893
64,3.29,3.34,3.21,3.29,51226,3.3,3.27,3.13,,3.117670380802382,3.419430018896441,0.21595583576679614
65,3.3,3.41,3.23,3.39,127374,3.31,3.29,3.14,,3.1233916922098652,3.4382356488041803,0.21338756178345358
66,3.41,3.55,3.39,3.47,184782,3.33,3.32,3.15,,3.100997465170191,3.5189120353239582,0.20957416451320687
67,3.5,3.6,3.37,3.43,247012,3.33,3.34,3.16,,3.1975955730123693,3.607761691261697,0.21103315276226353
68,3.52,3.57,3.43,3.5,120972,3.35,3.35,3.17,,3.2593147520948778,3.6251332373755023,0.20595935613638755
69,3.5,3.71,3.5,3.71,358366,3.4,3.36,3.18,,3.3593896469138036,3.685991506971559,0.206247973555217
70,3.74,4.03,3.64,3.95,389606,3.47,3.38,3.2,,3.357191549575165,3.959001439880331,0.21937311830127296
71,3.91,3.91,3.64,3.73,147100,3.51,3.39,3.22,,3.4370000000000114,4.030343441587871,0.2258464669940392
72,3.52,4.12,3.42,4.12,687722,3.62,3.44,3.24,,3.430172345985311,4.1374980769135945,0.259714576494465
73,4.2,4.4,3.94,3.95,210775,3.69,3.48,3.26,,3.4251042784553176,4.344423189760757,0.2740206781734318
74,3.75,4.065,3.64,3.91,203429,3.75,3.51,3.28,,3.425104278455317,4.3487071718498145,0.2848049154467581
75,3.88,4.07,3.82,3.83,95216,3.79,3.53,3.3,,3.4558554636360714,4.33914021970072,0.282318850057704
76,3.91,4.03,3.75,3.76,156879,3.83,3.56,3.31,,3.649122798120512,4.332006989823878,0.2821532179107252
77,3.77,4.04,3.7,3.99,365354,3.88,3.59,3.33,,3.6435461436264136,4.0724921554148095,0.28628513091710195
78,4.0,4.19,3.9,4.08,714578,3.92,3.63,3.35,,3.6968674567245543,4.16352005924461,0.28655047870873757
79,4.12,4.19,3.94,4.1,286214,3.94,3.66,3.36,,3.6953639180510507,4.21104060076943,0.2839397302295421
80,4.14,4.14,3.78,3.9099,153756,3.96,3.69,3.38,,3.7088334479597203,4.217781745930522,0.28937260664171766
81,3.87,3.9,3.61,3.73,115641,3.92,3.72,3.39,,3.644498210643779,4.257552723126576,0.29012456331016645
82,3.67,3.7799,3.61,3.66,63079,3.89,3.73,3.4,,3.5607272253047055,4.217016840577389,0.28153709450229747
83,3.63,3.67,3.5,3.6,96310,3.85,3.76,3.41,,3.4978242685624985,4.094203921640067,0.27357015918070476
84,3.49,3.58,3.4,3.45,146084,3.81,3.76,3.42,,3.418905445678031,3.884717420802047,0.26831514781065446
85,3.46,3.58,3.41,3.54,39608,3.78,3.77,3.43,,3.372597330883585,3.7569257923617676,0.2612926372527506
86,3.5,3.54,3.45,3.49,33938,3.73,3.77,3.44,,3.3899933337777512,3.653000000000011,0.24905744887755413
87,3.46,3.63,3.39,3.54,71418,3.67,3.78,3.45,,3.383570487963614,3.6230411313770925,0.2484104882434431
88,3.47,3.65,3.4,3.57,50425,3.61,3.78,3.46,,3.383570487963614,3.654632102894433,0.2485240247974829
