,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,5.16,5.49,5.11,5.44,251252,,,,,,,0.3799999999999999
1,5.32,5.67,5.06,5.27,203986,,,,,,,0.39642857142857135
2,5.1,5.88,5.0,5.84,239730,,,,,4.996083390646519,5.894711434255374,0.43096938775510196
3,5.96,6.085,5.5,5.6,247567,,,,,4.886357936634831,6.10658885535489,0.44197157434402323
4,5.59,5.76,5.15,5.29,296325,,,,,4.934428587497088,6.089109668436504,0.45397360474802156
5,5.43,5.61,5.26,5.56,154999,,,,,5.106456891539671,6.085428041879448,0.4465469186945915
6,5.47,5.78,5.25,5.44,289353,,,,,5.153089612166719,5.8188739723416205,0.4525078530735493
7,5.66,5.95,5.32,5.46,127946,,,,,5.235021338797461,5.967000000000001,0.4651858635682958
8,5.27,5.54,5.16,5.38,206530,5.48,,,,5.1551044642862145,5.983259546813714,0.4591011590277032
9,5.57,5.7285,5.14,5.33,255603,5.46,,,,5.098143243695708,5.9652433443094175,0.46834393338286734
10,5.27,5.3,4.9812,5.07,292890,5.44,,,,4.9859680600151925,5.759075033363904,0.45980508099837686
11,4.82,4.95,4.49,4.61,176601,5.3,,,,4.497643644185642,5.755066644322686,0.46839043235563566
12,4.81,4.99,4.5,4.99,112316,5.24,,,,4.34823921624599,5.290729684667351,0.4699339729016617
13,4.72,4.94,4.41,4.43,281154,5.14,,,,4.412404955181166,4.989103264421742,0.4777958319801145
14,4.45,4.7,4.33,4.57,153208,5.03,,,,4.3197794273040495,5.047196233995431,0.4700961296958206
15,4.67,4.7799,3.71,3.76,146996,4.84,,,,3.7285406306652975,4.9410675701680615,0.5129392632889763
16,3.26,4.07,3.01,3.88,563934,4.67,,,,2.9568890248462054,4.944372125160001,0.5520150301969067
17,4.04,4.09,3.81,3.82,188487,4.5,,,,3.0305211162105157,4.757932287064271,0.5325853851828419
18,3.84,4.07,3.7,3.88,123115,4.33,,,,3.029675751309421,4.089368372589102,0.5209721433840675
19,4.03,4.26,4.01,4.1,138039,4.23,4.89,,,3.6671214298994608,4.254843371598042,0.5109027045709198
20,4.1,4.17,3.58,3.64,267573,4.12,4.8,,,3.519258891137226,4.271214901148839,0.5165525113872826
21,3.67,3.86,3.54,3.79,119041,3.99,4.72,,,3.423366087142487,4.327491997454559,0.502513046288191
22,3.7,3.79,3.41,3.43,135320,3.87,4.6,,,3.41222986140948,4.162461232577742,0.49376211441046314
23,3.47,3.7,3.35,3.41,156746,3.75,4.49,,,3.326495449914841,3.871562202380505,0.48349339195257296
24,3.41,3.55,3.16,3.22,114230,3.69,4.39,,,3.1631036723633144,3.8133679121828434,0.4768152925273892
25,3.11,3.2,2.81,2.83,181634,3.57,4.25,,,2.80535232360722,3.765571412502933,0.4720427716325757
26,2.84,3.1297,2.84,2.98,103708,3.48,4.13,,,2.7232742269380124,3.54087351511599,0.4597325736588203
27,2.96,3.16,2.92,2.95,176027,3.37,4.0,,,2.7941180189326973,3.202020826592738,0.44403738982604746
28,3.0,3.19,3.0,3.13,287100,3.26,3.89,,,2.831999999999918,3.193065136815866,0.42946329055275834
29,3.17,3.29,2.96,3.04,232298,3.2,3.78,,,2.91599999999984,3.2882087854745254,0.4223587697989899
30,3.09,3.29,3.0796,3.12,96962,3.12,3.68,,,2.9462288778650554,3.320175196277637,0.41004742909906206
31,3.2,3.61,3.18,3.46,167181,3.13,3.62,,,2.9520464973679537,3.599893961421447,0.4157583270205576
