,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,6.06,6.63,5.7,6.14,37555,,,,,,,0.9299999999999997
1,6.05,6.42,5.4,5.79,12025,,,,,,,0.9364285714285712
2,5.44,6.15,5.01,5.41,60385,,,,,,,0.9509693877551018
3,5.1,6.1,4.6,4.88,51710,,,,,,,0.9901858600583088
4,4.81,5.79,4.81,5.58,839536,,,,,,,0.9894582986255726
5,5.33,5.4,4.9,5.0,57116,,,,,,,0.9673541344380318
6,4.65,5.18,4.4,4.99,66924,,,,,,,0.9539716962638867
7,5.45,5.66,4.85,4.92,165062,,,,,,,0.9436880036736092
8,4.51,4.66,3.72,4.1,72890,5.2,,,,,,0.9619960034112085
9,4.1,5.5,4.0,5.45,41505,5.12,,,,,,1.000424860310408
10,5.49,5.49,4.28,4.29,45820,4.96,,,,,,1.015394513145379
11,4.07,4.99,4.0,4.99,26829,4.91,,,,,,1.0135806193492805
12,4.93,4.93,4.31,4.56,78290,4.88,,,,,,0.9897534322529034
13,4.5,4.5,4.14,4.35,44720,4.74,,,,,,0.9490567585205532
14,4.34,4.85,4.23,4.84,27601,4.72,,,,,,0.9255527043405136
15,4.66,4.905,4.65,4.75,15459,4.69,,,,,,0.8776560826019055
16,4.76,5.56,4.6902,5.47,40700,4.76,,,,,,0.8770949338446266
17,5.14,5.2698,4.48,4.5,13171,4.8,,,,,,0.8851595814271531
18,4.7509,4.89,4.55,4.83,10697,4.73,,,,,,0.8497910398966422
19,4.8,5.31,4.5,4.67,43842,4.77,4.98,,,3.610527392611854,6.578600552924906,0.8469488227611678
20,4.54,4.5884,4.05,4.09,24471,4.67,4.87,,,3.6681897724615933,6.380304546893063,0.8307381925639415
21,4.01,4.11,3.44,3.83,33507,4.59,4.77,,,3.5653614713320803,6.257716233137129,0.8192568930950886
22,3.7,3.9665,3.25,3.35,100164,4.48,4.67,,,3.388351881783478,6.18200435389012,0.811917115016868
23,3.61,4.12,3.61,4.12,35624,4.4,4.63,,,3.302081137763606,6.053408651530923,0.8089230353728061
24,4.15,4.195,4.01,4.1,47954,4.33,4.56,,,3.2961687688430157,5.958203171813839,0.7643571042747486
