,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,4.03,4.16,3.97,4.1067,246601,,,,,,,0.18999999999999995
1,4.05,4.13,3.9,4.12,195968,,,,,3.8805527778486355,4.168334523779156,0.1928571428571428
2,4.16,4.25,4.01,4.06,141611,,,,,3.869440079476428,4.2833380951166244,0.19622448979591833
3,4.3,4.3,4.05,4.05,135442,,,,,3.998887301627792,4.313890872965263,0.20006559766763846
4,4.03,4.07,3.96,3.99,126312,,,,,3.934996428662533,4.3638980156401965,0.19363234069137858
5,3.91,4.03,3.72,3.8691,141678,,,,,3.653323809766754,4.0811126983722055,0.20194431635628013
6,3.58,3.59,3.2,3.2227,703490,,,,,3.0555349211612985,4.152239682094288,0.23531257947368867
7,3.32,3.5,3.3,3.41,187431,,,,,3.1722182540695067,3.6150035713374584,0.23831168093985378
8,3.4,3.49,3.0,3.1674,459246,3.78,,,,2.916654762208449,3.50277817459296,0.25628941801557853
9,2.91,3.09,2.85,2.925,400440,3.65,,,,2.8083273811042435,3.6011269837220783,0.26065445958589434
10,3.04,3.1906,2.71,2.86,467406,3.51,,,,2.671105555697301,3.2185484364060892,0.276364855329759
11,2.62,2.8501,2.53,2.7297,266888,3.36,,,,2.4799928573250893,3.2851968448934166,0.2801959370919191
12,2.75,2.94,2.66,2.9002,163629,3.23,,,,2.4938837302903596,2.96497578959152,0.2801819415853534
13,2.8,2.8674,2.34,2.39,371098,3.05,,,,2.251098413022351,2.960169547545536,0.3001832314721139
14,2.4,2.77,2.395,2.69,114829,2.92,,,,2.3247200397383105,2.8944594205363097,0.30588442922410575
15,2.77,2.98,2.48,2.56,177331,2.85,,,,2.371385515959118,3.0383416664540848,0.3197498271366696
16,2.62,2.77,2.3,2.4925,269720,2.75,,,,2.2499928573250925,3.0383416664540848,0.33048198234119325
17,2.62,2.95,2.5649,2.88,384375,2.71,,,,2.2264061550300713,3.000007142674928,0.3395546978882509
18,2.85,3.36,2.85,3.32,278485,2.76,,,,2.4856942423521016,3.4739051583151284,0.3517293623248044
19,2.78,3.2498,2.78,3.12,985792,2.79,3.24,,,2.7605527778486882,3.3906154840154152,0.3651772650158898
20,2.92,3.06,2.8,2.93,125227,2.81,3.18,,,2.7744436508140855,3.302529753776117,0.3619503175147548
21,2.95,2.9748,2.81,2.8594,78101,2.8,3.12,,,2.7972218254073193,3.0836700475327805,0.34786815197798665
22,2.85,3.08,2.8,2.81,231818,2.85,3.06,,,2.7972218254073193,3.109226396718889,0.3430204268367019
23,2.77,2.84,2.6368,2.72,77580,2.85,2.99,,,2.5914601906414165,3.1466761902332405,0.3330332534912232
24,2.85,2.97,2.76,2.82,72618,2.88,2.93,,,2.6025728890136337,3.0061162697096617,0.3271023068132787
25,2.76,2.8375,2.7,2.75,32761,2.91,2.88,,,2.6833309524417563,3.0068108133579248,0.31355928489804447
26,2.77,3.08,2.76,3.0,450678,2.93,2.87,,,2.6833309524417563,3.1473707338815036,0.3147336216910413
27,3.04,3.15,2.93,2.98,243704,2.89,2.85,,,2.7127710319181353,3.1694472221513346,0.3079669344273955
28,2.92,3.12,2.92,3.08,134462,2.88,2.84,,,2.9172218254072413,3.1583345237790854,0.30025501053972437
29,3.09,3.22,3.0,3.1631,325656,2.91,2.85,,,2.897774603255618,3.247781745930499,0.29452250978688693
30,3.08,3.18,2.93,3.08,49896,2.93,2.86,,,2.910552777848675,3.2311126983721543,0.291342330516395
31,3.12,3.24,3.0501,3.16,63781,2.97,2.89,,,2.896634123137467,3.2566690475582765,0.28409644976522397
32,3.16,3.17,2.97,3.13,168620,3.02,2.9,,,2.9477468215096843,3.259447222151334,0.2780895604962794
33,3.17,3.72,3.0782,3.37,549138,3.08,2.95,,,2.9399401509031993,3.8727996026178575,0.30406887760368806
34,3.38,3.79,3.38,3.7,510513,3.18,3.0,,,2.9943546907816936,3.809447222151329,0.31234967206056746
35,3.69,4.14,3.69,4.02,849105,3.3,3.07,,,3.2938765876153857,4.237236110756813,0.3221818383419555
36,4.0,4.13,3.76,4.04,386067,3.42,3.15,,,3.6705527778486156,4.142778174592799,0.3255974213175301
37,4.09,4.13,3.92,4.0,466388,3.52,3.2,,,3.715549206511155,4.13,0.3173404626519923
38,3.96,4.37,3.89,4.26,355400,3.64,3.25,,,3.881665476220766,4.436676190233238,0.3289590010339929
39,4.28,4.76,4.2501,4.57,555765,3.81,3.32,,,3.7899579329041884,4.868348809129022,0.34188335810299336
40,4.93,4.93,4.51,4.58,835160,3.96,3.4,,,4.177895242326559,4.977228968081873,0.3474631182384938
41,4.61,4.61,4.2,4.25,147120,4.09,3.47,,,4.113876587615373,5.018901586977657,0.3519300383643157
42,4.4,4.53,4.26,4.47,97303,4.21,3.56,,,4.183330952441618,4.632225396744388,0.3467921784811503
43,4.34,4.4125,4.21,4.2501,129318,4.27,3.63,,,4.196109127034654,4.562643551468342,0.34059273716106814
44,4.09,4.12,3.9,4.04,123743,4.27,3.69,,,3.8138765876153755,4.493761606846761,0.341271827363849
45,4.05,4.23,4.04,4.14,69320,4.28,3.76,,,3.8611055556972484,4.260559920523548,0.33046669683785984
46,4.27,4.4166,4.199,4.37,72485,4.33,3.83,,,3.995827023970449,4.468440737906336,0.3266190756351556
47,4.37,4.57,4.31,4.4,72432,4.34,3.9,,,4.168162262017083,4.612617198257403,0.3218605702326445
48,4.64,4.7,4.44,4.6,74394,4.34,3.98,,,4.273883730290285,4.73611626970966,0.3202991009303128
49,4.77,4.77,4.53,4.6,117028,4.35,4.05,3.5,,4.41499642866247,4.789447222151335,0.3145634508638618
50,4.51,5.08,4.5048,5.05,413200,4.44,4.15,3.52,,4.49779900002528,5.166123412384608,0.3331803472307288
51,5.2,5.3184,4.685,4.8198,359208,4.47,4.23,3.53,,4.454737293833169,5.384631682298355,0.3546246081428196
52,4.93,5.04,4.51,4.91,239290,4.55,4.32,3.55,,4.461381944621554,5.395744380670565,0.3671514218469039
53,4.7,4.7,3.66,4.0386,1436482,4.55,4.36,3.55,,3.4238551595905733,5.134457936163766,0.4302120345721251
54,4.06,4.11,3.79,3.84,348438,4.51,4.36,3.55,,3.6238837302902973,4.863912300990068,0.4223397463884019
55,3.85,3.93,3.45,3.81,1214664,4.45,4.35,3.55,,3.355542063836222,4.1600071426749325,0.4264583359320875
56,3.9,3.93,3.73,3.78,186401,4.38,4.34,3.56,,3.3722111113945323,3.93,0.410282740508367
57,3.8,3.88,3.66,3.735,119525,4.29,4.33,3.56,,3.6405527778485864,3.9438908729652455,0.3966911161863408
58,3.78,3.78,3.58,3.61,200613,4.18,4.29,3.57,,3.557774603255543,3.9077817459305133,0.38264175074445933
59,3.75,3.75,3.57,3.67,146476,4.02,4.25,3.59,,3.5672218254066346,3.788334523779134,0.36816733997699796
60,3.85,3.85,3.55,3.56,753076,3.88,4.2,3.6,,3.5444436508137405,3.8777817459305135,0.3632982442643553
61,3.6,3.68,3.46,3.68,123370,3.75,4.17,3.62,,3.4349964286624988,3.897228968081881,0.35306265538833
62,3.74,3.74,3.56,3.62,100222,3.7,4.13,3.63,,3.4322182540694492,3.756669047558303,0.3407010371463064
63,3.57,3.68,3.48,3.6199,410746,3.68,4.09,3.66,,3.457774603255546,3.756669047558303,0.3306509630644274
64,3.61,3.7398,3.5,3.67,254890,3.66,4.08,3.68,,3.474443650813751,3.756413484066442,0.32416160855982545
65,3.66,3.92,3.61,3.8999,302515,3.67,4.06,3.71,,3.4694400794763984,3.970062706166793,0.3231500650912665
66,3.92,4.15,3.8,4.05,839552,3.71,4.05,3.74,,3.557214682731991,4.213898015640193,0.32506791758474746
67,4.04,4.18,3.83,3.91,169294,3.74,4.02,3.76,,3.791665476220695,4.188334523779123,0.3268487806144083
68,3.97,3.98,3.8301,3.8784,189542,3.77,3.99,3.77,,3.8299722182087583,4.235563491861035,0.31420958199909343
69,3.84,3.98,3.74,3.86,319848,3.8,3.95,3.78,,3.7149686469165535,3.98,0.30890889757058676
70,3.91,4.1701,3.76,4.01,619456,3.84,3.9,3.8,,3.7344436508136862,4.222913099013914,0.316136833458402
71,4.39,4.4935,3.9304,4.05,531410,3.88,3.86,3.83,,3.7126599049343665,4.583346166339299,0.3337770596399447
72,3.89,3.95,3.72,3.76,183665,3.9,3.8,3.85,,3.661547206562164,4.644493789132376,0.3335072696656629
73,3.83,3.8949,3.7,3.7001,41669,3.9,3.79,3.87,,3.6944436508136915,3.965307742007701,0.3236067504038298
74,3.8,4.12,3.71,4.12,203898,3.93,3.8,3.89,,3.697221825406541,4.182536710089598,0.33048483966069914
75,4.1,4.1,3.92,3.99,352524,3.92,3.81,3.92,,3.6516583335458868,4.125556349186049,0.3211644939706492
76,4.0,4.35,4.0,4.2,559876,3.95,3.83,3.94,,3.897774603255524,4.419454364826295,0.3239384586870314
77,4.32,4.32,3.99,4.16,201821,3.98,3.85,3.97,,3.9872218254064613,4.358334523779117,0.324371425923672
78,4.32,4.775,4.06,4.43,918722,4.05,3.89,3.99,,3.9705527778485656,4.901406943983865,0.35227346692912404
79,4.5,4.59,4.1,4.36,192838,4.09,3.93,4.02,,4.048887301627662,4.826396229971457,0.36211107643418666
