,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,7.07,7.29,6.69,6.87,70750,,,,,,,0.5999999999999996
1,6.9,7.11,6.9,6.965,79547,,,,,,,0.574285714285714
2,7.26,7.78,7.26,7.54,165653,,,,,,,0.5914795918367345
3,7.53,7.68,7.44,7.56,33259,,,,,,,0.5663739067055392
4,7.49,7.49,7.14,7.39,65570,,,,,,,0.5559186276551437
5,7.32,7.63,7.12,7.58,149119,,,,,6.826757877332173,7.751198917406463,0.5526387256797762
6,7.2,7.7,7.19,7.62,1023154,,,,,6.997489436934023,7.807713823256938,0.549593102416935
7,7.25,7.47,7.01,7.3,199710,,,,,7.046954828536122,7.747433655503706,0.5539078808157254
8,7.2,7.49,6.72,7.4,1223566,7.36,,,,6.867480271732116,7.681674602874684,0.5693430321860308
9,7.11,7.4,6.86,7.4,189776,7.42,,,,6.823400012125622,7.641892805845597,0.5672471013156001
10,7.33,7.5,6.82,7.4,3513734,7.47,,,,6.770066678792288,7.642917134830476,0.5753008797930572
11,7.19,7.36,6.8,6.8,112314,7.38,,,,6.7287691616559675,7.604593197467277,0.5770651026649818
12,6.8,6.86,5.65,5.85,129291,7.19,,,,6.1474032307314985,7.591261569856957,0.6222747381889117
13,5.71,5.87,5.5223,5.58,29206,6.99,,,,5.7656009251424845,7.7184042606374135,0.6026622568897038
14,5.47,5.89,5.06,5.14,70043,6.72,,,,5.3184997700275956,7.569525548756548,0.6189006671118678
15,5.14,5.37,5.14,5.215,44004,6.45,,,,5.0424863135249955,7.359460287406962,0.5911220480324487
16,5.14,5.25,4.8,4.86,441544,6.18,,,,4.784599342470662,6.938760990986114,0.5810419017444167
17,5.06,5.14,4.79,4.9,456887,5.9,,,,4.8003110049510145,6.3672126803509235,0.5645389087626728
18,4.85,5.13,4.76,4.76,109778,5.61,,,,4.716473926881761,5.792232875344395,0.5506432724224819
19,4.78,5.0847,4.78,4.99,57034,5.34,6.46,,,4.721910177893158,5.6126629147340585,0.5345044672494474
20,4.88,5.13,4.87,4.87,56948,5.13,6.36,,,4.712907608981022,5.290493739697831,0.5148970053030584
21,4.88,4.9466,4.67,4.78,81543,5.01,6.25,,,4.713397467537424,5.212103574262993,0.49787579063855425
22,4.68,4.89,4.39,4.39,123130,4.88,6.09,,,4.540648294959875,5.161550032407456,0.4980275198786575
23,4.39,4.59,4.05,4.07,44237,4.76,5.91,,,4.276397965914136,5.169396401998125,0.5010255541730391
24,4.09,4.42,4.02,4.03,48725,4.63,5.75,,,4.094244364835677,5.125211511392686,0.49380944316067915
25,4.01,4.3,4.01,4.21,56454,4.56,5.58,,,3.9641765918931258,5.038752443452524,0.47925162579205927
26,4.27,4.49,4.25,4.3,17890,4.49,5.41,,,3.969184921269651,4.866333856367717,0.4650193668069122
27,4.29,4.68,4.05,4.11,45520,4.42,5.25,,,3.9725878144036915,4.769649037714504,0.4768036977492756
28,4.07,4.41,4.07,4.23,72690,4.33,5.09,,,3.986512712777504,4.618109572919358,0.4670320050528988
29,4.4,4.6,4.28,4.45,147508,4.29,4.95,,,3.9935557616988104,4.621415434514771,0.4601011475491203
30,4.45,4.905,4.37,4.37,129909,4.24,4.8,,,4.024368782545192,4.7786058577364905,0.465451065581326
31,4.65,4.68,4.36,4.55,54794,4.26,4.68,,,4.090429229421068,4.800408935570182,0.4550617037540884
32,4.53,4.53,4.01,4.12,439500,4.26,4.6,,,4.025197087404389,4.8013915651318175,0.4611287249145107
33,4.2,4.47,4.0,4.09,266734,4.27,4.52,,,4.007377634692008,4.776548082453891,0.46176238742061704
34,3.88,4.06,3.69,3.74,976791,4.22,4.45,,,3.8510943641191426,4.820769337924884,0.45735078831914444
35,3.56,3.8,3.3093,3.48,1104284,4.13,4.36,,,3.5495023185178476,4.815050610354119,0.459732874867777
36,3.41,3.75,3.4012,3.73,770238,4.08,4.31,,,3.392719595321741,4.613233599787883,0.4518090980915072
37,3.7,3.7,3.54,3.54,393780,4.01,4.24,,,3.3606406137902454,4.42095878229694,0.4331084482278281
38,3.59,3.85,3.53,3.78,199400,3.93,4.19,,,3.3343540155570373,4.2270142413731335,0.4250292733544118
39,3.8,3.8,3.51,3.63,182805,3.85,4.12,,,3.366546655188917,3.9518332223701904,0.41538432525766816
40,3.59,3.9,3.59,3.83,417000,3.77,4.07,,,3.3757301941057065,3.870710678118774,0.407856873453549
41,3.9,4.01,3.54,3.6,247936,3.71,4.01,,,3.4552869368615924,3.9461305538545393,0.41229566820686686
42,3.63,3.77,3.53,3.58,106933,3.66,3.97,,,3.5131671842701144,3.946669230738964,0.39998883476351926
