,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,0.9,1.0,0.86,0.86,3648,,,,,,,0.14
1,0.9,0.9,0.86,0.86,3930,,,,,,,0.13285714285714287
2,0.86,0.95,0.86,0.8626,4031,,,,,,,0.12979591836734694
3,0.9057,1.03,0.88,1.0,37360,,,,,,,0.13248192419825072
4,1.0,1.0,0.93,1.0,4014,,,,,,,0.1280189296126614
5,0.9357,0.99,0.88,0.88,12703,,,,,,,0.12744614892604272
6,0.99,0.99,0.9,0.9001,738,,,,,,,0.1261999954313254
7,0.895,0.9,0.88532,0.9,6520,,,,,,,0.11824142432908788
8,0.89,0.9,0.88,0.9,4200,0.91,,,,,,0.11122417973415304
9,0.91,0.91,0.84,0.8401,13752,0.9,,,,,,0.10827959546742782
10,0.84,0.85,0.82,0.85,11000,0.9,,,,,,0.10268819579118298
11,0.85,0.85,0.8,0.8,22446,0.9,,,,,,0.09892475323466991
12,0.8,0.82,0.75,0.75,45824,0.87,,,,,,0.09685869943219348
13,0.75,0.85,0.74,0.8301,47992,0.85,,,,,,0.09779736375846537
14,0.8716,0.8716,0.7164,0.8,5937,0.84,,,,,,0.10189755206143213
15,0.9976,1.0,0.8215,0.97,105644,0.85,,,,,,0.10890486977132982
16,0.9114,0.95,0.86,0.95,2008,0.85,,,,,,0.10898309335909198
17,0.86,0.95,0.86,0.86,420,0.85,,,,,,0.10762715811915684
18,0.9001,0.92495,0.86,0.86,8650,0.85,,,,,,0.10457878968207422
19,0.903,1.01,0.9,1.005,70552,0.87,0.88,,,0.7330141095017741,1.0598361930989002,0.10782316184764036
20,1.02,1.02,0.86,0.91,3104,0.88,0.89,,,0.7330141095017741,1.0633595748892366,0.1115500788585232
21,0.97,0.97,0.8484,0.8899,10936,0.9,0.89,,,0.7326374416841189,1.066850791334567,0.11226793036862869
22,0.955,0.955,0.85,0.85,4849,0.9,0.89,,,0.7323382680521999,1.0672265986077931,0.11174879248515521
23,0.9507,0.9507,0.925,0.925,2300,0.91,0.88,,,0.729832035757936,1.0559695409052734,0.11095959302192984
24,0.92,0.9249,0.92,0.9249,248,0.91,0.88,,,0.7307670258675291,1.0481295562342223,0.10339105066322057
25,0.82,0.97,0.82,0.92001,6271,0.9,0.88,,,0.7283910537353645,1.0453024770528634,0.1067202613301334
26,0.97,0.97,0.97,0.97,500,0.92,0.89,,,0.7207862575625557,1.042409805153146,0.10266809980655245
27,0.97,0.97,0.97,0.97,20,0.93,0.89,,,0.7142353797099797,1.0466621052852094,0.09533466410608442
