,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,2.8,2.92,2.78,2.85,598604,,,,,,,0.14000000000000012
1,2.82,2.85,2.6,2.67,1030015,,,,,,,0.14785714285714296
2,2.63,2.75,2.57,2.68,825496,,,,,,,0.1501530612244899
3,2.74,2.8,2.59,2.78,1051111,,,,,,,0.15442784256559774
4,2.82,2.895,2.65,2.67,877351,,,,,2.544856562227927,2.9191705323599617,0.16089728238234077
5,2.79,2.8052,2.7,2.77,411509,,,,,2.5641061315854605,2.880399917826319,0.15906176221217358
6,2.77,2.77,2.68,2.71,339482,,,,,2.5760669716548588,2.8652123440780226,0.1541287791970183
7,2.62,2.72,2.56,2.565,514493,,,,,2.5706448165789433,2.8683299827856006,0.154548152111517
8,2.46,2.47,2.07,2.08,1129477,2.64,,,,2.241862618747601,2.9078329682325204,0.17886614124640868
9,2.18,2.32,2.13,2.3,893621,2.58,,,,2.0925991949920215,2.849901992776838,0.18323284544309376
10,2.27,2.31,1.94,1.98,1063739,2.5,,,,1.9193386760524778,2.757158315765938,0.1965733564828728
11,1.97,1.99,1.45,1.45,2492310,2.37,,,,1.591032461336833,2.654422126385812,0.22110383101981046
12,1.66,1.77,1.48,1.69,1409591,2.25,,,,1.455308907275357,2.485297302892954,0.228167843089824
13,1.35,1.67,1.35,1.42,945549,2.11,,,,1.2923778343370211,2.341853300726246,0.2361558542976937
14,1.44,1.61,1.33,1.59,852923,1.98,,,,1.2364337374601946,2.183837537589115,0.23928757899071557
15,1.47,1.5,1.33,1.45,769652,1.84,,,,1.3092904071920226,1.9120789063083172,0.2407670376342359
16,1.52,1.54,1.33,1.48,746679,1.72,,,,1.292036120171314,1.73580789447231,0.23856939208893332
17,1.51,1.7492,1.45,1.46,1061786,1.65,,,,1.300631018834238,1.7237064228961652,0.24290014979686667
18,1.5,1.5,1.28,1.4,611852,1.55,,,,1.2746040346994325,1.6951152136410903,0.2412644248113762
19,1.52,1.67,1.49,1.56,695371,1.5,2.08,,,1.277736069689852,1.7153486348398321,0.2433169658962779
20,1.52,1.88,1.52,1.84,595642,1.54,2.03,,,1.2995259854814307,1.838383738905886,0.25165146833225804
21,1.92,1.99,1.74,1.81,569898,1.56,1.98,,,1.3144833340984972,1.9658922215214223,0.25153350630852533
22,1.66,1.76,1.59,1.59,337582,1.58,1.93,,,1.3401650196507806,1.967984374413077,0.24928111300077352
23,1.57,1.64,1.55,1.57,248959,1.57,1.87,,,1.4703909855077286,1.9491790929370154,0.23790389064357542
24,1.57,1.7048,1.52,1.57,744683,1.59,1.81,,,1.4830034654059958,1.9491916429271214,0.23411075559760577
25,1.51,1.64,1.45,1.62,455467,1.6,1.76,,,1.451271317702933,1.9062672241927499,0.23095998734063394
26,1.66,1.72,1.54,1.69,343489,1.63,1.71,,,1.4733740342245907,1.7505795078076778,0.22731998824487437
27,1.7,1.73,1.6,1.73,416351,1.66,1.66,,,1.4720525229888877,1.7351370866699,0.22036856051309764
28,1.71,1.85,1.56,1.66,1279928,1.68,1.64,,,1.4729524775277665,1.812786986585461,0.22534223476216209
29,1.76,1.76,1.5,1.55,1681410,1.64,1.61,,,1.4668098108880987,1.823411629884561,0.22781778942200767
30,1.62,1.7,1.54,1.64,1036050,1.62,1.59,,,1.5080350153259399,1.8167973764900944,0.22297366160614998
31,1.7,1.785,1.62,1.63,780264,1.63,1.6,,,1.5114757199002415,1.82795037728242,0.21883268577713924
32,1.63,1.67,1.51,1.61,643170,1.63,1.59,,,1.4934757199002417,1.831130979771145,0.21463035107877215
33,1.61,1.67,1.525,1.62,1576006,1.64,1.6,,,1.4864757199002419,1.7751545355066911,0.2096567545731456
34,1.55,1.74,1.52,1.701,1400052,1.65,1.61,,,1.4941768497534431,1.7673916353863257,0.2103955578179209
35,1.73,1.73,1.6,1.71,553570,1.65,1.62,,,1.4989107853504984,1.7732245331930023,0.2046530179737837
36,1.76,1.79,1.66,1.72,1093342,1.65,1.63,,,1.4915423202168032,1.776089214649512,0.1993206595470849
37,1.66,1.78,1.62,1.76,840440,1.66,1.65,,,1.5178639441134805,1.7944089686981055,0.1965120410080074
38,1.7,1.77,1.63,1.66,403702,1.67,1.66,,,1.548001724163576,1.7904727940321812,0.1924754666502926
39,1.67,1.7117,1.54,1.565,710302,1.66,1.66,,,1.560806504495026,1.793504342857086,0.19099150474670026
40,1.57,1.7,1.5,1.52,656746,1.65,1.65,,,1.516209756742521,1.7959147669220483,0.19163496869336455
41,1.52,1.5282,1.4162,1.435,785530,1.63,1.63,,,1.4437506545308776,1.8092537512623665,0.18594675664383853
42,1.48,1.54,1.35,1.4,1077394,1.61,1.62,,,1.367738843185525,1.7700289221942413,0.18623627402642148
43,1.45,1.67,1.45,1.58,2524878,1.59,1.62,,,1.3701550909231703,1.727809104667267,0.19221939731024854
44,1.75,1.84,1.67,1.77,1569700,1.6,1.63,,,1.3444034971854584,1.7966977827700372,0.19706086893094507
45,1.81,1.84,1.6,1.67,899412,1.6,1.63,,,1.3508073653859982,1.8521564386046627,0.20012794972159187
46,1.62,1.637,1.5175,1.55,877582,1.57,1.62,,,1.3798076345616874,1.8504198882912242,0.1967259533129067
47,1.52,1.65,1.52,1.6301,774518,1.57,1.62,,,1.4580890129588717,1.8412050877597266,0.19195981379055624
48,1.67,1.78,1.57,1.61,572086,1.57,1.62,,,1.5059190219959657,1.859217248189886,0.19324839851980222
49,1.67,1.7,1.53,1.6402,722488,1.59,1.62,1.81,,1.5077437111893242,1.8169468890126679,0.19158779862553063
50,1.7,1.93,1.61,1.84,2468718,1.63,1.63,1.79,,1.5056549603718066,1.8718657616140826,0.200760098723707
51,1.99,2.0,1.79,1.82,2430668,1.68,1.64,1.77,,1.4831000413565085,1.976154500395204,0.20142009167201363
52,1.8,2.15,1.67,2.11,1532256,1.74,1.67,1.76,,1.5224706316704073,2.108065550263168,0.2213186565525841
53,2.07,2.3145,2.05,2.08,2377814,1.77,1.69,1.75,,1.5072669759555217,2.273642164747022,0.22440303822739952
54,2.1,2.1,1.81,1.93,741566,1.8,1.7,1.73,,1.5997131244558593,2.2615031072888794,0.22908853549687097
55,1.88,2.06,1.809,2.0,798194,1.85,1.71,1.72,,1.6738239426751758,2.2562224485760103,0.23065364010423733
56,1.97,2.1,1.9,1.973,1339450,1.89,1.73,1.7,,1.6940390426668777,2.2549415171651086,0.22846409438250612
57,2.04,2.0989,2.0,2.09,1046406,1.94,1.74,1.7,,1.7933904405788377,2.2468556625565412,0.22113808764089854
58,2.1,2.1,1.98,2.03,484830,1.99,1.76,1.69,,1.8002199216710577,2.1113291385999227,0.21391393852369153
59,2.0,2.19,2.0,2.18,987246,2.02,1.79,1.69,,1.8465318127713801,2.1625999566451823,0.21220580005771356
60,2.19,2.34,2.1548,2.28,1339476,2.07,1.83,1.7,,1.9053649623259166,2.281235687690122,0.21027681433930545
61,2.25,2.42,2.13,2.4,1745104,2.11,1.88,1.72,,1.9621862830991337,2.3890778588054435,0.21597132760078364
62,2.5,2.6456,2.36,2.39,1650948,2.14,1.93,1.73,,1.9574237959126486,2.5723922982267693,0.22094480420072768
63,2.4,2.47,2.2,2.36,717252,2.19,1.97,1.75,,2.025827181680794,2.5975617336721784,0.22444874675781856
64,2.31,2.3518,2.1,2.12,922834,2.2,1.99,1.76,,2.0763326335209826,2.58154298365095,0.22698812198940294
65,2.16,2.3,1.93,1.94,1665286,2.2,2.0,1.77,,1.972068909152536,2.583948261135301,0.23720325613301702
66,1.97,2.38,1.97,2.145,1830072,2.2,2.03,1.78,,1.919358623343793,2.5786884700008637,0.25168873783780155
67,2.28,2.45,2.2,2.36,3962090,2.24,2.06,1.8,,1.9410773596565394,2.46747500554366,0.2554966851351015
68,2.49,2.64,2.39,2.55,2544050,2.28,2.11,1.82,,1.913476896170631,2.5697267708934843,0.2572469219111657
69,2.65,2.66,2.45,2.48,1031772,2.3,2.15,1.84,,1.9278784899321109,2.660896540846292,0.2538721417746539
70,2.64,2.7,2.55,2.6,996552,2.33,2.19,1.86,,2.059191376729354,2.721874308338478,0.25145270307646433
71,2.8,2.97,2.63,2.93,3098692,2.39,2.25,1.88,,2.2629839786096273,2.8892907693979417,0.25992036714243116
72,2.64,2.91,2.44,2.81,1862024,2.44,2.28,1.9,,2.385805838201905,2.9440157730690757,0.2763546266322575
73,2.75,2.98,2.62,2.76,1405536,2.51,2.32,1.93,,2.4385731424614048,3.0120157730690758,0.2823292961585248
74,2.58,2.73,2.39,2.39,1714488,2.56,2.34,1.94,,2.407884378679194,3.005046591255966,0.28859148929005873
75,2.59,2.63,2.49,2.49,377348,2.6,2.36,1.96,,2.3958843786791943,3.0157550581496775,0.2851206686264831
76,2.43,2.55,2.4,2.45,786072,2.61,2.39,1.98,,2.3649868940377012,2.960429538741172,0.27546919229602007
77,2.7,2.7,2.47,2.49,1310914,2.6,2.41,1.99,,2.372406200976635,2.89628824975303,0.27364996427487576
78,2.59,2.59,2.35,2.39,812844,2.59,2.43,2.01,,2.3558595291567044,2.722316462509019,0.2712463953980989
79,2.3,2.35,2.05,2.08,4400908,2.53,2.42,2.02,,2.1563978527725234,2.709016550779553,0.2761573671553776
80,2.27,2.32,2.12,2.305,3259436,2.46,2.42,2.03,,2.0767571119269075,2.680627265555957,0.2735746980728506
81,2.27,2.35,2.1519,2.21,377511,2.4,2.41,2.04,,2.0358120571330756,2.6511552272605714,0.26818364821050417
82,2.3,2.42,2.23,2.29,573197,2.34,2.41,2.06,,2.0541326688598973,2.526146993304029,0.26402767333832533
83,2.29,2.31,2.19,2.19,795732,2.32,2.4,2.07,,2.07278653057308,2.3973127889687156,0.2537399823855878
84,2.21,2.49,2.2075,2.43,1270530,2.32,2.41,2.08,,2.131474412822497,2.4615565676652547,0.25704426935804586
85,2.48,2.49,2.3,2.34,388316,2.3,2.43,2.09,,2.155357534171194,2.501499720669946,0.25225539297532834
86,2.45,2.48,2.2905,2.33,540187,2.28,2.44,2.11,,2.1893149721378062,2.522992352597151,0.24777286490566203
87,2.29,2.3,2.18,2.21,668204,2.26,2.44,2.12,,2.1706455382836207,2.5236143238815,0.2407890888409719
88,2.2,2.33,2.18,2.31,318249,2.29,2.42,2.13,,2.1663984336844657,2.5221810923344465,0.2343041539237596
89,2.38,2.43,2.2,2.21,342462,2.28,2.41,2.14,,2.16396218555169,2.501453129859625,0.2339967143577768
90,2.42,2.72,2.33,2.7,1744232,2.33,2.42,2.17,,2.1595448205540664,2.6353076648697447,0.25371123476079277
91,2.68,2.68,2.48,2.53,605919,2.36,2.4,2.19,,2.1298202510752664,2.7080317106352645,0.25130328942073615
92,2.55,2.64,2.48,2.53,437956,2.4,2.38,2.21,,2.174291515566645,2.7474846660396492,0.24478162589068359
93,2.55,2.57,2.37,2.41,372442,2.4,2.36,2.23,,2.243389347253039,2.7332744986020656,0.24158293832706332
94,2.4,2.61,2.3801,2.55,719484,2.42,2.37,2.24,,2.3328601142896055,2.708422822043116,0.24074844273227308
95,2.62,2.72,2.52,2.52,1107434,2.44,2.37,2.26,,2.3724210229690676,2.7084228220431164,0.23783783967996788
96,2.51,2.61,2.41,2.59,436688,2.48,2.38,2.28,,2.360162109549475,2.691737346881762,0.23513513684568443
97,2.62,2.6999,2.6,2.65,632591,2.52,2.39,2.3,,2.3458759832764406,2.712988403868831,0.22618976992813555
98,2.63,2.63,2.52,2.6,214340,2.56,2.4,2.32,,2.387174719788956,2.7114301472582887,0.2193190720761259
99,2.64,2.77,2.61,2.7,842636,2.56,2.43,2.34,,2.4435200587703627,2.7583571747168896,0.2157962812135455
100,2.66,2.6935,2.55,2.57,292359,2.57,2.44,2.36,,2.449520058770363,2.7504150290026406,0.21109654684114942
101,2.53,2.76,2.53,2.74,662085,2.59,2.47,2.37,,2.517047803168252,2.7730800342147277,0.21244679349535306
102,2.7,2.9827,2.68,2.96,1004145,2.65,2.5,2.39,,2.5044561355380326,2.9135394334575473,0.21889345110282782
103,2.99,3.17,2.85,2.9973,1741673,2.7,2.54,2.41,,2.501933818239524,3.092344620471329,0.22611534745262585
104,2.9733,3.11,2.9199,2.93,814426,2.75,2.57,2.43,,2.513497908833053,3.174457966927313,0.22354282263458114
105,2.93,3.11,2.8697,3.02,575860,2.8,2.6,2.45,,2.592115906768148,3.206850629692207,0.22473976387496822
106,3.0,3.06,2.88,2.95,980119,2.83,2.63,2.47,,2.73766426387727,3.163448472745208,0.22154406645532765
107,3.0,3.05,2.93,2.97,278602,2.87,2.67,2.49,,2.8525925895620707,3.1527541467564433,0.21429091885137563
108,2.84,3.0,2.8138,2.97,893424,2.9,2.7,2.51,,2.8318395636328564,3.1167671153405463,0.21228442464770597
109,2.91,3.05,2.86,2.88,458416,2.94,2.74,2.52,,2.8248282854037314,3.097026735874341,0.21069268003001268
110,2.83,3.38,2.72,3.23,3640738,2.99,2.76,2.54,,2.7534787048675295,3.277235634545448,0.2427860600278689
111,3.66,3.68,3.07,3.18,6206620,3.01,2.8,2.55,,2.7343132538268815,3.5539638178429387,0.26901562716873545
112,3.24,3.38,2.97,2.99,2448930,3.01,2.82,2.57,,2.7367864340625268,3.6040689464810196,0.27908593951382576
113,2.94,3.03,2.85,2.95,1540126,3.02,2.85,2.58,,2.7483590030245555,3.6014681495555463,0.27200837240569536
114,2.91,2.98,2.86,2.94,764102,3.01,2.87,2.59,,2.748359003024555,3.606906926399536,0.2611506315195743
115,2.98,3.06,2.85,2.88,788064,3.0,2.88,2.61,,2.812222451317532,3.554309000790415,0.25749701498246186
116,2.95,2.955,2.7,2.7,964148,2.97,2.89,2.62,,2.7403198221046092,3.270347035889133,0.25731865676942883
117,2.77,2.81,2.56,2.63,1934144,2.93,2.89,2.63,,2.6187750021518297,3.0736205890060657,0.2567958955716125
118,2.63,2.63,2.48,2.56,988886,2.9,2.89,2.63,,2.502999999999998,3.0736599849994644,0.2491676173164973
119,2.56,2.68,2.53,2.55,529772,2.82,2.88,2.63,,2.4585240198699494,3.026355085212292,0.24208421607960467
120,2.55,2.645,2.46,2.46,822102,2.74,2.87,2.63,,2.4417608518837546,2.89539493056242,0.23800677207391863
121,2.5,2.65,2.41,2.56,954538,2.69,2.87,2.62,,2.423202623509895,2.7636083122264687,0.23814914549721014
122,2.6,2.67,2.5075,2.51,987912,2.64,2.84,2.62,,2.426717990390292,2.6769999999999965,0.2327456351045523
123,2.49,2.49,2.37,2.45,1231372,2.59,2.82,2.61,,2.382420334565623,2.712701225195441,0.22612094688279855
124,2.43,2.5,2.36,2.44,603316,2.54,2.79,2.61,,2.3531471470968444,2.688024739113278,0.2199694506768844
125,2.49,2.5,2.406,2.41,460002,2.51,2.76,2.61,,2.3465128556484993,2.660816496598491,0.21097163277139264
126,2.44,2.48,2.3555,2.41,310590,2.48,2.73,2.61,,2.3300728836821687,2.615793507732631,0.204795087573436
127,2.4,2.68,2.4,2.68,635204,2.5,2.72,2.61,,2.3527276614287955,2.622687647504938,0.2101668670324763
128,2.75,2.7762,2.58,2.58,952228,2.5,2.7,2.62,,2.318950952150499,2.7338254238319752,0.2091692336730137
129,2.61,2.64,2.55,2.64,443570,2.52,2.69,2.63,,2.3484075776042745,2.7525034637476407,0.20065714555351277
130,2.6,2.6,2.5079,2.57,420932,2.52,2.65,2.63,,2.37207367152931,2.754777602786738,0.19576020658540474
131,2.53,2.67,2.53,2.56,565052,2.53,2.62,2.64,,2.43788687468468,2.7452163883506246,0.19177733468644728
