,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,33.57,33.57,32.5,33.09,9400,,,,,,,1.0700000000000003
1,33.13,33.13,32.82,32.99,4125,,,,,,,1.0157142857142862
2,32.6,32.73,31.52,32.01,8795,,,,,31.602652231124956,33.563492033509036,1.048163265306123
3,31.09,31.5,30.0,31.0,6399,,,,,30.035237131290092,33.30282337643763,1.1168658892128285
4,31.53,32.28,31.5,32.28,1964,,,,,30.134810409400973,32.792334315300046,1.1285183256976266
5,32.02,32.02,30.57,30.57,3702,,,,,29.932834232152555,32.33048989356282,1.170052731004939
6,30.97,31.16,30.56,30.8,8176,,,,,30.33682100971151,32.4061740355901,1.1293346787903005
7,30.46,30.46,29.25,30.24,4359,,,,,29.367434598499525,31.994699658006528,1.1593822017338504
8,29.5,30.35,28.9567,29.46,3106,31.38,,,,28.73521233463284,31.09602225537959,1.1760906158957183
9,28.66,29.239,26.58,27.5,5936,30.76,,,,26.798014099976047,30.691766774416365,1.2977984290460245
10,27.72,28.445,27.51,27.81,4093,30.19,,,,26.484558935454928,30.301552413939163,1.2725985412570229
11,25.54,27.4291,25.5,26.0,2852,29.52,,,,25.5240675967044,29.27824764281771,1.3466986454529497
12,25.72,25.72,23.11,23.25,5095,28.66,,,,23.170600182601405,28.575149923652823,1.4569344564920248
13,24.05,25.27,24.05,25.27,1158,27.88,,,,23.015965116784372,27.278795812475764,1.4971534238854516
14,23.0,24.68,23.0,23.0,4024,27.04,,,,22.80957626358115,25.744901481644877,1.5523567507507765
15,22.43,24.99,21.3,24.99,6489,26.39,,,,21.3955893607889,25.275127091267127,1.705045554268578
16,25.0,25.0,20.93,20.93,9568,25.36,,,,20.63941606590185,25.07193405398603,1.8739708718208226
17,18.87,20.13,18.87,20.13,812,24.32,,,,19.057379328710105,26.182146843221993,1.8872586666907638
18,21.19,22.33,21.19,21.98,15189,23.71,,,,19.05893745236513,24.925443682577107,1.9095973333557092
19,22.27,22.27,19.06,20.76,5087,22.92,27.2,,,18.418554352722968,22.829875880378808,2.002483238116016
