,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,11.0,11.36,10.55,11.34,361003,,,,,,,0.8099999999999987
1,11.45,11.965,11.28,11.59,373290,,,,,,,0.8010714285714274
2,12.31,12.7,11.53,12.12,432745,,,,,,,0.827423469387754
3,11.68,12.03,11.42,11.68,236704,,,,,,,0.8183217930029144
4,11.24,11.62,10.82,10.98,688776,,,,,,,0.8212988077884205
5,10.36,10.68,10.06,10.2,388491,,,,,,,0.8283488929463905
6,10.68,11.09,10.07,10.85,395752,,,,,,,0.842038257735934
7,10.42,10.65,9.32,9.425,527039,,,,,,,0.8911783821833672
8,8.95,9.185,7.4,7.52,502730,10.63,,,,,,0.972165640598841
9,8.14,8.3199,6.49,7.54,852863,10.21,,,,,,1.0334323805560668
10,6.26,7.485,6.26,6.81,1243264,9.68,,,,,,1.0510443533734906
11,6.96,7.66,6.5677,7.445,506279,9.16,,,,,,1.053991185275384
12,7.11,8.15,6.93,7.2,1382238,8.66,,,,,,1.0658489577557138
13,7.26,8.25,7.1,7.57,527498,8.28,,,,,,1.0718597464874484
14,7.76,8.09,6.9,6.9,462104,7.92,,,,,,1.0802983360240592
15,7.02,7.58,6.76,7.26,298321,7.52,,,,,,1.0617055977366263
16,7.55,8.53,7.41,8.53,341779,7.42,,,,,,1.0765837693268674
17,8.56,9.27,8.13,9.21,325724,7.61,,,,,,1.081113500089234
18,9.25,9.75,8.46,8.95,391706,7.76,,,,,,1.0960339643685744
19,8.57,9.37,8.505,9.05,384623,8.01,9.11,,,4.877934135997314,13.067403207773966,1.0795315383422475
20,9.11,9.2084,8.2,8.74,454568,8.16,8.98,,,4.873270946304453,12.871407864530598,1.074450714174944
21,8.72,9.4077,8.72,9.15,342802,8.37,8.86,,,4.990139703959459,12.54611066711086,1.046825663162448
22,8.77,9.08,8.035,8.04,438827,8.43,8.65,,,5.165637305372364,11.96233089291729,1.0516952586508446
23,7.93,8.7,7.81,8.635,495326,8.62,8.5,,,5.398915955776168,11.469264105346817,1.0401455973186413
24,8.52,8.8,7.825,8.13,293264,8.72,8.36,,,5.61456977477587,11.011761691352865,1.0354923403673097
25,8.56,8.94,8.475,8.91,378968,8.76,8.29,,,5.765246771304038,10.758800017329573,1.0193857446267875
26,9.04,9.54,8.83,9.17,488437,8.75,8.21,,,5.940486515375236,10.404890247436448,0.9972867628677312
27,9.56,10.13,9.34,9.91,848220,8.86,8.23,,,5.937620666863481,10.265547260520721,0.9946234226628934
28,10.25,10.86,9.93,10.27,395479,8.99,8.37,,,5.812796214455766,10.611605321348716,0.9914360353298296
29,10.33,10.33,9.25,9.31,363351,9.06,8.46,,,5.960272699512226,10.810281005388239,0.9977620328062704
30,10.02,10.38,9.66,10.26,555468,9.18,8.63,,,6.165047747933476,10.923050593741287,1.0029218876058226
31,9.72,10.03,9.35,9.61,547104,9.36,8.74,,,6.380480403457483,10.95297156286451,0.9962846099196925
32,9.66,9.92,9.03,9.58,618568,9.46,8.86,,,6.5695732010924575,10.991504358959006,0.9886928520682859
33,10.02,10.23,9.59,10.19,670605,9.69,8.99,,,6.724119065791038,11.061072793125428,0.9645005054919799
34,10.0,10.97,9.99,10.44,589406,9.86,9.17,,,6.931381939714695,11.22355566047937,0.9656076122425528
35,10.24,10.665,9.935,10.48,638520,10.01,9.33,,,7.250577292246315,11.168171090903018,0.9487784970823704
36,10.74,10.86,10.44,10.83,518247,10.11,9.44,,,7.3917712347492595,11.26141058603586,0.9110086044336297
37,10.93,11.405,10.54,10.65,900184,10.15,9.52,,,7.419051254187106,11.505865909914053,0.9077222755455134
38,10.68,11.2,10.56,11.17,438302,10.36,9.63,,,7.431235421900891,11.674163617960346,0.8885992558636909
39,11.2,11.66,11.14,11.5,697134,10.49,9.75,,,7.396547901854028,11.915406352902473,0.862270737587713
40,11.8,11.885,11.44,11.61,223453,10.72,9.89,,,7.4202622833283645,12.159809509828877,0.8324656849028764
41,11.96,12.0641,11.66,11.76,182792,10.96,10.02,,,7.389293830134786,12.411831220963109,0.8054395645526711
42,11.62,11.62,10.77,10.77,499587,11.02,10.16,,,7.606046958700322,12.513387758064022,0.8186224527989089
43,10.58,10.67,10.01,10.53,215457,11.03,10.25,,,7.922736072295598,12.422074950162866,0.8144351347418439
44,10.5,11.14,10.31,11.1,559069,11.1,10.4,,,8.298009128817418,12.338906591884756,0.8155469108317123
45,11.36,11.8,11.32,11.49,239468,11.18,10.53,,,8.506562877894726,12.314087131220148,0.8072935600580186
46,11.5,11.77,11.2,11.35,587128,11.25,10.64,,,8.68644826794836,12.335551710532014,0.7903440200538744
47,11.53,11.82,10.7,10.74,334373,11.21,10.68,,,8.80715374624359,12.407742183142815,0.8138908757643121
48,11.06,11.45,10.86,11.18,551018,11.17,10.73,,,8.849766100967184,12.444275964372936,0.806470098924004
49,11.07,12.38,11.07,12.38,697214,11.26,10.88,9.8,,9.010418060617592,12.61237127612193,0.8424365204294324
50,12.6,12.94,11.77,11.77,346120,11.26,10.96,9.81,,9.06141581750724,12.885185754008871,0.86583391182733
51,12.0,12.29,10.97,11.56,192855,11.34,11.05,9.81,,9.250324020905772,12.929490135405864,0.8982743466968064
52,11.52,11.57,10.92,11.25,233478,11.42,11.14,9.79,,9.570161504143702,12.83028550166877,0.8805404647898918
53,11.24,11.9,11.1161,11.86,413984,11.51,11.22,9.8,,9.773382604128473,12.773154188577442,0.8736375744477567
54,12.57,13.14,12.32,13.02,433543,11.68,11.35,9.84,,9.775682816312749,13.027823167145351,0.9026634619872028
55,13.04,13.47,12.81,12.9,349892,11.85,11.47,9.89,,9.752290107421185,13.290632280961292,0.8853303575595455
56,13.1,13.26,12.67,12.895,432752,12.09,11.57,9.93,,9.729725104039684,13.46179483618259,0.864235332019578
57,12.96,13.0324,12.35,12.86,617670,12.28,11.68,10.0,,9.77154291192639,13.58986895992536,0.8512470940181797
58,12.97,13.12,12.58,12.96,356182,12.34,11.77,10.11,,9.812126798914836,13.701290154477427,0.8290151587311667
59,13.43,13.43,12.545,12.58,361857,12.43,11.83,10.21,,9.80806763530156,13.872035861214489,0.8330140759646548
60,12.71,12.75,11.83,12.29,315004,12.51,11.86,10.32,,9.819891430739244,13.921768564089334,0.8392273562528938
61,12.44,12.48,12.03,12.05,211381,12.6,11.88,10.41,,9.822289901409796,13.941540233746911,0.8114254022348301
62,12.22,12.22,11.66,12.12,234297,12.63,11.94,10.51,,9.902161239496825,13.940700369717565,0.7934664449323423
63,12.15,12.46,11.6,12.255,372739,12.55,12.03,10.6,,10.14986536352344,13.827399800863141,0.7982188417228894
64,12.24,12.68,11.98,12.58,296824,12.51,12.1,10.72,,10.364528307459981,13.771398327534206,0.7912032101712544
65,12.7,12.7,12.01,12.06,666634,12.42,12.13,10.81,,10.40628716610429,13.775470178531329,0.7839744094447362
66,12.0,12.42,11.76,11.77,278811,12.3,12.15,10.88,,10.459408881632106,13.75527936849757,0.7751190944843979
67,12.12,12.57,11.945,12.0,262146,12.19,12.22,10.93,,10.622164447257061,13.738055279728938,0.7768963020212266
68,12.2,12.92,12.02,12.78,466638,12.21,12.3,11.01,,10.76943842560565,13.675432075381831,0.7871179947339961
69,12.74,12.96,12.41,12.81,496944,12.27,12.32,11.09,,10.885326037039814,13.7005816687171,0.7701809951101394
70,12.84,13.43,12.73,13.16,369988,12.39,12.39,11.17,,10.8854840164755,13.771847980469696,0.7651680668879866
71,12.66,12.79,12.03,12.03,679530,12.38,12.41,11.23,,11.050840831641068,13.77492221846702,0.7912274906817018
72,12.48,12.735,11.925,12.01,55032,12.36,12.45,11.31,,11.251589366516754,13.662957821430611,0.7925683842044373
73,11.8,13.0,11.6449,12.84,267814,12.38,12.5,11.39,,11.380534300709636,13.59895421064539,0.8327492139041204
74,13.28,13.47,12.91,13.32,407257,12.52,12.51,11.5,,11.338748286108832,13.654721567499495,0.8182671271966833
75,13.35,13.45,12.9,12.92,180733,12.65,12.51,11.58,,11.327909637299594,13.65058078004178,0.7991051895397773
76,12.78,13.37,12.78,13.06,239786,12.77,12.52,11.66,,11.318644438829402,13.66877808718874,0.7841691045726503
77,13.24,13.98,12.89,13.35,467614,12.83,12.55,11.73,,11.291447604465287,13.854855459908508,0.8060141685317468
78,13.42,13.98,12.96,13.93,230207,12.96,12.6,11.8,,11.263560438688279,14.007251972065779,0.8212988707794792
79,14.0,14.62,13.83,14.18,309519,13.07,12.68,11.9,,11.09562667633693,14.289862221530312,0.8190632371523735
80,14.09,14.215,13.3,13.51,176178,13.24,12.74,11.96,,11.109572206865865,14.458079905587969,0.825915863070061
81,13.48,14.12,13.09,13.92,227067,13.45,12.83,12.05,,11.133116052179684,14.574912538732635,0.8404933014221995
82,13.85,13.9899,12.65,12.65,321069,13.43,12.86,12.11,,11.230268857937613,14.623735245878146,0.876165208463471
83,12.82,13.17,12.08,12.23,182094,13.31,12.86,12.15,,11.307682614937423,14.602334840341763,0.8914391221446517
84,12.12,12.67,12.0167,12.62,149435,13.27,12.86,12.19,,11.312749441332366,14.60291399511502,0.8744291848486052
85,12.62,13.49,12.5,13.37,240732,13.31,12.92,12.25,,11.359404197339522,14.609005159315675,0.8826842430737049
86,13.5,13.5762,12.76,12.91,202444,13.26,12.98,12.29,,11.462105221159382,14.58610069710646,0.8779353685684402
87,13.2,13.2,12.69,12.96,142447,13.15,13.03,12.34,,11.538270054980334,14.552225350896272,0.8516542708135516
88,12.87,13.8,12.8,13.08,238409,13.03,13.04,12.38,,11.610922203846382,14.575944696137363,0.8622503943268693
89,13.15,13.83,13.1233,13.7,161400,13.05,13.09,12.42,,11.631592426680795,14.59749062261551,0.8542325090178073
90,13.63,13.78,13.1,13.33,272035,12.98,13.1,12.46,,11.633495602435465,14.618618610962502,0.8417873298022497
91,13.31,13.54,12.68,12.87,296583,13.01,13.14,12.48,,11.713312502709199,14.5920925470506,0.8430882348163747
92,13.02,13.2,12.36,12.425,567689,13.03,13.16,12.51,,11.790527662733481,14.549728280744285,0.8428676466152051
93,12.33,12.82,12.04,12.8,529709,13.05,13.16,12.56,,11.893418546903453,14.569229321259911,0.8383771004284049
94,13.21,13.99,13.21,13.75,554843,13.09,13.18,12.61,,11.888573073680066,14.60700650723016,0.8634930218263759
95,13.57,13.57,12.495,12.96,566870,13.1,13.18,12.64,,11.8607357507068,14.609538870742885,0.8914578059816349
96,13.04,13.5,12.91,12.95,162560,13.1,13.17,12.67,,11.865005602306677,14.609949510124219,0.8699251055543753
