,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,7.73,8.5,7.73,8.38,338582,,,,,,,0.7699999999999996
1,7.7,8.26,7.3077,7.92,1249341,,,,,,,0.7915928571428569
2,7.94,8.65,7.92,8.17,606122,,,,,7.307817535219851,8.686395471301967,0.7871933673469386
3,8.44,8.87,8.18,8.69,339339,,,,,7.309931493710722,8.933148479160199,0.7809652696793
4,8.56,9.62,8.51,9.23,513929,,,,,7.878072924839873,9.606082731267367,0.8044677504164928
5,9.0,9.41,8.62,9.26,928102,,,,,8.184785080731265,9.725601926687371,0.8034343396724577
6,8.91,9.0,8.34,8.65,383705,,,,,8.334825904223676,9.690196899210951,0.8117604582672822
7,8.93,9.145,8.11,8.29,430195,,,,,8.075717679600809,9.413696851749217,0.8277061398196192
8,8.14,8.675,7.72,8.11,469692,8.52,,,,7.71190249606112,9.204743744024295,0.8367985584039321
9,7.59,8.16,7.31,7.35,701182,8.41,,,,7.273287502386911,9.20193841901087,0.837741518517937
10,7.32,7.84,6.61,7.84,874524,8.4,,,,6.595927200116855,8.688405599879848,0.8657599814809415
11,7.16,8.12,6.72,8.03,943588,8.38,,,,6.465926335056202,8.231791553515793,0.9039199828037313
12,8.12,12.77,7.76,12.13,1522747,8.77,,,,6.331954872518983,12.622620759120021,1.1972114126034648
13,11.73,13.12,10.35,12.27,1505278,9.1,,,,6.220392284845667,14.40699373936321,1.30955345456036
14,12.46,17.24,12.46,14.23,1021570,9.66,,,,7.600510281928115,17.111142180057364,1.571013922091763
15,14.19,14.5,11.23,11.88,766804,10.01,,,,10.180856933762819,17.26011839773212,1.6923700705137799
16,12.18,12.18,8.22,10.11,685156,10.22,,,,8.23714497821846,17.4261938195323,1.8543436369056525
17,10.63,11.015,9.7,9.98,319074,10.42,,,,8.061090533312077,14.51652369957426,1.8158190914123917
18,9.94,10.47,9.31,9.58,339157,10.67,,,,8.232863174535156,12.18255197893517,1.768974870597221
19,9.66,10.3689,9.66,10.06,353999,10.92,9.51,,,9.320657486054277,11.000257266908608,1.6989695226974195
20,10.0,10.075,9.11,9.18,263984,11.05,9.55,,,9.053772960044348,10.530344925931818,1.6465431282190326
