Symbol,Name,Last,Industry,20D Avg Vol,Market Cap
A,Agilent Technologies,125.64,Electronic Test Equipment,1765085,36819704000
AA,Alcoa Corp,32.78,Metal Products - Distribution,7422107,5358591000
AACAY,Aac Acoustic Tec ADR,4.91,Electronics - Misc Components,52092,6127095000
AAGIY,Aia Group Ltd,50.48,Insurance - Life,270388,1.45E+11
AAL,American Airlines Gp,22.93,Transportation - Airline,48881426,13951334000
AAP,Advance Auto Parts Inc,187.32,Retail - Wholesale Auto Parts,959978,11907676000
AAPL,Apple Inc,121.21,Computer - Mini,118526258,2.02E+12
ABB,Abb Ltd,31.59,Machinery - Electrical,1948632,66887424000
ABBV,Abbvie Inc,105.98,Large Cap Pharma,7406378,1.82E+11
ABC,Amerisourcebergen Corp,118.73,Medical - Dental Suppliers,1080640,23616930000
ABCL,Abcellera Biologics Inc,24.75,Medical - Biomedical,946823,7380052000
ABCM,Abcam Plc ADR,19.89,Medical Instruments,226132,4479987000
ABEV,Ambev S.A.,2.68,Beverages - Alcohol,25099217,42012224000
ABMD,Abiomed Inc,301.4,Medical Instruments,305596,13307410000
ABNB,Airbnb Inc Cl A,174.4,Internet - Content,6180198,1.09E+11
ABT,Abbott Laboratories,122.07,Medical Products,5222350,2.09E+11
ACAD,Acadia Pharmaceutica,25.86,Medical - Biomedical,3875317,4055591000
ACC,American Campus Communities Inc,43.82,REIT - Equity Trust Resident,1185731,5835979000
ACDVF,Air Canada,21.083,Transportation - Airline,327184,7054588000
ACGBY,Agricultural Bk Chin,10.1696,Banks - Foreign,6234,1.41E+11
ACGL,Arch Capital Grp Ltd,38.78,Insurance - Proprty & Casualty,2621501,15012309000
ACH,Aluminum Corp of China Ltd,10.9,Mining - Non Ferrous,264187,6829497000
ACHC,Acadia Healthcr Company,57.71,Medical - Hospitals,690276,4898981000
ACI,Albertsons Companies Inc Cl A,19.52,Consumer Prdts - Misc Staple,2243569,8733399000
ACIW,Aci Worldwide Inc,38.21,Computer - Software,655518,4337805000
ACM,Aecom Technology Corp,64.44,Engineering & R&D Services,985858,9047361000
ACN,Accenture Plc,280.77,Consulting,2578610,1.76E+11
ADBE,Adobe Systems Inc,469.09,Computer - Software,3346020,2.17E+11
ADC,Agree Realty Corp,67.31,REIT - Equity Trust Retail,966864,4247312000
ADDYY,Adidas Ag ADR,156.07,Shoes and Related Apparel,118990,64407336000
ADI,Analog Devices,157.11,Semi Analog & Mixed,3482529,55496416000
ADM,Archer Daniels Midland,57.91,Agriculture Operations,2884865,31226510000
ADP,Automatic Data Procs,192.69,Outsourcing,2423556,79284448000
ADPT,Adaptive Biotechnologies Corp,38.16,Medical - Biomedical,1560897,5425365000
ADRNY,Koninklijke Ahold,27.85,Consumer Prdts - Misc Staple,70246,30211630000
ADRZY,Andritz Ag ADR,8.581,Industrial Services,501,4623320000
ADS,Alliance Data Systems Corp,118.69,Financial Transaction Services,1022235,5279099000
ADSK,Autodesk Inc,269.01,Computer - Software,1528928,57792220000
ADT,ADT Inc,8.21,Protection - Safety,4655760,5905780000
AEE,Ameren Corp,81.46,Utility - Electric Power,1780270,20519220000
AEG,Aegon N.V.,4.7,Insurance - Multi Line,2785531,12223855000
AEM,Agnico-Eagle Mines Ltd,58.86,Mining - Gold,1192378,14282654000
AEO,American Eagle Outfitters,29.19,Retail - Apparel & Shoes,4880243,4437581000
AEP,American Electric Power Company,84.99,Utility - Electric Power,3584905,42211300000
AER,Aercap Holdings N.V.,59.66,Finance - Leasing Companies,2499355,7321905000
AES,The Aes Corp,26.32,Utility - Electric Power,7481024,17137072000
AEXAY,Atos ADR,15.48,Technology Services,13407,8227491000
AFG,American Financial Group,116.15,Insurance - Proprty & Casualty,597897,9890094000
AFL,Aflac Inc,51.56,Insurance - Accident & Health,4011669,34311240000
AFRM,Affirm Holdings Inc Cl A,69.72,Business Services,2930028,18695472000
AGCO,Agco Corp,142.54,Machinery - Farm,670532,10266200000
AGESY,Ageas N.V. Ads,58.88,Insurance - Multi Line,2230,11410592000
AGNC,Agnc Investment Corp,17.02,REIT - Mortgage Trusts,8014528,8790069000
AGPYY,Agile Group Holdings Limited,68.35,Real Estate Developers,N/A,5354608000
AGR,Avangrid Inc,48.9,Utility - Electric Power,523244,15010730000
AHCHY,Anhui Conch Cem ADR,32.13,Building - CMT & CNT & AG,21083,8210873000
AHEXY,Adecco Sa ADR,33.82,Outsourcing,21177,10984769000
AHKSY,Asahi Kaisai Cp ADR,24.35,Chemical - Diversified,45045,16664458000
AI,C3.Ai Inc Cl A,64.7,IT Services,5863509,6512132000
AIG,American International Group,46.82,Insurance - Multi Line,4870821,38906952000
AIQUY,L'Air Liquide ADR,32.33,Chemical - Diversified,206228,75696896000
AIRC,Apartment Income REIT Corp,45.2,REIT - Equity Trust Resident,1142826,6497280000
AIRYY,Air China Ltd ADR,17.05,Transportation - Airline,1815,12280736000
AIZ,Assurant Inc,144.65,Insurance - Multi Line,530681,8222225000
AJG,Arthur J. Gallagher & Company,125.7,Insurance - Brokers,1029595,24246004000
AJINY,Ajinomoto CO Inc ADR,21.585,Food - Misc & Diversified,39857,11779548000
AJMPF,Ashmore Group Plc,5.35,Finance - Investment Mgmt,1805,4409651000
AKAM,Akamai Technologies,102.7,Internet - Services,2005840,16059216000
AKZOY,Akzo Nobel NV ADR #,37.78,Chemical - Diversified,49317,21588088000
AL,Air Lease Corp Cl A,49.99,Transportation - Equip & Lease,1112723,5324627000
ALB,Albemarle Corp,150.4,Chemical - Diversified,1325753,17101752000
ALC,Alcon Inc,69.74,Medical Instruments,1035220,33964076000
ALFVY,Alfa-Laval Ab ADR,31.45,Engineering & R&D Services,12490,13082958000
ALGM,Allegro Microsystems Inc,25.27,Electronics - Semiconductors,736137,4529367000
