,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,131.29,132.98,127.85,132.98,1624847,,,,,,,5.1299999999999955
1,133.45,133.45,128.0389,132.99,1211410,,,,,,,5.1500785714285655
2,131.52,135.66,128.915,130.26,1079908,,,,,127.64288988495635,135.60415342327235,5.26400153061224
3,131.22,133.03,128.07,132.85,743679,,,,,127.79450973883947,135.60083600535964,5.2422871355685094
4,129.19,129.77,126.0,126.96,1033124,,,,,126.0119019612213,136.06567111704186,5.357123768742187
5,123.81,128.48,121.51,127.88,1083183,,,,,121.50440607282343,133.00616862117897,5.47232921383203
6,120.4,132.19,119.92,130.37,1569009,,,,,119.00818798959038,132.21847610127517,5.957877127129741
7,133.74,137.35,129.94,135.21,1090592,,,,,117.86643105889705,137.57351336403966,6.061600189477617
8,132.47,132.8,123.41,125.59,1681589,130.57,,,,118.82842651254239,137.21487171506155,6.471485890229217
9,118.4,120.33,109.02,109.17,1563854,127.92,,,,109.01640755758892,139.85294759090337,7.1928083266414164
10,114.08,115.31,105.15,113.68,1115847,125.77,,,,101.94266391093518,132.71945680991752,7.404750589024172
11,102.83,107.49,93.88,95.25,1285915,121.88,,,,94.0311334781907,121.49441752865468,8.290125546951018
12,97.15,101.92,92.64,100.25,1295710,118.26,,,,89.64143354941838,115.63907622612425,8.360830865025946
13,92.63,94.46,78.56,88.74,1384766,114.02,,,,78.99936839737856,108.4815859864147,9.31291437466695
14,86.48,89.4181,81.62,85.95,1087980,109.36,,,,76.12726082363099,102.18481850676,9.204713347905024
15,86.49,89.0,73.74,75.03,1379964,103.21,,,,73.60344805642643,94.30208680392437,9.637233823054665
16,74.97,79.94,71.3286,76.51,1244889,96.69,,,,69.6422132913602,92.01049378768755,9.563959978550761
17,82.71,87.61,81.42,86.19,1546680,92.31,,,,69.69926602959855,90.88388143163813,9.673677122939992
18,87.33,96.605,85.07,90.3,931000,90.21,,,,71.44320338332378,97.22706848802187,9.806628757015709
19,91.42,97.65,90.58,96.91,1576568,88.35,109.65,,,80.61749696895163,100.02668862426223,9.63115527437173
20,93.1,100.21,91.3953,95.47,696122,88.37,107.78,,,85.23023048754716,100.19527761591307,9.572837040488034
21,94.41,97.87,89.86,96.5,915256,87.96,105.95,,,89.76680958513624,100.13732336604973,9.461205823310317
22,95.56,97.38,92.9,93.32,981522,88.46,104.11,,,89.71307176570039,100.15033560408459,9.10540540735958
23,89.63,92.7,87.12,89.16,1017681,88.82,101.92,,,86.77957298464575,99.12271740243494,8.897876449691037
24,87.71,89.89,81.935,88.29,2883080,90.29,99.99,,,81.28462443388116,97.48541025877918,8.830528131855962
25,86.14,86.91,82.73,84.76,1052685,91.21,97.83,,,80.85658292300893,93.01829084220662,8.596918979580536
26,89.44,98.3,88.53,95.8,1265124,92.28,96.1,,,80.43817928540437,98.19746265860724,8.949996195324783
27,102.23,103.72,97.48,99.71,1140486,93.32,94.33,,,81.40606734796555,105.74785256295075,8.87642503851587
28,101.83,103.95,98.96,102.48,626637,93.94,93.17,,,88.78242213097613,105.50747253009841,8.598823250050451
29,104.62,108.81,103.335,106.98,871082,95.22,93.06,,,96.57610514497766,108.65541403017377,8.436764446475419
30,109.02,110.05,103.6,110.01,1084759,96.72,92.88,,,99.09864504117247,111.14979429227976,8.294852700298604
31,111.24,116.33,111.14,115.46,804784,99.18,93.89,,,101.15012874529026,116.16484204904737,8.153791793134417
32,110.95,112.95,108.89,111.98,789169,101.72,94.48,,,103.61879509352961,116.56736142166233,8.04066380791053
33,112.84,118.22,110.955,117.77,1059027,104.99,95.93,,,108.9543640529895,118.77019600178292,7.985259250202635
34,121.5,123.399,115.64,118.85,822482,108.78,97.57,,,108.02375496203796,123.93668931351029,7.969097875188162
35,116.83,117.98,115.08,115.41,784320,110.96,99.59,,,111.07721217541467,123.2342380830752,7.669162312674722
36,115.47,117.2,112.97,113.54,694348,112.5,101.44,,,113.01454531254787,123.24040320388418,7.423507861769385
37,115.07,116.34,112.41,113.17,535470,113.69,102.79,,,111.93787864588121,118.07569098600385,7.173971585928715
38,114.5,118.38,112.8,113.39,855502,114.4,103.95,,,112.41084340386206,118.43325857740146,7.060116472648093
39,115.15,118.3,114.0,117.59,875530,115.24,104.98,,,112.15845899708502,118.94426579941214,6.9065367246018
40,118.49,121.09,117.466,118.96,718683,115.63,106.16,,,112.09006594462191,121.00370539930358,6.672069815701673
41,121.51,123.24,119.94,120.97,727235,116.63,107.38,,,113.85318229273074,123.60125660523248,6.501207686008697
42,123.83,126.79,123.0,124.91,896158,117.42,108.96,,,117.08595053458063,126.87303024865388,6.452549994150933
43,123.33,123.4199,118.78,120.8,661943,117.64,110.54,,,118.17519878053427,126.68295338194494,6.429510708854438
44,118.02,119.39,115.965,116.59,453851,117.77,111.96,,,115.35344654636138,127.27535577496477,6.315617086793406
45,115.43,120.41,115.0,120.11,395353,118.5,113.72,,,114.42126321283482,123.37805560324753,6.250930152022448
46,121.89,123.59,121.0035,121.19,413510,119.39,114.99,,,113.77658506709074,123.53967798678597,6.053006569735131
47,121.81,122.9402,119.57,121.15,603428,120.25,116.07,,,115.07563497545999,124.16151742126989,5.861377529039765
48,122.5,124.905,118.94,119.66,849160,120.48,116.92,,,118.674581859735,124.91282399996119,5.868779134108353
49,121.9,125.71,121.131,124.85,884588,121.14,117.82,110.04,,118.63954974892842,126.08567522879736,5.881723481672042
50,124.11,126.39,123.0,125.86,790613,121.68,118.61,109.9,,118.7883269154591,126.48604727068273,5.703743232981182
51,126.7,126.94,124.01,124.51,925420,121.64,119.06,109.73,,121.10689446646877,127.02442498150728,5.505618716339669
52,123.76,125.05,118.68,119.24,1136422,121.46,119.43,109.51,,118.7824360500731,127.19600774103702,5.56736023660112
53,117.78,121.26,116.76,121.11,1336659,121.96,119.59,109.27,,115.6847595605801,127.59839329435408,5.49112021970104
54,119.91,127.025,118.73,126.07,1149639,122.63,119.95,109.25,,116.82111968928028,127.66770433797484,5.6913973468652514
55,130.61,132.89,128.16,131.21,1505392,123.74,120.74,109.32,,114.51409728371148,133.4549121519938,5.772011822089162
56,140.34,141.8,135.245,135.83,3563977,125.37,121.86,109.43,,118.26461205257601,142.08857307354216,6.116153834797079
57,138.23,140.155,135.04,135.57,1041936,127.14,122.98,109.44,,128.3790837755887,143.49699605064026,6.044642846597289
58,135.57,136.0199,130.07,134.76,1457162,128.24,124.05,109.62,,130.2282240065083,142.60088144868382,6.0378755004117695
59,133.29,134.21,131.385,133.57,595153,129.1,124.85,110.11,,129.33230777351378,140.14704453405545,5.847670107525215
60,137.62,138.67,134.59,135.58,688080,130.33,125.68,110.55,,129.45758279704006,138.76743315763215,5.794265099844843
61,137.5,141.78,136.31,141.71,761124,132.82,126.71,111.47,,131.34551154757915,142.40551084098522,5.823246164141639
62,142.39,142.48,138.0,138.43,999955,134.75,127.39,112.24,,134.42447580660883,143.20753428562998,5.727300009560093
63,137.7,140.805,136.5,139.36,899824,136.22,128.32,113.25,,135.91832962357685,142.6137127600223,5.625707151734372
64,139.56,140.625,138.49,139.7,797102,137.17,129.47,114.33,,136.52281137680242,142.4286222221699,5.3763709266104875
65,141.21,141.35,138.93,139.53,492405,137.58,130.44,115.62,,136.549084642504,141.3419197019825,5.165201574709737
66,139.76,144.63,139.76,142.32,467695,138.33,131.5,116.93,,138.3506065971579,144.5490801546017,5.160544319373328
67,141.08,142.69,140.59,142.25,462005,139.16,132.56,118.05,,138.84700000000223,144.7040330757751,4.941934010846661
68,145.07,149.16,144.56,146.25,805142,140.57,133.89,119.17,,138.81465030715893,149.14563703556564,5.082510152929043
69,146.28,149.24,145.08,146.32,835259,141.76,134.96,120.16,,140.708408061902,151.1646394038667,5.016616570576969
70,145.22,145.71,142.33,144.42,646831,142.06,135.89,121.14,,142.38298319859558,150.25355104194213,4.943286815535755
71,144.32,144.32,140.37,140.37,797480,142.28,136.68,122.02,,139.99071535650128,149.2133534646837,4.879480614426057
72,136.71,138.83,131.6,133.135,851481,141.59,137.37,122.81,,131.81478250177483,146.9550410104807,5.157374856252767
73,137.05,137.29,132.5,132.595,94370,140.8,137.95,123.68,,129.51628836147478,144.21152513078812,5.131133795091855
74,131.16,139.39,130.33,137.87,894401,140.61,138.54,124.67,,130.27739758371277,139.69952116696982,5.411767095442435
75,143.04,144.01,138.24,142.69,855360,140.66,139.11,125.83,,129.19422854228603,144.01163298060595,5.46378373148226
76,144.11,150.03,142.74,148.63,1244646,141.36,139.75,126.89,,130.1924759094438,150.34552833937124,5.597799179233528
77,147.4,148.84,145.62,147.72,509838,141.53,140.36,127.85,,138.10853229268565,151.13362009283887,5.4279563807168465
78,150.47,150.57,144.86,144.86,736452,141.37,140.87,128.7,,142.76485141112485,150.78696279742178,5.448102353522785
79,145.11,152.27,144.53,151.68,1476936,142.17,141.77,129.59,,144.38848023434966,152.4465240523269,5.611809328271158
80,152.51,153.47,149.78,149.91,1116093,143.23,142.49,130.39,,143.15549493739823,153.7062161529248,5.474537233394647
81,148.56,148.81,142.76,142.88,990790,144.32,142.55,130.94,,141.67397547318294,154.1782423904328,5.59421314529503
82,141.85,143.485,140.07,142.94,774423,145.46,142.77,131.56,,138.68867519947503,154.084141652711,5.438555063488244
