,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,42.11,43.11,41.71,43.07,786609,,,,,,,1.3999999999999986
1,42.05,42.26,40.7,41.21,872595,,,,,,,1.4692857142857128
2,39.77,40.93,39.39,40.7,1268293,,,,,,,1.494336734693876
3,37.6,38.415,36.115,36.69,2638384,,,,,,,1.7150983965014566
4,37.87,38.09,36.25,37.83,1591777,,,,,,,1.7240199396084956
5,36.54,37.1,35.425,35.87,1352961,,,,,,,1.7726613724936033
6,33.16,33.875,30.37,30.68,2510449,,,,,,,2.038899845886917
7,32.38,32.85,30.38,32.78,2802942,,,,,,,2.069692714037852
8,30.04,30.31,27.07,27.24,2619450,36.23,,,,,,2.329714663035148
9,27.73,30.52,25.9462,30.2,6610606,34.8,,,,,,2.4900064728183517
10,27.81,29.02,26.07,27.49,4679255,33.28,,,,,,2.607148867617041
11,27.0,28.6,26.525,27.05,3382079,31.76,,,,,,2.5691382342158238
12,27.0,27.61,25.55,25.97,3749791,30.57,,,,,,2.5327712174861223
13,25.67,25.67,22.54,23.26,2956208,28.95,,,,,,2.5968589876656853
14,24.66,25.99,24.3,25.59,4030708,27.81,,,,,,2.6063690599752793
15,26.0,26.41,24.66,25.71,6075363,27.25,,,,,,2.5451998414056165
16,26.2,30.07,25.53,29.65,2853601,26.91,,,,,,2.6876855670195012
17,28.22,30.18,28.1,29.07,2710652,27.11,,,,,,2.6442794550895368
18,29.15,30.63,28.04,30.55,1876228,27.15,,,,,,2.64040235115457
19,30.16,30.16,28.025,28.45,3183421,27.26,31.45,,,18.294451544206353,43.58729105399669,2.6321593260721006
20,27.27,27.43,25.53,26.05,1690997,27.14,30.6,,,18.663021273059556,41.838883093004455,2.652719374209808
21,25.67,27.23,25.67,26.3,4054188,27.18,29.86,,,19.252583765941388,39.98095559411372,2.574667990337679
22,25.99,26.5,24.45,24.6,1983495,27.33,29.05,,,19.85868920250213,38.16403636349084,2.537191705313559
23,26.02,27.38,25.96,27.03,1619007,27.49,28.57,,,20.341931122569097,36.718673968288904,2.554535154934019
24,28.68,29.16,27.57,27.89,1583239,27.73,28.07,,,21.307264860179306,35.06501450661655,2.5242112152958747
25,28.12,29.0423,27.45,28.69,1414250,27.63,27.71,,,22.59284530635315,33.34502156753517,2.4576461284890265
26,29.33,31.17,29.102,30.99,1537674,27.84,27.73,,,22.761264299429047,32.709335957285205,2.4592428335969534
27,30.74,30.74,28.98,29.23,714045,27.69,27.55,,,22.966522719915265,32.240578723037295,2.427154059768599
28,29.78,30.48,28.87,29.26,6692910,27.78,27.65,,,22.885024799171752,32.26617508015683,2.3687859126422706
29,28.76,28.76,27.31,27.37,2841792,27.93,27.51,,,22.941084401083636,32.07439852061336,2.3388726331678233
30,27.09,27.23,26.03,26.48,6698292,27.95,27.46,,,22.937998242274304,32.03265575383204,2.2675245879415504
31,27.59,28.04,26.725,27.15,7523570,28.23,27.46,,,22.946696984538406,32.01096755891653,2.2169871173742965
32,26.46,26.8,25.855,26.7,4749223,28.2,27.5,,,22.97679942345349,32.03146374869329,2.151130894704704
33,25.71,26.08,25.18,25.29,4401091,27.91,27.6,,,23.566357660488706,31.988952381145054,2.106050116511511
34,25.85,26.03,24.89,24.915,5310882,27.49,27.57,,,23.680608403154018,31.985041344279516,2.037046536760689
35,25.04,25.4,24.225,24.26,2534897,26.74,27.5,,,23.591498321836514,32.08556399951523,1.9754717841349252
36,24.54,24.725,23.46,23.64,4548525,26.12,27.2,,,23.20062448146372,32.08370574486063,1.924723799553859
37,23.98,24.85,23.76,24.66,5105110,25.61,26.98,,,22.84221138529351,31.96041577587765,1.8736720995857263
38,25.1,25.5378,24.29,24.75,1843804,25.32,26.69,,,22.633341691627397,31.620772737390553,1.8289669496153174
39,25.52,26.0,25.09,25.58,3037548,25.22,26.54,,,22.568738857804014,31.290698581424728,1.7876121674999375
40,24.89,25.07,24.01,24.03,1554440,24.87,26.44,,,22.38214365110074,31.314244662463466,1.7720684412499417
41,23.43,23.635,22.795,23.13,3778852,24.47,26.28,,,21.969906826363943,31.459521364146013,1.7337064097320887
42,22.94,24.03,22.41,23.83,2003475,24.31,26.24,,,21.616144024064752,31.547682394740256,1.7255845233226539
43,24.64,25.66,23.69,23.74,6404634,24.18,26.08,,,21.408163321883645,31.49704031719471,1.74304277165675
44,23.84,24.28,23.32,23.42,2796425,24.09,25.86,,,21.18852470204204,31.270971075928664,1.6871111451098395
45,23.81,24.89,23.81,24.73,5751282,24.21,25.66,,,21.070929316987545,30.988140809697924,1.6716032061734225
46,25.14,26.01,24.92,25.95,2621182,24.35,25.41,,,21.296281057636783,30.15252594737408,1.6436315485896067
47,25.6,25.7,25.16,25.319,1782391,24.41,25.21,,,21.617688871699904,29.276551376239574,1.5826578665474917
48,25.15,25.34,23.63,23.66,4055614,24.2,24.93,,,21.96805674404998,28.25279360406529,1.591753733222671
49,23.82,23.82,22.06,22.22,1970769,24.0,24.67,28.0,,21.833191371729804,27.697467851486003,1.6037713237067661
50,21.77,22.97,20.93,22.85,2154547,23.97,24.49,27.59,,21.303270108725478,27.582332856033368,1.6349305148705686
51,22.7,23.04,22.22,22.98,2053256,23.87,24.28,27.23,,21.28742678978807,27.134196783385544,1.5767211923798137
52,23.87,24.57,23.87,24.34,3215183,23.94,24.16,26.9,,21.384415648663833,26.851997098237664,1.5776696786383986
53,24.13,24.535,23.68,24.27,1682671,24.04,24.11,26.65,,21.419262885529587,26.696550382210507,1.526050415878513
54,24.31,26.75,24.11,26.54,7039022,24.24,24.19,26.43,,21.449421131587496,26.85421454597803,1.6056182433157622
55,26.54,27.69,26.115,27.45,6520546,24.4,24.35,26.26,,21.27079309410623,27.330564857201473,1.6034312259360652
56,27.77,28.58,27.54,28.3,5577810,24.73,24.59,26.21,,20.91856058399072,28.01865552409211,1.5696147097977748
57,29.75,30.1,28.89,29.385,2266289,25.37,24.82,26.14,,20.42043200308031,29.029133015206426,1.5860708019550767
58,30.5,30.75,29.475,29.93,2019137,26.23,25.08,26.2,,19.97361518023173,30.007856246783277,1.570280030386857
