,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,161.63,164.44,154.0,155.26,2546374,,,,,,,10.439999999999998
1,158.42,164.62,156.81,164.43,2052343,,,,,,,10.362857142857141
2,159.44,163.15,158.93,160.68,2621526,,,,,,,10.01551020408163
3,153.42,160.11,153.005,159.19,2558361,,,,,,,9.848330903790085
4,149.1,155.22,146.28,150.77,8033296,,,,,,,10.067021553519366
5,156.95,157.12,147.21,154.54,3692559,,,,,,,10.055805728267982
6,149.65,151.9211,145.69,147.92,2305141,,,,,,,9.969676747677411
7,137.55,137.8741,125.86,130.28,4953876,,,,,,,10.833271265700454
8,136.99,144.53,129.27,144.5,3054874,151.95,,,,,,11.149466175293279
9,128.06,131.72,122.05,122.46,3725704,148.31,,,,,,11.956647162772331
10,124.45,130.53,118.43,129.39,7222976,144.41,,,,,,11.966886651145735
11,120.86,122.59,103.1101,118.34,3989619,139.71,,,,,,12.989244747492467
12,117.8,123.17,110.0,117.36,3489593,135.06,,,,,,13.002155836957291
13,118.92,119.47,107.1,112.06,4967486,130.76,,,,,,12.9570018486032
14,108.53,112.06,104.89,108.98,3884768,125.7,,,,,,12.543644573702972
15,114.66,122.04,114.3,121.01,3977133,122.71,,,,,,12.580527104152761
16,120.76,130.0,116.49,122.73,2972467,121.87,,,,,,12.646918025284707
17,123.06,138.14,122.6,137.09,2770125,121.05,,,,,,12.853566737764371
18,130.36,136.0,128.92,131.22,2522851,122.02,,,,,,12.51902625649549
19,132.4,138.535,131.77,137.83,1926866,122.96,136.3,,,92.99010762838256,173.33159548593954,12.14731009531724
20,134.98,139.4,134.22,136.73,2727244,125.0,135.38,,,93.70985981196962,170.0492945032157,11.649645088508867
21,129.78,133.405,128.09,129.73,2503345,126.38,133.64,,,94.8313157181801,166.10025696236818,11.434670439329661
22,127.72,132.61,127.43,131.55,6401604,128.54,132.18,,,96.8215319230349,161.92566568975218,10.98790826509183
23,130.7,132.53,126.6924,128.59,1150594,130.72,130.65,,,98.45697198374066,157.9267540351414,10.620029103299556
